geo,time,age,stack,zaf_population
zaf,1996,0,No schooling,0
zaf,1996,0,Some primary,0
zaf,1996,0,Complete primary,0
zaf,1996,0,Some secondary,0
zaf,1996,0,Grade 12/Std 10,0
zaf,1996,0,Higher,0
zaf,1996,0,Unspecified,0
zaf,1996,0,Not applicable,856238.7084
zaf,1996,0,Total,856238.7084
zaf,1996,1,No schooling,0
zaf,1996,1,Some primary,0
zaf,1996,1,Complete primary,0
zaf,1996,1,Some secondary,0
zaf,1996,1,Grade 12/Std 10,0
zaf,1996,1,Higher,0
zaf,1996,1,Unspecified,0
zaf,1996,1,Not applicable,841169.4688
zaf,1996,1,Total,841169.4688
zaf,1996,2,No schooling,0
zaf,1996,2,Some primary,0
zaf,1996,2,Complete primary,0
zaf,1996,2,Some secondary,0
zaf,1996,2,Grade 12/Std 10,0
zaf,1996,2,Higher,0
zaf,1996,2,Unspecified,0
zaf,1996,2,Not applicable,892179.2964
zaf,1996,2,Total,892179.2964
zaf,1996,3,No schooling,0
zaf,1996,3,Some primary,0
zaf,1996,3,Complete primary,0
zaf,1996,3,Some secondary,0
zaf,1996,3,Grade 12/Std 10,0
zaf,1996,3,Higher,0
zaf,1996,3,Unspecified,0
zaf,1996,3,Not applicable,918951.0091
zaf,1996,3,Total,918951.0091
zaf,1996,4,No schooling,0
zaf,1996,4,Some primary,0
zaf,1996,4,Complete primary,0
zaf,1996,4,Some secondary,0
zaf,1996,4,Grade 12/Std 10,0
zaf,1996,4,Higher,0
zaf,1996,4,Unspecified,0
zaf,1996,4,Not applicable,935082.4099
zaf,1996,4,Total,935082.4099
zaf,1996,5,No schooling,850016.7662
zaf,1996,5,Some primary,31010.93452
zaf,1996,5,Complete primary,0
zaf,1996,5,Some secondary,0
zaf,1996,5,Grade 12/Std 10,0
zaf,1996,5,Higher,21.627
zaf,1996,5,Unspecified,79110.68391
zaf,1996,5,Not applicable,0
zaf,1996,5,Total,960160.0116
zaf,1996,6,No schooling,807590.156
zaf,1996,6,Some primary,120611.9565
zaf,1996,6,Complete primary,0
zaf,1996,6,Some secondary,0
zaf,1996,6,Grade 12/Std 10,0
zaf,1996,6,Higher,12.2083
zaf,1996,6,Unspecified,58318.80362
zaf,1996,6,Not applicable,0
zaf,1996,6,Total,986533.1244
zaf,1996,7,No schooling,580453.7432
zaf,1996,7,Some primary,304367.2776
zaf,1996,7,Complete primary,0
zaf,1996,7,Some secondary,0
zaf,1996,7,Grade 12/Std 10,0
zaf,1996,7,Higher,20.3318
zaf,1996,7,Unspecified,44563.22805
zaf,1996,7,Not applicable,0
zaf,1996,7,Total,929404.5807
zaf,1996,8,No schooling,377429.1989
zaf,1996,8,Some primary,485953.3759
zaf,1996,8,Complete primary,2784.56928
zaf,1996,8,Some secondary,0
zaf,1996,8,Grade 12/Std 10,0
zaf,1996,8,Higher,16.824
zaf,1996,8,Unspecified,36464.28156
zaf,1996,8,Not applicable,0
zaf,1996,8,Total,902648.2496
zaf,1996,9,No schooling,240836.3735
zaf,1996,9,Some primary,610018.3455
zaf,1996,9,Complete primary,4093.52985
zaf,1996,9,Some secondary,2798.90074
zaf,1996,9,Grade 12/Std 10,0
zaf,1996,9,Higher,13.2222
zaf,1996,9,Unspecified,32216.08786
zaf,1996,9,Not applicable,0
zaf,1996,9,Total,889976.4596
zaf,1996,10,No schooling,163346.7907
zaf,1996,10,Some primary,735011.7627
zaf,1996,10,Complete primary,8085.75869
zaf,1996,10,Some secondary,6107.14415
zaf,1996,10,Grade 12/Std 10,0
zaf,1996,10,Higher,23.6223
zaf,1996,10,Unspecified,29384.57858
zaf,1996,10,Not applicable,0
zaf,1996,10,Total,941959.6572
zaf,1996,11,No schooling,105092.38
zaf,1996,11,Some primary,762927.7133
zaf,1996,11,Complete primary,20036.67929
zaf,1996,11,Some secondary,9982.03951
zaf,1996,11,Grade 12/Std 10,0
zaf,1996,11,Higher,11.1676
zaf,1996,11,Unspecified,25849.67273
zaf,1996,11,Not applicable,0
zaf,1996,11,Total,923899.6524
zaf,1996,12,No schooling,77661.64232
zaf,1996,12,Some primary,731696.3264
zaf,1996,12,Complete primary,81763.26238
zaf,1996,12,Some secondary,24991.35755
zaf,1996,12,Grade 12/Std 10,0
zaf,1996,12,Higher,11.9899
zaf,1996,12,Unspecified,25057.11946
zaf,1996,12,Not applicable,0
zaf,1996,12,Total,941181.698
zaf,1996,13,No schooling,56981.06577
zaf,1996,13,Some primary,563650.8972
zaf,1996,13,Complete primary,183810.138
zaf,1996,13,Some secondary,96100.69114
zaf,1996,13,Grade 12/Std 10,0
zaf,1996,13,Higher,11.1135
zaf,1996,13,Unspecified,20873.68733
zaf,1996,13,Not applicable,0
zaf,1996,13,Total,921427.593
zaf,1996,14,No schooling,46529.91628
zaf,1996,14,Some primary,390966.9966
zaf,1996,14,Complete primary,210137.3301
zaf,1996,14,Some secondary,256599.2264
zaf,1996,14,Grade 12/Std 10,1311.72063
zaf,1996,14,Higher,12.4988
zaf,1996,14,Unspecified,20073.59804
zaf,1996,14,Not applicable,0
zaf,1996,14,Total,925631.2869
zaf,1996,15,No schooling,40364.82511
zaf,1996,15,Some primary,249941.0414
zaf,1996,15,Complete primary,146342.8951
zaf,1996,15,Some secondary,402547.504
zaf,1996,15,Grade 12/Std 10,2206.16686
zaf,1996,15,Higher,38.66067
zaf,1996,15,Unspecified,18736.96631
zaf,1996,15,Not applicable,0
zaf,1996,15,Total,860178.0594
zaf,1996,16,No schooling,40026.97813
zaf,1996,16,Some primary,191053.6344
zaf,1996,16,Complete primary,123959.6723
zaf,1996,16,Some secondary,508348.6857
zaf,1996,16,Grade 12/Std 10,6752.92453
zaf,1996,16,Higher,97.14203
zaf,1996,16,Unspecified,19218.41267
zaf,1996,16,Not applicable,0
zaf,1996,16,Total,889457.4498
zaf,1996,17,No schooling,33683.63615
zaf,1996,17,Some primary,121275.7664
zaf,1996,17,Complete primary,89546.94466
zaf,1996,17,Some secondary,523209.9929
zaf,1996,17,Grade 12/Std 10,31236.74365
zaf,1996,17,Higher,1349.83299
zaf,1996,17,Unspecified,16967.11175
zaf,1996,17,Not applicable,0
zaf,1996,17,Total,817270.0286
zaf,1996,18,No schooling,36242.04382
zaf,1996,18,Some primary,98537.38046
zaf,1996,18,Complete primary,69808.36937
zaf,1996,18,Some secondary,490763.3092
zaf,1996,18,Grade 12/Std 10,91884.60098
zaf,1996,18,Higher,4236.52493
zaf,1996,18,Unspecified,17500.50717
zaf,1996,18,Not applicable,0
zaf,1996,18,Total,808972.7359
zaf,1996,19,No schooling,38164.0835
zaf,1996,19,Some primary,87997.73871
zaf,1996,19,Complete primary,59151.96069
zaf,1996,19,Some secondary,438015.9327
zaf,1996,19,Grade 12/Std 10,153355.8128
zaf,1996,19,Higher,9977.41149
zaf,1996,19,Unspecified,18174.74951
zaf,1996,19,Not applicable,0
zaf,1996,19,Total,804837.6893
zaf,1996,20,No schooling,45990.288
zaf,1996,20,Some primary,85997.07144
zaf,1996,20,Complete primary,52774.17309
zaf,1996,20,Some secondary,410409.1384
zaf,1996,20,Grade 12/Std 10,197676.4717
zaf,1996,20,Higher,17339.27266
zaf,1996,20,Unspecified,21454.35554
zaf,1996,20,Not applicable,0
zaf,1996,20,Total,831640.7708
zaf,1996,21,No schooling,46616.5283
zaf,1996,21,Some primary,85637.21118
zaf,1996,21,Complete primary,49467.22579
zaf,1996,21,Some secondary,374894.7169
zaf,1996,21,Grade 12/Std 10,216026.4279
zaf,1996,21,Higher,26170.86957
zaf,1996,21,Unspecified,22405.36083
zaf,1996,21,Not applicable,0
zaf,1996,21,Total,821218.3405
zaf,1996,22,No schooling,48259.64199
zaf,1996,22,Some primary,84878.42631
zaf,1996,22,Complete primary,45195.29511
zaf,1996,22,Some secondary,330233.4506
zaf,1996,22,Grade 12/Std 10,217674.9845
zaf,1996,22,Higher,36693.75436
zaf,1996,22,Unspecified,23166.76963
zaf,1996,22,Not applicable,0
zaf,1996,22,Total,786102.3225
zaf,1996,23,No schooling,49248.43978
zaf,1996,23,Some primary,85087.9024
zaf,1996,23,Complete primary,45302.93561
zaf,1996,23,Some secondary,298321.2063
zaf,1996,23,Grade 12/Std 10,211331.211
zaf,1996,23,Higher,45222.92721
zaf,1996,23,Unspecified,23924.86111
zaf,1996,23,Not applicable,0
zaf,1996,23,Total,758439.4834
zaf,1996,24,No schooling,55800.27608
zaf,1996,24,Some primary,93590.75404
zaf,1996,24,Complete primary,48176.1207
zaf,1996,24,Some secondary,294278.7217
zaf,1996,24,Grade 12/Std 10,213747.6414
zaf,1996,24,Higher,53476.01098
zaf,1996,24,Unspecified,25882.76192
zaf,1996,24,Not applicable,0
zaf,1996,24,Total,784952.2869
zaf,1996,25,No schooling,52161.04557
zaf,1996,25,Some primary,82517.82279
zaf,1996,25,Complete primary,42197.04671
zaf,1996,25,Some secondary,242801.2334
zaf,1996,25,Grade 12/Std 10,187783.1998
zaf,1996,25,Higher,55396.26184
zaf,1996,25,Unspecified,24388.79751
zaf,1996,25,Not applicable,0
zaf,1996,25,Total,687245.4076
zaf,1996,26,No schooling,63406.14982
zaf,1996,26,Some primary,100754.35
zaf,1996,26,Complete primary,52354.59384
zaf,1996,26,Some secondary,278077.3651
zaf,1996,26,Grade 12/Std 10,194680.0255
zaf,1996,26,Higher,59929.24456
zaf,1996,26,Unspecified,27833.6022
zaf,1996,26,Not applicable,0
zaf,1996,26,Total,777035.331
zaf,1996,27,No schooling,58615.62734
zaf,1996,27,Some primary,91744.84622
zaf,1996,27,Complete primary,49063.09109
zaf,1996,27,Some secondary,244532.2332
zaf,1996,27,Grade 12/Std 10,165386.5069
zaf,1996,27,Higher,58882.22658
zaf,1996,27,Unspecified,25314.92101
zaf,1996,27,Not applicable,0
zaf,1996,27,Total,693539.4524
zaf,1996,28,No schooling,65195.9289
zaf,1996,28,Some primary,100855.957
zaf,1996,28,Complete primary,52855.35088
zaf,1996,28,Some secondary,248156.7854
zaf,1996,28,Grade 12/Std 10,154379.0644
zaf,1996,28,Higher,60148.22335
zaf,1996,28,Unspecified,26386.63336
zaf,1996,28,Not applicable,0
zaf,1996,28,Total,707977.9433
zaf,1996,29,No schooling,52718.5781
zaf,1996,29,Some primary,82811.41153
zaf,1996,29,Complete primary,44281.81471
zaf,1996,29,Some secondary,205470.3225
zaf,1996,29,Grade 12/Std 10,125904.1192
zaf,1996,29,Higher,56559.0365
zaf,1996,29,Unspecified,22184.70285
zaf,1996,29,Not applicable,0
zaf,1996,29,Total,589929.9854
zaf,1996,30,No schooling,75911.4103
zaf,1996,30,Some primary,103953.6026
zaf,1996,30,Complete primary,53019.62735
zaf,1996,30,Some secondary,226020.2821
zaf,1996,30,Grade 12/Std 10,124101.4182
zaf,1996,30,Higher,58842.41791
zaf,1996,30,Unspecified,26168.79853
zaf,1996,30,Not applicable,0
zaf,1996,30,Total,668017.5571
zaf,1996,31,No schooling,64582.83604
zaf,1996,31,Some primary,97023.25424
zaf,1996,31,Complete primary,52862.34737
zaf,1996,31,Some secondary,208141.219
zaf,1996,31,Grade 12/Std 10,104605.6057
zaf,1996,31,Higher,53284.5839
zaf,1996,31,Unspecified,22825.90715
zaf,1996,31,Not applicable,0
zaf,1996,31,Total,603325.7534
zaf,1996,32,No schooling,73798.69039
zaf,1996,32,Some primary,107998.1132
zaf,1996,32,Complete primary,55662.37359
zaf,1996,32,Some secondary,217941.396
zaf,1996,32,Grade 12/Std 10,100580.6305
zaf,1996,32,Higher,54483.28268
zaf,1996,32,Unspecified,24666.03398
zaf,1996,32,Not applicable,0
zaf,1996,32,Total,635130.5202
zaf,1996,33,No schooling,70944.32282
zaf,1996,33,Some primary,102332.0025
zaf,1996,33,Complete primary,52788.49292
zaf,1996,33,Some secondary,199267.627
zaf,1996,33,Grade 12/Std 10,88317.5597
zaf,1996,33,Higher,50988.26183
zaf,1996,33,Unspecified,22906.97138
zaf,1996,33,Not applicable,0
zaf,1996,33,Total,587545.2381
zaf,1996,34,No schooling,74743.8885
zaf,1996,34,Some primary,104412.653
zaf,1996,34,Complete primary,52248.13641
zaf,1996,34,Some secondary,192760.1097
zaf,1996,34,Grade 12/Std 10,82824.17465
zaf,1996,34,Higher,50250.32176
zaf,1996,34,Unspecified,22942.26146
zaf,1996,34,Not applicable,0
zaf,1996,34,Total,580181.5455
zaf,1996,35,No schooling,77493.2547
zaf,1996,35,Some primary,95647.62625
zaf,1996,35,Complete primary,46840.55962
zaf,1996,35,Some secondary,177293.4975
zaf,1996,35,Grade 12/Std 10,76723.57002
zaf,1996,35,Higher,48758.92029
zaf,1996,35,Unspecified,22672.381
zaf,1996,35,Not applicable,0
zaf,1996,35,Total,545429.8094
zaf,1996,36,No schooling,89131.62306
zaf,1996,36,Some primary,110594.9608
zaf,1996,36,Complete primary,54498.68281
zaf,1996,36,Some secondary,200473.3841
zaf,1996,36,Grade 12/Std 10,78831.63568
zaf,1996,36,Higher,50406.87568
zaf,1996,36,Unspecified,24774.95486
zaf,1996,36,Not applicable,0
zaf,1996,36,Total,608712.117
