"geo","geo.cat","geo.name","geo.mn_name_c","geo.mn_mdb_c","geo.category","geo.dc","geo.dc_mdb_c","geo.dc_name","geo.dc_name_c","geo.pr","geo.pr_mdb_c","geo.pr_name","geo.albers_are","geo.shape_leng","geo.shape_area","shape_lores_svg","geo.world_4region"
zaf,"country","national",,,,,,,,,,,,,,africa
288,"municipality","Maletswai","Maletswai(EC143 )","EC143","Local Municipality",214,"DC14","Joe Gqabi","Joe Gqabi(DC14 )",2,"EC","Eastern Cape","4357,652471","4,444939654","0,4115755309",,africa
289,"municipality","Gariep","Gariep(EC144 )","EC144","Local Municipality",214,"DC14","Joe Gqabi","Joe Gqabi(DC14 )",2,"EC","Eastern Cape","8911,059573","5,872840262","0,8414387412",,africa
290,"municipality","Ngquza Hill","Ngquza Hill(EC153 )","EC153","Local Municipality",215,"DC15","O.R.Tambo","O.R.Tambo(DC15 )",2,"EC","Eastern Cape","2476,830036","3,957653203","0,2344992797",,africa
291,"municipality","Port St Johns","Port St Johns(EC154 )","EC154","Local Municipality",215,"DC15","O.R.Tambo","O.R.Tambo(DC15 )",2,"EC","Eastern Cape","1291,199522","2,393968057","0,1226249831",,africa
292,"municipality","Nyandeni","Nyandeni(EC155 )","EC155","Local Municipality",215,"DC15","O.R.Tambo","O.R.Tambo(DC15 )",2,"EC","Eastern Cape","2474,010503","3,910922839","0,2350987063",,africa
293,"municipality","Mhlontlo","Mhlontlo(EC156 )","EC156","Local Municipality",215,"DC15","O.R.Tambo","O.R.Tambo(DC15 )",2,"EC","Eastern Cape","2826,094098","5,101809867","0,2674715181",,africa
294,"municipality","King Sabata Dalindyebo","King Sabata Dalindyebo(EC157 )","EC157","Local Municipality",215,"DC15","O.R.Tambo","O.R.Tambo(DC15 )",2,"EC","Eastern Cape","3027,373216","5,397313796","0,2881963609",,africa
295,"municipality","Matatiele","Matatiele(EC441 )","EC441","Local Municipality",244,"DC44","Alfred Nzo","Alfred Nzo(DC44 )",2,"EC","Eastern Cape","4352,309463","4,525298539","0,4083268634",,africa
296,"municipality","Umzimvubu","Umzimvubu(EC442 )","EC442","Local Municipality",244,"DC44","Alfred Nzo","Alfred Nzo(DC44 )",2,"EC","Eastern Cape","2577,231998","4,499560969","0,2428440852",,africa
297,"municipality","Mbizana","Mbizana(EC443 )","EC443","Local Municipality",244,"DC44","Alfred Nzo","Alfred Nzo(DC44 )",2,"EC","Eastern Cape","2416,719286","3,630536857","0,2281209659",,africa
298,"municipality","Ntabankulu","Ntabankulu(EC444 )","EC444","Local Municipality",244,"DC44","Alfred Nzo","Alfred Nzo(DC44 )",2,"EC","Eastern Cape","1384,957841","3,284450557","0,1307703919",,africa
797,"municipality","Ekurhuleni","Ekurhuleni(EKU )","EKU","Metropolitan Municipality",797,"EKU","Ekurhuleni","Ekurhuleni(EKU )",7,"GT","Gauteng","1975,304814","2,805708043","0,1783834943",,africa
599,"municipality","eThekwini","eThekwini(ETH )","ETH","Metropolitan Municipality",599,"ETH","eThekwini","eThekwini(ETH )",5,"KZN","KwaZulu-Natal","2291,306982","3,435489554","0,2138175888",,africa
460,"municipality","Letsemeng","Letsemeng(FS161 )","FS161","Local Municipality",416,"DC16","Xhariep","Xhariep(DC16 )",4,"FS","Free State","9828,570895","6,196040323","0,9132046381",,africa
461,"municipality","Kopanong","Kopanong(FS162 )","FS162","Local Municipality",416,"DC16","Xhariep","Xhariep(DC16 )",4,"FS","Free State","15645,11867","7,869451979","1,462422274",,africa
462,"municipality","Mohokare","Mohokare(FS163 )","FS163","Local Municipality",416,"DC16","Xhariep","Xhariep(DC16 )",4,"FS","Free State","8775,975258","6,25864104","0,8222170823",,africa
463,"municipality","Naledi","Naledi(FS164 )","FS164","Local Municipality",416,"DC16","Xhariep","Xhariep(DC16 )",4,"FS","Free State","3424,061529","4,41964563","0,3191351378",,africa
464,"municipality","Masilonyana","Masilonyana(FS181 )","FS181","Local Municipality",418,"DC18","Lejweleputswa","Lejweleputswa(DC18 )",4,"FS","Free State","6796,085065","5,630794173","0,6271296419",,africa
465,"municipality","Tokologo","Tokologo(FS182 )","FS182","Local Municipality",418,"DC18","Lejweleputswa","Lejweleputswa(DC18 )",4,"FS","Free State","9325,859857","5,050514495","0,8592799367",,africa
466,"municipality","Tswelopele","Tswelopele(FS183 )","FS183","Local Municipality",418,"DC18","Lejweleputswa","Lejweleputswa(DC18 )",4,"FS","Free State","6524,077484","4,91868933","0,5988817198",,africa
467,"municipality","Matjhabeng","Matjhabeng(FS184 )","FS184","Local Municipality",418,"DC18","Lejweleputswa","Lejweleputswa(DC18 )",4,"FS","Free State","5155,464852","5,342016288","0,4729966174",,africa
468,"municipality","Nala","Nala(FS185 )","FS185","Local Municipality",418,"DC18","Lejweleputswa","Lejweleputswa(DC18 )",4,"FS","Free State","4128,792604","4,515588969","0,3774823742",,africa
469,"municipality","Setsoto","Setsoto(FS191 )","FS191","Local Municipality",419,"DC19","Thabo Mofutsanyane","Thabo Mofutsanyane(DC19 )",4,"FS","Free State","5966,359575","5,704556481","0,5502800315",,africa
470,"municipality","Dihlabeng","Dihlabeng(FS192 )","FS192","Local Municipality",419,"DC19","Thabo Mofutsanyane","Thabo Mofutsanyane(DC19 )",4,"FS","Free State","4879,970345","4,523709122","0,4491734005",,africa
471,"municipality","Nketoana","Nketoana(FS193 )","FS193","Local Municipality",419,"DC19","Thabo Mofutsanyane","Thabo Mofutsanyane(DC19 )",4,"FS","Free State","5611,119147","4,649531269","0,5140645073",,africa
472,"municipality","Maluti a Phofung","Maluti a Phofung(FS194 )","FS194","Local Municipality",419,"DC19","Thabo Mofutsanyane","Thabo Mofutsanyane(DC19 )",4,"FS","Free State","4337,662457","3,807749344","0,3991491324",,africa
473,"municipality","Phumelela","Phumelela(FS195 )","FS195","Local Municipality",419,"DC19","Thabo Mofutsanyane","Thabo Mofutsanyane(DC19 )",4,"FS","Free State","8183,489873","6,694700261","0,7485683639",,africa
474,"municipality","Mantsopa","Mantsopa(FS196 )","FS196","Local Municipality",419,"DC19","Thabo Mofutsanyane","Thabo Mofutsanyane(DC19 )",4,"FS","Free State","4290,585947","4,213100844","0,3978003671",,africa
475,"municipality","Moqhaka","Moqhaka(FS201 )","FS201","Local Municipality",420,"DC20","Fezile Dabi","Fezile Dabi(DC20 )",4,"FS","Free State","7924,566018","7,843155928","0,7237571421",,africa
477,"municipality","Ngwathe","Ngwathe(FS203 )","FS203","Local Municipality",420,"DC20","Fezile Dabi","Fezile Dabi(DC20 )",4,"FS","Free State","7055,010392","5,209412236","0,643162535",,africa
478,"municipality","Metsimaholo","Metsimaholo(FS204 )","FS204","Local Municipality",420,"DC20","Fezile Dabi","Fezile Dabi(DC20 )",4,"FS","Free State","1717,099266","2,784354759","0,1560353004",,africa
479,"municipality","Mafube","Mafube(FS205 )","FS205","Local Municipality",420,"DC20","Fezile Dabi","Fezile Dabi(DC20 )",4,"FS","Free State","3971,299781","3,792329793","0,3619543895",,africa
760,"municipality","Emfuleni","Emfuleni(GT421 )","GT421","Local Municipality",742,"DC42","Sedibeng","Sedibeng(DC42 )",7,"GT","Gauteng","965,8939116","2,058279011","0,08754494331",,africa
761,"municipality","Midvaal","Midvaal(GT422 )","GT422","Local Municipality",742,"DC42","Sedibeng","Sedibeng(DC42 )",7,"GT","Gauteng","1722,47532","3,235496697","0,1561117795",,africa
762,"municipality","Lesedi","Lesedi(GT423 )","GT423","Local Municipality",742,"DC42","Sedibeng","Sedibeng(DC42 )",7,"GT","Gauteng","1484,392521","3,085188707","0,134348255",,africa
763,"municipality","Mogale City","Mogale City(GT481 )","GT481","Local Municipality",748,"DC48","West Rand","West Rand(DC48 )",7,"GT","Gauteng","1342,163455","2,315246198","0,1209916058",,africa
764,"municipality","Randfontein","Randfontein(GT482 )","GT482","Local Municipality",748,"DC48","West Rand","West Rand(DC48 )",7,"GT","Gauteng","474,8928879","1,257950458","0,04288149891",,africa
765,"municipality","Westonaria","Westonaria(GT483 )","GT483","Local Municipality",748,"DC48","West Rand","West Rand(DC48 )",7,"GT","Gauteng","639,8224957","1,590675253","0,05787522192",,africa
