time,geo,zaf_population,black_population,black_population_percentage
1996,160,43905.6008,1084.9612,0.024711225
1996,161,31704.478,1167.72832,0.036831653
1996,162,37484.9366,942.883,0.025153651
1996,163,56556.61355,4566.17438,0.080736347
1996,164,65300.77379,4640.69627,0.071066482
1996,165,76386.0887,10327.2837,0.135198488
1996,166,186334.1562,29406.02251,0.157813377
1996,167,103996.192,16140.43267,0.155202151
1996,168,129983.5927,20411.11721,0.157028413
1996,169,67082.9106,7422.7873,0.110650943
1996,170,24579.39976,1378.82568,0.0560968
1996,171,74581.76939,11057.36154,0.148258236
1996,172,36685.6839,8271.8223,0.225478209
1996,173,23014.9924,1322.1716,0.057448274
1996,174,21189.86223,276.59402,0.01305313
1996,175,38552.9737,1974.5703,0.051217069
1996,176,59788.86221,11760.04541,0.196692912
1996,177,120147.8673,23043.59535,0.191793628
1996,178,79181.13922,4905.24598,0.061949677
1996,179,18426.63225,4655.6485,0.252658676
1996,180,43599.32605,11338.89333,0.260070381
1996,181,5912.755,222.436,0.037619688
1996,182,9507.5658,99.0884,0.010422058
1996,183,40693.2368,6128.1265,0.150593243
1996,199,2562277.21,644146.9252,0.251396267
1996,260,685726.6786,567469.9455,0.827545381
1996,261,46824.1101,10161.8606,0.21702197
1996,262,34577.1393,19155.3545,0.553988991
1996,263,10517.89056,3713.06354,0.353023595
1996,264,77655.53808,56449.14514,0.726917185
1996,265,46513.5539,36853.5297,0.79231808
1996,266,45537.44219,31372.76347,0.688944349
1996,267,17089.0903,1474.1548,0.086262918
1996,268,63240.5492,21099.7029,0.333641993
1996,269,28203.788,5350.8726,0.189721771
1996,270,255747.7308,254244.1795,0.99412096
1996,271,286591.9535,284315.2316,0.992055876
1996,272,40086.3085,37110.1816,0.925757023
1996,273,136461.1804,131745.8763,0.965445821
1996,274,93320.43801,92794.95776,0.994369076
1996,276,144160.6125,137297.618,0.952393415
1996,277,24792.299,17874.6419,0.72097557
1996,278,57871.6143,30263.3555,0.522939542
1996,279,35103.9968,31968.6175,0.910683125
1996,280,19425.8543,17223.1374,0.886609007
1996,281,176365.4946,160630.1774,0.910780069
1996,282,164447.8081,163661.1587,0.995216419
1996,283,130669.6712,128666.7066,0.984671541
1996,284,165040.6953,163987.7916,0.993620339
1996,285,65223.67908,63686.8578,0.976437679
1996,286,134887.9896,132432.421,0.981795499
1996,287,131257.571,127950.7557,0.97480667
1996,288,32242.1976,25415.7509,0.788276011
1996,289,29610.1778,21408.0569,0.722996567
1996,290,245363.0624,243244.8302,0.991366947
1996,291,145956.5273,144592.8768,0.990657146
1996,292,260798.8568,258944.7884,0.992890811
1996,293,200517.5895,199350.809,0.994181156
1996,294,396311.8498,390261.1311,0.98473243
1996,295,200867.1966,196837.722,0.979939609
