geo,time,age,zaf_population
zaf,1996,0,856238.7084
zaf,1996,1,841169.4688
zaf,1996,2,892179.2964
zaf,1996,3,918951.0091
zaf,1996,4,935082.4099
zaf,1996,5,960160.0116
zaf,1996,6,986533.1244
zaf,1996,7,929404.5807
zaf,1996,8,902648.2496
zaf,1996,9,889976.4596
zaf,1996,10,941959.6572
zaf,1996,11,923899.6524
zaf,1996,12,941181.698
zaf,1996,13,921427.593
zaf,1996,14,925631.2869
zaf,1996,15,860178.0594
zaf,1996,16,889457.4498
zaf,1996,17,817270.0286
zaf,1996,18,808972.7359
zaf,1996,19,804837.6893
zaf,1996,20,831640.7709
zaf,1996,21,821218.3405
zaf,1996,22,786102.3225
zaf,1996,23,758439.4834
zaf,1996,24,784952.2869
zaf,1996,25,687245.4076
zaf,1996,26,777035.331
zaf,1996,27,693539.4524
zaf,1996,28,707977.9433
zaf,1996,29,589929.9854
zaf,1996,30,668017.5571
zaf,1996,31,603325.7534
zaf,1996,32,635130.5202
zaf,1996,33,587545.2381
zaf,1996,34,580181.5455
zaf,1996,35,545429.8094
zaf,1996,36,608712.117
zaf,1996,37,490496.1503
zaf,1996,38,548852.4787
zaf,1996,39,460264.5176
zaf,1996,40,509004.6835
zaf,1996,41,398954.6734
zaf,1996,42,439088.0764
zaf,1996,43,391164.0583
zaf,1996,44,400414.0107
zaf,1996,45,347544.8714
zaf,1996,46,382984.1406
zaf,1996,47,317133.1245
zaf,1996,48,334644.2853
zaf,1996,49,295218.7416
zaf,1996,50,302170.9355
zaf,1996,51,244733.7917
zaf,1996,52,242449.269
zaf,1996,53,221958.8897
zaf,1996,54,257582.2777
zaf,1996,55,214348.0191
zaf,1996,56,281940.7867
zaf,1996,57,196122.5353
zaf,1996,58,199744.9698
zaf,1996,59,177779.9072
zaf,1996,60,231492.8261
zaf,1996,61,162162.0335
zaf,1996,62,164255.3913
zaf,1996,63,168742.0323
zaf,1996,64,163884.1107
zaf,1996,65,167836.4723
zaf,1996,66,191156.0916
zaf,1996,67,147146.9845
zaf,1996,68,136835.7861
zaf,1996,69,115911.6795
zaf,1996,70,130692.4693
zaf,1996,71,103296.0892
zaf,1996,72,97706.45966
zaf,1996,73,73004.80041
zaf,1996,74,77463.2503
zaf,1996,75,85129.40917
zaf,1996,76,98879.68658
zaf,1996,77,64197.97921
zaf,1996,78,91181.18833
zaf,1996,79,38039.47094
zaf,1996,80,44086.24497
zaf,1996,81,32773.0888
zaf,1996,82,47600.39048
zaf,1996,83,25401.54816
zaf,1996,84,29041.15131
zaf,1996,85,23543.99564
zaf,1996,86,30382.97782
zaf,1996,87,14633.60105
zaf,1996,88,11704.31447
zaf,1996,89,10594.66191
zaf,1996,90,10563.44393
zaf,1996,91,6403.16788
zaf,1996,92,6267.91388
zaf,1996,93,4470.05599
zaf,1996,94,5400.92328
zaf,1996,95,5221.26942
zaf,1996,96,2898.09618
zaf,1996,97,745.50075
zaf,1996,98,695.37514
zaf,1996,99,1696.78829
zaf,1996,100,660.81996
zaf,1996,101,228.0603
zaf,1996,102,215.5065
zaf,1996,103,107.1794
zaf,1996,104,121.74024
zaf,1996,105,137.66863
zaf,1996,106,156.31529
zaf,1996,107,92.0216
zaf,1996,108,81.36478
zaf,1996,109,51.0434
zaf,1996,110,89.245
zaf,1996,111,22.4064
zaf,1996,112,25.7416
zaf,1996,113,3.2778
zaf,1996,114,15.6527
zaf,1996,115,13.8858
zaf,1996,116,13.2998
zaf,1996,117,10.7102
zaf,1996,118,7.3964
zaf,1996,119,8.4396
zaf,1996,120,0
zaf,2001,0,908406.3085
zaf,2001,1,870638.1059
zaf,2001,2,877409.0157
zaf,2001,3,875410.3643
zaf,2001,4,917951.9681
zaf,2001,5,968395.515
zaf,2001,6,950594.8903
zaf,2001,7,974191.3097
zaf,2001,8,947468.412
zaf,2001,9,1012904.399
zaf,2001,10,1059169.021
zaf,2001,11,1044498.779
zaf,2001,12,989990.7415
zaf,2001,13,991413.1516
zaf,2001,14,976845.7065
zaf,2001,15,1007802.264
zaf,2001,16,1027756.625
zaf,2001,17,982032.7177
zaf,2001,18,991056.2469
zaf,2001,19,973073.0688
zaf,2001,20,913710.3974
zaf,2001,21,926419.9284
zaf,2001,22,848119.0438
zaf,2001,23,793210.9968
zaf,2001,24,813063.0059
zaf,2001,25,815572.565
zaf,2001,26,812690.5196
zaf,2001,27,778978.5998
zaf,2001,28,751068.9169
zaf,2001,29,776628.0439
zaf,2001,30,669256.8573
zaf,2001,31,739258.967
zaf,2001,32,680474.8346
zaf,2001,33,669709.9418
zaf,2001,34,582200.2311
zaf,2001,35,615463.0367
zaf,2001,36,631385.1549
zaf,2001,37,608968.1993
zaf,2001,38,621849.6001
zaf,2001,39,594104.4752
zaf,2001,40,544136.7577
zaf,2001,41,573133.7635
zaf,2001,42,519354.0764
zaf,2001,43,524154.3314
zaf,2001,44,458685.9527
zaf,2001,45,448069.5243
zaf,2001,46,411468.1883
zaf,2001,47,405928.9935
zaf,2001,48,404994.235
zaf,2001,49,416918.916
zaf,2001,50,348549.2062
zaf,2001,51,363973.4348
zaf,2001,52,327960.9694
zaf,2001,53,310740.8684
zaf,2001,54,286795.5892
zaf,2001,55,259827.4132
zaf,2001,56,246818.4769
zaf,2001,57,224488.9077
zaf,2001,58,225360.3173
zaf,2001,59,248771.0861
zaf,2001,60,223967.3864
zaf,2001,61,271679.2056
zaf,2001,62,204054.4897
zaf,2001,63,192011.2325
zaf,2001,64,173581.2256
zaf,2001,65,187848.4098
zaf,2001,66,156181.3546
zaf,2001,67,150523.1307
zaf,2001,68,149658.3656
zaf,2001,69,143715.5221
zaf,2001,70,131652.9554
zaf,2001,71,170087.4823
zaf,2001,72,125172.4877
zaf,2001,73,109901.7752
zaf,2001,74,94654.61806
zaf,2001,75,90922.95471
zaf,2001,76,85431.10791
zaf,2001,77,73741.04263
zaf,2001,78,58149.95092
zaf,2001,79,59291.96919
zaf,2001,80,65049.34807
