side,time,age,sg_population,stack
americas,1950,,,-1
americas,2100,,,-1
usa,1950,0,752512,1
usa,1950,1,720084,1
usa,1950,2,688468,1
usa,1950,3,657858,1
usa,1950,4,628450,1
usa,1950,5,600442,1
usa,1950,6,574028,1
usa,1950,7,549404,1
usa,1950,8,526766,1
usa,1950,9,506310,1
usa,1950,10,487888,1
usa,1950,11,471352,1
usa,1950,12,458618,1
usa,1950,13,450572,1
usa,1950,14,446378,1
usa,1950,15,443736,1
usa,1950,16,442414,1
usa,1950,17,444746,1
usa,1950,18,451442,1
usa,1950,19,461066,1
usa,1950,20,471182,1
usa,1950,21,481916,1
usa,1950,22,491744,1
usa,1950,23,499542,1
usa,1950,24,505556,1
usa,1950,25,511642,1
usa,1950,26,518004,1
usa,1950,27,520164,1
usa,1950,28,516260,1
usa,1950,29,508334,1
usa,1950,30,500144,1
usa,1950,31,490766,1
usa,1950,32,483012,1
usa,1950,33,478606,1
usa,1950,34,476162,1
usa,1950,35,472242,1
usa,1950,36,467146,1
usa,1950,37,462256,1
usa,1950,38,457790,1
usa,1950,39,453064,1
usa,1950,40,448338,1
usa,1950,41,444966,1
usa,1950,42,435348,1
usa,1950,43,416180,1
usa,1950,44,391610,1
usa,1950,45,367978,1
usa,1950,46,342678,1
usa,1950,47,326790,1
usa,1950,48,326046,1
usa,1950,49,334768,1
usa,1950,50,341936,1
usa,1950,51,350210,1
usa,1950,52,353272,1
usa,1950,53,347012,1
usa,1950,54,334806,1
usa,1950,55,324050,1
usa,1950,56,313146,1
usa,1950,57,303384,1
usa,1950,58,296104,1
usa,1950,59,290254,1
usa,1950,60,283270,1
usa,1950,61,275476,1
usa,1950,62,267564,1
usa,1950,63,259558,1
usa,1950,64,251178,1
usa,1950,65,242552,1
usa,1950,66,234180,1
usa,1950,67,222988,1
usa,1950,68,207630,1
usa,1950,69,189732,1
usa,1950,70,172124,1
usa,1950,71,154064,1
usa,1950,72,138306,1
usa,1950,73,126452,1
usa,1950,74,117192,1
usa,1950,75,107758,1
usa,1950,76,98876,1
usa,1950,77,89534,1
usa,1950,78,79006,1
usa,1950,79,68016,1
usa,1950,80,49552,1
usa,1950,81,44504,1
usa,1950,82,39782,1
usa,1950,83,35590,1
usa,1950,84,31802,1
usa,1950,85,28096,1
usa,1950,86,24554,1
usa,1950,87,21196,1
usa,1950,88,18008,1
usa,1950,89,15022,1
usa,1950,90,12268,1
usa,1950,91,9706,1
usa,1950,92,7552,1
usa,1950,93,5904,1
usa,1950,94,4652,1
usa,1950,95,3568,1
usa,1950,96,2672,1
usa,1950,97,1946,1
usa,1950,98,1354,1
usa,1950,99,888,1
usa,1950,100,844,1
usa,1950,101,802,1
usa,1950,102,762,1
usa,1950,103,724,1
usa,1950,104,686,1
usa,1950,105,652,1
usa,1950,106,620,1
usa,1950,107,588,1
usa,1950,108,560,1
usa,1950,109,532,1
usa,1950,110,504,1
usa,1950,111,480,1
usa,1950,112,456,1
usa,1950,113,432,1
usa,1950,114,410,1
usa,1950,115,390,1
usa,1950,116,370,1
usa,1950,117,352,1
usa,1950,118,334,1
usa,1950,119,318,1
usa,1950,120,302,1
usa,1950,121,286,1
usa,1950,122,272,1
usa,1950,123,258,1
usa,1950,124,246,1
usa,1950,125,234,1
usa,1950,126,222,1
usa,1950,127,210,1
usa,1950,128,200,1
usa,1950,129,190,1
usa,1950,130,0,1
usa,1951,0,740362,1
usa,1951,1,747368,1
usa,1951,2,717376,1
usa,1951,3,687554,1
usa,1951,4,658168,1
usa,1951,5,629486,1
usa,1951,6,601764,1
usa,1951,7,575254,1
usa,1951,8,550298,1
usa,1951,9,527190,1
usa,1951,10,506158,1
usa,1951,11,486992,1
usa,1951,12,469566,1
usa,1951,13,456110,1
usa,1951,14,447664,1
usa,1951,15,443306,1
usa,1951,16,440450,1
usa,1951,17,438870,1
usa,1951,18,441234,1
usa,1951,19,448370,1
usa,1951,20,458690,1
usa,1951,21,469494,1
usa,1951,22,480980,1
usa,1951,23,491330,1
usa,1951,24,499258,1
usa,1951,25,505144,1
usa,1951,26,511144,1
usa,1951,27,517400,1
usa,1951,28,519468,1
usa,1951,29,515534,1
usa,1951,30,507604,1
usa,1951,31,499334,1
usa,1951,32,489790,1
usa,1951,33,481918,1
usa,1951,34,477494,1
usa,1951,35,475052,1
usa,1951,36,471194,1
usa,1951,37,466402,1
usa,1951,38,461138,1
usa,1951,39,455228,1
usa,1951,40,448512,1
usa,1951,41,441878,1
usa,1951,42,436200,1
usa,1951,43,426112,1
usa,1951,44,409372,1
usa,1951,45,388928,1
usa,1951,46,369126,1
usa,1951,47,348068,1
usa,1951,48,334234,1
usa,1951,49,331956,1
usa,1951,50,336918,1
usa,1951,51,340726,1
usa,1951,52,345354,1
usa,1951,53,346168,1
usa,1951,54,340112,1
usa,1951,55,329636,1
usa,1951,56,320176,1
usa,1951,57,310564,1
usa,1951,58,301512,1
usa,1951,59,293886,1
usa,1951,60,286996,1
usa,1951,61,279202,1
usa,1951,62,270736,1
usa,1951,63,261906,1
usa,1951,64,252674,1
usa,1951,65,242932,1
usa,1951,66,232970,1
usa,1951,67,223152,1
usa,1951,68,211258,1
usa,1951,69,196350,1
usa,1951,70,179640,1
usa,1951,71,163162,1
usa,1951,72,146370,1
usa,1951,73,131526,1
