province,province.name,province.cat,province.world_4region,"shape_lores_svg"
world,World,planet,world,
africa,Africa,region,africa,
zaf,South africaica,country,africa,
1,Western Cape,province,zaf,
2,Eastern Cape,province,zaf,
3,Northern Cape,province,zaf,
4,Free State,province,zaf,
5,KwaZulu-Natal,province,zaf,
6,North West,province,zaf,
7,Gauteng,province,zaf,
8,Mpumalanga,province,zaf,
9,Limpopo,province,zaf,
