geo,name,is--country,is--un_state,world_4region,latitude,longitude
mlt,Malta,TRUE,TRUE,europe,35.91667,14.43333
mhl,Marshall Islands,TRUE,FALSE,asia,7.113,171.236
mtq,Martinique,TRUE,FALSE,americas,14.66667,-61
mrt,Mauritania,TRUE,TRUE,africa,20.25,-10.5
mus,Mauritius,TRUE,TRUE,africa,-20.3,57.58333
myt,Mayotte,TRUE,FALSE,africa,-12.83333,45.16667
mex,Mexico,TRUE,TRUE,americas,19.42847,-99.12766
fsm,"Micronesia, Fed. Sts.",TRUE,FALSE,asia,6.924,158.162
mda,Moldova,TRUE,TRUE,europe,47.25,28.58333
mco,Monaco,TRUE,TRUE,europe,43.73333,7.41667
mng,Mongolia,TRUE,TRUE,asia,46,105
mne,Montenegro,TRUE,TRUE,europe,42.75,19.25
msr,Montserrat,TRUE,FALSE,americas,16.75,-62.2
mar,Morocco,TRUE,TRUE,africa,32,-6
moz,Mozambique,TRUE,TRUE,africa,-18.25,35
mmr,Myanmar,TRUE,TRUE,asia,21,96
nam,Namibia,TRUE,TRUE,africa,-22,17
nru,Nauru,TRUE,TRUE,asia,-0.517,166.933
npl,Nepal,TRUE,TRUE,asia,28,84
nld,Netherlands,TRUE,TRUE,europe,52.25,5.75
ncl,New Caledonia,TRUE,FALSE,asia,-21.5,165.5
nzl,New Zealand,TRUE,TRUE,asia,-42,174
nic,Nicaragua,TRUE,TRUE,americas,13,-85
ner,Niger,TRUE,TRUE,africa,18,9
nga,Nigeria,TRUE,TRUE,africa,10,8
niu,Niue,TRUE,TRUE,asia,-19.03333,-169.86667
nfk,Norfolk Island,TRUE,FALSE,asia,-29.03333,167.95
mnp,Northern Mariana Islands,TRUE,FALSE,asia,15.214,145.756
ant,Netherlands Antilles,TRUE,FALSE,americas,,
nor,Norway,TRUE,TRUE,europe,62,10
omn,Oman,TRUE,TRUE,asia,21,57
pak,Pakistan,TRUE,TRUE,asia,30,70
ngokar,Ngorno-Karabakh,TRUE,FALSE,europe,,
plw,Palau,TRUE,TRUE,asia,7.503,134.621
pan,Panama,TRUE,TRUE,americas,8.9936,-79.51973
png,Papua New Guinea,TRUE,TRUE,asia,-6,147
pry,Paraguay,TRUE,TRUE,americas,-23.33333,-58
per,Peru,TRUE,TRUE,americas,-10,-75.25
phl,Philippines,TRUE,TRUE,asia,13,122
cyp_nor,Northern Cyprus,TRUE,FALSE,europe,,
pcn,Pitcairn,TRUE,FALSE,asia,-25.06667,-130.1
pol,Poland,TRUE,TRUE,europe,52,20
prt,Portugal,TRUE,TRUE,europe,39.6945,-8.13057
pri,Puerto Rico,TRUE,FALSE,americas,18.46633,-66.10572
qat,Qatar,TRUE,TRUE,asia,25.27932,51.52245
reu,Reunion,TRUE,FALSE,africa,-20.88231,55.4504
rou,Romania,TRUE,TRUE,europe,46,25
rus,Russia,TRUE,TRUE,europe,60,100
rwa,Rwanda,TRUE,TRUE,africa,-2,30
shn,St. Helena,TRUE,FALSE,africa,-15.95,-5.7
kna,St. Kitts and Nevis,TRUE,FALSE,americas,17.33333,-62.75
lca,St. Lucia,TRUE,TRUE,americas,13.88333,-60.96667
vct,St. Vincent and the Grenadines,TRUE,FALSE,americas,13.08333,-61.2
spm,St.-Pierre-et-Miquelon,TRUE,FALSE,americas,46.83333,-56.33333
wsm,Samoa,TRUE,TRUE,asia,-13.8,-172.13333
smr,San Marino,TRUE,TRUE,europe,43.93667,12.44639
stp,Sao Tome and Principe,TRUE,TRUE,africa,1,7
sau,Saudi Arabia,TRUE,TRUE,asia,25,45
stbar,St. Barthélemy,TRUE,FALSE,americas,,
sen,Senegal,TRUE,TRUE,africa,14.5,-14.25
srb,Serbia,TRUE,TRUE,europe,44.81892,20.45998
syc,Seychelles,TRUE,TRUE,africa,-4.58333,55.66667
sle,Sierra Leone,TRUE,TRUE,africa,8.5,-11.5
stmar,St. Martin,TRUE,FALSE,americas,,
sgp,Singapore,TRUE,TRUE,asia,1.28967,103.85007
svk,Slovak Republic,TRUE,TRUE,europe,48.66667,19.5
svn,Slovenia,TRUE,TRUE,europe,46.08333,15
slb,Solomon Islands,TRUE,TRUE,asia,-8,159
som,Somalia,TRUE,TRUE,africa,6,48
zaf,South Africa,TRUE,TRUE,africa,-29,24
esp,Spain,TRUE,TRUE,europe,40,-4
lka,Sri Lanka,TRUE,TRUE,asia,7.75,80.75
sdn,Sudan,TRUE,TRUE,africa,16,30
scg,Serbia and Montenegro,TRUE,FALSE,europe,,
sur,Suriname,TRUE,TRUE,americas,4,-56
scg_ex_kos,Serbia excluding Kosovo,TRUE,FALSE,europe,,
sjm,Svalbard,TRUE,FALSE,europe,78,20
swz,Swaziland,TRUE,TRUE,africa,-26.5,31.5
swe,Sweden,TRUE,TRUE,europe,62,15
che,Switzerland,TRUE,TRUE,europe,47.00016,8.01427
syr,Syria,TRUE,TRUE,asia,35,38
twn,Taiwan,TRUE,FALSE,asia,24,121
tjk,Tajikistan,TRUE,TRUE,asia,39,71
tza,Tanzania,TRUE,TRUE,africa,-6,35
som_somland,Somaliland,TRUE,FALSE,africa,,
tha,Thailand,TRUE,TRUE,asia,15.5,101
tls,Timor-Leste,TRUE,TRUE,asia,-8.83333,125.75
sosset,South Ossetia,TRUE,FALSE,europe,,
tgo,Togo,TRUE,TRUE,africa,8.66667,1.08333
tkl,Tokelau,TRUE,FALSE,asia,-9.167,-171.83
ton,Tonga,TRUE,TRUE,asia,-20,-175
tto,Trinidad and Tobago,TRUE,TRUE,americas,11,-61
tun,Tunisia,TRUE,TRUE,africa,34,9
tur,Turkey,TRUE,TRUE,europe,39,35
tkm,Turkmenistan,TRUE,TRUE,asia,39.75,59.66667
tca,Turks and Caicos Islands,TRUE,FALSE,americas,21.73333,-71.58333
tuv,Tuvalu,TRUE,TRUE,asia,-8.51719,179.14478
uga,Uganda,TRUE,TRUE,africa,1.25,32.5
ukr,Ukraine,TRUE,TRUE,europe,49,32
are,United Arab Emirates,TRUE,TRUE,asia,23.75,54.5
gbr,United Kingdom,TRUE,TRUE,europe,54.75844,-2.69531
usa,United States,TRUE,TRUE,americas,39.76,-98.5
