time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
1993,ame,17376.6,71.82,748175267,America,region,
1994,ame,17798.87,72.11,758876187,America,region,
1995,ame,17864.08,72.35,769753540,America,region,
1996,ame,18190.31,72.67,780838274,America,region,
1997,ame,18728.35,73.02,792076310,America,region,
1998,ame,19104.14,73.28,803348922,America,region,
1999,ame,19463.03,73.48,814490927,America,region,
2000,ame,19889.79,73.71,825381851,America,region,
2001,ame,19732.39,73.91,835983234,America,region,
2002,ame,19698.2,74.09,846325021,America,region,
2003,ame,19889.88,74.32,856439844,America,region,
2004,ame,20434.06,74.62,866387313,America,region,
2005,ame,20847.17,74.75,876215000,America,region,
2006,ame,21330.9,75.03,885919416,America,region,
2007,ame,21700.1,75.24,895492867,America,region,
2008,ame,21668.65,75.36,904975532,America,region,
2009,ame,20873.68,75.71,914417678,America,region,
2010,ame,21375.87,75.73,923853592,America,region,
2011,ame,21729.6,76.1,933300178,America,region,
2012,ame,22053.94,76.33,942744379,America,region,
2013,ame,22472.14,76.53,952152319,America,region,
2014,ame,22950.81,76.73,961473397,America,region,
1990,_abk,,,,Abkhazia,country,eur
1991,_abk,,,,Abkhazia,country,eur
1992,_abk,,,,Abkhazia,country,eur
1993,_abk,,,,Abkhazia,country,eur
1994,_abk,,,,Abkhazia,country,eur
1995,_abk,,,,Abkhazia,country,eur
1996,_abk,,,,Abkhazia,country,eur
1997,_abk,,,,Abkhazia,country,eur
1998,_abk,,,,Abkhazia,country,eur
1999,_abk,,,,Abkhazia,country,eur
2000,_abk,,,,Abkhazia,country,eur
2001,_abk,,,,Abkhazia,country,eur
2002,_abk,,,,Abkhazia,country,eur
2003,_abk,,,,Abkhazia,country,eur
2004,_abk,,,,Abkhazia,country,eur
2005,_abk,,,,Abkhazia,country,eur
2006,_abk,,,,Abkhazia,country,eur
2007,_abk,,,,Abkhazia,country,eur
2008,_abk,,,,Abkhazia,country,eur
2009,_abk,,,,Abkhazia,country,eur
2010,_abk,,,,Abkhazia,country,eur
2011,_abk,,,,Abkhazia,country,eur
2012,_abk,,,,Abkhazia,country,eur
2013,_abk,,,,Abkhazia,country,eur
2014,_abk,,,,Abkhazia,country,eur
1990,afg,709.50,48.60,13032161,Afghanistan,country,asi
1991,afg,705.44,49.43,14069854,Afghanistan,country,asi
1992,afg,649.34,50.24,15472076,Afghanistan,country,asi
1993,afg,558.85,51.01,17053213,Afghanistan,country,asi
1994,afg,500.44,51.73,18553819,Afghanistan,country,asi
1995,afg,601.87,52.4,19789880,Afghanistan,country,asi
1996,afg,617.91,52.99,20684982,Afghanistan,country,asi
1997,afg,635.34,53.52,21299350,Afghanistan,country,asi
1998,afg,653.29,54.00,21752257,Afghanistan,country,asi
1999,afg,670.98,54.44,22227543,Afghanistan,country,asi
2000,afg,663.90,54.86,22856302,Afghanistan,country,asi
2001,afg,595.03,55.27,23677385,Afghanistan,country,asi
2002,afg,726.73,55.68,24639841,Afghanistan,country,asi
2003,afg,785.12,56.12,25678639,Afghanistan,country,asi
2004,afg,804.71,56.58,26693486,Afghanistan,country,asi
2005,afg,874.00,57.07,27614718,Afghanistan,country,asi
2006,afg,887.91,57.58,28420974,Afghanistan,country,asi
2007,afg,983.65,58.10,29145841,Afghanistan,country,asi
2008,afg,984.80,58.61,29839994,Afghanistan,country,asi
2009,afg,1154.85,59.12,30577756,Afghanistan,country,asi
2010,afg,1214.61,59.61,31411743,Afghanistan,country,asi
2011,afg,1261.35,60.07,32358260,Afghanistan,country,asi
2012,afg,1349.69,60.52,33397058,Afghanistan,country,asi
2013,afg,1351.01,60.94,34499915,Afghanistan,country,asi
2014,afg,1374.06,61.34,35623235,Afghanistan,country,asi
1990,and,28511.18,,52773,Andorra,country,eur
1991,and,28091.12,,54996,Andorra,country,eur
1992,and,27041.01,,57767,Andorra,country,eur
1993,and,25514.03,,60670,Andorra,country,eur
1994,and,25092.43,,63111,Andorra,country,eur
1995,and,25063.76,,64699,Andorra,country,eur
1996,and,25839.06,,65227,Andorra,country,eur
1997,and,28057.47,,64905,Andorra,country,eur
1998,and,28982.13,,64246,Andorra,country,eur
1999,and,30144.97,,63985,Andorra,country,eur
2000,and,30265.94,,64634,Andorra,country,eur
2001,and,33293.00,,66390,Andorra,country,eur
2002,and,34485.48,,69043,Andorra,country,eur
2003,and,35925.27,,72203,Andorra,country,eur
2004,and,37427.60,,75292,Andorra,country,eur
2005,and,39002.40,,77888,Andorra,country,eur
2006,and,39924.83,,79874,Andorra,country,eur
2007,and,39244.40,,81390,Andorra,country,eur
