agricultural_land_percent_of_land_area,geo,time
57.8,afg,1961
57.89,afg,1962
57.97,afg,1963
58.07,afg,1964
58.07,afg,1965
58.13,afg,1966
58.23,afg,1967
58.23,afg,1968
58.26,afg,1969
58.27,afg,1970
58.32,afg,1971
58.33,afg,1972
58.34,afg,1973
58.34,afg,1974
58.34,afg,1975
58.34,afg,1976
58.34,afg,1977
58.34,afg,1978
58.34,afg,1979
58.34,afg,1980
58.34,afg,1981
58.34,afg,1982
58.34,afg,1983
58.34,afg,1984
58.34,afg,1985
58.34,afg,1986
58.33,afg,1987
58.32,afg,1988
58.32,afg,1989
58.32,afg,1990
58.31,afg,1991
58.31,afg,1992
58.16,afg,1993
57.97,afg,1994
57.88,afg,1995
57.88,afg,1996
57.94,afg,1997
58.06,afg,1998
57.88,afg,1999
57.88,afg,2000
57.88,afg,2001
57.88,afg,2002
58.12,afg,2003
58.13,afg,2004
58.12,afg,2005
58.12,afg,2006
58.12,afg,2007
58.12,afg,2008
58.12,afg,2009
44.96,alb,1961
44.96,alb,1962
45.0,alb,1963
44.89,alb,1964
45.15,alb,1965
45.26,alb,1966
45.4,alb,1967
45.26,alb,1968
45.07,alb,1969
44.89,alb,1970
43.8,alb,1971
42.85,alb,1972
41.82,alb,1973
40.95,alb,1974
39.42,alb,1975
39.23,alb,1976
40.47,alb,1977
40.66,alb,1978
40.77,alb,1979
40.8,alb,1980
40.73,alb,1981
40.66,alb,1982
40.51,alb,1983
40.62,alb,1984
40.58,alb,1985
40.55,alb,1986
40.55,alb,1987
40.77,alb,1988
40.51,alb,1989
40.91,alb,1990
41.13,alb,1991
41.13,alb,1992
41.09,alb,1993
41.09,alb,1994
41.13,alb,1995
41.28,alb,1996
41.42,alb,1997
41.57,alb,1998
41.79,alb,1999
41.75,alb,2000
41.57,alb,2001
41.61,alb,2002
40.91,alb,2003
40.95,alb,2004
39.31,alb,2005
40.88,alb,2006
40.84,alb,2007
43.1,alb,2008
43.94,alb,2009
19.09,dza,1961
18.85,dza,1962
18.69,dza,1963
18.54,dza,1964
18.54,dza,1965
18.54,dza,1966
18.58,dza,1967
18.56,dza,1968
18.56,dza,1969
18.56,dza,1970
19.08,dza,1971
19.06,dza,1972
18.6,dza,1973
18.61,dza,1974
18.37,dza,1975
18.48,dza,1976
18.4,dza,1977
18.41,dza,1978
18.4,dza,1979
18.4,dza,1980
16.45,dza,1981
16.42,dza,1982
16.49,dza,1983
16.63,dza,1984
16.4,dza,1985
16.24,dza,1986
16.28,dza,1987
16.3,dza,1988
16.27,dza,1989
16.24,dza,1990
16.22,dza,1991
16.32,dza,1992
16.32,dza,1993
16.64,dza,1994
16.65,dza,1995
16.64,dza,1996
16.66,dza,1997
16.72,dza,1998
16.68,dza,1999
16.8,dza,2000
16.84,dza,2001
16.73,dza,2002
16.75,dza,2003
17.28,dza,2004
17.3,dza,2005
17.29,dza,2006
17.32,dza,2007
17.34,dza,2008
