geo,all_forms_of_tb_number_of_new_cases_reported,time
afg,71680,1980
afg,71550,1981
afg,41750,1982
afg,52500,1983
afg,18780,1984
afg,10740,1985
afg,14350,1986
afg,18090,1987
afg,16050,1988
afg,14390,1989
afg,4332,1990
afg,23070,1991
afg,1290,1997
afg,3084,1998
afg,3314,1999
afg,7107,2000
afg,10140,2001
afg,13790,2002
afg,13810,2003
afg,18400,2004
afg,21840,2005
afg,25480,2006
afg,28770,2007
alb,1050,1980
alb,954,1981
alb,978,1982
alb,891,1983
alb,975,1984
alb,916,1985
alb,989,1986
alb,915,1987
alb,759,1988
alb,695,1989
alb,653,1990
alb,628,1991
alb,707,1994
alb,641,1995
alb,738,1996
alb,655,1997
alb,694,1998
alb,733,1999
alb,604,2000
alb,555,2001
alb,594,2002
alb,543,2003
alb,547,2004
alb,506,2005
alb,469,2006
alb,438,2007
dza,2702,1980
dza,13920,1982
dza,13680,1983
dza,13130,1984
dza,13830,1985
dza,12920,1986
dza,11210,1987
dza,11320,1988
dza,11040,1989
dza,11610,1990
dza,11330,1991
dza,11430,1992
dza,13340,1993
dza,13340,1994
dza,13510,1995
dza,15330,1996
dza,16520,1997
dza,15320,1998
dza,16650,1999
dza,18570,2000
dza,18250,2001
dza,18930,2002
dza,19730,2003
dza,19810,2004
dza,21340,2005
dza,21140,2006
dza,21370,2007
asm,2,1980
asm,6,1981
asm,6,1982
asm,8,1983
asm,12,1984
asm,5,1985
asm,8,1986
asm,9,1987
asm,13,1988
asm,5,1989
asm,9,1990
asm,3,1991
asm,1,1992
asm,4,1993
asm,4,1994
asm,0,1996
asm,6,1997
asm,3,1998
asm,4,1999
asm,3,2000
asm,3,2001
asm,2,2002
asm,3,2003
asm,5,2004
asm,6,2005
asm,4,2006
asm,3,2007
and,12,1989
and,23,1990
and,24,1991
and,21,1992
and,15,1993
and,24,1994
and,17,1996
and,19,1997
and,8,1998
and,10,1999
and,12,2000
and,10,2001
and,5,2002
and,10,2003
and,7,2004
and,10,2005
and,12,2006
and,5,2007
ago,10120,1980
ago,7501,1981
ago,7911,1982
ago,6625,1983
ago,10150,1984
ago,8653,1985
ago,9363,1986
ago,8510,1987
ago,8184,1988
ago,9587,1989
ago,10270,1990
ago,11130,1991
ago,11270,1992
ago,8269,1993
ago,7157,1994
ago,5143,1995
ago,15420,1996
ago,15070,1997
ago,14300,1998
ago,14240,1999
ago,16060,2000
ago,21710,2001
ago,30000,2002
ago,36080,2003
ago,35440,2004
ago,37180,2005
ago,50420,2006
ago,41290,2007
aia,0,1980
aia,0,1981
aia,4,1982
aia,0,1983
aia,0,1984
aia,1,1985
aia,0,1986
aia,0,1987
aia,0,1988
aia,0,1989
aia,0,1990
aia,0,1991
aia,0,1992
aia,2,1995
aia,0,1997
aia,0,2001
aia,0,2002
aia,0,2003
aia,0,2004
aia,0,2006
aia,0,2007
atg,8,1980
atg,3,1981
atg,0,1982
atg,1,1983
atg,3,1984
atg,2,1985
atg,7,1986
atg,0,1987
atg,3,1988
atg,3,1989
atg,1,1990
atg,0,1991
atg,6,1992
atg,0,1995
atg,3,1996
atg,4,1997
atg,4,1998
atg,3,1999
atg,4,2000
atg,1,2001
atg,4,2002
atg,1,2003
atg,6,2005
atg,4,2006
atg,2,2007
arg,16410,1980
arg,16690,1981
arg,17290,1982
arg,17300,1983
arg,16360,1984
arg,15990,1985
arg,14680,1986
arg,13370,1987
arg,13270,1988
arg,12640,1989
arg,12310,1990
arg,12180,1991
arg,12610,1992
arg,13890,1993
arg,13680,1994
arg,13450,1995
arg,13400,1996
arg,12620,1997
arg,12280,1998
arg,11870,1999
arg,11770,2000
arg,11460,2001
arg,11550,2002
arg,10730,2003
arg,10620,2004
arg,9770,2005
arg,9406,2006
arg,9755,2007
arm,756,1980
arm,924,1981
arm,759,1982
