alternative_gdp_per_capita_ppp_wb,geo,time
568.6,afg,2002
631.8,afg,2003
672.1,afg,2004
748.1,afg,2005
808.9,afg,2006
874.2,afg,2007
879.0,afg,2008
1029.0,afg,2009
1083.0,afg,2010
4242.0,alb,1980
4397.0,alb,1981
4441.0,alb,1982
4404.0,alb,1983
4260.0,alb,1984
4239.0,alb,1985
4365.0,alb,1986
4216.0,alb,1987
4054.0,alb,1988
4369.0,alb,1989
3910.0,alb,1990
2751.0,alb,1991
2573.0,alb,1992
2856.0,alb,1993
3138.0,alb,1994
3598.0,alb,1995
3962.0,alb,1996
3581.0,alb,1997
4053.0,alb,1998
4472.0,alb,1999
4800.0,alb,2000
5126.0,alb,2001
5254.0,alb,2002
5523.0,alb,2003
5815.0,alb,2004
6102.0,alb,2005
6377.0,alb,2006
6725.0,alb,2007
7216.0,alb,2008
7428.0,alb,2009
7660.0,alb,2010
7861.0,alb,2011
6358.0,dza,1980
6336.0,dza,1981
6523.0,dza,1982
6654.0,dza,1983
6807.0,dza,1984
6846.0,dza,1985
6676.0,dza,1986
6446.0,dza,1987
6213.0,dza,1988
6320.0,dza,1989
6211.0,dza,1990
5987.0,dza,1991
5951.0,dza,1992
5695.0,dza,1993
5526.0,dza,1994
5626.0,dza,1995
5756.0,dza,1996
5728.0,dza,1997
5933.0,dza,1998
6036.0,dza,1999
6081.0,dza,2000
6149.0,dza,2001
6344.0,dza,2002
6682.0,dza,2003
6924.0,dza,2004
7169.0,dza,2005
7202.0,dza,2006
7305.0,dza,2007
7367.0,dza,2008
7431.0,dza,2009
7564.0,dza,2010
7643.0,dza,2011
3008.0,ago,1985
3007.0,ago,1986
3163.0,ago,1987
3259.0,ago,1988
3190.0,ago,1989
3093.0,ago,1990
2965.0,ago,1991
2673.0,ago,1992
1947.0,ago,1993
1952.0,ago,1994
2090.0,ago,1995
2259.0,ago,1996
2373.0,ago,1997
2468.0,ago,1998
2478.0,ago,1999
2476.0,ago,2000
2472.0,ago,2001
2735.0,ago,2002
2728.0,ago,2003
2931.0,ago,2004
3355.0,ago,2005
3926.0,ago,2006
4672.0,ago,2007
5166.0,ago,2008
5143.0,ago,2009
5172.0,ago,2010
5201.0,ago,2011
7331.0,atg,1980
7695.0,atg,1981
7802.0,atg,1982
8288.0,atg,1983
9246.0,atg,1984
10150.0,atg,1985
11630.0,atg,1986
12800.0,atg,1987
13670.0,atg,1988
14570.0,atg,1989
14940.0,atg,1990
15110.0,atg,1991
14990.0,atg,1992
15450.0,atg,1993
16020.0,atg,1994
14960.0,atg,1995
15560.0,atg,1996
15890.0,atg,1997
16180.0,atg,1998
16450.0,atg,1999
16330.0,atg,2000
16370.0,atg,2001
16510.0,atg,2002
17090.0,atg,2003
18040.0,atg,2004
18560.0,atg,2005
20760.0,atg,2006
18560.0,atg,2007
18630.0,atg,2008
16530.0,atg,2009
14900.0,atg,2010
14140.0,atg,2011
10080.0,arg,1980
9359.0,arg,1981
8760.0,arg,1982
8962.0,arg,1983
9021.0,arg,1984
8212.0,arg,1985
8728.0,arg,1986
8850.0,arg,1987
8499.0,arg,1988
7750.0,arg,1989
7458.0,arg,1990
8289.0,arg,1991
9155.0,arg,1992
9570.0,arg,1993
9999.0,arg,1994
9593.0,arg,1995
10000.0,arg,1996
10680.0,arg,1997
10960.0,arg,1998
10470.0,arg,1999
10280.0,arg,2000
9731.0,arg,2001
8589.0,arg,2002
9264.0,arg,2003
10010.0,arg,2004
10830.0,arg,2005
11650.0,arg,2006
12540.0,arg,2007
13280.0,arg,2008
13270.0,arg,2009
14360.0,arg,2010
15500.0,arg,2011
2938.0,arm,1990
2618.0,arm,1991
1551.0,arm,1992
1448.0,arm,1993
1563.0,arm,1994
1706.0,arm,1995
1835.0,arm,1996
1919.0,arm,1997
2076.0,arm,1998
2157.0,arm,1999
2295.0,arm,2000
2523.0,arm,2001
2860.0,arm,2002
3262.0,arm,2003
3602.0,arm,2004
4096.0,arm,2005
4631.0,arm,2006
5261.0,arm,2007
5615.0,arm,2008
4811.0,arm,2009
4900.0,arm,2010
5112.0,arm,2011
19770.0,aus,1980
20120.0,aus,1981
20430.0,aus,1982
19710.0,aus,1983
20380.0,aus,1984
21130.0,aus,1985
21740.0,aus,1986
21960.0,aus,1987
22870.0,aus,1988
23370.0,aus,1989
23850.0,aus,1990
23490.0,aus,1991
23310.0,aus,1992
24030.0,aus,1993
24720.0,aus,1994
25390.0,aus,1995
26100.0,aus,1996
26840.0,aus,1997
27780.0,aus,1998
28880.0,aus,1999
29660.0,aus,2000
29870.0,aus,2001
30660.0,aus,2002
31280.0,aus,2003
32200.0,aus,2004
32720.0,aus,2005
33230.0,aus,2006
33810.0,aus,2007
34410.0,aus,2008
34180.0,aus,2009
34410.0,aus,2010
34550.0,aus,2011
20770.0,aut,1980
20690.0,aut,1981
21070.0,aut,1982
21730.0,aut,1983
21750.0,aut,1984
22270.0,aut,1985
22770.0,aut,1986
23060.0,aut,1987
23750.0,aut,1988
24560.0,aut,1989
25440.0,aut,1990
26050.0,aut,1991
26310.0,aut,1992
26230.0,aut,1993
26750.0,aut,1994
27430.0,aut,1995
28060.0,aut,1996
28680.0,aut,1997
29730.0,aut,1998
30730.0,aut,1999
31780.0,aut,2000
31930.0,aut,2001
32310.0,aut,2002
32430.0,aut,2003
33060.0,aut,2004
33630.0,aut,2005
34690.0,aut,2006
35830.0,aut,2007
36180.0,aut,2008
34680.0,aut,2009
35380.0,aut,2010
36350.0,aut,2011
4754.0,aze,1990
4648.0,aze,1991
3543.0,aze,1992
2684.0,aze,1993
2126.0,aze,1994
1854.0,aze,1995
1859.0,aze,1996
1948.0,aze,1997
2123.0,aze,1998
2260.0,aze,1999
2490.0,aze,2000
2715.0,aze,2001
2981.0,aze,2002
3290.0,aze,2003
