geo,female_population_with_projections,time
afg,3932000,1950
afg,3989000,1951
afg,4048000,1952
afg,4110000,1953
afg,4175000,1954
afg,4243000,1955
afg,4314000,1956
afg,4388000,1957
afg,4465000,1958
afg,4546000,1959
afg,4630000,1960
afg,4718000,1961
afg,4809000,1962
afg,4904000,1963
afg,5003000,1964
afg,5107000,1965
afg,5214000,1966
afg,5323000,1967
afg,5438000,1968
afg,5562000,1969
afg,5696000,1970
afg,5840000,1971
afg,5989000,1972
afg,6139000,1973
afg,6282000,1974
afg,6412000,1975
afg,6532000,1976
afg,6640000,1977
afg,6719000,1978
afg,6746000,1979
afg,6709000,1980
afg,6603000,1981
afg,6442000,1982
afg,6251000,1983
afg,6066000,1984
afg,5915000,1985
afg,5797000,1986
afg,5715000,1987
afg,5705000,1988
afg,5809000,1989
afg,6054000,1990
afg,6463000,1991
afg,7015000,1992
afg,7637000,1993
afg,8226000,1994
afg,8709000,1995
afg,9059000,1996
afg,9299000,1997
afg,9475000,1998
afg,9657000,1999
afg,9896000,2000
afg,10210000,2001
afg,10570000,2002
afg,10970000,2003
afg,11390000,2004
afg,11810000,2005
afg,12240000,2006
afg,12670000,2007
afg,13120000,2008
afg,13570000,2009
afg,14040000,2010
afg,14520000,2011
afg,15010000,2012
afg,15500000,2013
afg,16010000,2014
afg,16520000,2015
afg,17030000,2016
afg,17540000,2017
afg,18060000,2018
afg,18580000,2019
afg,19100000,2020
afg,19610000,2021
afg,20130000,2022
afg,20650000,2023
afg,21170000,2024
afg,21700000,2025
afg,22240000,2026
afg,22780000,2027
afg,23330000,2028
afg,23890000,2029
afg,24440000,2030
afg,25000000,2031
afg,25560000,2032
afg,26120000,2033
afg,26690000,2034
afg,27250000,2035
afg,27810000,2036
afg,28380000,2037
afg,28940000,2038
afg,29510000,2039
afg,30080000,2040
afg,30640000,2041
afg,31210000,2042
afg,31780000,2043
afg,32340000,2044
afg,32910000,2045
afg,33470000,2046
afg,34040000,2047
afg,34600000,2048
afg,35170000,2049
afg,35730000,2050
alb,603200,1950
alb,615900,1951
alb,630700,1952
alb,647300,1953
alb,665600,1954
alb,685300,1955
alb,706300,1956
alb,728400,1957
alb,751300,1958
alb,775100,1959
alb,799400,1960
alb,824300,1961
alb,849500,1962
alb,875000,1963
alb,900800,1964
alb,926700,1965
alb,952600,1966
alb,978500,1967
alb,1004000,1968
alb,1030000,1969
alb,1057000,1970
alb,1084000,1971
alb,1111000,1972
alb,1137000,1973
alb,1163000,1974
alb,1187000,1975
alb,1209000,1976
alb,1229000,1977
alb,1249000,1978
alb,1270000,1979
alb,1293000,1980
alb,1317000,1981
alb,1342000,1982
alb,1369000,1983
alb,1399000,1984
alb,1432000,1985
alb,1470000,1986
alb,1512000,1987
alb,1551000,1988
alb,1583000,1989
alb,1602000,1990
alb,1607000,1991
alb,1600000,1992
alb,1585000,1993
alb,1568000,1994
alb,1555000,1995
alb,1547000,1996
alb,1542000,1997
alb,1540000,1998
alb,1541000,1999
alb,1543000,2000
alb,1546000,2001
alb,1551000,2002
alb,1557000,2003
alb,1564000,2004
alb,1571000,2005
alb,1578000,2006
alb,1584000,2007
alb,1591000,2008
alb,1598000,2009
alb,1606000,2010
alb,1615000,2011
alb,1624000,2012
alb,1634000,2013
alb,1644000,2014
alb,1654000,2015
alb,1663000,2016
alb,1673000,2017
alb,1682000,2018
alb,1691000,2019
alb,1699000,2020
alb,1707000,2021
alb,1714000,2022
alb,1721000,2023
alb,1726000,2024
alb,1732000,2025
alb,1736000,2026
alb,1739000,2027
alb,1742000,2028
alb,1744000,2029
alb,1746000,2030
alb,1747000,2031
alb,1747000,2032
alb,1746000,2033
alb,1746000,2034
alb,1745000,2035
alb,1743000,2036
alb,1742000,2037
alb,1740000,2038
alb,1737000,2039
alb,1735000,2040
alb,1732000,2041
alb,1729000,2042
alb,1726000,2043
alb,1723000,2044
alb,1719000,2045
alb,1715000,2046
alb,1710000,2047
alb,1705000,2048
alb,1699000,2049
alb,1693000,2050
dza,4288000,1950
dza,4404000,1951
dza,4503000,1952
dza,4594000,1953
dza,4687000,1954
dza,4788000,1955
dza,4897000,1956
dza,5014000,1957
dza,5135000,1958
dza,5253000,1959
dza,5364000,1960
dza,5466000,1961
dza,5562000,1962
dza,5663000,1963
dza,5784000,1964
dza,5933000,1965
dza,6116000,1966
dza,6328000,1967
dza,6559000,1968
dza,6795000,1969
dza,7025000,1970
dza,7246000,1971
dza,7462000,1972
dza,7676000,1973
dza,7893000,1974
dza,8117000,1975
dza,8347000,1976
dza,8583000,1977
dza,8829000,1978
dza,9091000,1979
dza,9371000,1980
dza,9672000,1981
dza,9992000,1982
dza,10320000,1983
dza,10660000,1984
dza,10980000,1985
dza,11310000,1986
dza,11620000,1987
dza,11930000,1988
dza,12240000,1989
dza,12550000,1990
dza,12850000,1991
dza,13160000,1992
dza,13460000,1993
dza,13740000,1994
dza,14010000,1995
dza,14250000,1996
dza,14480000,1997
dza,14690000,1998
dza,14900000,1999
dza,15110000,2000
dza,15340000,2001
dza,15560000,2002
dza,15790000,2003
dza,16030000,2004
dza,16270000,2005
dza,16520000,2006
dza,16770000,2007
dza,17020000,2008
dza,17280000,2009
dza,17540000,2010
dza,17800000,2011
dza,18070000,2012
dza,18330000,2013
dza,18600000,2014
dza,18860000,2015
dza,19120000,2016
dza,19380000,2017
dza,19630000,2018
dza,19880000,2019
dza,20130000,2020
dza,20360000,2021
dza,20600000,2022
dza,20820000,2023
dza,21040000,2024
dza,21250000,2025
dza,21450000,2026
dza,21650000,2027
dza,21830000,2028
dza,22010000,2029
dza,22190000,2030
dza,22360000,2031
dza,22520000,2032
dza,22680000,2033
dza,22830000,2034
dza,22980000,2035
dza,23130000,2036
dza,23270000,2037
dza,23410000,2038
dza,23540000,2039
dza,23680000,2040
dza,23810000,2041
dza,23930000,2042
dza,24060000,2043
dza,24180000,2044
dza,24290000,2045
dza,24400000,2046
dza,24510000,2047
dza,24610000,2048
dza,24700000,2049
dza,24780000,2050
ago,2113000,1950
ago,2146000,1951
ago,2183000,1952
ago,2223000,1953
ago,2265000,1954
ago,2310000,1955
ago,2358000,1956
ago,2406000,1957
ago,2456000,1958
ago,2506000,1959
ago,2556000,1960
ago,2605000,1961
ago,2654000,1962
ago,2704000,1963
ago,2754000,1964
ago,2806000,1965
ago,2860000,1966
ago,2917000,1967
ago,2975000,1968
ago,3036000,1969
ago,3099000,1970
ago,3164000,1971
ago,3233000,1972
ago,3306000,1973
ago,3384000,1974
ago,3468000,1975
ago,3557000,1976
ago,3652000,1977
ago,3754000,1978
ago,3867000,1979
ago,3992000,1980
ago,4130000,1981
ago,4281000,1982
ago,4437000,1983
ago,4591000,1984
ago,4738000,1985
ago,4873000,1986
ago,4999000,1987
ago,5124000,1988
ago,5258000,1989
ago,5410000,1990
ago,5583000,1991
ago,5773000,1992
ago,5973000,1993
ago,6171000,1994
ago,6360000,1995
ago,6537000,1996
ago,6705000,1997
ago,6871000,1998
ago,7048000,1999
ago,7242000,2000
ago,7457000,2001
ago,7690000,2002
ago,7934000,2003
ago,8181000,2004
ago,8426000,2005
ago,8665000,2006
ago,8901000,2007
ago,9137000,2008
ago,9379000,2009
ago,9631000,2010
ago,9892000,2011
ago,10160000,2012
ago,10440000,2013
ago,10720000,2014
ago,11000000,2015
ago,11280000,2016
ago,11560000,2017
ago,11850000,2018
ago,12140000,2019
ago,12430000,2020
ago,12720000,2021
ago,13020000,2022
ago,13320000,2023
ago,13620000,2024
ago,13920000,2025
ago,14220000,2026
ago,14520000,2027
ago,14820000,2028
ago,15120000,2029
ago,15430000,2030
ago,15730000,2031
ago,16030000,2032
ago,16340000,2033
ago,16640000,2034
ago,16940000,2035
ago,17250000,2036
ago,17550000,2037
ago,17850000,2038
ago,18160000,2039
ago,18460000,2040
ago,18760000,2041
ago,19070000,2042
ago,19370000,2043
ago,19670000,2044
ago,19970000,2045
ago,20270000,2046
ago,20570000,2047
ago,20870000,2048
ago,21170000,2049
ago,21460000,2050
arg,8323000,1950
arg,8522000,1951
arg,8721000,1952
arg,8918000,1953
arg,9112000,1954
arg,9302000,1955
arg,9490000,1956
arg,9674000,1957
arg,9856000,1958
arg,10040000,1959
arg,10220000,1960
arg,10400000,1961
arg,10580000,1962
arg,10760000,1963
arg,10940000,1964
arg,11120000,1965
arg,11290000,1966
arg,11470000,1967
arg,11640000,1968
arg,11830000,1969
arg,12020000,1970
arg,12220000,1971
arg,12430000,1972
arg,12640000,1973
arg,12870000,1974
arg,13090000,1975
arg,13320000,1976
arg,13560000,1977
arg,13790000,1978
arg,14020000,1979
arg,14250000,1980
arg,14470000,1981
arg,14690000,1982
arg,14900000,1983
arg,15120000,1984
arg,15340000,1985
arg,15570000,1986
arg,15810000,1987
arg,16050000,1988
arg,16290000,1989
arg,16520000,1990
arg,16760000,1991
arg,17000000,1992
arg,17230000,1993
arg,17460000,1994
arg,17700000,1995
arg,17930000,1996
arg,18160000,1997
arg,18390000,1998
arg,18600000,1999
arg,18810000,2000
arg,19010000,2001
arg,19190000,2002
arg,19370000,2003
arg,19550000,2004
arg,19740000,2005
arg,19930000,2006
arg,20120000,2007
arg,20320000,2008
arg,20520000,2009
arg,20720000,2010
arg,20910000,2011
arg,21110000,2012
arg,21300000,2013
arg,21490000,2014
arg,21670000,2015
arg,21860000,2016
arg,22040000,2017
arg,22220000,2018
arg,22390000,2019
arg,22570000,2020
arg,22730000,2021
arg,22900000,2022
arg,23060000,2023
arg,23220000,2024
arg,23380000,2025
arg,23530000,2026
arg,23670000,2027
arg,23820000,2028
arg,23960000,2029
arg,24090000,2030
arg,24220000,2031
arg,24340000,2032
arg,24470000,2033
arg,24580000,2034
arg,24700000,2035
arg,24810000,2036
arg,24930000,2037
arg,25030000,2038
arg,25140000,2039
arg,25250000,2040
arg,25350000,2041
arg,25440000,2042
arg,25540000,2043
arg,25630000,2044
arg,25720000,2045
arg,25800000,2046
arg,25880000,2047
arg,25960000,2048
arg,26030000,2049
arg,26090000,2050
arm,711300,1950
arm,726200,1951
arm,744800,1952
arm,766400,1953
arm,790400,1954
arm,816400,1955
arm,844000,1956
arm,872900,1957
arm,903000,1958
arm,934200,1959
arm,966300,1960
arm,999300,1961
arm,1033000,1962
arm,1066000,1963
arm,1100000,1964
arm,1133000,1965
arm,1165000,1966
arm,1196000,1967
arm,1226000,1968
arm,1257000,1969
arm,1288000,1970
arm,1320000,1971
arm,1352000,1972
arm,1384000,1973
arm,1416000,1974
arm,1447000,1975
arm,1477000,1976
arm,1506000,1977
arm,1534000,1978
arm,1561000,1979
arm,1587000,1980
arm,1611000,1981
arm,1634000,1982
arm,1656000,1983
arm,1680000,1984
arm,1706000,1985
arm,1737000,1986
arm,1769000,1987
arm,1799000,1988
arm,1819000,1989
arm,1825000,1990
arm,1815000,1991
arm,1790000,1992
arm,1757000,1993
arm,1723000,1994
arm,1694000,1995
arm,1672000,1996
arm,1656000,1997
arm,1644000,1998
arm,1636000,1999
arm,1630000,2000
arm,1626000,2001
arm,1626000,2002
arm,1627000,2003
arm,1630000,2004
arm,1634000,2005
arm,1637000,2006
arm,1640000,2007
arm,1643000,2008
arm,1646000,2009
arm,1650000,2010
arm,1654000,2011
arm,1659000,2012
arm,1664000,2013
arm,1669000,2014
arm,1673000,2015
arm,1677000,2016
arm,1681000,2017
arm,1684000,2018
arm,1686000,2019
arm,1688000,2020
arm,1689000,2021
arm,1690000,2022
arm,1690000,2023
arm,1689000,2024
arm,1689000,2025
arm,1687000,2026
arm,1686000,2027
arm,1684000,2028
arm,1682000,2029
arm,1680000,2030
arm,1677000,2031
arm,1675000,2032
arm,1672000,2033
arm,1669000,2034
arm,1666000,2035
arm,1662000,2036
arm,1659000,2037
arm,1655000,2038
arm,1651000,2039
arm,1646000,2040
arm,1642000,2041
arm,1637000,2042
arm,1631000,2043
arm,1625000,2044
arm,1619000,2045
arm,1613000,2046
arm,1606000,2047
arm,1598000,2048
arm,1591000,2049
arm,1582000,2050
abw,19660,1950
abw,20180,1951
abw,20730,1952
abw,21300,1953
abw,21880,1954
abw,22450,1955
abw,23020,1956
abw,23570,1957
abw,24100,1958
abw,24630,1959
abw,25160,1960
abw,25680,1961
abw,26180,1962
abw,26670,1963
abw,27110,1964
abw,27520,1965
abw,27870,1966
abw,28180,1967
abw,28450,1968
abw,28710,1969
abw,28970,1970
abw,29230,1971
abw,29490,1972
abw,29750,1973
abw,29990,1974
abw,30200,1975
abw,30380,1976
abw,30520,1977
abw,30670,1978
abw,30860,1979
abw,31120,1980
abw,31490,1981
abw,31960,1982
abw,32430,1983
abw,32750,1984
abw,32840,1985
abw,32630,1986
abw,32190,1987
abw,31760,1988
abw,31660,1989
abw,32120,1990
abw,33230,1991
abw,34900,1992
abw,36910,1993
abw,38920,1994
abw,40720,1995
abw,42220,1996
abw,43480,1997
abw,44580,1998
abw,45640,1999
abw,46770,2000
abw,47970,2001
abw,49190,2002
abw,50390,2003
abw,51520,2004
abw,52540,2005
abw,53430,2006
abw,54220,2007
abw,54890,2008
abw,55450,2009
abw,55900,2010
abw,56240,2011
abw,56470,2012
abw,56630,2013
abw,56760,2014
abw,56900,2015
abw,57060,2016
abw,57230,2017
abw,57410,2018
abw,57580,2019
abw,57750,2020
abw,57900,2021
abw,58050,2022
abw,58190,2023
abw,58320,2024
abw,58430,2025
abw,58520,2026
abw,58610,2027
abw,58670,2028
abw,58710,2029
abw,58730,2030
abw,58720,2031
abw,58690,2032
abw,58640,2033
abw,58560,2034
abw,58460,2035
abw,58340,2036
abw,58200,2037
abw,58040,2038
abw,57860,2039
abw,57670,2040
abw,57460,2041
abw,57240,2042
abw,57010,2043
abw,56760,2044
abw,56510,2045
abw,56260,2046
abw,55990,2047
abw,55730,2048
abw,55470,2049
abw,55220,2050
aus,4075000,1950
aus,4164000,1951
aus,4256000,1952
aus,4350000,1953
aus,4446000,1954
aus,4544000,1955
aus,4644000,1956
aus,4747000,1957
aus,4854000,1958
aus,4965000,1959
aus,5082000,1960
aus,5204000,1961
aus,5331000,1962
aus,5460000,1963
aus,5590000,1964
aus,5719000,1965
aus,5845000,1966
aus,5970000,1967
aus,6091000,1968
aus,6207000,1969
aus,6315000,1970
aus,6415000,1971
aus,6507000,1972
aus,6597000,1973
aus,6689000,1974
aus,6787000,1975
aus,6893000,1976
aus,7007000,1977
aus,7125000,1978
aus,7242000,1979
aus,7357000,1980
aus,7468000,1981
aus,7576000,1982
aus,7683000,1983
aus,7795000,1984
aus,7915000,1985
aus,8042000,1986
aus,8177000,1987
aus,8313000,1988
aus,8447000,1989
aus,8572000,1990
aus,8688000,1991
aus,8796000,1992
aus,8900000,1993
aus,9002000,1994
aus,9106000,1995
aus,9213000,1996
aus,9322000,1997
aus,9433000,1998
aus,9546000,1999
aus,9662000,2000
aus,9780000,2001
aus,9902000,2002
aus,10020000,2003
aus,10150000,2004
aus,10260000,2005
aus,10380000,2006
aus,10490000,2007
aus,10600000,2008
aus,10710000,2009
aus,10820000,2010
aus,10930000,2011
aus,11040000,2012
aus,11140000,2013
aus,11250000,2014
aus,11360000,2015
aus,11470000,2016
aus,11580000,2017
aus,11680000,2018
aus,11790000,2019
aus,11900000,2020
aus,12000000,2021
aus,12110000,2022
aus,12210000,2023
aus,12310000,2024
aus,12410000,2025
aus,12510000,2026
aus,12610000,2027
aus,12710000,2028
aus,12800000,2029
aus,12900000,2030
aus,12990000,2031
aus,13080000,2032
aus,13160000,2033
aus,13250000,2034
aus,13340000,2035
aus,13420000,2036
aus,13500000,2037
aus,13580000,2038
aus,13660000,2039
aus,13730000,2040
aus,13810000,2041
aus,13880000,2042
aus,13960000,2043
aus,14030000,2044
aus,14100000,2045
aus,14170000,2046
aus,14240000,2047
aus,14310000,2048
aus,14370000,2049
aus,14440000,2050
aut,3716000,1950
aut,3713000,1951
aut,3712000,1952
aut,3712000,1953
aut,3715000,1954
aut,3718000,1955
aut,3723000,1956
aut,3729000,1957
aut,3737000,1958
aut,3748000,1959
aut,3762000,1960
aut,3780000,1961
aut,3800000,1962
aut,3822000,1963
aut,3844000,1964
aut,3865000,1965
aut,3885000,1966
aut,3903000,1967
aut,3919000,1968
aut,3934000,1969
aut,3948000,1970
aut,3962000,1971
aut,3975000,1972
aut,3985000,1973
aut,3993000,1974
aut,3998000,1975
aut,3999000,1976
aut,3996000,1977
aut,3992000,1978
aut,3987000,1979
aut,3982000,1980
aut,3978000,1981
aut,3974000,1982
aut,3972000,1983
aut,3971000,1984
aut,3971000,1985
aut,3971000,1986
aut,3973000,1987
aut,3978000,1988
aut,3986000,1989
aut,3999000,1990
aut,4018000,1991
aut,4042000,1992
aut,4068000,1993
aut,4091000,1994
