geo,lung_cancer_new_cases_per_100000_men,time
afg,12.2,2002
alb,58.9,2002
dza,16.9,2002
ago,7.2,2002
arg,43.3,2002
arm,58.9,2002
aus,39.5,2002
aut,42.6,2002
aze,33.0,2002
bhs,21.2,2002
bhr,30.5,2002
bgd,22.4,2002
brb,15.3,2002
blr,65.6,2002
bel,75.3,2002
blz,21.2,2002
ben,2.4,2002
btn,11.9,2002
bol,12.6,2002
bih,63.0,2002
bwa,8.7,2002
bra,21.5,2002
brn,24.3,2002
bgr,45.6,2002
bfa,4.7,2002
bdi,3.6,2002
khm,22.5,2002
cmr,3.0,2002
can,68.19,1983
can,69.67,1984
can,66.91,1985
can,68.31,1986
can,67.8,1987
can,68.05,1988
can,66.58,1989
can,66.07,1990
can,64.48,1991
can,63.67,1992
can,64.05,1993
can,60.5,1994
can,58.54,1995
can,57.57,1996
can,54.46,1997
can,55.8,2002
cpv,2.4,2002
caf,4.7,2002
tcd,4.7,2002
chl,26.1,2002
chn,42.4,2002
col,20.2,2002
com,3.6,2002
cod,4.5,2002
cog,3.8,2002
cri,16.41,1980
cri,13.99,1981
cri,13.94,1982
cri,14.52,1983
cri,14.7,1984
cri,10.51,1985
cri,12.79,1986
cri,9.67,1987
cri,11.76,1988
cri,13.58,1989
cri,13.36,1990
cri,8.79,1991
cri,8.42,1992
cri,9.51,1993
cri,11.32,1994
cri,11.7,1995
cri,13.2,1996
cri,11.86,1997
cri,12.5,2002
civ,6.1,2002
hrv,76.4,2002
cub,40.0,2002
cyp,26.8,2002
cze,79.38,1983
cze,80.35,1984
cze,78.61,1985
cze,76.99,1986
cze,81.02,1987
cze,78.68,1988
cze,79.48,1989
cze,78.94,1990
cze,79.08,1991
cze,75.91,1992
cze,75.88,1993
cze,74.35,1994
cze,71.24,1995
cze,75.92,1996
cze,69.23,1997
cze,66.1,2002
dnk,18.79,1953
dnk,20.61,1954
dnk,22.21,1955
dnk,24.62,1956
dnk,25.81,1957
dnk,26.99,1958
dnk,32.15,1959
dnk,30.38,1960
dnk,34.32,1961
dnk,32.83,1962
dnk,35.89,1963
dnk,38.03,1964
dnk,40.64,1965
dnk,40.63,1966
