geo,population_aged_20_39_years_female_percent,time
afg,28.03,1950
afg,28.15,1955
afg,28.15,1960
afg,28.11,1965
afg,28.18,1970
afg,27.67,1975
afg,27.24,1980
afg,26.87,1985
afg,26.49,1990
afg,26.45,1995
afg,26.44,2000
afg,26.71,2005
afg,27.28,2010
afg,28.03,2015
afg,28.85,2020
afg,29.53,2025
afg,29.97,2030
afg,30.57,2035
afg,31.32,2040
afg,32.13,2045
afg,32.87,2050
alb,26.58,1950
alb,26.9,1955
alb,27.41,1960
alb,27.62,1965
alb,26.87,1970
alb,27.53,1975
alb,28.72,1980
alb,30.77,1985
alb,32.94,1990
alb,31.96,1995
alb,29.36,2000
alb,29.34,2005
alb,30.12,2010
alb,31.26,2015
alb,31.37,2020
alb,28.6,2025
alb,25.66,2030
alb,23.51,2035
alb,22.45,2040
alb,22.83,2045
alb,22.64,2050
dza,27.36,1950
dza,27.66,1955
dza,27.44,1960
dza,26.55,1965
dza,24.78,1970
dza,24.57,1975
dza,24.79,1980
dza,26.64,1985
dza,28.51,1990
dza,30.29,1995
dza,33.12,2000
dza,35.65,2005
dza,36.68,2010
dza,36.13,2015
dza,33.24,2020
dza,30.15,2025
dza,28.2,2030
dza,27.33,2035
dza,27.76,2040
dza,27.49,2045
dza,26.28,2050
ago,28.82,1950
ago,28.28,1955
ago,27.53,1960
ago,26.66,1965
ago,25.78,1970
ago,25.81,1975
ago,26.0,1980
ago,26.3,1985
ago,26.61,1990
ago,26.47,1995
ago,26.79,2000
ago,27.15,2005
ago,28.02,2010
ago,29.06,2015
ago,29.77,2020
ago,30.74,2025
ago,31.23,2030
ago,31.82,2035
ago,32.49,2040
ago,32.69,2045
ago,32.76,2050
arg,32.98,1950
arg,31.99,1955
arg,30.7,1960
arg,29.45,1965
arg,28.59,1970
arg,28.36,1975
arg,27.98,1980
arg,27.75,1985
arg,27.38,1990
arg,27.39,1995
arg,28.53,2000
arg,29.22,2005
arg,29.85,2010
arg,30.01,2015
arg,29.07,2020
arg,28.28,2025
arg,27.59,2030
arg,26.88,2035
arg,26.21,2040
arg,25.63,2045
arg,24.82,2050
arm,27.25,1950
arm,28.22,1955
arm,31.95,1960
arm,29.48,1965
arm,26.96,1970
arm,27.99,1975
arm,29.53,1980
arm,33.26,1985
arm,33.77,1990
arm,30.74,1995
arm,28.77,2000
arm,28.07,2005
arm,30.44,2010
arm,31.42,2015
arm,29.07,2020
arm,26.08,2025
arm,23.05,2030
arm,21.96,2035
arm,22.88,2040
arm,22.79,2045
arm,22.07,2050
abw,27.78,1950
abw,28.57,1955
abw,29.17,1960
abw,26.92,1965
abw,31.03,1970
abw,34.48,1975
abw,35.48,1980
abw,36.36,1985
abw,33.33,1990
abw,35.9,1995
abw,32.61,2000
abw,28.85,2005
abw,25.0,2010
abw,24.56,2015
abw,25.0,2020
abw,24.56,2025
abw,23.73,2030
abw,23.21,2035
abw,21.05,2040
abw,20.69,2045
abw,21.43,2050
aus,30.85,1950
aus,28.42,1955
aus,26.76,1960
aus,25.71,1965
aus,26.94,1970
aus,28.82,1975
aus,30.86,1980
aus,32.07,1985
aus,31.81,1990
aus,31.11,1995
aus,29.36,2000
aus,28.16,2005
aus,27.26,2010
aus,26.31,2015
aus,25.79,2020
aus,24.97,2025
aus,24.36,2030
aus,23.85,2035
aus,23.66,2040
aus,23.65,2045
aus,23.49,2050
aut,27.6,1950
aut,25.34,1955
aut,25.68,1960
aut,24.39,1965
aut,24.06,1970
aut,25.07,1975
aut,26.62,1980
aut,28.23,1985
aut,29.92,1990
aut,30.44,1995
aut,28.82,2000
aut,27.13,2005
aut,25.48,2010
aut,24.8,2015
aut,24.23,2020
aut,23.01,2025
aut,21.87,2030
aut,20.79,2035
aut,20.5,2040
aut,20.53,2045
aut,20.73,2050
aze,27.48,1950
aze,28.1,1955
aze,30.84,1960
aze,27.42,1965
aze,24.42,1970
aze,24.25,1975
aze,26.42,1980
aze,31.81,1985
aze,33.54,1990
aze,34.03,1995
aze,33.34,2000
aze,32.03,2005
aze,32.53,2010
aze,33.09,2015
aze,31.56,2020
aze,28.96,2025
aze,26.64,2030
aze,25.32,2035
aze,25.61,2040
aze,25.76,2045
aze,24.6,2050
bhs,30.95,1950
bhs,29.79,1955
bhs,28.57,1960
bhs,26.39,1965
bhs,28.24,1970
bhs,28.42,1975
bhs,30.19,1980
bhs,32.77,1985
bhs,34.11,1990
bhs,35.66,1995
bhs,34.19,2000
bhs,33.33,2005
bhs,31.64,2010
bhs,30.85,2015
bhs,30.65,2020
bhs,29.19,2025
bhs,27.91,2030
bhs,26.46,2035
bhs,25.22,2040
bhs,24.58,2045
bhs,24.27,2050
bhr,27.78,1950
bhr,27.42,1955
bhr,27.4,1960
bhr,26.8,1965
bhr,24.51,1970
bhr,26.02,1975
bhr,31.03,1980
bhr,39.29,1985
bhr,39.71,1990
bhr,37.6,1995
bhr,38.13,2000
bhr,37.74,2005
bhr,38.44,2010
bhr,37.73,2015
bhr,35.84,2020
bhr,34.53,2025
bhr,32.85,2030
bhr,30.71,2035
bhr,28.84,2040
bhr,27.32,2045
bhr,26.46,2050
bgd,28.43,1950
bgd,27.71,1955
bgd,27.08,1960
bgd,26.64,1965
bgd,26.03,1970
bgd,26.29,1975
bgd,26.64,1980
bgd,27.15,1985
bgd,28.4,1990
bgd,29.98,1995
bgd,32.01,2000
bgd,33.9,2005
bgd,35.05,2010
bgd,35.12,2015
bgd,34.32,2020
bgd,32.94,2025
bgd,31.18,2030
bgd,29.7,2035
bgd,28.33,2040
bgd,27.08,2045
bgd,26.21,2050
brb,28.95,1950
brb,25.83,1955
brb,24.62,1960
brb,23.02,1965
brb,22.05,1970
brb,25.0,1975
brb,29.23,1980
brb,33.59,1985
brb,35.07,1990
brb,35.34,1995
brb,31.78,2000
brb,29.55,2005
brb,27.82,2010
brb,26.52,2015
brb,24.63,2020
