geo,children_per_woman_total_fertility,time
alb,4.6,1824
alb,4.6,1825
alb,4.6,1826
alb,4.6,1827
alb,4.6,1828
alb,4.6,1829
alb,4.6,1830
alb,4.6,1831
alb,4.6,1832
alb,4.6,1833
alb,4.6,1834
alb,4.6,1835
alb,4.6,1836
alb,4.6,1837
alb,4.6,1838
alb,4.6,1839
alb,4.6,1840
alb,4.6,1841
alb,4.6,1842
alb,4.6,1843
alb,4.6,1844
alb,4.6,1845
alb,4.6,1846
alb,4.6,1847
alb,4.6,1848
alb,4.6,1849
alb,4.6,1850
alb,4.6,1851
alb,4.6,1852
alb,4.6,1853
alb,4.6,1854
alb,4.6,1855
alb,4.6,1856
alb,4.6,1857
alb,4.6,1858
alb,4.6,1859
alb,4.6,1860
alb,4.6,1861
alb,4.6,1862
alb,4.6,1863
alb,4.6,1864
alb,4.6,1865
alb,4.6,1866
alb,4.6,1867
alb,4.6,1868
alb,4.6,1869
alb,4.6,1870
alb,4.6,1871
alb,4.6,1872
alb,4.6,1873
alb,4.6,1874
alb,4.6,1875
alb,4.6,1876
alb,4.6,1877
alb,4.6,1878
alb,4.6,1879
alb,4.6,1880
alb,4.6,1881
alb,4.6,1882
alb,4.6,1883
alb,4.6,1884
alb,4.6,1885
alb,4.6,1886
alb,4.6,1887
alb,4.6,1888
alb,4.6,1889
alb,4.6,1890
alb,4.6,1891
alb,4.6,1892
alb,4.6,1893
alb,4.6,1894
alb,4.6,1895
alb,4.6,1896
alb,4.6,1897
alb,4.6,1898
alb,4.6,1899
alb,4.6,1900
alb,4.6,1901
alb,4.6,1902
alb,4.6,1903
alb,4.6,1904
alb,4.6,1905
alb,4.6,1906
alb,4.6,1907
alb,4.6,1908
alb,4.6,1909
alb,4.6,1910
alb,4.6,1911
alb,4.6,1912
alb,4.6,1913
alb,4.6,1914
alb,4.6,1915
alb,4.6,1916
alb,4.6,1917
alb,4.6,1918
alb,4.6,1919
alb,4.6,1920
alb,4.6,1921
alb,4.6,1922
alb,4.6,1923
alb,4.6,1924
alb,4.6,1925
alb,4.42,1926
alb,4.25,1927
alb,4.07,1928
alb,3.89,1929
alb,3.72,1930
alb,3.54,1931
alb,3.36,1932
alb,3.57,1933
alb,3.77,1934
alb,3.98,1935
alb,4.19,1936
alb,4.39,1937
alb,4.6,1938
alb,3.74,1939
alb,4.19,1940
alb,3.75,1941
alb,4.41,1942
alb,4.58,1943
alb,4.76,1944
alb,4.93,1945
alb,5.1,1946
alb,5.28,1947
alb,5.45,1948
alb,5.63,1949
alb,5.8,1950
alb,5.9,1951
alb,6.07,1952
alb,6.21,1953
alb,6.31,1954
alb,6.37,1955
alb,6.4,1956
alb,6.39,1957
alb,6.35,1958
alb,6.28,1959
alb,6.19,1960
alb,6.08,1961
alb,5.96,1962
alb,5.83,1963
alb,5.71,1964
alb,5.59,1965
alb,5.48,1966
alb,5.38,1967
alb,5.27,1968
alb,5.16,1969
alb,5.05,1970
alb,4.93,1971
alb,4.81,1972
alb,4.68,1973
alb,4.54,1974
alb,4.39,1975
alb,4.24,1976
alb,4.09,1977
alb,3.95,1978
alb,3.81,1979
alb,3.68,1980
alb,3.56,1981
alb,3.46,1982
alb,3.37,1983
alb,3.3,1984
alb,3.23,1985
alb,3.18,1986
alb,3.13,1987
alb,3.08,1988
alb,3.02,1989
alb,2.97,1990
alb,2.92,1991
alb,2.87,1992
alb,2.82,1993
alb,2.77,1994
alb,2.72,1995
alb,2.67,1996
alb,2.61,1997
alb,2.54,1998
alb,2.47,1999
alb,2.38,2000
alb,2.29,2001
alb,2.2,2002
alb,2.1,2003
alb,2.0,2004
alb,1.92,2005
alb,1.85,2006
alb,1.8,2007
alb,1.76,2008
alb,1.74,2009
alb,1.74,2010
alb,1.75,2011
alb,1.76,2012
alb,1.77,2013
alb,1.78,2014
alb,1.78,2015
dza,6.99,1800
dza,6.99,1801
dza,6.99,1802
dza,6.99,1803
dza,6.99,1804
dza,6.99,1805
dza,6.99,1806
dza,6.99,1807
dza,6.99,1808
dza,6.99,1809
dza,6.99,1810
dza,6.99,1811
dza,6.99,1812
dza,6.99,1813
dza,6.99,1814
dza,6.99,1815
dza,6.99,1816
dza,6.99,1817
dza,6.99,1818
dza,6.99,1819
dza,6.99,1820
dza,6.99,1821
dza,6.99,1822
dza,6.99,1823
dza,6.99,1824
dza,6.99,1825
dza,6.99,1826
dza,6.99,1827
dza,6.99,1828
dza,6.99,1829
dza,6.99,1830
dza,6.99,1831
dza,6.99,1832
dza,6.99,1833
dza,6.99,1834
dza,6.99,1835
dza,6.99,1836
dza,6.99,1837
dza,6.99,1838
dza,6.99,1839
dza,6.99,1840
dza,6.99,1841
dza,6.99,1842
dza,6.99,1843
dza,6.99,1844
dza,6.99,1845
dza,6.99,1846
dza,6.99,1847
dza,6.99,1848
dza,6.99,1849
dza,6.99,1850
dza,6.99,1851
dza,6.99,1852
dza,6.99,1853
dza,6.99,1854
dza,6.99,1855
dza,6.99,1856
dza,6.99,1857
dza,6.99,1858
dza,6.99,1859
dza,6.99,1860
dza,6.99,1861
dza,6.99,1862
dza,6.99,1863
dza,6.99,1864
dza,6.99,1865
dza,6.99,1866
dza,6.99,1867
dza,6.99,1868
dza,6.99,1869
dza,6.99,1870
dza,6.99,1871
dza,6.99,1872
dza,6.99,1873
dza,6.99,1874
dza,6.99,1875
dza,6.99,1876
dza,6.99,1877
dza,6.99,1878
dza,6.99,1879
dza,6.99,1880
dza,6.99,1881
dza,6.99,1882
dza,6.99,1883
dza,6.99,1884
dza,6.99,1885
dza,6.99,1886
dza,6.99,1887
dza,6.99,1888
dza,6.99,1889
dza,6.99,1890
dza,6.99,1891
dza,6.99,1892
dza,6.99,1893
dza,6.99,1894
dza,6.99,1895
dza,6.99,1896
dza,6.99,1897
dza,6.99,1898
dza,6.99,1899
dza,6.99,1900
dza,6.99,1901
dza,6.99,1902
dza,6.99,1903
dza,6.99,1904
dza,6.99,1905
dza,6.99,1906
dza,6.99,1907
dza,6.99,1908
dza,6.99,1909
dza,6.99,1910
dza,6.99,1911
dza,6.99,1912
dza,6.99,1913
dza,6.99,1914
dza,6.99,1915
dza,6.99,1916
dza,6.99,1917
dza,6.99,1918
dza,6.99,1919
dza,6.99,1920
dza,6.99,1921
dza,6.99,1922
dza,6.99,1923
dza,6.99,1924
dza,6.99,1925
dza,7.02,1926
dza,7.05,1927
dza,7.07,1928
dza,7.1,1929
dza,7.12,1930
dza,7.15,1931
dza,7.18,1932
dza,7.2,1933
dza,7.23,1934
dza,7.26,1935
dza,7.28,1936
dza,7.31,1937
dza,7.33,1938
dza,7.36,1939
dza,7.39,1940
dza,7.41,1941
dza,7.44,1942
dza,7.46,1943
dza,7.49,1944
dza,7.52,1945
dza,7.54,1946
dza,7.57,1947
dza,7.59,1948
dza,7.62,1949
dza,7.65,1950
dza,7.65,1951
dza,7.65,1952
dza,7.65,1953
dza,7.65,1954
dza,7.65,1955
dza,7.65,1956
dza,7.65,1957
dza,7.65,1958
dza,7.65,1959
dza,7.65,1960
dza,7.65,1961
dza,7.65,1962
dza,7.65,1963
dza,7.65,1964
dza,7.66,1965
dza,7.66,1966
dza,7.66,1967
dza,7.66,1968
dza,7.65,1969
dza,7.64,1970
dza,7.62,1971
dza,7.59,1972
dza,7.55,1973
dza,7.49,1974
dza,7.42,1975
dza,7.34,1976
dza,7.24,1977
dza,7.14,1978
dza,7.02,1979
dza,6.89,1980
dza,6.74,1981
dza,6.58,1982
dza,6.39,1983
dza,6.19,1984
dza,5.98,1985
dza,5.75,1986
dza,5.51,1987
dza,5.26,1988
dza,5.01,1989
dza,4.76,1990
dza,4.5,1991
dza,4.24,1992
dza,3.97,1993
dza,3.71,1994
dza,3.45,1995
dza,3.21,1996
dza,2.99,1997
dza,2.79,1998
dza,2.63,1999
dza,2.51,2000
dza,2.44,2001
dza,2.41,2002
dza,2.41,2003
dza,2.45,2004
dza,2.51,2005
dza,2.58,2006
dza,2.66,2007
dza,2.73,2008
dza,2.78,2009
dza,2.82,2010
dza,2.83,2011
dza,2.82,2012
dza,2.8,2013
dza,2.76,2014
dza,2.71,2015
ago,6.93,1800
ago,6.93,1801
ago,6.93,1802
ago,6.93,1803
ago,6.93,1804
ago,6.93,1805
ago,6.93,1806
ago,6.94,1807
ago,6.94,1808
ago,6.94,1809
ago,6.94,1810
ago,6.94,1811
ago,6.94,1812
ago,6.94,1813
ago,6.94,1814
ago,6.94,1815
ago,6.94,1816
ago,6.94,1817
ago,6.94,1818
ago,6.94,1819
ago,6.94,1820
ago,6.95,1821
ago,6.95,1822
ago,6.95,1823
ago,6.95,1824
ago,6.95,1825
ago,6.95,1826
ago,6.95,1827
ago,6.95,1828
ago,6.95,1829
ago,6.95,1830
ago,6.95,1831
ago,6.95,1832
ago,6.95,1833
ago,6.95,1834
ago,6.96,1835
ago,6.96,1836
ago,6.96,1837
ago,6.96,1838
ago,6.96,1839
ago,6.96,1840
ago,6.96,1841
ago,6.96,1842
ago,6.96,1843
ago,6.96,1844
ago,6.96,1845
ago,6.96,1846
ago,6.96,1847
ago,6.96,1848
ago,6.97,1849
ago,6.97,1850
ago,6.97,1851
ago,6.97,1852
ago,6.97,1853
ago,6.97,1854
ago,6.97,1855
ago,6.97,1856
ago,6.97,1857
ago,6.97,1858
ago,6.97,1859
ago,6.97,1860
ago,6.97,1861
ago,6.97,1862
ago,6.98,1863
ago,6.98,1864
ago,6.98,1865
ago,6.98,1866
ago,6.98,1867
ago,6.98,1868
ago,6.98,1869
ago,6.98,1870
ago,6.98,1871
ago,6.98,1872
ago,6.98,1873
ago,6.98,1874
ago,6.98,1875
ago,6.98,1876
ago,6.99,1877
ago,6.99,1878
ago,6.99,1879
ago,6.99,1880
ago,6.99,1881
ago,6.99,1882
ago,6.99,1883
ago,6.99,1884
ago,6.99,1885
ago,6.99,1886
ago,6.99,1887
ago,6.99,1888
ago,6.99,1889
ago,6.99,1890
ago,7.0,1891
ago,7.0,1892
ago,7.0,1893
ago,7.0,1894
ago,7.0,1895
ago,7.0,1896
ago,7.0,1897
ago,7.0,1898
ago,7.0,1899
ago,7.0,1900
ago,7.0,1901
ago,7.0,1902
ago,7.0,1903
ago,7.0,1904
ago,7.01,1905
ago,7.01,1906
ago,7.01,1907
ago,7.01,1908
ago,7.01,1909
ago,7.01,1910
ago,7.01,1911
ago,7.01,1912
ago,7.01,1913
ago,7.01,1914
ago,7.01,1915
ago,7.01,1916
ago,7.01,1917
ago,7.01,1918
ago,7.02,1919
ago,7.02,1920
ago,7.02,1921
ago,7.02,1922
ago,7.02,1923
ago,7.02,1924
ago,7.02,1925
ago,7.02,1926
ago,7.01,1927
ago,7.01,1928
ago,7.0,1929
ago,7.0,1930
ago,7.0,1931
ago,6.99,1932
ago,6.99,1933
ago,6.99,1934
ago,6.98,1935
ago,6.98,1936
ago,6.97,1937
ago,6.97,1938
ago,6.97,1939
ago,6.96,1940
ago,6.96,1941
ago,6.96,1942
ago,6.95,1943
ago,6.95,1944
ago,6.94,1945
ago,6.94,1946
ago,6.94,1947
ago,6.93,1948
ago,6.93,1949
ago,6.93,1950
ago,6.94,1951
ago,6.98,1952
ago,7.02,1953
ago,7.06,1954
ago,7.1,1955
ago,7.14,1956
ago,7.19,1957
ago,7.23,1958
ago,7.28,1959
ago,7.32,1960
ago,7.35,1961
ago,7.39,1962
ago,7.41,1963
ago,7.43,1964
ago,7.43,1965
ago,7.42,1966
ago,7.4,1967
ago,7.38,1968
ago,7.34,1969
ago,7.3,1970
ago,7.26,1971
ago,7.23,1972
ago,7.21,1973
ago,7.19,1974
ago,7.19,1975
ago,7.19,1976
ago,7.19,1977
ago,7.19,1978
ago,7.2,1979
ago,7.2,1980
ago,7.2,1981
ago,7.2,1982
ago,7.21,1983
ago,7.21,1984
ago,7.21,1985
ago,7.21,1986
ago,7.2,1987
ago,7.19,1988
ago,7.18,1989
ago,7.17,1990
ago,7.14,1991
ago,7.12,1992
ago,7.09,1993
ago,7.05,1994
ago,7.02,1995
ago,6.98,1996
ago,6.95,1997
ago,6.91,1998
ago,6.88,1999
ago,6.84,2000
ago,6.81,2001
ago,6.78,2002
ago,6.74,2003
ago,6.7,2004
ago,6.66,2005
ago,6.6,2006
ago,6.52,2007
ago,6.43,2008
ago,6.33,2009
ago,6.22,2010
ago,6.1,2011
ago,5.98,2012
ago,5.86,2013
ago,5.75,2014
ago,5.65,2015
atg,5.0,1800
atg,5.0,1801
atg,4.99,1802
atg,4.99,1803
atg,4.99,1804
atg,4.98,1805
atg,4.98,1806
atg,4.97,1807
atg,4.97,1808
atg,4.97,1809
atg,4.96,1810
atg,4.96,1811
atg,4.96,1812
atg,4.95,1813
atg,4.95,1814
atg,4.94,1815
atg,4.94,1816
atg,4.94,1817
atg,4.93,1818
atg,4.93,1819
atg,4.93,1820
atg,4.92,1821
atg,4.92,1822
atg,4.92,1823
atg,4.91,1824
atg,4.91,1825
atg,4.9,1826
atg,4.9,1827
atg,4.9,1828
atg,4.89,1829
atg,4.89,1830
atg,4.89,1831
atg,4.88,1832
atg,4.88,1833
atg,4.87,1834
atg,4.87,1835
atg,4.87,1836
atg,4.86,1837
atg,4.86,1838
atg,4.86,1839
atg,4.85,1840
atg,4.85,1841
atg,4.84,1842
atg,4.84,1843
atg,4.84,1844
atg,4.83,1845
atg,4.83,1846
atg,4.83,1847
atg,4.82,1848
atg,4.82,1849
atg,4.82,1850
atg,4.81,1851
atg,4.81,1852
atg,4.8,1853
atg,4.8,1854
atg,4.8,1855
atg,4.79,1856
atg,4.79,1857
atg,4.79,1858
atg,4.78,1859
atg,4.78,1860
atg,4.77,1861
atg,4.77,1862
atg,4.77,1863
atg,4.76,1864
atg,4.76,1865
atg,4.76,1866
atg,4.75,1867
atg,4.75,1868
atg,4.75,1869
atg,4.74,1870
atg,4.74,1871
atg,4.73,1872
atg,4.73,1873
atg,4.73,1874
atg,4.72,1875
atg,4.72,1876
atg,4.72,1877
atg,4.71,1878
atg,4.71,1879
atg,4.7,1880
atg,4.7,1881
atg,4.7,1882
atg,4.69,1883
atg,4.69,1884
atg,4.69,1885
atg,4.68,1886
atg,4.68,1887
atg,4.67,1888
atg,4.67,1889
atg,4.67,1890
atg,4.66,1891
atg,4.66,1892
atg,4.66,1893
atg,4.65,1894
atg,4.65,1895
atg,4.65,1896
atg,4.64,1897
atg,4.64,1898
atg,4.63,1899
atg,4.63,1900
atg,4.63,1901
atg,4.62,1902
atg,4.62,1903
atg,4.62,1904
atg,4.61,1905
atg,4.61,1906
atg,4.6,1907
atg,4.6,1908
atg,4.6,1909
atg,4.59,1910
atg,4.59,1911
atg,4.59,1912
atg,4.58,1913
atg,4.58,1914
atg,4.58,1915
atg,4.57,1916
atg,4.57,1917
atg,4.56,1918
atg,4.56,1919
atg,4.56,1920
atg,4.55,1921
atg,4.55,1922
atg,4.55,1923
atg,4.54,1924
atg,4.54,1925
atg,4.53,1926
atg,4.53,1927
atg,4.53,1928
atg,4.52,1929
atg,4.52,1930
atg,4.52,1931
atg,4.51,1932
atg,4.51,1933
atg,4.51,1934
atg,4.5,1935
atg,4.5,1936
atg,4.49,1937
atg,4.49,1938
atg,4.49,1939
atg,4.48,1940
atg,4.48,1941
atg,4.48,1942
atg,4.47,1943
atg,4.47,1944
atg,4.46,1945
atg,4.46,1946
atg,4.46,1947
atg,4.45,1948
atg,4.45,1949
atg,4.45,1950
atg,4.46,1951
atg,4.5,1952
atg,4.52,1953
atg,4.53,1954
atg,4.53,1955
atg,4.53,1956
atg,4.51,1957
atg,4.49,1958
atg,4.46,1959
atg,4.43,1960
atg,4.39,1961
atg,4.34,1962
atg,4.3,1963
atg,4.25,1964
atg,4.19,1965
atg,4.13,1966
atg,4.04,1967
atg,3.94,1968
atg,3.82,1969
atg,3.68,1970
atg,3.52,1971
atg,3.33,1972
atg,3.12,1973
atg,2.91,1974
atg,2.7,1975
atg,2.51,1976
atg,2.36,1977
atg,2.24,1978
atg,2.16,1979
atg,2.12,1980
atg,2.1,1981
atg,2.1,1982
atg,2.1,1983
atg,2.1,1984
atg,2.09,1985
atg,2.08,1986
atg,2.07,1987
atg,2.06,1988
atg,2.06,1989
atg,2.06,1990
atg,2.07,1991
atg,2.1,1992
atg,2.13,1993
atg,2.17,1994
atg,2.21,1995
atg,2.25,1996
atg,2.28,1997
atg,2.3,1998
atg,2.32,1999
atg,2.32,2000
atg,2.31,2001
atg,2.29,2002
atg,2.27,2003
atg,2.25,2004
atg,2.22,2005
atg,2.2,2006
atg,2.18,2007
atg,2.16,2008
atg,2.15,2009
atg,2.13,2010
atg,2.12,2011
atg,2.1,2012
atg,2.09,2013
atg,2.08,2014
atg,2.06,2015
arg,6.8,1800
arg,6.8,1801
arg,6.8,1802
arg,6.8,1803
arg,6.8,1804
arg,6.8,1805
arg,6.8,1806
arg,6.8,1807
arg,6.8,1808
arg,6.8,1809
arg,6.8,1810
arg,6.8,1811
arg,6.8,1812
arg,6.8,1813
arg,6.8,1814
arg,6.8,1815
arg,6.8,1816
arg,6.8,1817
arg,6.8,1818
arg,6.8,1819
arg,6.8,1820
arg,6.8,1821
arg,6.8,1822
arg,6.8,1823
arg,6.8,1824
arg,6.8,1825
arg,6.8,1826
arg,6.8,1827
arg,6.8,1828
arg,6.8,1829
arg,6.8,1830
arg,6.8,1831
arg,6.8,1832
arg,6.8,1833
arg,6.8,1834
arg,6.8,1835
arg,6.8,1836
arg,6.8,1837
arg,6.8,1838
arg,6.8,1839
arg,6.8,1840
arg,6.8,1841
arg,6.8,1842
arg,6.8,1843
arg,6.8,1844
arg,6.8,1845
arg,6.8,1846
arg,6.8,1847
arg,6.8,1848
arg,6.8,1849
arg,6.8,1850
arg,6.8,1851
arg,6.8,1852
arg,6.8,1853
arg,6.8,1854
arg,6.8,1855
arg,6.8,1856
arg,6.8,1857
arg,6.8,1858
arg,6.8,1859
arg,6.8,1860
arg,6.8,1861
arg,6.8,1862
arg,6.8,1863
arg,6.8,1864
arg,6.8,1865
arg,6.8,1866
arg,6.8,1867
arg,6.8,1868
arg,6.8,1869
arg,6.73,1870
arg,6.65,1871
arg,6.58,1872
arg,6.58,1873
arg,6.57,1874
arg,6.57,1875
arg,6.57,1876
arg,6.57,1877
arg,6.56,1878
arg,6.56,1879
arg,6.56,1880
arg,6.56,1881
arg,6.55,1882
arg,6.47,1883
arg,6.39,1884
arg,6.3,1885
arg,6.22,1886
arg,6.14,1887
arg,6.09,1888
arg,6.04,1889
arg,5.99,1890
arg,5.94,1891
arg,5.9,1892
arg,6.26,1893
arg,6.63,1894
arg,7.0,1895
arg,6.48,1896
arg,5.96,1897
arg,5.96,1898
arg,5.95,1899
arg,5.95,1900
arg,5.94,1901
arg,5.94,1902
arg,5.88,1903
arg,5.82,1904
arg,5.76,1905
arg,5.7,1906
arg,5.64,1907
arg,5.56,1908
arg,5.49,1909
arg,5.41,1910
arg,5.33,1911
arg,5.25,1912
arg,5.28,1913
arg,5.3,1914
arg,5.23,1915
arg,5.15,1916
arg,5.08,1917
arg,5.01,1918
arg,4.94,1919
arg,4.86,1920
arg,4.79,1921
arg,4.72,1922
arg,4.65,1923
arg,4.57,1924
arg,4.5,1925
arg,4.43,1926
arg,4.36,1927
arg,4.26,1928
arg,4.17,1929
arg,4.07,1930
arg,3.98,1931
arg,3.89,1932
arg,3.8,1933
arg,3.71,1934
arg,3.62,1935
arg,3.53,1936
arg,3.44,1937
arg,3.44,1938
arg,3.43,1939
arg,3.43,1940
arg,3.42,1941
arg,3.42,1942
arg,3.37,1943
arg,3.33,1944
arg,3.29,1945
arg,3.24,1946
arg,3.2,1947
arg,3.19,1948
arg,3.18,1949
arg,3.16,1950
arg,3.16,1951
arg,3.16,1952
arg,3.15,1953
arg,3.15,1954
arg,3.14,1955
arg,3.14,1956
arg,3.13,1957
arg,3.12,1958
arg,3.12,1959
arg,3.11,1960
arg,3.1,1961
arg,3.09,1962
arg,3.08,1963
arg,3.07,1964
arg,3.06,1965
arg,3.05,1966
arg,3.05,1967
arg,3.05,1968
arg,3.06,1969
arg,3.07,1970
arg,3.1,1971
arg,3.15,1972
arg,3.2,1973
arg,3.26,1974
arg,3.32,1975
arg,3.37,1976
arg,3.39,1977
arg,3.39,1978
arg,3.37,1979
arg,3.33,1980
arg,3.27,1981
arg,3.21,1982
arg,3.16,1983
arg,3.12,1984
arg,3.09,1985
arg,3.07,1986
arg,3.06,1987
arg,3.04,1988
arg,3.02,1989
arg,2.99,1990
arg,2.96,1991
arg,2.92,1992
arg,2.88,1993
arg,2.83,1994
arg,2.77,1995
arg,2.72,1996
arg,2.66,1997
arg,2.6,1998
arg,2.54,1999
arg,2.48,2000
arg,2.42,2001
arg,2.38,2002
arg,2.34,2003
arg,2.31,2004
arg,2.29,2005
arg,2.27,2006
arg,2.25,2007
arg,2.24,2008
arg,2.23,2009
arg,2.22,2010
arg,2.2,2011
arg,2.19,2012
arg,2.18,2013
arg,2.16,2014
arg,2.15,2015
arm,7.8,1800
arm,7.8,1801
arm,7.81,1802
arm,7.81,1803
arm,7.81,1804
arm,7.82,1805
arm,7.82,1806
arm,7.82,1807
arm,7.83,1808
arm,7.83,1809
arm,7.83,1810
arm,7.83,1811
arm,7.84,1812
arm,7.84,1813
arm,7.84,1814
arm,7.85,1815
arm,7.85,1816
arm,7.85,1817
arm,7.86,1818
arm,7.86,1819
arm,7.86,1820
arm,7.87,1821
arm,7.87,1822
arm,7.87,1823
arm,7.88,1824
arm,7.88,1825
arm,7.88,1826
arm,7.89,1827
arm,7.89,1828
arm,7.89,1829
arm,7.89,1830
arm,7.9,1831
arm,7.9,1832
arm,7.9,1833
arm,7.91,1834
arm,7.91,1835
arm,7.91,1836
arm,7.92,1837
arm,7.92,1838
arm,7.92,1839
arm,7.93,1840
arm,7.93,1841
arm,7.93,1842
arm,7.94,1843
arm,7.94,1844
arm,7.94,1845
arm,7.95,1846
arm,7.95,1847
arm,7.95,1848
arm,7.95,1849
arm,7.96,1850
arm,7.96,1851
arm,7.96,1852
arm,7.97,1853
arm,7.97,1854
arm,7.97,1855
arm,7.98,1856
arm,7.98,1857
arm,7.98,1858
arm,7.99,1859
arm,7.99,1860
arm,7.99,1861
arm,8.0,1862
arm,8.0,1863
arm,8.0,1864
arm,8.01,1865
arm,8.01,1866
arm,8.01,1867
arm,8.01,1868
arm,8.02,1869
arm,8.02,1870
arm,8.02,1871
arm,8.03,1872
arm,8.03,1873
arm,8.03,1874
arm,8.04,1875
arm,8.04,1876
arm,8.04,1877
arm,8.05,1878
arm,8.05,1879
arm,8.05,1880
arm,8.06,1881
arm,8.06,1882
arm,8.06,1883
arm,8.07,1884
arm,8.07,1885
arm,8.07,1886
arm,8.07,1887
arm,8.08,1888
arm,8.08,1889
arm,8.08,1890
arm,8.09,1891
arm,8.09,1892
arm,8.09,1893
arm,8.1,1894
arm,8.1,1895
arm,8.09,1896
arm,8.08,1897
arm,8.07,1898
arm,8.06,1899
