geo,corruption_perception_index_cpi,time
bgd,2.4,2008
bgd,2.4,2009
blr,2.4,2008
blr,2.5,2009
phl,2.4,2008
phl,2.4,2009
aze,2.3,2008
aze,2.4,2009
com,2.3,2008
com,2.1,2009
npl,2.3,2008
npl,2.2,2009
ken,2.2,2008
ken,2.1,2009
rus,2.2,2008
rus,2.1,2009
sle,2.2,2008
sle,2.4,2009
tls,2.2,2008
tls,2.5,2009
ukr,2.2,2008
ukr,2.4,2009
zwe,2.2,2008
zwe,2.4,2009
cmr,2.2,2008
cmr,2.2,2009
ecu,2.2,2008
ecu,2.5,2009
civ,2.1,2008
civ,2.2,2009
pry,2.1,2008
pry,2.2,2009
png,2.1,2008
png,2.1,2009
yem,2.1,2008
yem,2.2,2009
caf,2.0,2008
caf,2.1,2009
tjk,2.0,2008
tjk,2.1,2009
lao,2.0,2008
lao,2.1,2009
khm,2.0,2008
khm,2.1,2009
gnb,1.9,2008
gnb,2.1,2009
kgz,1.9,2008
kgz,2.0,2009
ven,1.9,2008
ven,2.0,2009
ago,1.9,2008
ago,1.9,2009
cog,1.9,2008
cog,2.1,2009
cod,1.9,2008
cod,2.0,2009
tkm,1.8,2008
tkm,1.6,2009
hti,1.8,2008
hti,2.2,2009
gnq,1.8,2008
gnq,1.9,2009
bdi,1.8,2008
bdi,1.8,2009
gin,1.8,2008
gin,2.0,2009
irn,1.8,2008
irn,2.2,2009
uzb,1.7,2008
uzb,1.6,2009
tcd,1.6,2008
tcd,1.7,2009
sdn,1.5,2008
sdn,1.6,2009
irq,1.5,2008
irq,1.5,2009
mmr,1.4,2008
mmr,1.4,2009
afg,1.3,2008
afg,1.4,2009
som,1.1,2008
som,1.1,2009
