geo,murder_per_100000_people,time
afg,4.651,2002
afg,3.837,2004
afg,3.837,2005
alb,5.973,2002
alb,8.116,2003
alb,6.681,2004
alb,7.327,2005
dza,13.1,2002
dza,14.41,2003
dza,9.806,2004
dza,4.389,2005
and,0.7675,2002
and,0.7265,2004
and,0.7265,2005
ago,51.06,2002
ago,48.21,2004
ago,48.21,2005
atg,10.83,2002
atg,7.485,2004
atg,7.485,2005
arg,4.729,1966
arg,6.114,1967
arg,6.925,1968
arg,7.499,1969
arg,7.352,1970
arg,9.417,1977
arg,5.861,1978
arg,3.726,1979
arg,3.678,1980
arg,4.079,1981
arg,4.291,1982
arg,4.342,1983
arg,5.018,1984
arg,5.292,1985
arg,6.015,1986
arg,5.767,1987
arg,5.935,1988
arg,6.26,1989
arg,5.283,1990
arg,4.519,1991
arg,4.819,1992
arg,4.661,1993
arg,4.601,1994
arg,4.334,1995
arg,4.741,1996
arg,4.958,1997
arg,4.904,1998
arg,5.453,1999
arg,5.967,2000
arg,7.111,2001
arg,7.714,2002
arg,7.412,2003
arg,5.884,2004
arg,5.254,2005
arm,3.561,2002
arm,3.256,2003
arm,3.211,2004
arm,2.352,2005
aus,1.016,1950
aus,1.333,1951
aus,1.461,1952
aus,1.253,1953
aus,1.3,1954
aus,1.388,1955
aus,1.31,1956
aus,1.348,1957
aus,1.539,1958
aus,1.516,1959
aus,1.513,1960
aus,1.402,1961
aus,1.555,1962
aus,1.385,1963
aus,1.549,1964
aus,1.494,1965
aus,1.398,1966
aus,1.432,1967
aus,1.658,1968
aus,1.328,1969
aus,1.571,1970
aus,1.867,1971
aus,1.774,1972
aus,1.993,1973
aus,1.892,1974
aus,1.702,1975
aus,2.104,1976
aus,1.962,1977
aus,1.859,1978
aus,1.876,1979
aus,1.92,1980
aus,1.902,1981
aus,1.997,1982
aus,1.781,1983
aus,2.006,1984
aus,1.981,1985
aus,1.945,1986
aus,2.1,1987
aus,1.985,1988
aus,1.797,1989
aus,2.145,1990
aus,1.92,1991
aus,1.682,1992
aus,1.833,1993
aus,1.769,1994
aus,1.618,1995
aus,1.744,1996
aus,1.678,1997
aus,1.56,1998
aus,1.553,1999
aus,1.592,2000
aus,1.583,2001
aus,1.471,2002
aus,1.316,2003
aus,0.78,2004
aus,0.78,2005
aut,0.9754,1955
aut,1.578,1956
aut,1.195,1957
aut,0.9651,1958
aut,1.157,1959
aut,1.222,1960
aut,1.082,1961
aut,0.9956,1962
aut,0.8497,1963
aut,1.013,1964
aut,1.008,1965
aut,1.102,1966
aut,0.9906,1967
aut,0.9596,1968
aut,1.12,1969
aut,1.49,1970
aut,1.348,1971
aut,1.339,1972
aut,1.504,1973
aut,1.604,1974
aut,1.679,1975
aut,1.289,1976
aut,1.298,1977
aut,1.515,1978
aut,1.317,1979
aut,1.208,1980
aut,1.254,1981
aut,1.53,1982
aut,1.72,1983
aut,1.725,1984
aut,1.44,1985
aut,1.316,1986
aut,1.296,1987
aut,1.181,1988
aut,1.135,1989
aut,1.61,1990
aut,1.232,1991
aut,1.395,1992
aut,1.308,1993
aut,1.096,1994
aut,1.014,1995
aut,1.127,1996
aut,0.88,1997
aut,1.091,1998
aut,0.8086,1999
aut,0.8752,2000
aut,0.9442,2001
aut,0.8481,2002
aut,0.6066,2003
aut,0.7077,2004
aut,0.8094,2005
aze,4.096,1981
aze,3.602,1982
aze,2.856,1985
aze,3.498,1986
aze,2.758,1987
aze,3.877,1988
aze,2.538,1989
aze,6.503,1990
aze,5.311,1991
aze,50.56,1992
aze,40.68,1993
aze,60.62,1994
aze,9.162,1995
aze,7.75,1996
aze,6.293,1997
aze,5.968,1998
aze,4.996,1999
aze,3.25,2000
aze,2.999,2002
aze,2.937,2004
aze,2.694,2005
bhs,18.28,1999
bhs,23.34,2000
bhs,18.42,2001
bhs,20.97,2002
bhs,16.21,2003
bhs,22.38,2004
bhs,17.14,2005
bhr,0.192,1985
bhr,1.182,1987
bhr,0.6599,1988
bhr,0.4836,1997
bhr,0.2851,1998
bhr,0.2714,1999
bhr,1.127,2000
bhr,0.5156,2001
bhr,0.8951,2002
bhr,1.108,2004
bhr,0.6192,2005
bgd,9.859,2002
bgd,9.665,2004
bgd,8.758,2005
brb,8.708,2000
brb,9.267,2001
brb,7.627,2002
brb,8.284,2003
brb,14.48,2004
brb,14.48,2005
blr,4.727,1981
blr,5.759,1982
blr,4.555,1985
blr,3.946,1986
blr,4.42,1987
blr,5.151,1988
blr,6.637,1989
blr,6.87,1990
blr,6.362,1991
blr,8.558,1992
blr,10.18,1993
blr,10.36,1994
blr,11.21,1995
blr,11.28,1997
blr,11.53,1998
blr,10.51,1999
blr,10.51,2000
blr,10.21,2001
blr,10.37,2002
blr,8.668,2003
blr,8.917,2004
blr,8.917,2005
bel,0.6253,1954
bel,0.6709,1955
bel,0.668,1956
bel,0.6137,1957
bel,0.5746,1958
bel,0.6268,1959
bel,0.6314,1960
bel,0.6816,1961
bel,0.5409,1962
bel,0.6386,1963
bel,0.5831,1964
bel,0.734,1965
bel,0.7379,1966
bel,0.7812,1967
bel,0.8244,1968
bel,0.7809,1969
bel,1.045,1970
bel,1.041,1971
bel,1.171,1972
bel,1.034,1973
bel,1.023,1974
bel,0.8588,1975
bel,0.9455,1976
bel,0.8581,1977
bel,1.051,1978
bel,1.621,1979
bel,1.462,1980
bel,1.314,1981
bel,1.378,1982
bel,1.741,1983
bel,1.67,1984
bel,1.928,1985
bel,2.093,1986
bel,1.529,1987
bel,1.523,1988
bel,1.33,1989
bel,1.337,1990
bel,1.31,1991
bel,1.619,1992
bel,1.849,1993
bel,1.694,1994
bel,1.551,1995
bel,1.898,1996
bel,1.747,1997
bel,1.911,1998
bel,2.373,1999
bel,1.676,2002
bel,1.635,2004
bel,1.352,2005
blz,11.15,1997
blz,27.2,1998
blz,18.88,1999
blz,33.61,2000
blz,31.38,2001
blz,15.49,2002
blz,25.93,2003
blz,28.03,2004
blz,28.11,2005
ben,12.7,2002
ben,15.82,2004
ben,15.82,2005
btn,6.315,2002
btn,5.696,2004
btn,4.072,2005
bol,4.741,2002
bol,4.38,2004
bol,4.38,2005
bih,0.08676,1985
bih,0.1312,1986
bih,0.2366,1987
bih,0.05926,1988
bih,0.04168,1989
bih,0.01859,1990
bih,0.08532,1991
bih,1.887,2002
bih,1.773,2004
bih,1.826,2005
bwa,7.339,2002
bwa,24.19,2004
bwa,22.86,2005
bra,13.84,1982
bra,14.67,1983
bra,16.07,1984
bra,15.58,1985
bra,16.07,1986
bra,17.23,1987
bra,16.99,1988
bra,20.21,1989
bra,21.88,1990
bra,20.66,1991
bra,18.75,1992
bra,19.73,1993
bra,20.44,1994
bra,22.95,1995
bra,23.54,1996
bra,23.93,1997
bra,24.15,1998
bra,24.28,1999
bra,25.06,2000
bra,26.07,2001
bra,26.53,2002
bra,26.85,2003
bra,25.08,2004
bra,24.41,2005
brn,1.204,2002
brn,0.9151,2004
brn,0.9151,2005
bgr,2.102,1964
bgr,1.954,1965
bgr,2.439,1966
bgr,1.991,1967
bgr,2.19,1968
bgr,2.714,1969
bgr,2.116,1970
bgr,2.746,1971
bgr,2.681,1972
bgr,2.305,1973
bgr,2.441,1974
bgr,2.251,1975
bgr,1.999,1976
bgr,2.325,1977
bgr,2.518,1978
bgr,2.186,1979
bgr,2.426,1980
bgr,3.164,1981
bgr,3.141,1982
bgr,2.713,1983
bgr,2.978,1984
bgr,3.029,1985
bgr,2.772,1986
bgr,2.286,1987
bgr,2.46,1988
bgr,2.483,1989
bgr,3.195,1990
bgr,3.757,1991
bgr,4.427,1992
bgr,4.744,1993
bgr,4.813,1994
bgr,4.456,1995
bgr,4.73,1996
bgr,4.16,1997
bgr,3.549,1998
bgr,2.608,1999
bgr,3.158,2000
bgr,2.841,2001
bgr,2.618,2002
bgr,2.446,2003
bgr,2.527,2004
bgr,2.035,2005
bfa,17.13,2002
bfa,22.52,2004
bfa,22.52,2005
bdi,23.44,2002
bdi,44.78,2004
bdi,44.78,2005
khm,21.82,2002
khm,21.61,2004
khm,18.65,2005
cmr,12.96,2002
cmr,19.0,2004
cmr,19.0,2005
can,0.9494,1950
can,1.043,1951
can,1.019,1952
can,1.123,1953
can,1.134,1954
can,1.082,1955
can,1.154,1956
can,1.077,1957
can,1.204,1958
can,1.049,1959
can,1.467,1960
can,1.271,1961
can,1.486,1962
can,1.398,1963
can,1.362,1964
can,1.402,1965
can,1.335,1966
can,1.65,1967
can,1.763,1968
can,1.931,1969
can,2.139,1970
can,2.307,1971
can,2.445,1972
can,2.546,1973
can,2.517,1974
can,2.714,1975
can,2.499,1976
can,2.615,1977
can,2.496,1978
can,2.432,1979
can,2.04,1980
can,2.259,1981
can,2.359,1982
can,2.315,1983
can,2.24,1984
can,2.036,1985
can,1.972,1986
can,2.118,1987
can,1.805,1988
can,2.047,1989
can,2.015,1990
can,2.207,1991
can,2.023,1992
can,1.75,1993
can,1.687,1994
can,1.6,1995
can,1.708,1996
can,1.429,1997
can,1.529,1998
can,1.483,1999
can,1.504,2000
can,1.507,2001
can,1.5,2002
can,1.433,2003
can,1.605,2004
can,1.716,2005
cpv,2.308,2002
cpv,12.12,2004
cpv,12.12,2005
caf,28.6,2002
caf,36.04,2004
caf,36.04,2005
tcd,15.0,2002
tcd,23.83,2004
tcd,23.83,2005
chl,4.157,1955
chl,5.11,1956
chl,5.719,1957
chl,5.722,1958
chl,4.731,1959
chl,5.913,1960
chl,6.572,1961
chl,2.097,1962
chl,2.031,1963
chl,2.646,1964
chl,2.373,1965
chl,8.107,1966
chl,2.148,1967
chl,7.999,1968
chl,5.936,1969
chl,4.231,1970
chl,4.659,1971
chl,5.541,1972
chl,6.175,1973
