geo,all_forms_of_tb_detection_rate_percent_dots_only,time
tgo,7,2003
tgo,9,2004
tgo,10,2005
tgo,10,2006
tgo,8,2007
tkl,0,2003
ton,67,1995
ton,68,1996
ton,70,1997
ton,107,1998
ton,76,1999
ton,85,2000
ton,41,2001
ton,107,2002
ton,62,2003
ton,48,2004
ton,72,2005
ton,74,2006
ton,95,2007
tun,75,1999
tun,83,2000
tun,81,2001
tun,80,2002
tun,83,2003
tun,82,2004
tun,83,2005
tun,82,2006
tun,84,2007
tur,2,2003
tur,3,2004
tur,3,2005
tur,86,2006
tur,80,2007
tkm,25,2000
tkm,46,2001
tkm,47,2002
tkm,48,2003
tkm,46,2004
tkm,48,2005
tkm,58,2006
tkm,84,2007
tuv,65,2005
tuv,50,2006
tuv,97,2007
uga,37,1997
uga,37,1998
uga,44,1999
uga,34,2000
uga,38,2001
uga,38,2002
uga,37,2003
uga,39,2004
uga,37,2005
uga,38,2006
uga,39,2007
ukr,82,2006
ukr,74,2007
are,20,2000
are,12,2001
are,14,2002
are,18,2003
are,13,2004
are,15,2005
are,13,2006
are,13,2007
gbr,0,2005
gbr,0,2007
tza,47,1995
tza,48,1996
tza,46,1997
tza,49,1998
tza,47,1999
tza,46,2000
tza,48,2001
tza,47,2002
tza,47,2003
tza,48,2004
tza,47,2005
tza,47,2006
tza,48,2007
vir,53,1996
usa,104,1993
usa,105,1994
usa,105,1995
usa,105,1996
usa,105,1997
usa,103,1998
usa,105,1999
usa,103,2000
usa,106,2001
usa,103,2002
usa,105,2003
usa,105,2004
usa,104,2005
usa,105,2006
usa,105,2007
ury,72,1995
ury,79,1996
ury,81,1997
ury,76,1998
ury,71,1999
ury,73,2000
ury,68,2001
ury,65,2002
ury,86,2003
ury,87,2004
ury,80,2005
ury,70,2006
ury,76,2007
uzb,0,1998
uzb,2,1999
uzb,5,2000
uzb,9,2001
uzb,37,2002
uzb,32,2003
uzb,41,2004
uzb,53,2005
uzb,71,2006
uzb,58,2007
vut,45,1999
vut,55,2000
vut,68,2001
vut,38,2002
vut,57,2003
vut,64,2004
vut,41,2005
vut,72,2006
vut,70,2007
ven,69,1995
ven,69,1996
ven,71,1997
ven,73,1998
ven,75,1999
ven,73,2000
ven,65,2001
ven,62,2002
ven,73,2003
ven,73,2004
ven,73,2005
ven,70,2006
ven,67,2007
vnm,18,1995
vnm,33,1996
vnm,51,1997
vnm,55,1998
vnm,58,1999
vnm,58,2000
vnm,59,2001
vnm,61,2002
vnm,59,2003
vnm,62,2004
vnm,60,2005
vnm,61,2006
vnm,61,2007
wlf,90,2001
wlf,47,2002
wlf,84,2003
wlf,90,2005
wlf,90,2007
pse,5,2000
pse,4,2001
pse,4,2003
pse,3,2004
pse,4,2005
pse,5,2006
pse,4,2007
yem,1,1995
yem,4,1996
yem,13,1997
yem,17,1998
yem,27,1999
yem,34,2000
yem,39,2001
yem,38,2002
yem,35,2003
yem,38,2004
yem,32,2005
yem,28,2006
yem,30,2007
zmb,58,2002
zmb,72,2003
zmb,74,2004
zmb,71,2005
zmb,72,2006
zmb,74,2007
zwe,66,1998
zwe,64,1999
zwe,59,2000
zwe,58,2001
zwe,57,2002
zwe,48,2003
zwe,50,2004
zwe,45,2005
zwe,41,2006
zwe,37,2007
