newborn_deaths,geo,time
6853,aze,1994
6505,aze,1995
6054,aze,1996
5552,aze,1997
5035,aze,1998
4560,aze,1999
4176,aze,2000
3905,aze,2001
3712,aze,2002
3604,aze,2003
3531,aze,2004
3494,aze,2005
3445,aze,2006
3418,aze,2007
3410,aze,2008
3465,aze,2009
3597,aze,2010
3829,aze,2011
4123,aze,2012
4350,aze,2013
4401,aze,2014
4267,aze,2015
76,bhs,1969
76,bhs,1970
80,bhs,1971
88,bhs,1972
97,bhs,1973
104,bhs,1974
108,bhs,1975
106,bhs,1976
101,bhs,1977
94,bhs,1978
88,bhs,1979
88,bhs,1980
93,bhs,1981
102,bhs,1982
111,bhs,1983
118,bhs,1984
119,bhs,1985
113,bhs,1986
102,bhs,1987
90,bhs,1988
79,bhs,1989
72,bhs,1990
71,bhs,1991
72,bhs,1992
75,bhs,1993
76,bhs,1994
73,bhs,1995
68,bhs,1996
61,bhs,1997
54,bhs,1998
48,bhs,1999
44,bhs,2000
43,bhs,2001
44,bhs,2002
45,bhs,2003
48,bhs,2004
49,bhs,2005
50,bhs,2006
51,bhs,2007
52,bhs,2008
51,bhs,2009
50,bhs,2010
49,bhs,2011
46,bhs,2012
44,bhs,2013
42,bhs,2014
40,bhs,2015
255,bhr,1971
234,bhr,1972
216,bhr,1973
203,bhr,1974
197,bhr,1975
195,bhr,1976
198,bhr,1977
205,bhr,1978
212,bhr,1979
214,bhr,1980
219,bhr,1981
221,bhr,1982
224,bhr,1983
226,bhr,1984
229,bhr,1985
230,bhr,1986
231,bhr,1987
231,bhr,1988
229,bhr,1989
222,bhr,1990
208,bhr,1991
188,bhr,1992
166,bhr,1993
143,bhr,1994
122,bhr,1995
103,bhr,1996
87,bhr,1997
76,bhr,1998
66,bhr,1999
60,bhr,2000
54,bhr,2001
48,bhr,2002
43,bhr,2003
39,bhr,2004
35,bhr,2005
32,bhr,2006
29,bhr,2007
27,bhr,2008
26,bhr,2009
25,bhr,2010
25,bhr,2011
25,bhr,2012
26,bhr,2013
24,bhr,2014
24,bhr,2015
197300,bgd,1953
199400,bgd,1954
204700,bgd,1955
211100,bgd,1956
218700,bgd,1957
227200,bgd,1958
235200,bgd,1959
240900,bgd,1960
243700,bgd,1961
245200,bgd,1962
245800,bgd,1963
247400,bgd,1964
250700,bgd,1965
257000,bgd,1966
265200,bgd,1967
273900,bgd,1968
281100,bgd,1969
284500,bgd,1970
284600,bgd,1971
280900,bgd,1972
276500,bgd,1973
274700,bgd,1974
277100,bgd,1975
282700,bgd,1976
291000,bgd,1977
300900,bgd,1978
308900,bgd,1979
311900,bgd,1980
308100,bgd,1981
300600,bgd,1982
291000,bgd,1983
281200,bgd,1984
272200,bgd,1985
263900,bgd,1986
256700,bgd,1987
250000,bgd,1988
242500,bgd,1989
233900,bgd,1990
224200,bgd,1991
214500,bgd,1992
204600,bgd,1993
194800,bgd,1994
186300,bgd,1995
178300,bgd,1996
171900,bgd,1997
166000,bgd,1998
160200,bgd,1999
154400,bgd,2000
148300,bgd,2001
142700,bgd,2002
136700,bgd,2003
130200,bgd,2004
123800,bgd,2005
117100,bgd,2006
109800,bgd,2007
103000,bgd,2008
96820,bgd,2009
91440,bgd,2010
86840,bgd,2011
82870,bgd,2012
79860,bgd,2013
77110,bgd,2014
74380,bgd,2015
165,brb,1968
144,brb,1969
129,brb,1970
121,brb,1971
118,brb,1972
117,brb,1973
116,brb,1974
111,brb,1975
102,brb,1976
91,brb,1977
79,brb,1978
70,brb,1979
65,brb,1980
63,brb,1981
64,brb,1982
67,brb,1983
69,brb,1984
69,brb,1985
67,brb,1986
63,brb,1987
57,brb,1988
51,brb,1989
46,brb,1990
43,brb,1991
40,brb,1992
39,brb,1993
37,brb,1994
36,brb,1995
34,brb,1996
32,brb,1997
31,brb,1998
30,brb,1999
30,brb,2000
31,brb,2001
33,brb,2002
34,brb,2003
36,brb,2004
36,brb,2005
36,brb,2006
35,brb,2007
33,brb,2008
31,brb,2009
30,brb,2010
30,brb,2011
29,brb,2012
28,brb,2013
28,brb,2014
27,brb,2015
1370,blr,1990
1261,blr,1991
1167,blr,1992
1081,blr,1993
994,blr,1994
930,blr,1995
896,blr,1996
851,blr,1997
808,blr,1998
755,blr,1999
681,blr,2000
615,blr,2001
557,blr,2002
508,blr,2003
457,blr,2004
417,blr,2005
373,blr,2006
328,blr,2007
293,blr,2008
268,blr,2009
254,blr,2010
252,blr,2011
251,blr,2012
248,blr,2013
240,blr,2014
239,blr,2015
3344,bel,1960
3210,bel,1961
3007,bel,1962
2828,bel,1963
2681,bel,1964
2585,bel,1965
2462,bel,1966
2323,bel,1967
2163,bel,1968
2005,bel,1969
1878,bel,1970
1775,bel,1971
1728,bel,1972
1675,bel,1973
1594,bel,1974
1477,bel,1975
1351,bel,1976
1208,bel,1977
1081,bel,1978
974,bel,1979
889,bel,1980
838,bel,1981
794,bel,1982
765,bel,1983
734,bel,1984
688,bel,1985
661,bel,1986
631,bel,1987
589,bel,1988
561,bel,1989
537,bel,1990
517,bel,1991
500,bel,1992
495,bel,1993
474,bel,1994
461,bel,1995
429,bel,1996
406,bel,1997
370,bel,1998
339,bel,1999
325,bel,2000
316,bel,2001
311,bel,2002
321,bel,2003
319,bel,2004
317,bel,2005
325,bel,2006
319,bel,2007
312,bel,2008
316,bel,2009
304,bel,2010
303,bel,2011
300,bel,2012
283,bel,2013
279,bel,2014
278,bel,2015
166,blz,1968
168,blz,1969
168,blz,1970
170,blz,1971
172,blz,1972
172,blz,1973
171,blz,1974
168,blz,1975
163,blz,1976
156,blz,1977
149,blz,1978
145,blz,1979
143,blz,1980
145,blz,1981
149,blz,1982
153,blz,1983
156,blz,1984
155,blz,1985
151,blz,1986
143,blz,1987
135,blz,1988
127,blz,1989
120,blz,1990
115,blz,1991
111,blz,1992
108,blz,1993
106,blz,1994
104,blz,1995
102,blz,1996
100,blz,1997
99,blz,1998
98,blz,1999
96,blz,2000
94,blz,2001
91,blz,2002
87,blz,2003
84,blz,2004
82,blz,2005
79,blz,2006
76,blz,2007
74,blz,2008
72,blz,2009
71,blz,2010
71,blz,2011
71,blz,2012
71,blz,2013
71,blz,2014
70,blz,2015
6289,ben,1958
6366,ben,1959
6463,ben,1960
6563,ben,1961
6679,ben,1962
6819,ben,1963
6954,ben,1964
7059,ben,1965
7157,ben,1966
7258,ben,1967
7352,ben,1968
7467,ben,1969
7609,ben,1970
7713,ben,1971
7832,ben,1972
7966,ben,1973
8086,ben,1974
8189,ben,1975
8285,ben,1976
8382,ben,1977
8507,ben,1978
8639,ben,1979
8808,ben,1980
8928,ben,1981
9074,ben,1982
9209,ben,1983
9387,ben,1984
9573,ben,1985
9727,ben,1986
9869,ben,1987
10000,ben,1988
10140,ben,1989
10250,ben,1990
10340,ben,1991
10430,ben,1992
10570,ben,1993
10710,ben,1994
10830,ben,1995
11000,ben,1996
11100,ben,1997
11190,ben,1998
11260,ben,1999
11330,ben,2000
11300,ben,2001
11350,ben,2002
11370,ben,2003
11400,ben,2004
11460,ben,2005
11510,ben,2006
11540,ben,2007
11590,ben,2008
11650,ben,2009
11720,ben,2010
11820,ben,2011
11840,ben,2012
11900,ben,2013
11920,ben,2014
11960,ben,2015
920,btn,1990
875,btn,1991
810,btn,1992
732,btn,1993
666,btn,1994
620,btn,1995
579,btn,1996
554,btn,1997
542,btn,1998
532,btn,1999
518,btn,2000
497,btn,2001
471,btn,2002
448,btn,2003
426,btn,2004
407,btn,2005
394,btn,2006
384,btn,2007
373,btn,2008
358,btn,2009
337,btn,2010
314,btn,2011
287,btn,2012
262,btn,2013
242,btn,2014
226,btn,2015
12620,bol,1966
12370,bol,1967
12060,bol,1968
11770,bol,1969
11570,bol,1970
11410,bol,1971
11370,bol,1972
11340,bol,1973
11320,bol,1974
11320,bol,1975
11260,bol,1976
11240,bol,1977
11190,bol,1978
11100,bol,1979
11070,bol,1980
11000,bol,1981
10960,bol,1982
10880,bol,1983
10790,bol,1984
10620,bol,1985
10400,bol,1986
10200,bol,1987
10050,bol,1988
9910,bol,1989
9809,bol,1990
9629,bol,1991
9485,bol,1992
9371,bol,1993
9256,bol,1994
9085,bol,1995
8811,bol,1996
8481,bol,1997
8163,bol,1998
7826,bol,1999
7571,bol,2000
7335,bol,2001
7163,bol,2002
7035,bol,2003
6909,bol,2004
6767,bol,2005
6556,bol,2006
6305,bol,2007
6085,bol,2008
5836,bol,2009
5632,bol,2010
5437,bol,2011
5237,bol,2012
5092,bol,2013
4935,bol,2014
4823,bol,2015
1349,bih,1985
1220,bih,1986
1080,bih,1987
946,bih,1988
822,bih,1989
723,bih,1990
652,bih,1991
581,bih,1992
508,bih,1993
448,bih,1994
412,bih,1995
387,bih,1996
376,bih,1997
370,bih,1998
354,bih,1999
321,bih,2000
272,bih,2001
219,bih,2002
170,bih,2003
135,bih,2004
120,bih,2005
127,bih,2006
150,bih,2007
180,bih,2008
210,bih,2009
220,bih,2010
215,bih,2011
192,bih,2012
167,bih,2013
141,bih,2014
124,bih,2015
1061,bwa,1965
1063,bwa,1966
1058,bwa,1967
1050,bwa,1968
1040,bwa,1969
1037,bwa,1970
1033,bwa,1971
1036,bwa,1972
1041,bwa,1973
1057,bwa,1974
1077,bwa,1975
1101,bwa,1976
1128,bwa,1977
1155,bwa,1978
1183,bwa,1979
1204,bwa,1980
1223,bwa,1981
1227,bwa,1982
1229,bwa,1983
1229,bwa,1984
1224,bwa,1985
1217,bwa,1986
1215,bwa,1987
1209,bwa,1988
1199,bwa,1989
1191,bwa,1990
1180,bwa,1991
1167,bwa,1992
1159,bwa,1993
1152,bwa,1994
1140,bwa,1995
1133,bwa,1996
1132,bwa,1997
1128,bwa,1998
1127,bwa,1999
1130,bwa,2000
1140,bwa,2001
1151,bwa,2002
1162,bwa,2003
1173,bwa,2004
1183,bwa,2005
1195,bwa,2006
1208,bwa,2007
1222,bwa,2008
1233,bwa,2009
1247,bwa,2010
1261,bwa,2011
1280,bwa,2012
1294,bwa,2013
1290,bwa,2014
1268,bwa,2015
167600,bra,1963
170500,bra,1964
171300,bra,1965
169400,bra,1966
165400,bra,1967
160000,bra,1968
154400,bra,1969
150500,bra,1970
148500,bra,1971
147800,bra,1972
148300,bra,1973
148300,bra,1974
147600,bra,1975
146200,bra,1976
144400,bra,1977
142500,bra,1978
140000,bra,1979
137700,bra,1980
134500,bra,1981
131200,bra,1982
126900,bra,1983
122300,bra,1984
116400,bra,1985
110600,bra,1986
103900,bra,1987
97420,bra,1988
90960,bra,1989
85530,bra,1990
80850,bra,1991
77000,bra,1992
73670,bra,1993
71200,bra,1994
69530,bra,1995
68340,bra,1996
67090,bra,1997
66140,bra,1998
64340,bra,1999
61050,bra,2000
56610,bra,2001
52120,bra,2002
47690,bra,2003
43470,bra,2004
39580,bra,2005
35650,bra,2006
32710,bra,2007
30870,bra,2008
30330,bra,2009
30380,bra,2010
30980,bra,2011
31640,bra,2012
31640,bra,2013
30420,bra,2014
28600,bra,2015
46,brn,1990
46,brn,1991
45,brn,1992
45,brn,1993
44,brn,1994
42,brn,1995
40,brn,1996
38,brn,1997
36,brn,1998
34,brn,1999
33,brn,2000
32,brn,2001
32,brn,2002
32,brn,2003
31,brn,2004
31,brn,2005
30,brn,2006
28,brn,2007
27,brn,2008
27,brn,2009
27,brn,2010
28,brn,2011
29,brn,2012
31,brn,2013
32,brn,2014
33,brn,2015
2901,bgr,1964
2847,bgr,1965
2837,bgr,1966
2836,bgr,1967
2814,bgr,1968
2754,bgr,1969
2695,bgr,1970
2668,bgr,1971
2656,bgr,1972
2655,bgr,1973
2646,bgr,1974
2612,bgr,1975
2558,bgr,1976
2466,bgr,1977
2347,bgr,1978
2215,bgr,1979
2068,bgr,1980
1916,bgr,1981
1766,bgr,1982
1620,bgr,1983
1482,bgr,1984
1376,bgr,1985
1324,bgr,1986
1307,bgr,1987
1317,bgr,1988
1340,bgr,1989
1348,bgr,1990
1305,bgr,1991
1208,bgr,1992
1079,bgr,1993
951,bgr,1994
858,bgr,1995
810,bgr,1996
790,bgr,1997
788,bgr,1998
774,bgr,1999
748,bgr,2000
714,bgr,2001
677,bgr,2002
641,bgr,2003
604,bgr,2004
575,bgr,2005
560,bgr,2006
557,bgr,2007
559,bgr,2008
559,bgr,2009
552,bgr,2010
514,bgr,2011
464,bgr,2012
412,bgr,2013
367,bgr,2014
335,bgr,2015
17620,bfa,1969
18170,bfa,1970
18540,bfa,1971
18920,bfa,1972
19170,bfa,1973
19250,bfa,1974
19300,bfa,1975
19250,bfa,1976
19200,bfa,1977
19180,bfa,1978
19320,bfa,1979
19500,bfa,1980
19570,bfa,1981
19620,bfa,1982
19650,bfa,1983
19560,bfa,1984
19250,bfa,1985
18850,bfa,1986
18420,bfa,1987
18110,bfa,1988
18020,bfa,1989
18200,bfa,1990
18460,bfa,1991
18800,bfa,1992
19190,bfa,1993
19580,bfa,1994
20030,bfa,1995
20410,bfa,1996
20840,bfa,1997
21250,bfa,1998
21560,bfa,1999
21820,bfa,2000
21950,bfa,2001
21970,bfa,2002
21820,bfa,2003
21610,bfa,2004
21230,bfa,2005
20830,bfa,2006
20550,bfa,2007
20300,bfa,2008
20050,bfa,2009
19640,bfa,2010
19250,bfa,2011
18930,bfa,2012
18650,bfa,2013
18400,bfa,2014
18350,bfa,2015
7026,bdi,1964
7274,bdi,1965
7488,bdi,1966
7630,bdi,1967
7761,bdi,1968
7825,bdi,1969
7870,bdi,1970
7887,bdi,1971
7878,bdi,1972
7885,bdi,1973
7960,bdi,1974
8135,bdi,1975
8294,bdi,1976
8530,bdi,1977
8806,bdi,1978
9072,bdi,1979
9313,bdi,1980
9411,bdi,1981
9513,bdi,1982
9590,bdi,1983
9688,bdi,1984
9889,bdi,1985
10120,bdi,1986
10410,bdi,1987
10770,bdi,1988
11120,bdi,1989
11360,bdi,1990
11500,bdi,1991
11510,bdi,1992
11420,bdi,1993
11310,bdi,1994
11180,bdi,1995
11030,bdi,1996
10890,bdi,1997
10820,bdi,1998
10780,bdi,1999
10890,bdi,2000
10920,bdi,2001
11040,bdi,2002
11250,bdi,2003
11470,bdi,2004
11720,bdi,2005
12010,bdi,2006
12260,bdi,2007
12540,bdi,2008
12720,bdi,2009
12970,bdi,2010
13090,bdi,2011
13170,bdi,2012
13200,bdi,2013
13260,bdi,2014
13240,bdi,2015
17490,khm,1976
14220,khm,1977
11160,khm,1978
9306,khm,1979
9095,khm,1980
10360,khm,1981
12770,khm,1982
15610,khm,1983
18000,khm,1984
19390,khm,1985
19150,khm,1986
18020,khm,1987
16310,khm,1988
14700,khm,1989
13680,khm,1990
13400,khm,1991
13650,khm,1992
14270,khm,1993
14770,khm,1994
14980,khm,1995
14680,khm,1996
14020,khm,1997
13080,khm,1998
12060,khm,1999
11210,khm,2000
10580,khm,2001
10030,khm,2002
9673,khm,2003
9376,khm,2004
9148,khm,2005
8970,khm,2006
8806,khm,2007
8592,khm,2008
8298,khm,2009
7914,khm,2010
7371,khm,2011
6813,khm,2012
6203,khm,2013
5661,khm,2014
5282,khm,2015
17460,cmr,1955
17170,cmr,1956
16970,cmr,1957
16760,cmr,1958
16660,cmr,1959
16720,cmr,1960
16890,cmr,1961
17220,cmr,1962
17640,cmr,1963
18110,cmr,1964
18530,cmr,1965
18770,cmr,1966
18840,cmr,1967
18730,cmr,1968
18550,cmr,1969
18390,cmr,1970
18280,cmr,1971
18250,cmr,1972
18380,cmr,1973
18730,cmr,1974
19230,cmr,1975
19680,cmr,1976
20160,cmr,1977
20550,cmr,1978
20920,cmr,1979
21220,cmr,1980
21520,cmr,1981
21770,cmr,1982
21860,cmr,1983
21860,cmr,1984
21590,cmr,1985
21220,cmr,1986
20920,cmr,1987
20820,cmr,1988
20900,cmr,1989
21150,cmr,1990
21440,cmr,1991
21810,cmr,1992
22140,cmr,1993
22470,cmr,1994
22750,cmr,1995
22930,cmr,1996
22930,cmr,1997
22680,cmr,1998
22270,cmr,1999
21880,cmr,2000
21630,cmr,2001
21530,cmr,2002
21560,cmr,2003
21690,cmr,2004
21890,cmr,2005
21890,cmr,2006
21770,cmr,2007
21610,cmr,2008
21520,cmr,2009
21510,cmr,2010
21330,cmr,2011
21160,cmr,2012
21140,cmr,2013
21120,cmr,2014
21070,cmr,2015
4670,can,1969
4266,can,1970
4046,can,1971
3913,can,1972
3825,can,1973
3666,can,1974
3502,can,1975
3304,can,1976
3135,can,1977
2939,can,1978
2673,can,1979
2429,can,1980
2282,can,1981
2145,can,1982
2052,can,1983
1997,can,1984
1939,can,1985
1834,can,1986
1765,can,1987
1734,can,1988
1705,can,1989
1681,can,1990
1669,can,1991
1661,can,1992
1646,can,1993
1654,can,1994
1635,can,1995
1548,can,1996
1441,can,1997
1328,can,1998
1229,can,1999
1189,can,2000
1207,can,2001
1217,can,2002
1278,can,2003
1350,can,2004
1393,can,2005
1439,can,2006
1451,can,2007
1457,can,2008
1489,can,2009
1464,can,2010
1418,can,2011
1356,can,2012
1288,can,2013
1227,can,2014
1181,can,2015
283,cpv,1975
274,cpv,1976
266,cpv,1977
263,cpv,1978
263,cpv,1979
267,cpv,1980
273,cpv,1981
283,cpv,1982
293,cpv,1983
301,cpv,1984
309,cpv,1985
312,cpv,1986
311,cpv,1987
308,cpv,1988
306,cpv,1989
305,cpv,1990
300,cpv,1991
294,cpv,1992
288,cpv,1993
284,cpv,1994
277,cpv,1995
271,cpv,1996
263,cpv,1997
250,cpv,1998
235,cpv,1999
218,cpv,2000
196,cpv,2001
177,cpv,2002
164,cpv,2003
156,cpv,2004
152,cpv,2005
152,cpv,2006
154,cpv,2007
158,cpv,2008
160,cpv,2009
159,cpv,2010
156,cpv,2011
150,cpv,2012
143,cpv,2013
138,cpv,2014
133,cpv,2015
4387,caf,1971
4418,caf,1972
4454,caf,1973
4488,caf,1974
4531,caf,1975
4564,caf,1976
4615,caf,1977
4690,caf,1978
4765,caf,1979
4880,caf,1980
5009,caf,1981
5170,caf,1982
5359,caf,1983
5548,caf,1984
5692,caf,1985
5828,caf,1986
5907,caf,1987
5969,caf,1988
6012,caf,1989
6057,caf,1990
6074,caf,1991
6080,caf,1992
6111,caf,1993
6155,caf,1994
6257,caf,1995
6414,caf,1996
6601,caf,1997
6805,caf,1998
6978,caf,1999
7093,caf,2000
7147,caf,2001
7136,caf,2002
7093,caf,2003
7057,caf,2004
7002,caf,2005
6943,caf,2006
6913,caf,2007
6862,caf,2008
6848,caf,2009
6846,caf,2010
6863,caf,2011
6903,caf,2012
6974,caf,2013
6987,caf,2014
6993,caf,2015
11120,tcd,1973
11540,tcd,1974
11920,tcd,1975
12230,tcd,1976
12450,tcd,1977
12640,tcd,1978
12800,tcd,1979
12970,tcd,1980
13090,tcd,1981
13250,tcd,1982
13480,tcd,1983
13740,tcd,1984
14060,tcd,1985
14320,tcd,1986
14610,tcd,1987
14910,tcd,1988
15230,tcd,1989
15530,tcd,1990
15770,tcd,1991
16050,tcd,1992
16400,tcd,1993
16840,tcd,1994
17320,tcd,1995
17660,tcd,1996
18010,tcd,1997
18260,tcd,1998
18530,tcd,1999
18910,tcd,2000
19330,tcd,2001
19820,tcd,2002
20380,tcd,2003
20910,tcd,2004
21350,tcd,2005
21800,tcd,2006
22160,tcd,2007
22500,tcd,2008
22730,tcd,2009
22960,tcd,2010
23090,tcd,2011
23220,tcd,2012
23410,tcd,2013
23610,tcd,2014
23790,tcd,2015
9653,chl,1968
8761,chl,1969
8394,chl,1970
8232,chl,1971
7870,chl,1972
7145,chl,1973
6447,chl,1974
5957,chl,1975
5652,chl,1976
5254,chl,1977
4821,chl,1978
4451,chl,1979
4024,chl,1980
3503,chl,1981
3073,chl,1982
2769,chl,1983
2625,chl,1984
2565,chl,1985
2594,chl,1986
2657,chl,1987
2715,chl,1988
2664,chl,1989
2522,chl,1990
2315,chl,1991
2089,chl,1992
1942,chl,1993
1804,chl,1994
1684,chl,1995
1637,chl,1996
1604,chl,1997
1580,chl,1998
1530,chl,1999
1452,chl,2000
1394,chl,2001
1334,chl,2002
1322,chl,2003
1336,chl,2004
1326,chl,2005
1342,chl,2006
1333,chl,2007
1326,chl,2008
1319,chl,2009
1289,chl,2010
1282,chl,2011
1252,chl,2012
1223,chl,2013
1195,chl,2014
1144,chl,2015
928000,chn,1990
862500,chn,1991
752100,chn,1992
619400,chn,1993
497400,chn,1994
405500,chn,1995
354500,chn,1996
331200,chn,1997
329000,chn,1998
331400,chn,1999
331400,chn,2000
324700,chn,2001
308700,chn,2002
289700,chn,2003
265900,chn,2004
241400,chn,2005
215700,chn,2006
190100,chn,2007
166100,chn,2008
146900,chn,2009
131200,chn,2010
120900,chn,2011
113100,chn,2012
105400,chn,2013
100100,chn,2014
93440,chn,2015
27130,col,1963
27700,col,1964
27930,col,1965
27950,col,1966
27850,col,1967
27640,col,1968
27100,col,1969
26270,col,1970
25090,col,1971
23690,col,1972
22250,col,1973
21170,col,1974
20480,col,1975
20460,col,1976
20780,col,1977
21300,col,1978
21540,col,1979
21460,col,1980
20880,col,1981
20000,col,1982
19140,col,1983
18230,col,1984
17580,col,1985
