newborn_deaths,geo,time
29660,afg,1990
30540,afg,1991
32270,afg,1992
34360,afg,1993
36310,afg,1994
37520,afg,1995
39190,afg,1996
40350,afg,1997
40750,afg,1998
41470,afg,1999
42490,afg,2000
42880,afg,2001
43500,afg,2002
43980,afg,2003
44210,afg,2004
43990,afg,2005
44010,afg,2006
43860,afg,2007
43470,afg,2008
42790,afg,2009
42310,afg,2010
41050,afg,2011
39590,afg,2012
38260,afg,2013
37040,afg,2014
36240,afg,2015
1615,alb,1979
1528,alb,1980
1452,alb,1981
1380,alb,1982
1314,alb,1983
1266,alb,1984
1229,alb,1985
1214,alb,1986
1208,alb,1987
1192,alb,1988
1161,alb,1989
1117,alb,1990
1075,alb,1991
1006,alb,1992
931,alb,1993
867,alb,1994
804,alb,1995
746,alb,1996
704,alb,1997
659,alb,1998
628,alb,1999
585,alb,2000
544,alb,2001
503,alb,2002
458,alb,2003
412,alb,2004
372,alb,2005
331,alb,2006
297,alb,2007
271,alb,2008
254,alb,2009
244,alb,2010
246,alb,2011
260,alb,2012
275,alb,2013
282,alb,2014
279,alb,2015
45550,dza,1969
45490,dza,1970
45270,dza,1971
45250,dza,1972
45080,dza,1973
44770,dza,1974
44100,dza,1975
43210,dza,1976
42180,dza,1977
41180,dza,1978
39840,dza,1979
38220,dza,1980
35900,dza,1981
33160,dza,1982
30330,dza,1983
27390,dza,1984
24730,dza,1985
22500,dza,1986
20920,dza,1987
19720,dza,1988
18910,dza,1989
18380,dza,1990
17910,dza,1991
17560,dza,1992
17060,dza,1993
16520,dza,1994
15780,dza,1995
14880,dza,1996
13900,dza,1997
13000,dza,1998
12320,dza,1999
11910,dza,2000
11740,dza,2001
11770,dza,2002
11980,dza,2003
12340,dza,2004
12810,dza,2005
13300,dza,2006
13950,dza,2007
14480,dza,2008
15010,dza,2009
15300,dza,2010
15470,dza,2011
15460,dza,2012
15340,dza,2013
15140,dza,2014
14770,dza,2015
2,and,1990
2,and,1991
2,and,1992
2,and,1993
2,and,1994
2,and,1995
2,and,1996
2,and,1997
2,and,1998
2,and,1999
2,and,2000
1,and,2001
1,and,2002
1,and,2003
1,and,2004
1,and,2005
1,and,2006
1,and,2007
1,and,2008
1,and,2009
1,and,2010
1,and,2011
1,and,2012
1,and,2013
1,and,2014
1,and,2015
32640,ago,1990
33550,ago,1991
34670,ago,1992
35780,ago,1993
36850,ago,1994
38020,ago,1995
39120,ago,1996
40090,ago,1997
40840,ago,1998
41930,ago,1999
43120,ago,2000
44210,ago,2001
45090,ago,2002
46400,ago,2003
47570,ago,2004
48600,ago,2005
49500,ago,2006
50460,ago,2007
50990,ago,2008
51640,ago,2009
52110,ago,2010
52430,ago,2011
52600,ago,2012
52860,ago,2013
53040,ago,2014
53160,ago,2015
16,atg,1990
15,atg,1991
14,atg,1992
14,atg,1993
14,atg,1994
14,atg,1995
14,atg,1996
15,atg,1997
15,atg,1998
15,atg,1999
15,atg,2000
15,atg,2001
14,atg,2002
13,atg,2003
12,atg,2004
11,atg,2005
11,atg,2006
10,atg,2007
10,atg,2008
9,atg,2009
9,atg,2010
9,atg,2011
8,atg,2012
8,atg,2013
8,atg,2014
7,atg,2015
13250,arg,1970
13500,arg,1971
13750,arg,1972
14000,arg,1973
14300,arg,1974
14620,arg,1975
14990,arg,1976
15380,arg,1977
15360,arg,1978
14710,arg,1979
13670,arg,1980
12410,arg,1981
11320,arg,1982
10470,arg,1983
10080,arg,1984
9893,arg,1985
10200,arg,1986
10720,arg,1987
11240,arg,1988
11490,arg,1989
11460,arg,1990
11280,arg,1991
11030,arg,1992
10670,arg,1993
10200,arg,1994
9535,arg,1995
8912,arg,1996
8378,arg,1997
7948,arg,1998
7778,arg,1999
7807,arg,2000
7781,arg,2001
7595,arg,2002
7341,arg,2003
7113,arg,2004
6965,arg,2005
6660,arg,2006
6379,arg,2007
6001,arg,2008
5715,arg,2009
5470,arg,2010
5273,arg,2011
5179,arg,2012
5096,arg,2013
4923,arg,2014
4797,arg,2015
2057,arm,1977
1990,arm,1978
1930,arm,1979
1904,arm,1980
1924,arm,1981
1969,arm,1982
2026,arm,1983
2080,arm,1984
2112,arm,1985
2123,arm,1986
2106,arm,1987
2099,arm,1988
1958,arm,1989
1817,arm,1990
1675,arm,1991
1495,arm,1992
1301,arm,1993
1122,arm,1994
974,arm,1995
841,arm,1996
732,arm,1997
650,arm,1998
594,arm,1999
561,arm,2000
548,arm,2001
556,arm,2002
570,arm,2003
578,arm,2004
578,arm,2005
563,arm,2006
532,arm,2007
505,arm,2008
471,arm,2009
441,arm,2010
413,arm,2011
382,arm,2012
355,arm,2013
324,arm,2014
301,arm,2015
3163,aus,1968
3200,aus,1969
3205,aus,1970
3212,aus,1971
3214,aus,1972
3162,aus,1973
3031,aus,1974
2786,aus,1975
2451,aus,1976
2113,aus,1977
1790,aus,1978
1549,aus,1979
1408,aus,1980
1365,aus,1981
1395,aus,1982
1444,aus,1983
1497,aus,1984
1509,aus,1985
1469,aus,1986
1396,aus,1987
1308,aus,1988
1198,aus,1989
1131,aus,1990
1090,aus,1991
1060,aus,1992
1032,aus,1993
1024,aus,1994
978,aus,1995
971,aus,1996
929,aus,1997
909,aus,1998
866,aus,1999
853,aus,2000
847,aus,2001
822,aus,2002
828,aus,2003
818,aus,2004
843,aus,2005
850,aus,2006
865,aus,2007
879,aus,2008
883,aus,2009
871,aus,2010
811,aus,2011
770,aus,2012
725,aus,2013
685,aus,2014
657,aus,2015
3007,aut,1955
3103,aut,1956
3186,aut,1957
3249,aut,1958
3275,aut,1959
3237,aut,1960
3134,aut,1961
3003,aut,1962
2886,aut,1963
2771,aut,1964
2659,aut,1965
2556,aut,1966
2456,aut,1967
2377,aut,1968
2321,aut,1969
2255,aut,1970
2140,aut,1971
1985,aut,1972
1778,aut,1973
1547,aut,1974
1337,aut,1975
1148,aut,1976
1003,aut,1977
900,aut,1978
831,aut,1979
784,aut,1980
749,aut,1981
735,aut,1982
709,aut,1983
682,aut,1984
633,aut,1985
568,aut,1986
496,aut,1987
435,aut,1988
392,aut,1989
364,aut,1990
358,aut,1991
363,aut,1992
370,aut,1993
358,aut,1994
343,aut,1995
325,aut,1996
287,aut,1997
265,aut,1998
237,aut,1999
225,aut,2000
222,aut,2001
220,aut,2002
229,aut,2003
229,aut,2004
226,aut,2005
227,aut,2006
217,aut,2007
205,aut,2008
202,aut,2009
193,aut,2010
187,aut,2011
189,aut,2012
184,aut,2013
179,aut,2014
173,aut,2015
6374,aze,1983
6511,aze,1984
6668,aze,1985
6847,aze,1986
7044,aze,1987
7230,aze,1988
7346,aze,1989
7431,aze,1990
7401,aze,1991
7302,aze,1992
7120,aze,1993
