geo,female_industry_workers_percent_of_female_labour_force,time
dza,28.3,2001
dza,25.2,2003
dza,28.2,2004
asm,44.6,1990
aia,6.7,1999
aia,3.7,2001
atg,4.7,2001
arg,17.9,1990
arg,19.2,1991
arg,18.2,1992
arg,15.7,1993
arg,14.0,1994
arg,14.8,1995
arg,12.1,1996
arg,11.2,1997
arg,10.4,1998
arg,10.6,1999
arg,10.1,2000
arg,10.2,2001
arg,9.4,2002
arg,11.4,2003
arg,11.6,2004
arg,11.0,2005
arg,10.9,2006
arm,10.0,2001
arm,11.3,2002
arm,10.6,2003
arm,10.4,2004
arm,9.8,2005
arm,9.5,2006
abw,4.8,1994
abw,4.2,1997
aus,16.3,1980
aus,16.5,1981
aus,15.7,1982
aus,15.2,1983
aus,14.7,1984
aus,14.5,1985
aus,14.3,1986
aus,13.5,1987
aus,13.4,1988
aus,13.6,1989
aus,12.5,1990
aus,11.9,1991
aus,11.7,1992
aus,11.9,1993
aus,11.8,1994
aus,11.4,1995
aus,11.2,1996
aus,11.0,1997
aus,10.4,1998
aus,10.1,1999
aus,10.4,2000
aus,9.8,2001
aus,9.8,2002
aus,9.8,2003
aus,9.5,2004
aus,9.4,2005
aus,9.1,2006
aus,8.9,2007
aut,21.8,1983
aut,22.2,1984
aut,21.7,1985
aut,21.3,1986
aut,21.2,1987
aut,20.7,1988
aut,20.1,1989
aut,19.8,1990
aut,20.4,1991
aut,19.5,1992
aut,18.4,1993
aut,17.2,1994
aut,16.5,1995
aut,15.2,1996
aut,14.3,1997
aut,14.2,1998
aut,14.2,1999
aut,14.1,2000
aut,13.8,2001
aut,13.2,2002
aut,13.0,2003
aut,13.3,2004
aut,12.9,2005
aut,13.4,2006
aut,12.9,2007
aze,7.8,1999
aze,7.5,2000
aze,7.2,2001
aze,7.5,2002
aze,5.6,2003
aze,8.3,2004
aze,8.7,2005
aze,9.0,2006
aze,3.8,2007
bhs,8.4,1986
bhs,5.3,1989
bhs,5.1,1991
bhs,5.1,1992
bhs,4.8,1993
bhs,5.3,1994
bhs,5.4,1995
bhs,5.7,1996
bhs,6.0,1997
bhs,5.4,1998
bhs,5.4,1999
bhs,6.1,2001
bhs,4.3,2002
bhs,5.6,2003
bhs,5.2,2004
bhs,5.1,2005
bhs,5.2,2006
bhs,5.4,2007
bhr,5.4,1981
bhr,5.2,1982
bhr,7.1,1991
bhr,13.3,2001
bgd,29.1,1984
bgd,26.7,1985
bgd,35.8,1986
bgd,21.9,1989
bgd,8.8,1991
bgd,7.6,1996
bgd,9.0,2000
bgd,18.4,2003
bgd,12.5,2005
brb,18.7,1981
brb,18.7,1982
brb,18.8,1983
brb,19.0,1984
brb,17.2,1985
brb,16.4,1986
brb,16.2,1987
brb,15.2,1988
brb,14.6,1989
brb,13.5,1990
brb,12.8,1991
brb,12.5,1992
brb,12.7,1993
brb,11.7,1994
brb,12.9,1995
brb,11.4,1996
brb,10.7,1997
brb,11.8,1998
brb,11.0,1999
brb,10.7,2000
brb,9.9,2001
brb,10.0,2002
brb,9.0,2003
brb,7.8,2004
bel,18.2,1980
bel,17.0,1981
bel,16.4,1982
bel,16.0,1983
bel,15.7,1984
bel,15.2,1985
bel,14.9,1986
bel,14.3,1987
bel,12.0,1993
bel,11.9,1994
bel,11.5,1995
bel,11.1,1996
bel,10.7,1997
bel,10.5,1998
bel,11.7,1999
bel,12.0,2000
bel,11.9,2001
bel,11.7,2002
bel,11.6,2003
bel,11.1,2004
bel,11.3,2005
bel,10.8,2006
blz,13.2,1993
blz,11.9,1994
blz,9.3,1995
blz,10.3,1996
blz,19.8,1997
blz,10.9,1998
blz,11.9,1999
blz,10.3,2005
bmu,3.7,2000
btn,5.8,2005
bol,18.8,1980
bol,18.3,1981
bol,16.0,1982
bol,15.9,1983
bol,15.3,1984
bol,15.1,1985
bol,12.0,1986
bol,12.0,1987
bol,12.1,1988
bol,11.8,1989
bol,11.5,1990
bol,15.1,1991
bol,16.5,1992
bol,15.2,1993
bol,15.6,1994
bol,16.1,1995
bol,15.7,1996
bol,16.6,1997
bol,16.7,1999
bol,14.2,2000
bol,9.6,2001
bol,11.3,2002
bwa,3.9,1985
bwa,19.8,1996
bwa,15.7,1998
