geo,pump_price_for_gasoline_us_per_liter,time
afg,0.34,2002
afg,0.53,2004
afg,0.68,2006
alb,0.86,1998
alb,0.57,2000
alb,0.8,2002
alb,1.23,2004
alb,1.44,2006
dza,0.15,1991
dza,0.2,1993
dza,0.4,1995
dza,0.31,1998
dza,0.27,2000
dza,0.22,2002
dza,0.32,2004
dza,0.32,2006
ago,0.38,1998
ago,0.3,2000
ago,0.19,2002
ago,0.39,2004
ago,0.5,2006
atg,0.56,2000
atg,0.56,2002
arg,0.79,1993
arg,0.6,1995
arg,0.94,1998
arg,1.07,2000
arg,0.63,2002
arg,0.63,2004
arg,0.62,2006
arm,0.49,1998
arm,0.55,2000
arm,0.42,2002
arm,0.68,2004
arm,0.96,2006
aus,0.46,1998
aus,0.57,2000
aus,0.5,2002
aus,0.85,2004
aus,0.93,2006
aut,1.15,1995
aut,1.04,1998
aut,0.82,2000
aut,0.84,2002
aut,1.32,2004
aut,1.32,2006
aze,0.46,1998
aze,0.37,2002
aze,0.41,2004
aze,0.46,2006
bhr,0.26,1998
bhr,0.27,2000
bhr,0.27,2002
bgd,0.36,1995
bgd,0.47,1998
bgd,0.46,2000
bgd,0.52,2002
bgd,0.59,2004
bgd,0.79,2006
brb,0.72,1998
brb,0.95,2000
brb,0.66,2002
blr,0.34,1998
blr,0.5,2002
blr,0.62,2004
blr,0.79,2006
bel,1.18,1995
bel,1.12,1998
bel,0.96,2000
bel,1.04,2002
bel,1.5,2004
bel,1.63,2006
ben,0.63,1991
ben,0.62,1993
ben,0.36,1995
ben,0.39,1998
ben,0.48,2000
ben,0.54,2002
ben,0.77,2004
ben,0.81,2006
btn,0.59,1998
btn,0.58,2000
btn,0.58,2002
bol,0.43,1993
bol,0.38,1995
bol,0.53,1998
bol,0.8,2000
bol,0.69,2002
bol,0.54,2004
bol,0.54,2006
bih,0.66,1998
bih,0.68,2000
bih,0.74,2002
bih,0.97,2004
bih,1.34,2006
bwa,0.68,1991
bwa,0.41,1993
bwa,0.38,1995
bwa,0.31,1998
bwa,0.42,2000
bwa,0.41,2002
bwa,0.66,2004
bwa,0.78,2006
bra,0.53,1993
bra,0.63,1995
bra,0.8,1998
bra,0.92,2000
bra,0.55,2002
bra,0.84,2004
bra,1.26,2006
brn,0.13,1998
brn,0.33,2000
brn,0.3,2002
bgr,0.46,1995
bgr,0.66,1998
bgr,0.7,2000
bgr,0.68,2002
bgr,0.92,2004
bgr,1.05,2006
bfa,1.03,1991
bfa,1.0,1993
bfa,0.81,1995
bfa,0.68,1998
bfa,0.68,2000
bfa,0.83,2002
bfa,1.18,2004
bfa,1.15,2006
bdi,0.63,1991
bdi,0.59,1993
bdi,0.52,1995
bdi,0.72,1998
bdi,1.01,2000
bdi,0.58,2002
bdi,1.04,2004
bdi,1.2,2006
khm,0.47,1998
khm,0.61,2000
khm,0.63,2002
khm,0.79,2004
khm,1.01,2006
cmr,0.68,1991
cmr,0.69,1993
cmr,0.68,1995
cmr,0.64,1998
cmr,0.56,2000
cmr,0.68,2002
cmr,0.95,2004
cmr,1.14,2006
can,0.47,1993
can,0.45,1995
can,0.41,1998
can,0.58,2000
can,0.51,2002
can,0.68,2004
can,0.84,2006
cpv,0.68,1991
cpv,0.81,1998
cpv,0.59,2000
cpv,0.59,2002
caf,1.33,1991
caf,1.28,1993
caf,0.82,1995
caf,0.81,1998
caf,1.0,2002
caf,1.29,2004
caf,1.37,2006
tcd,1.05,1991
tcd,1.02,1993
tcd,0.8,1995
tcd,0.7,1998
tcd,0.68,2000
tcd,0.79,2002
tcd,1.17,2004
tcd,1.31,2006
chl,0.43,1993
chl,0.53,1995
chl,0.49,1998
chl,0.64,2000
chl,0.58,2002
chl,0.85,2004
chl,1.09,2006
chn,0.27,1995
chn,0.28,1998
chn,0.4,2000
chn,0.42,2002
chn,0.48,2004
chn,0.69,2006
col,0.23,1993
col,0.35,1995
col,0.24,1998
col,0.49,2000
col,0.44,2002
col,0.72,2004
col,0.98,2006
cod,0.81,1991
cod,0.74,1993
cod,0.73,1995
cod,0.5,1998
cod,1.0,2000
cod,0.7,2002
cod,0.92,2004
cod,0.94,2006
cog,1.05,1991
cog,0.0,1998
cog,0.53,2000
cog,0.69,2002
cog,0.87,2004
cog,0.96,2006
cri,0.37,1993
cri,0.4,1995
cri,0.41,1998
cri,0.65,2000
cri,0.64,2002
cri,0.78,2004
cri,0.98,2006
civ,1.24,1991
civ,1.23,1993
civ,0.83,1995
civ,0.74,1998
civ,0.76,2000
civ,0.85,2002
civ,1.14,2004
civ,1.2,2006
hrv,0.75,1995
hrv,0.67,1998
hrv,0.76,2000
hrv,0.89,2002
hrv,1.24,2004
hrv,1.34,2006
cub,0.5,1998
cub,0.9,2002
cub,0.95,2004
cub,1.1,2006
cyp,0.78,1998
cyp,0.57,2000
cyp,0.83,2002
cze,0.85,1995
cze,0.72,1998
cze,0.77,2000
cze,0.81,2002
cze,1.08,2004
