child_mortality_0_5_year_olds_dying_per_1000_born,geo,time
374.1,alb,1901
373.7,alb,1902
373.2,alb,1903
372.8,alb,1904
372.2,alb,1905
371.6,alb,1906
370.9,alb,1907
370.2,alb,1908
369.4,alb,1909
368.6,alb,1910
367.7,alb,1911
366.8,alb,1912
366.0,alb,1913
365.1,alb,1914
364.2,alb,1915
363.3,alb,1916
362.4,alb,1917
361.6,alb,1918
360.7,alb,1919
359.8,alb,1920
358.9,alb,1921
358.0,alb,1922
357.1,alb,1923
356.3,alb,1924
355.4,alb,1925
354.5,alb,1926
353.6,alb,1927
352.8,alb,1928
351.9,alb,1929
341.0,alb,1930
330.3,alb,1931
319.9,alb,1932
309.6,alb,1933
299.6,alb,1934
289.8,alb,1935
280.1,alb,1936
270.7,alb,1937
261.5,alb,1938
253.4,alb,1939
244.6,alb,1940
236.0,alb,1941
227.5,alb,1942
219.2,alb,1943
211.0,alb,1944
203.0,alb,1945
195.2,alb,1946
187.4,alb,1947
179.9,alb,1948
172.4,alb,1949
165.2,alb,1950
161.7,alb,1951
158.3,alb,1952
155.0,alb,1953
151.7,alb,1954
148.5,alb,1955
145.4,alb,1956
142.3,alb,1957
139.3,alb,1958
136.4,alb,1959
133.6,alb,1960
130.7,alb,1961
128.0,alb,1962
125.3,alb,1963
122.7,alb,1964
120.1,alb,1965
117.6,alb,1966
115.1,alb,1967
112.7,alb,1968
110.3,alb,1969
108.0,alb,1970
105.7,alb,1971
103.5,alb,1972
101.3,alb,1973
99.18,alb,1974
97.1,alb,1975
95.06,alb,1976
93.06,alb,1977
91.1,alb,1978
84.7,alb,1979
78.6,alb,1980
73.0,alb,1981
67.8,alb,1982
62.8,alb,1983
58.3,alb,1984
54.3,alb,1985
50.7,alb,1986
47.6,alb,1987
44.9,alb,1988
42.5,alb,1989
40.6,alb,1990
38.8,alb,1991
37.3,alb,1992
36.0,alb,1993
34.6,alb,1994
33.2,alb,1995
31.8,alb,1996
30.3,alb,1997
28.9,alb,1998
27.5,alb,1999
26.2,alb,2000
24.9,alb,2001
23.6,alb,2002
22.5,alb,2003
21.5,alb,2004
20.5,alb,2005
19.5,alb,2006
18.7,alb,2007
17.9,alb,2008
17.3,alb,2009
16.6,alb,2010
16.0,alb,2011
15.5,alb,2012
14.9,alb,2013
14.4,alb,2014
14.0,alb,2015
460.2,dza,1800
460.2,dza,1801
460.2,dza,1802
460.2,dza,1803
460.2,dza,1804
460.2,dza,1805
460.2,dza,1806
460.2,dza,1807
460.2,dza,1808
460.2,dza,1809
460.2,dza,1810
460.2,dza,1811
460.2,dza,1812
460.2,dza,1813
460.2,dza,1814
460.2,dza,1815
460.2,dza,1816
460.2,dza,1817
460.2,dza,1818
460.2,dza,1819
460.2,dza,1820
460.2,dza,1821
460.2,dza,1822
460.2,dza,1823
460.2,dza,1824
460.2,dza,1825
460.2,dza,1826
460.2,dza,1827
460.2,dza,1828
460.2,dza,1829
460.2,dza,1830
460.2,dza,1831
460.2,dza,1832
460.2,dza,1833
460.2,dza,1834
460.2,dza,1835
460.2,dza,1836
460.2,dza,1837
460.2,dza,1838
460.2,dza,1839
460.2,dza,1840
460.2,dza,1841
460.2,dza,1842
460.2,dza,1843
460.2,dza,1844
460.2,dza,1845
460.2,dza,1846
460.2,dza,1847
460.2,dza,1848
460.2,dza,1849
460.2,dza,1850
460.2,dza,1851
460.2,dza,1852
460.2,dza,1853
460.2,dza,1854
460.2,dza,1855
460.2,dza,1856
460.2,dza,1857
460.2,dza,1858
460.2,dza,1859
460.2,dza,1860
460.2,dza,1861
460.2,dza,1862
460.2,dza,1863
460.2,dza,1864
460.2,dza,1865
460.2,dza,1866
460.2,dza,1867
460.2,dza,1868
460.2,dza,1869
460.2,dza,1870
460.2,dza,1871
460.2,dza,1872
460.2,dza,1873
460.2,dza,1874
460.2,dza,1875
460.2,dza,1876
460.2,dza,1877
460.2,dza,1878
460.2,dza,1879
460.2,dza,1880
460.2,dza,1881
460.2,dza,1882
460.2,dza,1883
460.2,dza,1884
460.2,dza,1885
460.2,dza,1886
460.2,dza,1887
460.2,dza,1888
460.2,dza,1889
460.2,dza,1890
460.2,dza,1891
460.2,dza,1892
460.2,dza,1893
460.2,dza,1894
460.2,dza,1895
460.1,dza,1896
460.0,dza,1897
459.8,dza,1898
459.5,dza,1899
459.2,dza,1900
458.8,dza,1901
458.4,dza,1902
457.8,dza,1903
457.2,dza,1904
456.5,dza,1905
455.8,dza,1906
454.9,dza,1907
454.0,dza,1908
453.1,dza,1909
452.1,dza,1910
451.0,dza,1911
449.9,dza,1912
448.9,dza,1913
447.8,dza,1914
446.9,dza,1915
446.0,dza,1916
445.1,dza,1917
444.2,dza,1918
443.4,dza,1919
442.4,dza,1920
441.6,dza,1921
440.7,dza,1922
439.8,dza,1923
434.9,dza,1924
431.4,dza,1925
428.0,dza,1926
423.2,dza,1927
419.8,dza,1928
415.1,dza,1929
411.8,dza,1930
408.4,dza,1931
403.8,dza,1932
400.5,dza,1933
396.0,dza,1934
391.5,dza,1935
385.9,dza,1936
381.5,dza,1937
377.2,dza,1938
372.9,dza,1939
368.6,dza,1940
364.4,dza,1941
363.6,dza,1942
362.8,dza,1943
362.0,dza,1944
349.3,dza,1945
337.0,dza,1946
325.2,dza,1947
313.8,dza,1948
302.8,dza,1949
292.1,dza,1950
281.9,dza,1951
272.0,dza,1952
262.4,dza,1953
253.2,dza,1954
251.6,dza,1955
250.1,dza,1956
249.0,dza,1957
247.7,dza,1958
246.4,dza,1959
245.7,dza,1960
245.9,dza,1961
246.3,dza,1962
246.7,dza,1963
247.3,dza,1964
248.2,dza,1965
248.9,dza,1966
248.9,dza,1967
248.0,dza,1968
245.8,dza,1969
242.2,dza,1970
237.3,dza,1971
230.9,dza,1972
223.4,dza,1973
214.9,dza,1974
205.5,dza,1975
195.7,dza,1976
185.1,dza,1977
173.9,dza,1978
161.7,dza,1979
148.0,dza,1980
132.6,dza,1981
115.9,dza,1982
98.9,dza,1983
83.6,dza,1984
71.2,dza,1985
61.9,dza,1986
55.3,dza,1987
51.2,dza,1988
48.6,dza,1989
46.9,dza,1990
45.8,dza,1991
45.0,dza,1992
44.2,dza,1993
43.5,dza,1994
42.6,dza,1995
41.8,dza,1996
41.2,dza,1997
40.7,dza,1998
40.2,dza,1999
39.7,dza,2000
38.9,dza,2001
37.8,dza,2002
36.5,dza,2003
35.1,dza,2004
33.6,dza,2005
32.1,dza,2006
30.7,dza,2007
29.5,dza,2008
28.4,dza,2009
27.4,dza,2010
26.6,dza,2011
25.8,dza,2012
25.2,dza,2013
24.6,dza,2014
24.0,dza,2015
8.5,and,1990
7.9,and,1991
7.4,and,1992
6.9,and,1993
6.4,and,1994
6.0,and,1995
5.7,and,1996
5.3,and,1997
5.0,and,1998
4.8,and,1999
4.6,and,2000
4.4,and,2001
4.2,and,2002
4.1,and,2003
4.0,and,2004
3.9,and,2005
3.7,and,2006
3.6,and,2007
3.5,and,2008
3.4,and,2009
3.3,and,2010
3.2,and,2011
3.1,and,2012
3.0,and,2013
2.9,and,2014
2.8,and,2015
485.7,ago,1800
485.7,ago,1801
485.7,ago,1802
485.7,ago,1803
485.7,ago,1804
485.7,ago,1805
485.7,ago,1806
485.7,ago,1807
485.7,ago,1808
485.7,ago,1809
485.7,ago,1810
485.7,ago,1811
485.7,ago,1812
485.7,ago,1813
485.7,ago,1814
485.7,ago,1815
485.7,ago,1816
485.7,ago,1817
485.7,ago,1818
485.7,ago,1819
485.7,ago,1820
485.7,ago,1821
485.7,ago,1822
485.7,ago,1823
485.7,ago,1824
485.7,ago,1825
485.7,ago,1826
485.7,ago,1827
485.7,ago,1828
485.7,ago,1829
485.7,ago,1830
485.7,ago,1831
485.7,ago,1832
485.7,ago,1833
485.7,ago,1834
485.7,ago,1835
485.7,ago,1836
485.7,ago,1837
485.7,ago,1838
485.7,ago,1839
485.7,ago,1840
485.7,ago,1841
485.7,ago,1842
485.7,ago,1843
485.7,ago,1844
485.7,ago,1845
485.7,ago,1846
485.7,ago,1847
485.7,ago,1848
485.7,ago,1849
485.7,ago,1850
485.7,ago,1851
485.7,ago,1852
485.7,ago,1853
485.7,ago,1854
485.7,ago,1855
485.7,ago,1856
485.7,ago,1857
485.7,ago,1858
485.7,ago,1859
485.7,ago,1860
485.7,ago,1861
485.7,ago,1862
485.7,ago,1863
485.7,ago,1864
485.7,ago,1865
485.7,ago,1866
485.7,ago,1867
485.7,ago,1868
485.7,ago,1869
485.7,ago,1870
485.7,ago,1871
485.7,ago,1872
485.7,ago,1873
485.7,ago,1874
485.7,ago,1875
485.7,ago,1876
485.7,ago,1877
485.7,ago,1878
485.7,ago,1879
485.7,ago,1880
485.7,ago,1881
485.7,ago,1882
485.7,ago,1883
