suicide_age_15_29_per_100000_people,geo,time
7.137,arg,1966
9.443,arg,1967
10.51,arg,1968
10.48,arg,1969
10.72,arg,1970
8.229,arg,1977
8.035,arg,1978
5.954,arg,1979
5.817,arg,1980
6.391,arg,1981
5.535,arg,1982
4.944,arg,1983
4.576,arg,1984
5.015,arg,1985
6.116,arg,1986
5.734,arg,1987
6.248,arg,1988
5.785,arg,1989
5.349,arg,1990
4.991,arg,1991
6.15,arg,1992
5.774,arg,1993
5.961,arg,1994
6.299,arg,1995
6.016,arg,1996
6.068,arg,1997
6.729,arg,1998
6.87,arg,1999
8.675,arg,2000
9.764,arg,2001
10.34,arg,2002
11.61,arg,2003
11.81,arg,2004
11.19,arg,2005
11.93,arg,2006
10.87,arg,2007
5.384,aus,1950
6.681,aus,1951
7.058,aus,1952
6.695,aus,1953
7.404,aus,1954
6.729,aus,1955
6.686,aus,1956
7.37,aus,1957
9.225,aus,1958
6.82,aus,1959
6.794,aus,1960
8.117,aus,1961
9.592,aus,1962
11.94,aus,1963
10.28,aus,1964
11.63,aus,1965
10.38,aus,1966
11.33,aus,1967
9.251,aus,1968
10.04,aus,1969
10.74,aus,1970
12.7,aus,1971
11.29,aus,1972
11.09,aus,1973
11.18,aus,1974
10.45,aus,1975
10.5,aus,1976
11.39,aus,1977
12.91,aus,1978
13.26,aus,1979
12.57,aus,1980
12.22,aus,1981
13.97,aus,1982
12.69,aus,1983
13.18,aus,1984
15.52,aus,1985
15.44,aus,1986
16.32,aus,1987
16.56,aus,1988
16.12,aus,1989
17.19,aus,1990
16.48,aus,1991
17.16,aus,1992
14.58,aus,1993
16.58,aus,1994
15.9,aus,1995
17.16,aus,1996
20.07,aus,1997
19.24,aus,1998
16.79,aus,1999
15.37,aus,2000
15.21,aus,2001
13.93,aus,2002
12.21,aus,2003
11.49,aus,2004
8.141,aus,2006
18.14,aut,1955
16.79,aut,1956
17.24,aut,1957
17.11,aut,1958
16.95,aut,1959
16.31,aut,1960
14.67,aut,1961
14.94,aut,1962
16.49,aut,1963
15.27,aut,1964
12.95,aut,1965
15.7,aut,1966
14.39,aut,1967
14.64,aut,1968
13.77,aut,1969
17.28,aut,1970
15.1,aut,1971
15.57,aut,1972
14.07,aut,1973
14.82,aut,1974
17.29,aut,1975
16.78,aut,1976
19.31,aut,1977
20.56,aut,1978
21.07,aut,1979
20.56,aut,1980
21.0,aut,1981
22.72,aut,1982
19.59,aut,1983
20.88,aut,1984
21.99,aut,1985
23.61,aut,1986
20.02,aut,1987
18.1,aut,1988
18.35,aut,1989
16.14,aut,1990
16.59,aut,1991
15.97,aut,1992
15.55,aut,1993
15.98,aut,1994
15.66,aut,1995
13.09,aut,1996
14.76,aut,1997
13.79,aut,1998
13.74,aut,1999
14.3,aut,2000
12.66,aut,2001
12.76,aut,2002
12.21,aut,2003
13.5,aut,2004
10.37,aut,2005
8.922,aut,2006
10.71,aut,2007
7.967,aut,2008
4.065,aze,1981
3.704,aze,1982
3.132,aze,1985
3.656,aze,1986
3.649,aze,1987
3.382,aze,1988
2.888,aze,1989
1.621,aze,1990
