total_gdp_ppp_inflation_adjusted,geo,time
2081000000,afg,1800
2081000000,afg,1801
2081000000,afg,1802
2081000000,afg,1803
2081000000,afg,1804
2081000000,afg,1805
2081000000,afg,1806
2081000000,afg,1807
2081000000,afg,1808
2081000000,afg,1809
2081000000,afg,1810
2081000000,afg,1811
2081000000,afg,1812
2081000000,afg,1813
2081000000,afg,1814
2081000000,afg,1815
2081000000,afg,1816
2081000000,afg,1817
2081000000,afg,1818
2081000000,afg,1819
2081000000,afg,1820
2098000000,afg,1821
2115000000,afg,1822
2133000000,afg,1823
2150000000,afg,1824
2168000000,afg,1825
2186000000,afg,1826
2204000000,afg,1827
2222000000,afg,1828
2241000000,afg,1829
2259000000,afg,1830
2278000000,afg,1831
2297000000,afg,1832
2316000000,afg,1833
2335000000,afg,1834
2354000000,afg,1835
2373000000,afg,1836
2393000000,afg,1837
2413000000,afg,1838
2433000000,afg,1839
2453000000,afg,1840
2473000000,afg,1841
2494000000,afg,1842
2514000000,afg,1843
2535000000,afg,1844
2556000000,afg,1845
2577000000,afg,1846
2598000000,afg,1847
2620000000,afg,1848
2641000000,afg,1849
2663000000,afg,1850
2685000000,afg,1851
2707000000,afg,1852
2730000000,afg,1853
2752000000,afg,1854
2775000000,afg,1855
2798000000,afg,1856
2821000000,afg,1857
2844000000,afg,1858
2868000000,afg,1859
2891000000,afg,1860
2915000000,afg,1861
2939000000,afg,1862
2964000000,afg,1863
2988000000,afg,1864
3013000000,afg,1865
3038000000,afg,1866
3063000000,afg,1867
3088000000,afg,1868
3113000000,afg,1869
3139000000,afg,1870
3172000000,afg,1871
3205000000,afg,1872
3239000000,afg,1873
3273000000,afg,1874
3307000000,afg,1875
3342000000,afg,1876
3377000000,afg,1877
3412000000,afg,1878
3448000000,afg,1879
3484000000,afg,1880
3521000000,afg,1881
3558000000,afg,1882
3595000000,afg,1883
3633000000,afg,1884
3671000000,afg,1885
3709000000,afg,1886
3748000000,afg,1887
3788000000,afg,1888
3827000000,afg,1889
3867000000,afg,1890
3908000000,afg,1891
3949000000,afg,1892
3990000000,afg,1893
4032000000,afg,1894
4074000000,afg,1895
4117000000,afg,1896
4160000000,afg,1897
4204000000,afg,1898
4248000000,afg,1899
4293000000,afg,1900
4338000000,afg,1901
4383000000,afg,1902
4429000000,afg,1903
4475000000,afg,1904
4522000000,afg,1905
4570000000,afg,1906
4618000000,afg,1907
4666000000,afg,1908
4715000000,afg,1909
4764000000,afg,1910
4814000000,afg,1911
4865000000,afg,1912
4916000000,afg,1913
4986000000,afg,1914
5057000000,afg,1915
5129000000,afg,1916
5202000000,afg,1917
5276000000,afg,1918
5351000000,afg,1919
5428000000,afg,1920
5505000000,afg,1921
5583000000,afg,1922
5663000000,afg,1923
5743000000,afg,1924
5825000000,afg,1925
5908000000,afg,1926
5992000000,afg,1927
6078000000,afg,1928
6164000000,afg,1929
6252000000,afg,1930
6341000000,afg,1931
6432000000,afg,1932
6523000000,afg,1933
6616000000,afg,1934
6710000000,afg,1935
6806000000,afg,1936
6903000000,afg,1937
7001000000,afg,1938
7101000000,afg,1939
7202000000,afg,1940
7305000000,afg,1941
7409000000,afg,1942
7514000000,afg,1943
7621000000,afg,1944
7730000000,afg,1945
7840000000,afg,1946
7952000000,afg,1947
8065000000,afg,1948
8180000000,afg,1949
8296000000,afg,1950
8529000000,afg,1951
8807000000,afg,1952
9332000000,afg,1953
9516000000,afg,1954
9691000000,afg,1955
10110000000,afg,1956
10090000000,afg,1957
10640000000,afg,1958
10920000000,afg,1959
11290000000,afg,1960
11360000000,afg,1961
11530000000,afg,1962
11710000000,afg,1963
11910000000,afg,1964
12150000000,afg,1965
12240000000,afg,1966
12550000000,afg,1967
12960000000,afg,1968
13140000000,afg,1969
13400000000,afg,1970
12760000000,afg,1971
12520000000,afg,1972
13950000000,afg,1973
14670000000,afg,1974
15360000000,afg,1975
16030000000,afg,1976
14790000000,afg,1977
15760000000,afg,1978
15490000000,afg,1979
15450000000,afg,1980
16860000000,afg,1981
17970000000,afg,1982
18110000000,afg,1983
17280000000,afg,1984
16320000000,afg,1985
17140000000,afg,1986
13960000000,afg,1987
12580000000,afg,1988
12540000000,afg,1989
12430000000,afg,1990
13340000000,afg,1991
13500000000,afg,1992
12810000000,afg,1993
12480000000,afg,1994
16010000000,afg,1995
17180000000,afg,1996
18190000000,afg,1997
19100000000,afg,1998
20040000000,afg,1999
20390000000,afg,2000
18930000000,afg,2001
24060000000,afg,2002
27090000000,afg,2003
28870000000,afg,2004
32440000000,afg,2005
33910000000,afg,2006
38530000000,afg,2007
39490000000,afg,2008
47460000000,afg,2009
51270000000,afg,2010
54850000000,afg,2011
62970000000,afg,2012
65780000000,afg,2013
325500000,alb,1800
326900000,alb,1801
328300000,alb,1802
329600000,alb,1803
331000000,alb,1804
332400000,alb,1805
333800000,alb,1806
335200000,alb,1807
336600000,alb,1808
338000000,alb,1809
339400000,alb,1810
340800000,alb,1811
342300000,alb,1812
343700000,alb,1813
345100000,alb,1814
346600000,alb,1815
348000000,alb,1816
349500000,alb,1817
350900000,alb,1818
352400000,alb,1819
353900000,alb,1820
356200000,alb,1821
358600000,alb,1822
361000000,alb,1823
363400000,alb,1824
365800000,alb,1825
368200000,alb,1826
370600000,alb,1827
373100000,alb,1828
375600000,alb,1829
378100000,alb,1830
380600000,alb,1831
383100000,alb,1832
385700000,alb,1833
388200000,alb,1834
390800000,alb,1835
393400000,alb,1836
396000000,alb,1837
398600000,alb,1838
401300000,alb,1839
403900000,alb,1840
406600000,alb,1841
409300000,alb,1842
412000000,alb,1843
414800000,alb,1844
417500000,alb,1845
420300000,alb,1846
423100000,alb,1847
425900000,alb,1848
428700000,alb,1849
431600000,alb,1850
436500000,alb,1851
441600000,alb,1852
446700000,alb,1853
451900000,alb,1854
457100000,alb,1855
462400000,alb,1856
467700000,alb,1857
473100000,alb,1858
478600000,alb,1859
484100000,alb,1860
489700000,alb,1861
495400000,alb,1862
501100000,alb,1863
506900000,alb,1864
512700000,alb,1865
518700000,alb,1866
524700000,alb,1867
530700000,alb,1868
536900000,alb,1869
543100000,alb,1870
556200000,alb,1871
569700000,alb,1872
583500000,alb,1873
597600000,alb,1874
612000000,alb,1875
626900000,alb,1876
642000000,alb,1877
657600000,alb,1878
673500000,alb,1879
689800000,alb,1880
706500000,alb,1881
723600000,alb,1882
741100000,alb,1883
759000000,alb,1884
777400000,alb,1885
796200000,alb,1886
815500000,alb,1887
835200000,alb,1888
855500000,alb,1889
876200000,alb,1890
896800000,alb,1891
918000000,alb,1892
939700000,alb,1893
961800000,alb,1894
984500000,alb,1895
1008000000,alb,1896
1032000000,alb,1897
1056000000,alb,1898
1081000000,alb,1899
1106000000,alb,1900
1131000000,alb,1901
1156000000,alb,1902
1181000000,alb,1903
1207000000,alb,1904
1234000000,alb,1905
1261000000,alb,1906
1289000000,alb,1907
1318000000,alb,1908
1347000000,alb,1909
1377000000,alb,1910
1407000000,alb,1911
1438000000,alb,1912
1470000000,alb,1913
1490000000,alb,1914
1510000000,alb,1915
1531000000,alb,1916
1552000000,alb,1917
1573000000,alb,1918
1595000000,alb,1919
1617000000,alb,1920
1639000000,alb,1921
1662000000,alb,1922
1685000000,alb,1923
1708000000,alb,1924
1729000000,alb,1925
1755000000,alb,1926
1778000000,alb,1927
1803000000,alb,1928
1827000000,alb,1929
1843000000,alb,1930
1861000000,alb,1931
1878000000,alb,1932
1894000000,alb,1933
1911000000,alb,1934
1929000000,alb,1935
1946000000,alb,1936
1984000000,alb,1937
2011000000,alb,1938
2077000000,alb,1939
2119000000,alb,1940
2151000000,alb,1941
2192000000,alb,1942
2204000000,alb,1943
2218000000,alb,1944
2258000000,alb,1945
2298000000,alb,1946
2349000000,alb,1947
2392000000,alb,1948
2435000000,alb,1949
2456000000,alb,1950
2615000000,alb,1951
2681000000,alb,1952
2862000000,alb,1953
3029000000,alb,1954
3288000000,alb,1955
3423000000,alb,1956
3757000000,alb,1957
4051000000,alb,1958
4352000000,alb,1959
4718000000,alb,1960
4906000000,alb,1961
5225000000,alb,1962
5568000000,alb,1963
5930000000,alb,1964
6325000000,alb,1965
6748000000,alb,1966
7196000000,alb,1967
7656000000,alb,1968
8123000000,alb,1969
8638000000,alb,1970
9206000000,alb,1971
9798000000,alb,1972
10530000000,alb,1973
10810000000,alb,1974
11100000000,alb,1975
11390000000,alb,1976
11690000000,alb,1977
12000000000,alb,1978
12310000000,alb,1979
12660000000,alb,1980
12980000000,alb,1981
13300000000,alb,1982
13640000000,alb,1983
14010000000,alb,1984
14400000000,alb,1985
14870000000,alb,1986
15370000000,alb,1987
15860000000,alb,1988
16280000000,alb,1989
16600000000,alb,1990
11800000000,alb,1991
10760000000,alb,1992
11560000000,alb,1993
12240000000,alb,1994
13610000000,alb,1995
14660000000,alb,1996
13020000000,alb,1997
14560000000,alb,1998
15920000000,alb,1999
17000000000,alb,2000
18170000000,alb,2001
18770000000,alb,2002
19900000000,alb,2003
21090000000,alb,2004
22250000000,alb,2005
23540000000,alb,2006
24910000000,alb,2007
26720000000,alb,2008
27590000000,alb,2009
28520000000,alb,2010
29330000000,alb,2011
30110000000,alb,2012
30730000000,alb,2013
3805000000,dza,1800
3819000000,dza,1801
3832000000,dza,1802
3846000000,dza,1803
3859000000,dza,1804
3873000000,dza,1805
3887000000,dza,1806
3901000000,dza,1807
3915000000,dza,1808
3929000000,dza,1809
3943000000,dza,1810
3957000000,dza,1811
3971000000,dza,1812
3985000000,dza,1813
3999000000,dza,1814
4013000000,dza,1815
4028000000,dza,1816
4042000000,dza,1817
4056000000,dza,1818
4071000000,dza,1819
4085000000,dza,1820
4155000000,dza,1821
4226000000,dza,1822
4298000000,dza,1823
4372000000,dza,1824
4447000000,dza,1825
4523000000,dza,1826
4600000000,dza,1827
4679000000,dza,1828
4759000000,dza,1829
4840000000,dza,1830
4923000000,dza,1831
5007000000,dza,1832
5092000000,dza,1833
5179000000,dza,1834
5268000000,dza,1835
5358000000,dza,1836
5450000000,dza,1837
5543000000,dza,1838
5637000000,dza,1839
5734000000,dza,1840
5832000000,dza,1841
5931000000,dza,1842
6033000000,dza,1843
6136000000,dza,1844
6241000000,dza,1845
6348000000,dza,1846
6456000000,dza,1847
6566000000,dza,1848
6679000000,dza,1849
6793000000,dza,1850
6909000000,dza,1851
7027000000,dza,1852
7147000000,dza,1853
7269000000,dza,1854
7393000000,dza,1855
7520000000,dza,1856
7648000000,dza,1857
7779000000,dza,1858
7912000000,dza,1859
8047000000,dza,1860
8185000000,dza,1861
8325000000,dza,1862
8467000000,dza,1863
8612000000,dza,1864
8759000000,dza,1865
8909000000,dza,1866
9061000000,dza,1867
9216000000,dza,1868
9373000000,dza,1869
9534000000,dza,1870
9727000000,dza,1871
9924000000,dza,1872
10120000000,dza,1873
10330000000,dza,1874
10540000000,dza,1875
10750000000,dza,1876
10970000000,dza,1877
11190000000,dza,1878
11420000000,dza,1879
11650000000,dza,1880
11890000000,dza,1881
12130000000,dza,1882
12370000000,dza,1883
12620000000,dza,1884
12880000000,dza,1885
13140000000,dza,1886
13410000000,dza,1887
13680000000,dza,1888
13950000000,dza,1889
14240000000,dza,1890
14530000000,dza,1891
14820000000,dza,1892
15120000000,dza,1893
15430000000,dza,1894
15740000000,dza,1895
16060000000,dza,1896
16380000000,dza,1897
16710000000,dza,1898
17050000000,dza,1899
17400000000,dza,1900
17750000000,dza,1901
18110000000,dza,1902
18480000000,dza,1903
18850000000,dza,1904
19230000000,dza,1905
19620000000,dza,1906
20020000000,dza,1907
20430000000,dza,1908
20840000000,dza,1909
21260000000,dza,1910
21690000000,dza,1911
22130000000,dza,1912
22580000000,dza,1913
22970000000,dza,1914
23360000000,dza,1915
23750000000,dza,1916
24160000000,dza,1917
24570000000,dza,1918
24990000000,dza,1919
25410000000,dza,1920
25850000000,dza,1921
26290000000,dza,1922
26730000000,dza,1923
27190000000,dza,1924
27650000000,dza,1925
28120000000,dza,1926
28600000000,dza,1927
29090000000,dza,1928
29590000000,dza,1929
30090000000,dza,1930
30600000000,dza,1931
31120000000,dza,1932
31650000000,dza,1933
32190000000,dza,1934
32740000000,dza,1935
33300000000,dza,1936
33870000000,dza,1937
34440000000,dza,1938
35030000000,dza,1939
35630000000,dza,1940
36230000000,dza,1941
36850000000,dza,1942
37480000000,dza,1943
38110000000,dza,1944
38760000000,dza,1945
39420000000,dza,1946
40100000000,dza,1947
40780000000,dza,1948
41470000000,dza,1949
42180000000,dza,1950
42580000000,dza,1951
44410000000,dza,1952
45070000000,dza,1953
48280000000,dza,1954
49580000000,dza,1955
54420000000,dza,1956
60640000000,dza,1957
62910000000,dza,1958
74510000000,dza,1959
79630000000,dza,1960
69930000000,dza,1961
56720000000,dza,1962
71290000000,dza,1963
74320000000,dza,1964
78710000000,dza,1965
74500000000,dza,1966
80980000000,dza,1967
90390000000,dza,1968
99170000000,dza,1969
109200000000,dza,1970
100000000000,dza,1971
121100000000,dza,1972
125200000000,dza,1973
133100000000,dza,1974
142600000000,dza,1975
152300000000,dza,1976
166300000000,dza,1977
187900000000,dza,1978
205200000000,dza,1979
209400000000,dza,1980
215000000000,dza,1981
229000000000,dza,1982
241100000000,dza,1983
254500000000,dza,1984
267700000000,dza,1985
265200000000,dza,1986
263700000000,dza,1987
258200000000,dza,1988
267100000000,dza,1989
263200000000,dza,1990
260300000000,dza,1991
264600000000,dza,1992
258700000000,dza,1993
256100000000,dza,1994
265600000000,dza,1995
275500000000,dza,1996
278300000000,dza,1997
292300000000,dza,1998
301400000000,dza,1999
308800000000,dza,2000
316900000000,dza,2001
329800000000,dza,2002
353100000000,dza,2003
372200000000,dza,2004
392200000000,dza,2005
398900000000,dza,2006
412600000000,dza,2007
420900000000,dza,2008
428000000000,dza,2009
443300000000,dza,2010
453600000000,dza,2011
465300000000,dza,2012
479200000000,dza,2013
5510000,asm,1800
5510000,asm,1801
5508000,asm,1802
5508000,asm,1803
5506000,asm,1804
5506000,asm,1805
5505000,asm,1806
5504000,asm,1807
5503000,asm,1808
5502000,asm,1809
5501000,asm,1810
5500000,asm,1811
5499000,asm,1812
5498000,asm,1813
5497000,asm,1814
5496000,asm,1815
5495000,asm,1816
5494000,asm,1817
5493000,asm,1818
5492000,asm,1819
5491000,asm,1820
5509000,asm,1821
5525000,asm,1822
5542000,asm,1823
5559000,asm,1824
5576000,asm,1825
5594000,asm,1826
5611000,asm,1827
5628000,asm,1828
5645000,asm,1829
5663000,asm,1830
5680000,asm,1831
5697000,asm,1832
5715000,asm,1833
5732000,asm,1834
5750000,asm,1835
5768000,asm,1836
5785000,asm,1837
5804000,asm,1838
5821000,asm,1839
5839000,asm,1840
5857000,asm,1841
5875000,asm,1842
5893000,asm,1843
5911000,asm,1844
5929000,asm,1845
5948000,asm,1846
5966000,asm,1847
5984000,asm,1848
6002000,asm,1849
6021000,asm,1850
5998000,asm,1851
5976000,asm,1852
5953000,asm,1853
5930000,asm,1854
5908000,asm,1855
5886000,asm,1856
5864000,asm,1857
5841000,asm,1858
5820000,asm,1859
5797000,asm,1860
5775000,asm,1861
5754000,asm,1862
5732000,asm,1863
5710000,asm,1864
5689000,asm,1865
5668000,asm,1866
5646000,asm,1867
5624000,asm,1868
5604000,asm,1869
5582000,asm,1870
5561000,asm,1871
5540000,asm,1872
5519000,asm,1873
5498000,asm,1874
5478000,asm,1875
5457000,asm,1876
5436000,asm,1877
5415000,asm,1878
5395000,asm,1879
5375000,asm,1880
5354000,asm,1881
5334000,asm,1882
5314000,asm,1883
5294000,asm,1884
5274000,asm,1885
5254000,asm,1886
5234000,asm,1887
5215000,asm,1888
5195000,asm,1889
5175000,asm,1890
