geo,population_in_urban_agglomerations_m_1_million_percent_of_total,time
afg,2.967,1960
afg,3.475,1965
afg,3.986,1970
afg,5.059,1975
afg,6.491,1980
afg,7.368,1985
afg,7.711,1990
afg,7.779,1995
afg,8.309,2000
afg,11.17,2005
afg,11.59,2007
dza,8.071,1960
dza,9.07,1965
dza,9.32,1970
dza,9.406,1975
dza,8.62,1980
dza,7.568,1985
dza,7.547,1990
dza,8.12,1995
dza,9.029,2000
dza,9.74,2005
dza,9.904,2007
ago,4.378,1960
ago,5.724,1965
ago,7.549,1970
ago,9.754,1975
ago,12.24,1980
ago,13.88,1985
ago,14.71,1990
ago,15.58,1995
ago,16.26,2000
ago,16.65,2005
ago,22.78,2007
arg,38.07,1960
arg,39.19,1965
arg,40.54,1970
arg,40.49,1975
arg,40.44,1980
arg,39.96,1985
arg,39.38,1990
arg,38.97,1995
arg,38.84,2000
arg,39.14,2005
arg,39.1,2007
arm,28.8,1960
arm,29.38,1965
arm,30.9,1970
arm,32.25,1975
arm,33.64,1980
arm,33.63,1985
arm,33.13,1990
arm,35.45,1995
arm,36.13,2000
arm,35.98,2005
arm,35.87,2007
aus,54.2,1960
aus,55.64,1965
aus,57.58,1970
aus,58.31,1975
aus,60.57,1980
aus,60.77,1985
aus,60.26,1990
aus,60.48,1995
aus,60.62,2000
aus,60.43,2005
aus,60.54,2007
aut,25.51,1960
aut,25.76,1965
aut,26.33,1970
aut,26.49,1975
aut,27.01,1980
aut,27.39,1985
aut,27.18,1990
aut,26.74,1995
aut,26.94,2000
aut,27.45,2005
aut,27.74,2007
aze,25.81,1960
aze,24.75,1965
aze,24.64,1970
aze,25.12,1975
aze,25.53,1980
aze,24.9,1985
aze,24.21,1990
aze,22.97,1995
aze,22.4,2000
aze,22.12,2005
aze,22.32,2007
bgd,2.175,1960
bgd,2.785,1965
bgd,3.603,1970
bgd,4.605,1975
bgd,5.775,1980
bgd,6.836,1985
bgd,8.171,1990
bgd,9.25,1995
bgd,10.44,2000
bgd,11.78,2005
bgd,12.4,2007
blr,6.718,1960
blr,8.35,1965
blr,10.3,1970
blr,11.96,1975
blr,13.67,1980
blr,14.78,1985
blr,15.77,1990
blr,16.18,1995
blr,16.93,2000
blr,18.19,2005
blr,18.63,2007
bel,9.277,1960
bel,9.269,1965
bel,9.447,1970
bel,9.594,1975
bel,10.1,1980
bel,9.929,1985
bel,9.651,1990
bel,9.469,1995
bel,9.403,2000
bel,9.66,2005
bel,16.67,2007
bol,15.56,1960
bol,16.82,1965
bol,18.19,1970
bol,19.67,1975
bol,21.16,1980
bol,23.03,1985
bol,25.16,1990
bol,28.06,1995
bol,29.38,2000
bol,31.01,2005
bol,31.6,2007
bra,20.16,1960
bra,22.73,1965
bra,26.27,1970
bra,28.94,1975
bra,32.04,1980
bra,32.52,1985
bra,33.62,1990
bra,34.65,1995
bra,35.67,2000
bra,37.01,2005
bra,38.76,2007
bgr,9.0,1960
bgr,9.823,1965
bgr,10.38,1970
bgr,11.01,1975
bgr,12.01,1980
bgr,13.22,1985
bgr,13.66,1990
bgr,14.18,1995
bgr,14.44,2000
bgr,14.12,2005
bgr,15.52,2007
bfa,7.802,2007
khm,7.165,1960
khm,7.099,1965
khm,6.134,1970
khm,5.592,1975
khm,5.485,1980
khm,5.696,1985
khm,6.128,1990
khm,7.345,1995
khm,9.087,2000
khm,9.838,2005
khm,10.24,2007
cmr,4.217,1960
cmr,5.238,1965
cmr,7.034,1970
cmr,9.258,1975
cmr,10.86,1980
cmr,12.54,1985
cmr,13.77,1990
cmr,14.96,1995
cmr,16.54,2000
cmr,18.21,2005
cmr,18.83,2007
can,30.1,1960
can,33.0,1965
can,36.16,1970
can,36.14,1975
can,36.59,1980
can,37.91,1985
can,39.6,1990
can,40.7,1995
can,43.02,2000
can,44.47,2005
can,43.65,2007
chl,25.89,1960
chl,26.51,1965
chl,27.64,1970
chl,30.12,1975
chl,33.28,1980
chl,34.69,1985
chl,34.99,1990
chl,34.58,1995
chl,34.54,2000
chl,34.87,2005
chl,34.3,2007
chn,11.13,1960
chn,11.74,1965
chn,11.35,1970
chn,11.2,1975
chn,11.56,1980
chn,12.15,1985
chn,12.91,1990
chn,14.29,1995
chn,16.48,2000
chn,17.67,2005
chn,18.4,2007
col,19.67,1960
col,22.98,1965
col,25.86,1970
col,28.77,1975
col,29.91,1980
col,31.28,1985
col,31.72,1990
col,33.34,1995
col,36.69,2000
col,37.62,2005
col,34.65,2007
cod,5.335,1960
cod,6.975,1965
cod,8.63,1970
cod,10.06,1975
cod,11.79,1980
cod,13.97,1985
cod,15.3,1990
cod,15.28,1995
cod,15.55,2000
cod,16.12,2005
cod,16.71,2007
cog,12.23,1960
cog,14.86,1965
cog,17.89,1970
cog,21.23,1975
cog,24.59,1980
cog,28.16,1985
cog,28.76,1990
cog,29.84,1995
cog,32.49,2000
cog,34.32,2005
cog,38.14,2007
cri,17.23,1960
cri,18.12,1965
cri,19.68,1970
cri,21.43,1975
cri,22.4,1980
cri,23.23,1985
cri,23.96,1990
cri,24.94,1995
cri,26.26,2000
cri,28.11,2005
cri,28.77,2007
civ,5.569,1960
civ,7.337,1965
civ,10.48,1970
civ,14.59,1975
civ,16.43,1980
civ,16.39,1985
civ,16.67,1990
civ,16.92,1995
civ,17.68,2000
civ,18.59,2005
civ,18.9,2007
cub,19.81,1960
cub,19.76,1965
cub,20.02,1970
cub,19.36,1975
cub,19.41,1980
cub,19.88,1985
cub,19.91,1990
cub,20.01,1995
cub,19.72,2000
cub,19.55,2005
cub,19.39,2007
cze,10.47,1960
cze,10.61,1965
cze,11.0,1970
cze,11.18,1975
cze,11.52,1980
cze,11.57,1985
cze,11.68,1990
cze,11.59,1995
cze,11.49,2000
cze,11.44,2005
cze,11.4,2007
dnk,28.04,1960
dnk,28.86,1965
dnk,28.0,1970
dnk,27.29,1975
dnk,26.97,1980
dnk,26.5,1985
dnk,26.02,1990
dnk,25.98,1995
dnk,20.21,2000
dnk,20.09,2005
dnk,19.94,2007
dom,13.32,1960
dom,15.52,1965
dom,18.13,1970
dom,19.32,1975
dom,20.92,1980
