expenditure_per_student_secondary_percent_of_gdp_per_person,geo,time
17.14,dza,2002
17.16,dza,2003
7.129,and,2002
7.821,and,2003
8.367,and,2004
8.795,and,2005
12.28,and,2006
13.46,and,2007
17.24,and,2009
41.68,ago,2006
12.21,atg,2009
15.13,arg,1998
18.23,arg,1999
17.62,arg,2000
18.9,arg,2001
16.94,arg,2002
14.3,arg,2003
15.66,arg,2004
19.61,arg,2005
20.26,arg,2006
21.85,arg,2007
23.77,arg,2008
27.07,arg,2009
19.75,arm,2008
23.34,arm,2009
17.82,arm,2010
18.44,abw,1999
19.23,abw,2000
20.35,abw,2001
19.61,abw,2002
17.51,abw,2007
18.9,abw,2008
20.52,abw,2009
14.86,aus,1998
15.0,aus,1999
13.28,aus,2000
15.27,aus,2001
14.61,aus,2002
14.56,aus,2003
15.0,aus,2004
15.2,aus,2005
14.64,aus,2006
14.52,aus,2007
14.41,aus,2008
18.76,aus,2009
30.0,aut,1999
27.83,aut,2000
27.86,aut,2001
27.77,aut,2002
28.72,aut,2003
27.47,aut,2004
26.33,aut,2005
26.63,aut,2006
26.35,aut,2007
27.37,aut,2008
15.44,aze,1998
17.0,aze,1999
16.24,bhr,2002
11.52,bgd,1999
10.6,bgd,2000
12.14,bgd,2002
13.15,bgd,2003
14.37,bgd,2004
14.62,bgd,2006
14.2,bgd,2007
13.58,bgd,2008
11.98,bgd,2009
20.92,brb,1999
25.44,brb,2000
30.46,brb,2001
30.6,brb,2002
35.2,brb,2003
29.47,brb,2004
27.63,brb,2005
29.42,brb,2007
26.47,brb,2008
26.37,brb,2009
23.69,bel,2001
24.34,bel,2002
22.54,bel,2003
33.13,bel,2004
32.84,bel,2005
32.67,bel,2006
33.2,bel,2007
36.48,bel,2008
18.63,blz,1999
16.64,blz,2000
19.57,blz,2004
21.21,blz,2005
21.25,blz,2006
23.22,blz,2008
24.9,blz,2009
24.04,ben,2000
24.0,ben,2001
18.87,ben,2002
21.06,ben,2003
24.12,ben,2004
23.41,ben,2005
12.32,bmu,2004
13.96,bmu,2005
17.78,bmu,2010
76.94,btn,2000
34.91,btn,2009
27.37,btn,2010
11.97,bol,1998
11.71,bol,1999
9.577,bol,2000
10.24,bol,2001
12.66,bol,2002
13.04,bol,2003
14.41,bol,2006
41.09,bwa,2005
38.3,bwa,2007
9.526,bra,1999
10.32,bra,2000
10.42,bra,2001
10.21,bra,2002
11.53,bra,2004
13.14,bra,2005
17.99,bra,2007
19.51,bra,2008
7.796,brn,2010
18.4,bgr,2001
18.48,bgr,2002
20.19,bgr,2003
10.57,bgr,2004
22.02,bgr,2005
20.99,bgr,2006
20.91,bgr,2007
24.22,bgr,2008
22.14,bfa,2005
23.75,bfa,2006
30.85,bfa,2007
67.79,bdi,2001
75.99,bdi,2003
70.24,bdi,2004
71.53,bdi,2005
56.98,bdi,2008
58.16,bdi,2009
64.08,bdi,2010
11.45,khm,1998
6.18,khm,2001
6.818,khm,2010
36.35,cmr,2005
38.63,cmr,2006
26.14,cmr,2008
29.71,cmr,2009
28.05,cmr,2010
22.32,cpv,2002
20.65,cpv,2003
20.01,cpv,2004
19.63,cpv,2006
19.06,cpv,2007
18.33,cpv,2008
15.27,cpv,2009
16.92,caf,2008
15.96,caf,2009
14.51,caf,2010
24.41,tcd,2004
30.08,tcd,2005
23.0,tcd,2009
19.09,tcd,2010
13.79,chl,1998
14.85,chl,2000
15.75,chl,2002
15.94,chl,2003
14.11,chl,2004
13.23,chl,2005
12.4,chl,2006
13.44,chl,2007
15.97,chl,2008
17.72,chl,2009
11.54,chn,1999
14.06,col,1998
16.09,col,1999
12.88,col,2000
13.14,col,2001
13.77,col,2002
15.24,col,2004
14.46,col,2005
10.98,col,2006
9.974,col,2007
14.8,col,2008
15.09,col,2009
15.26,col,2010
26.78,com,2002
16.4,cog,2002
21.37,cri,1999
18.87,cri,2000
20.62,cri,2001
22.84,cri,2002
16.98,cri,2004
12.78,cri,2008
14.43,cri,2009
41.29,civ,1999
33.29,civ,2000
24.53,hrv,2002
21.13,hrv,2003
20.67,hrv,2004
20.96,hrv,2005
20.73,hrv,2006
20.47,hrv,2007
