murdered_children_0_14_per_100000_people,geo,time
1.5,bra,1995
1.624,bra,1996
1.539,bra,1997
1.516,bra,1998
1.539,bra,1999
1.666,bra,2000
1.651,bra,2001
1.799,bra,2002
1.664,bra,2003
1.554,bra,2004
1.669,bra,2005
0.5537,bgr,1964
0.5694,bgr,1965
0.6295,bgr,1966
0.4787,bgr,1967
0.522,bgr,1968
0.776,bgr,1969
0.3571,bgr,1970
0.8324,bgr,1971
0.8857,bgr,1972
0.7782,bgr,1973
0.3497,bgr,1974
0.25,bgr,1975
0.346,bgr,1976
0.246,bgr,1977
0.6131,bgr,1978
0.4996,bgr,1979
0.5238,bgr,1980
0.4169,bgr,1981
0.9617,bgr,1982
0.2184,bgr,1983
0.7939,bgr,1984
0.7374,bgr,1985
0.4051,bgr,1986
0.469,bgr,1987
0.6688,bgr,1988
0.6786,bgr,1989
0.7348,bgr,1990
0.4417,bgr,1991
0.4201,bgr,1992
0.8526,bgr,1993
0.4229,bgr,1994
0.4056,bgr,1995
0.6047,bgr,1996
1.001,bgr,1997
0.7692,bgr,1998
0.6236,bgr,1999
0.6565,bgr,2000
0.8328,bgr,2001
0.9072,bgr,2002
0.558,bgr,2003
0.2774,bgr,2004
0.5724,bgr,2005
0.1034,bgr,2006
0.4885,bgr,2007
0.4868,bgr,2008
0.447,can,1950
0.5495,can,1951
0.6775,can,1952
0.8097,can,1953
0.5279,can,1954
0.6145,can,1955
0.763,can,1956
0.5399,can,1957
0.7875,can,1958
0.5751,can,1959
0.6251,can,1960
0.4451,can,1961
0.6092,can,1962
0.4532,can,1963
0.4795,can,1964
0.7409,can,1965
0.7555,can,1966
0.8428,can,1967
0.6026,can,1968
0.794,can,1969
0.9459,can,1970
0.8127,can,1971
0.7484,can,1972
0.7758,can,1973
1.03,can,1974
0.9597,can,1975
0.9151,can,1976
0.9678,can,1977
1.122,can,1978
1.286,can,1979
0.6592,can,1980
1.063,can,1981
0.7168,can,1982
0.8742,can,1983
1.067,can,1984
0.8779,can,1985
1.081,can,1986
0.929,can,1987
0.6446,can,1988
