geo,stomach_cancer_deaths_per_100000_men,time
afg,15.8,2002
alb,14.31,1987
alb,16.71,1988
alb,15.94,1989
alb,15.03,1992
alb,11.12,1993
alb,10.32,1994
alb,14.79,1995
alb,16.13,1996
alb,15.48,1997
alb,15.99,1998
alb,15.76,1999
alb,15.84,2000
alb,12.08,2001
alb,13.86,2002
dza,5.6,2002
ago,13.3,2002
arg,24.16,1966
arg,26.99,1967
arg,26.63,1968
arg,26.1,1969
arg,25.05,1970
arg,18.4,1977
arg,17.76,1978
arg,16.74,1979
arg,15.28,1980
arg,16.47,1981
arg,14.24,1982
arg,14.11,1983
arg,14.0,1984
arg,13.81,1985
arg,13.53,1986
arg,13.2,1987
arg,12.95,1988
arg,13.25,1989
arg,12.09,1990
arg,11.6,1991
arg,11.04,1992
arg,10.66,1993
arg,10.76,1994
arg,10.81,1995
arg,10.86,1996
arg,10.2,1997
arg,10.03,1998
arg,10.2,1999
arg,9.85,2000
arg,9.3,2001
arg,9.15,2002
arm,21.97,1981
arm,20.94,1982
arm,24.11,1985
arm,19.18,1986
arm,21.98,1987
arm,19.88,1988
arm,18.91,1989
arm,21.83,1990
arm,19.71,1991
arm,22.1,1992
arm,20.0,1993
arm,17.54,1994
arm,17.51,1995
arm,17.82,1996
arm,16.43,1997
arm,15.82,1998
arm,15.54,1999
arm,15.11,2000
arm,15.89,2001
arm,15.33,2002
aus,25.85,1950
aus,25.42,1951
aus,25.19,1952
aus,24.25,1953
aus,22.73,1954
aus,23.34,1955
aus,21.23,1956
aus,21.36,1957
aus,21.64,1958
aus,19.77,1959
aus,18.39,1960
aus,19.1,1961
aus,17.39,1962
aus,17.33,1963
aus,16.11,1964
aus,14.96,1965
aus,15.68,1966
aus,15.46,1967
aus,15.59,1968
aus,14.81,1969
aus,14.44,1970
aus,14.25,1971
aus,14.28,1972
aus,13.14,1973
aus,13.42,1974
aus,12.95,1975
aus,12.12,1976
aus,11.05,1977
aus,11.52,1978
aus,10.65,1979
aus,10.91,1980
