geo,service_workers_percent_of_labour_force,time
brb,65.6,1993
brb,65.2,1994
brb,65.1,1995
brb,62.7,1996
brb,64.3,1997
brb,62.8,1998
brb,64.0,1999
brb,64.4,2000
brb,65.5,2001
brb,65.9,2002
brb,66.8,2003
brb,69.7,2004
bel,62.6,1980
bel,64.0,1981
bel,65.1,1982
bel,65.9,1983
bel,66.5,1984
bel,67.1,1985
bel,67.8,1986
bel,68.6,1987
bel,66.3,1993
bel,66.6,1994
bel,67.0,1995
bel,67.3,1996
bel,67.8,1997
bel,67.9,1998
bel,70.8,1999
bel,71.4,2000
bel,71.9,2001
bel,72.6,2002
bel,73.2,2003
bel,72.8,2004
bel,72.6,2005
bel,72.8,2006
blz,53.6,1993
blz,53.1,1994
blz,54.5,1995
blz,53.0,1996
blz,51.4,1997
blz,56.5,1998
blz,55.3,1999
blz,61.9,2005
bmu,74.9,2000
btn,39.2,2005
bol,32.9,1980
bol,33.9,1981
bol,36.3,1982
bol,35.2,1983
bol,36.0,1984
bol,36.5,1985
bol,39.9,1986
bol,39.8,1987
bol,39.8,1988
bol,72.3,1989
bol,72.8,1990
bol,68.5,1991
bol,65.8,1992
bol,69.8,1993
bol,68.6,1994
bol,68.7,1995
bol,66.4,1996
bol,64.5,1997
bol,67.9,1999
bol,67.0,2000
bol,41.8,2001
bol,41.5,2002
bwa,31.4,1985
bwa,58.6,1996
bwa,55.9,1998
bwa,58.1,2000
bwa,61.3,2001
bwa,56.1,2003
bwa,54.7,2005
bra,46.1,1981
bra,47.1,1982
bra,47.6,1983
bra,48.4,1984
bra,49.3,1985
bra,50.0,1986
bra,51.6,1987
bra,52.4,1988
bra,53.2,1989
bra,59.1,2000
bra,57.8,2002
bra,58.2,2003
bra,57.8,2004
bra,57.9,2005
bra,59.1,2006
vgb,76.1,1991
brn,77.2,2001
bgr,32.9,1980
bgr,33.1,1981
bgr,33.3,1982
bgr,33.5,1983
bgr,33.7,1984
bgr,34.0,1985
bgr,34.2,1986
bgr,34.5,1987
bgr,35.0,1988
bgr,36.0,1989
bgr,37.3,1990
bgr,39.3,1991
bgr,40.3,1992
bgr,41.3,1993
bgr,42.0,1994
bgr,42.6,1995
bgr,43.1,1996
bgr,42.6,1997
bgr,43.2,1998
bgr,45.4,1999
bgr,45.5,2000
bgr,46.3,2002
bgr,57.1,2003
bgr,57.1,2004
bgr,56.8,2005
bgr,57.4,2006
bgr,57.0,2007
bfa,7.5,1994
khm,18.0,1998
khm,17.7,2000
khm,19.1,2001
khm,8.6,2004
cmr,14.0,1986
cmr,23.1,2001
can,66.0,1980
can,66.3,1981
can,68.2,1982
can,68.9,1983
can,68.9,1984
can,69.5,1985
can,69.8,1986
can,70.6,1987
can,70.6,1988
can,70.7,1989
can,71.4,1990
can,72.7,1991
can,73.4,1992
can,74.0,1993
can,74.0,1994
can,74.0,1995
can,74.1,1996
can,74.1,1997
can,74.0,1998
can,74.1,1999
can,74.1,2000
can,74.7,2001
can,74.7,2002
can,75.0,2003
can,75.0,2004
can,75.3,2005
can,75.3,2006
can,75.9,2007
cym,80.2,1991
cym,75.5,2005
cym,76.4,2006
cym,76.4,2007
tcd,14.5,1993
chl,59.8,1980
chl,60.7,1981
chl,65.4,1982
chl,66.0,1983
chl,63.7,1984
chl,59.6,1985
chl,58.2,1986
chl,56.0,1987
chl,54.8,1988
chl,54.1,1989
chl,54.6,1991
chl,56.2,1993
chl,58.2,1995
chl,58.3,1997
chl,62.1,1999
chl,62.5,2001
chl,67.2,2002
chl,63.0,2003
chl,63.0,2004
chl,63.9,2005
chl,63.9,2006
chl,64.3,2007
chn,10.7,1987
chn,11.1,1988
chn,10.9,1989
chn,9.9,1990
chn,10.2,1991
chn,10.6,1992
chn,10.6,1993
chn,11.5,1994
chn,12.2,1995
chn,12.7,1996
chn,13.1,1997
chn,12.8,1998
chn,12.9,1999
chn,12.7,2000
chn,12.7,2001
chn,16.1,2002
col,64.6,1980
col,69.2,1985
col,69.5,1986
col,68.6,1987
col,68.6,1988
col,68.8,1989
col,67.7,1990
col,68.0,1991
col,67.4,1992
col,67.2,1994
col,67.4,1995
col,68.9,1996
col,71.1,1997
col,72.3,1998
col,74.5,1999
col,73.3,2000
col,59.3,2001
col,59.6,2002
col,60.2,2003
col,60.1,2004
col,58.8,2005
col,61.0,2006
col,61.9,2007
cri,48.3,1980
cri,49.4,1981
cri,48.2,1982
cri,49.6,1983
cri,49.2,1984
cri,51.0,1985
cri,49.3,1986
cri,46.4,1987
cri,47.1,1988
cri,46.6,1989
cri,47.5,1990
cri,47.3,1991
cri,48.9,1992
cri,50.5,1993
cri,51.6,1994
cri,53.5,1995
cri,54.0,1996
cri,55.0,1997
cri,55.9,1998
cri,56.3,1999
cri,56.5,2000
cri,60.5,2001
cri,61.1,2002
cri,62.1,2003
cri,62.6,2004
cri,62.8,2005
cri,63.9,2006
cri,64.2,2007
hrv,50.9,1996
hrv,52.3,1997
hrv,53.4,1998
hrv,52.8,1999
hrv,56.5,2000
hrv,54.3,2001
hrv,55.0,2002
hrv,53.3,2003
hrv,53.7,2004
hrv,54.0,2005
hrv,56.3,2006
hrv,56.3,2007
cub,45.8,1991
cub,45.8,1992
cub,46.6,1993
cub,48.9,1994
cub,52.0,1995
cub,52.0,1996
cub,52.0,1997
cub,57.2,1998
cub,53.8,1999
cub,53.8,2000
cub,58.1,2001
cub,58.1,2002
cub,58.1,2003
cub,59.4,2004
cub,60.6,2005
cub,61.8,2006
cub,63.2,2007
cyp,44.7,1980
cyp,46.1,1981
cyp,47.4,1982
cyp,48.7,1983
cyp,49.4,1984
cyp,50.9,1985
cyp,52.0,1986
cyp,53.0,1987
cyp,53.9,1988
cyp,55.2,1989
cyp,56.3,1990
cyp,57.2,1991
cyp,58.5,1992
cyp,60.2,1993
cyp,62.0,1994
cyp,63.0,1995
cyp,67.6,1999
cyp,67.4,2000
cyp,70.6,2001
cyp,70.6,2002
cyp,71.0,2003
cyp,70.6,2004
cyp,70.3,2005
cyp,72.3,2006
cyp,72.4,2007
cze,48.6,1993
cze,50.3,1994
cze,51.1,1995
cze,51.7,1996
cze,52.5,1997
cze,53.1,1998
cze,54.1,1999
cze,54.8,2000
cze,54.7,2001
cze,55.2,2002
cze,55.7,2003
cze,56.3,2004
cze,56.4,2005
cze,56.1,2006
cze,56.2,2007
dnk,62.5,1981
dnk,63.5,1983
dnk,66.4,1984
dnk,65.4,1985
dnk,65.6,1986
dnk,65.9,1987
dnk,66.8,1988
dnk,66.5,1989
dnk,66.6,1990
dnk,66.3,1991
dnk,67.4,1992
dnk,68.7,1993
dnk,68.4,1994
dnk,67.9,1995
dnk,68.7,1996
dnk,69.3,1997
dnk,69.2,1998
dnk,69.7,1999
dnk,69.9,2000
dnk,71.0,2001
dnk,72.0,2002
dnk,72.6,2003
dnk,72.9,2004
dnk,72.6,2005
dnk,73.3,2006
dnk,73.8,2007
dma,39.9,1989
dma,44.7,1991
dma,53.8,1997
dma,54.0,1999
dma,58.8,2001
dom,54.0,1996
dom,54.4,1997
dom,60.2,2000
dom,63.3,2003
dom,62.1,2004
dom,63.1,2005
ecu,68.6,1988
ecu,68.9,1989
ecu,69.1,1992
ecu,67.7,1993
ecu,71.8,1996
ecu,70.8,1997
ecu,69.1,1999
ecu,67.6,2000
ecu,67.5,2001
ecu,68.9,2002
ecu,69.2,2003
ecu,69.3,2004
ecu,70.4,2005
ecu,69.8,2006
egy,35.7,1980
egy,36.0,1981
egy,37.6,1982
egy,36.2,1983
egy,36.2,1984
egy,36.8,1989
egy,40.1,1990
egy,43.8,1991
egy,40.1,1992
egy,43.0,1993
egy,43.3,1994
egy,44.1,1995
egy,44.8,1996
egy,46.2,1997
egy,47.9,1998
egy,48.7,1999
egy,49.1,2000
egy,50.2,2001
egy,51.9,2002
egy,50.4,2003
egy,48.2,2004
egy,47.5,2005
egy,46.6,2006
slv,41.5,1980
slv,44.4,1985
slv,67.3,1986
slv,63.3,1988
slv,62.8,1989
slv,60.9,1991
slv,41.5,1992
slv,46.2,1994
slv,47.7,1995
slv,47.0,1996
slv,50.7,1997
slv,50.3,1998
slv,52.9,1999
slv,54.1,2000
slv,54.5,2001
slv,55.7,2002
slv,57.2,2003
slv,57.2,2004
slv,57.8,2005
slv,58.2,2006
gnq,17.6,1983
est,41.5,1989
est,41.8,1990
est,43.7,1991
est,45.9,1992
est,50.8,1993
est,53.3,1994
est,55.6,1995
est,56.6,1996
est,57.6,1997
est,58.0,1998
est,59.8,1999
est,59.5,2000
est,60.1,2001
est,61.7,2002
est,61.3,2003
est,59.2,2004
est,60.7,2005
est,61.5,2006
est,60.1,2007
eth,7.6,1994
eth,69.0,2004
eth,13.2,2005
eth,68.6,2006
fro,66.7,2005
fin,52.2,1980
fin,52.5,1981
fin,53.5,1982
fin,54.8,1983
fin,55.8,1984
fin,57.1,1985
fin,57.6,1986
fin,59.0,1987
fin,60.1,1988
fin,60.6,1989
fin,60.5,1990
fin,62.2,1991
fin,63.4,1992
fin,64.2,1993
fin,64.6,1994
fin,64.3,1995
fin,64.9,1996
fin,65.2,1997
fin,65.4,1998
fin,65.6,1999
fin,66.0,2000
fin,66.9,2001
fin,67.2,2002
fin,68.3,2003
fin,69.0,2004
fin,69.1,2005
fin,69.4,2006
fin,69.7,2007
fra,56.2,1980
fra,57.2,1981
fra,58.1,1982
fra,59.2,1983
fra,60.2,1984
fra,61.3,1985
fra,62.2,1986
fra,63.1,1987
fra,63.8,1988
fra,64.4,1989
fra,64.8,1990
fra,65.5,1991
fra,66.5,1992
fra,67.7,1993
fra,68.7,1994
fra,70.0,2003
fra,70.9,2004
fra,71.4,2005
fra,72.3,2006
fra,73.1,2007
gab,46.2,1993
gmb,27.8,1993
geo,41.1,1998
geo,38.2,1999
geo,37.9,2000
geo,37.8,2001
geo,38.0,2002
geo,36.5,2003
geo,36.9,2004
geo,36.2,2005
geo,35.5,2006
geo,36.0,2007
deu,54.9,1991
deu,56.0,1992
deu,57.4,1993
deu,58.9,1994
deu,60.4,1995
deu,61.5,1996
deu,62.2,1997
deu,62.5,1998
deu,63.0,1999
deu,63.6,2000
deu,64.2,2001
deu,64.9,2002
deu,65.5,2003
deu,66.0,2004
deu,67.6,2005
deu,67.8,2006
deu,67.9,2007
deu_east,51.8,1991
deu_east,57.5,1992
deu_east,59.1,1993
deu_east,60.2,1994
gha,27.9,1992
gha,31.1,1999
gib,82.0,1998
gib,84.5,1999
gib,85.1,2000
gib,82.7,2001
gib,82.5,2002
gib,83.1,2003
gib,84.4,2004
gib,84.6,2005
gib,83.8,2006
gib,84.8,2007
grc,40.3,1981
grc,41.9,1982
grc,41.4,1983
grc,42.8,1984
grc,43.7,1985
grc,43.4,1986
grc,45.0,1987
grc,46.2,1988
grc,47.1,1989
grc,48.3,1990
grc,50.3,1991
grc,51.0,1992
grc,54.5,1993
grc,55.5,1994
grc,56.3,1995
grc,56.8,1996
grc,57.7,1997
grc,58.8,1998
grc,59.6,1999
grc,60.0,2000
grc,60.9,2001
grc,61.7,2002
grc,62.1,2003
grc,64.9,2004
grc,65.1,2005
grc,65.9,2006
grc,66.0,2007
grd,49.4,1988
grd,55.8,1994
grd,57.0,1996
grd,58.6,1998
glp,51.6,1980
gtm,29.6,1981
gtm,29.6,1982
gtm,31.3,1987
gtm,57.2,1990
gtm,53.4,1991
gtm,27.9,1994
gtm,39.0,1998
gtm,42.8,2000
gtm,37.5,2002
gtm,43.7,2006
gin,18.1,1994
guy,47.9,1997
guy,50.4,2002
hti,24.4,1980
hti,25.2,1981
hti,23.0,1982
hti,23.0,1983
hti,22.2,1988
hti,22.8,1990
hti,38.7,1999
hnd,24.5,1980
hnd,24.4,1981
hnd,24.7,1982
hnd,25.0,1983
hnd,73.0,1985
hnd,72.2,1986
hnd,72.3,1987
hnd,33.2,1990
hnd,40.6,1991
hnd,41.6,1992
hnd,59.7,1993
hnd,38.7,1994
hnd,38.5,1995
hnd,39.4,1996
hnd,41.0,1997
hnd,42.4,1998
hnd,42.9,1999
hnd,39.7,2005
hkg,48.4,1980
hkg,50.2,1981
hkg,52.1,1982
hkg,53.8,1983
hkg,53.7,1984
hkg,54.0,1985
hkg,55.0,1986
hkg,55.5,1987
hkg,57.6,1988
hkg,60.1,1989
hkg,62.4,1990
hkg,64.3,1991
hkg,66.4,1992
hkg,69.6,1993
hkg,71.4,1994
hkg,72.4,1995
hkg,74.0,1996
hkg,75.5,1997
hkg,77.1,1998
hkg,78.6,1999
hkg,79.4,2000
hkg,80.4,2001
hkg,82.7,2003
hkg,84.2,2004
hkg,84.7,2005
hkg,85.1,2006
hkg,85.6,2007
hun,36.8,1980
hun,35.5,1981
hun,35.5,1982
hun,36.1,1983
hun,36.8,1984
hun,37.6,1985
hun,38.5,1986
hun,39.3,1987
hun,40.1,1988
hun,41.0,1989
hun,45.0,1990
hun,47.8,1991
hun,53.4,1992
hun,56.9,1993
hun,58.1,1994
hun,59.3,1995
hun,59.0,1996
hun,58.9,1997
hun,57.3,1998
hun,58.0,1999
hun,59.1,2000
hun,58.9,2001
hun,59.2,2002
hun,60.8,2003
hun,61.4,2004
hun,62.1,2005
hun,62.4,2006
hun,62.7,2007
isl,63.5,1991
isl,65.0,1992
isl,65.0,1993
isl,64.5,1994
isl,65.5,1995
isl,66.2,1996
isl,64.8,1997
isl,66.9,1998
isl,68.0,1999
isl,68.6,2000
isl,69.2,2001
isl,68.8,2002
isl,71.3,2003
isl,70.5,2004
isl,71.4,2005
isl,72.4,2006
isl,72.9,2007
idn,30.4,1980
idn,30.4,1982
idn,31.8,1985
idn,36.5,1986
idn,36.7,1987
idn,30.4,1988
idn,30.4,1989
idn,30.2,1990
idn,31.4,1991
idn,30.9,1992
idn,33.5,1993
idn,35.0,1994
idn,37.6,1995
idn,37.9,1996
idn,39.8,1997
idn,38.8,1998
idn,38.9,1999
idn,37.5,2001
idn,36.9,2002
idn,36.2,2003
idn,38.7,2004
idn,38.0,2005
idn,37.6,2006
irn,46.8,1982
irn,44.3,1996
irn,44.6,2005
irn,45.1,2007
irq,65.1,2004
irl,53.4,1983
irl,54.3,1984
irl,55.6,1985
irl,55.6,1986
irl,57.1,1987
irl,57.1,1988
irl,56.4,1989
irl,56.4,1990
irl,57.4,1991
irl,58.5,1992
irl,59.6,1993
irl,59.1,1994
irl,59.6,1995
irl,61.1,1996
irl,60.1,1997
irl,61.5,1998
irl,62.4,1999
irl,62.8,2000
irl,63.4,2001
irl,64.7,2002
irl,65.4,2003
irl,65.4,2004
irl,65.5,2005
irl,66.3,2006
gbm,82.5,2001
gbm,83.3,2006
isr,62.1,1980
isr,62.7,1981
isr,63.7,1982
isr,63.7,1983
isr,64.3,1984
isr,65.0,1985
isr,65.2,1986
isr,65.0,1987
isr,66.5,1988
isr,67.4,1989
isr,67.5,1990
isr,67.2,1991
isr,67.3,1992
isr,67.0,1993
isr,67.5,1994
isr,67.6,1995
isr,68.4,1996
isr,69.3,1997
isr,71.1,1998
isr,72.1,1999
isr,73.0,2000
isr,73.9,2001
isr,74.6,2002
isr,75.1,2003
isr,75.0,2004
isr,75.6,2005
isr,75.8,2006
isr,75.6,2007
ita,48.7,1980
ita,49.9,1981
ita,51.4,1982
ita,52.3,1983
ita,54.5,1984
ita,56.0,1985
ita,56.9,1986
ita,57.7,1987
ita,58.4,1988
ita,58.9,1989
ita,59.3,1990
ita,59.5,1991
ita,60.2,1992
ita,58.1,1993
ita,58.5,1994
ita,59.2,1995
ita,60.0,1996
ita,60.4,1997
ita,60.7,1998
ita,61.4,1999
ita,62.1,2000
ita,62.5,2001
ita,62.8,2002
ita,62.8,2003
ita,64.4,2004
ita,64.6,2005
ita,65.2,2006
ita,65.8,2007
jam,53.1,1992
jam,55.5,1993
jam,56.3,1994
jam,56.5,1995
jam,57.0,1996
jam,60.0,1997
jam,60.7,1998
jam,61.3,1999
jam,62.0,2000
jam,61.9,2001
jam,62.4,2002
jam,62.1,2003
jam,63.2,2004
jam,64.0,2005
jam,63.9,2006
jpn,54.0,1980
jpn,54.5,1981
jpn,55.2,1982
jpn,55.7,1983
jpn,55.9,1984
jpn,56.0,1985
jpn,56.7,1986
jpn,57.5,1987
jpn,57.5,1988
jpn,57.7,1989
jpn,58.2,1990
jpn,58.4,1991
jpn,58.5,1992
jpn,59.3,1993
jpn,59.7,1994
jpn,60.4,1995
jpn,60.8,1996
jpn,61.1,1997
jpn,62.1,1998
jpn,62.5,1999
jpn,63.1,2000
jpn,63.9,2001
jpn,64.8,2002
jpn,65.1,2003
jpn,66.0,2004
jpn,66.4,2005
jpn,66.6,2006
jpn,66.7,2007
jor,71.6,1983
jor,75.6,1986
jor,76.3,1987
jor,72.8,2000
jor,73.8,2001
jor,74.3,2002
jor,74.5,2003
kaz,53.2,1999
kaz,48.1,2001
kaz,48.2,2002
kaz,47.8,2003
kaz,49.1,2004
kir,89.8,2000
kor,37.0,1980
kor,38.0,1981
kor,40.1,1982
kor,41.1,1983
kor,42.2,1984
kor,44.3,1985
kor,44.5,1986
kor,44.1,1987
kor,44.5,1988
kor,45.3,1989
kor,46.7,1990
kor,47.7,1991
kor,50.1,1992
kor,52.4,1993
kor,53.7,1994
kor,54.7,1995
kor,56.1,1996
kor,57.7,1997
kor,59.9,1998
kor,61.1,1999
kor,61.2,2000
kor,62.5,2001
kor,63.3,2002
kor,63.5,2003
kor,64.3,2004
kor,65.1,2005
kor,65.9,2006
kor,66.6,2007
kwt,72.3,1983
kwt,73.2,1988
kwt,73.9,1995
kwt,81.7,2003
kgz,36.2,1986
kgz,35.5,1987
kgz,35.7,1988
kgz,35.2,1989
kgz,39.4,1990
kgz,38.0,1991
kgz,39.3,1992
kgz,39.7,1993
kgz,38.7,1994
kgz,36.1,1995
kgz,38.3,1996
kgz,38.2,1997
kgz,37.9,1998
kgz,36.1,1999
kgz,36.5,2000
kgz,36.7,2001
kgz,38.9,2002
kgz,41.7,2003
kgz,43.5,2004
kgz,43.9,2005
kgz,44.3,2006
lao,11.1,1995
lva,55.4,1996
lva,52.4,1997
lva,54.2,1998
lva,57.5,1999
lva,59.1,2000
lva,58.3,2001
lva,59.0,2002
lva,59.2,2003
lva,59.4,2004
lva,61.8,2005
lva,61.3,2006
lva,61.5,2007
lso,30.7,1996
lso,28.2,1997
lso,18.3,1999
lby,47.4,1980
lby,44.3,1983
lby,43.8,1985
lby,50.2,1986
ltu,50.8,1997
ltu,52.1,1998
ltu,53.3,1999
ltu,54.5,2000
ltu,55.6,2001
ltu,54.7,2002
ltu,54.0,2003
ltu,55.9,2004
ltu,56.9,2005
ltu,57.9,2006
ltu,59.0,2007
lux,56.5,1980
lux,57.8,1981
lux,58.9,1982
lux,59.9,1983
lux,60.9,1984
lux,62.0,1985
lux,62.7,1986
lux,63.7,1987
lux,64.9,1988
lux,65.5,1989
lux,66.4,1990
lux,70.7,1995
lux,71.5,1996
lux,71.9,1997
lux,72.3,1998
lux,74.4,1999
lux,75.7,2000
lux,76.3,2001
lux,76.6,2002
lux,77.7,2003
lux,78.2,2004
lux,77.5,2005
lux,78.0,2006
lux,51.6,2007
mac,51.5,1989
mac,57.2,1990
mac,61.2,1992
mac,64.0,1993
mac,68.7,1994
mac,67.6,1995
mac,70.8,1996
mac,70.9,1997
mac,67.5,1998
mac,69.2,1999
mac,71.5,2000
mac,69.1,2001
mac,71.1,2002
mac,72.6,2003
mac,74.4,2004
mac,74.7,2005
mac,76.5,2006
mac,78.6,2007
mdg,15.3,2003
mdg,14.6,2005
mys,38.7,1980
mys,38.8,1981
mys,44.4,1982
mys,43.5,1983
mys,45.0,1984
mys,45.8,1985
mys,46.5,1986
mys,46.8,1987
mys,46.7,1988
mys,45.9,1989
mys,46.5,1990
mys,43.7,1991
mys,46.6,1992
mys,46.9,1993
mys,47.7,1995
mys,48.4,1996
mys,49.0,1997
mys,49.4,1998
mys,49.9,1999
mys,49.5,2000
mys,51.7,2001
mys,53.1,2002
mys,53.7,2003
mys,55.3,2004
mys,55.6,2005
mys,55.1,2006
mys,56.7,2007
mdv,48.5,1990
mdv,50.4,1995
mdv,50.2,2000
mdv,56.6,2003
mdv,59.8,2006
mli,41.9,2004
mlt,65.2,2000
mlt,65.8,2001
mlt,67.7,2002
mlt,67.2,2003
mlt,68.2,2004
mlt,68.0,2005
mlt,70.0,2006
mlt,71.8,2007
mhl,59.4,1999
mtq,75.0,1990
mus,45.3,1992
mus,46.7,1994
mus,45.7,1995
mus,48.5,1996
mus,49.5,1997
mus,49.6,1998
mus,50.1,1999
mus,49.7,2001
mus,51.9,2002
mus,53.5,2003
mus,56.2,2004
mus,57.4,2005
mus,57.9,2006
mus,57.9,2007
mex,49.0,1988
mex,46.1,1990
mex,50.3,1991
mex,51.1,1993
mex,54.5,1995
mex,55.0,1996
mex,53.8,1997
mex,55.5,1998
mex,53.9,1999
mex,55.3,2000
mex,56.3,2001
mex,57.4,2002
mex,58.5,2003
mex,59.0,2004
mex,57.4,2005
mex,57.8,2006
mex,59.9,2007
mng,40.0,1993
mng,38.6,1994
mng,35.9,1995
mng,36.0,1996
mng,34.3,1997
mng,34.4,1998
mng,35.0,1999
mng,37.2,2000
mng,38.0,2001
mng,40.7,2002
mng,42.6,2003
mng,43.7,2004
mng,43.3,2005
mne,64.2,2003
mne,71.9,2005
msr,61.7,1980
msr,60.9,1981
msr,61.7,1982
msr,62.4,1983
msr,62.7,1984
msr,62.6,1985
msr,60.6,1986
msr,59.5,1987
msr,62.8,1991
mar,59.5,1990
mar,59.8,1991
mar,60.4,1992
mar,61.9,1993
mar,36.5,1994
mar,58.9,1995
mar,56.4,1996
mar,58.8,1997
mar,60.3,1998
mar,60.6,1999
mar,63.8,2001
mar,35.5,2002
mar,35.9,2003
mar,34.7,2004
mar,35.0,2005
mar,36.3,2006
mmr,23.1,1980
mmr,23.2,1981
mmr,23.1,1982
mmr,23.4,1983
mmr,23.3,1984
mmr,23.3,1985
mmr,23.3,1986
mmr,23.6,1987
mmr,23.9,1988
mmr,23.9,1989
mmr,21.0,1990
mmr,21.9,1992
mmr,21.5,1993
mmr,21.5,1994
mmr,24.9,1997
mmr,25.1,1998
nam,36.4,1991
nam,46.4,1997
nam,56.0,2000
nam,55.1,2004
npl,14.7,1991
npl,14.0,1999
npl,20.1,2001
nld,63.6,1980
nld,66.3,1982
nld,66.7,1984
nld,68.4,1986
nld,69.0,1988
nld,68.8,1989
nld,68.6,1990
nld,69.6,1991
nld,68.5,1992
nld,69.6,1993
nld,70.5,1994
nld,70.3,1995
nld,71.3,1996
nld,71.0,1997
nld,72.1,1998
nld,72.6,1999
nld,72.9,2000
nld,73.4,2001
nld,74.2,2002
nld,74.6,2003
nld,71.6,2004
nld,72.0,2005
ant,75.7,1980
ant,74.1,1981
ant,77.6,1983
ant,77.7,1984
ant,77.9,1985
ant,78.5,1986
ant,68.4,1987
ant,77.3,1990
ant,76.3,1991
ant,77.1,1992
ant,77.3,1993
ant,78.0,1994
ant,77.4,1995
ant,78.1,1996
ant,79.0,1997
ant,80.2,1998
ant,80.8,2000
ant,81.8,2002
ant,82.2,2003
ant,83.0,2004
ant,83.6,2005
ant,83.0,2006
ant,82.6,2007
ncl,68.0,1996
nzl,60.1,1986
nzl,62.0,1987
nzl,63.4,1988
nzl,64.1,1989
nzl,64.5,1990
nzl,65.3,1991
nzl,66.1,1992
nzl,65.7,1993
nzl,64.5,1994
nzl,65.2,1995
nzl,65.3,1996
nzl,67.3,1997
nzl,67.2,1998
nzl,67.5,1999
nzl,67.6,2000
nzl,67.8,2001
nzl,68.5,2002
nzl,69.4,2003
nzl,69.6,2004
nzl,70.7,2005
nzl,70.1,2006
nzl,70.5,2007
nic,38.2,1990
nic,40.0,1991
nic,40.0,1992
nic,39.6,1994
nic,51.2,2003
nic,51.1,2004
nic,51.0,2005
nic,51.2,2006
nga,56.6,1983
nga,43.7,1986
niu,66.1,1987
niu,69.5,2001
mnp,58.1,1984
mnp,58.1,1985
mnp,53.1,1990
mnp,83.7,1995
nor,62.3,1980
nor,62.7,1981
nor,63.9,1982
nor,65.3,1983
nor,65.4,1984
nor,65.6,1985
nor,65.9,1986
nor,66.7,1987
nor,67.5,1988
nor,68.3,1989
nor,69.2,1990
nor,70.7,1991
nor,71.2,1992
nor,71.6,1993
nor,71.6,1994
nor,71.7,1995
nor,71.5,1996
nor,72.0,1997
nor,72.1,1998
nor,73.1,1999
nor,73.8,2000
nor,74.1,2001
nor,74.2,2002
nor,74.6,2003
nor,75.5,2004
nor,75.8,2005
nor,75.7,2006
