geo,service_workers_percent_of_labour_force,time
dza,54.5,2001
dza,54.8,2003
dza,53.0,2004
asm,40.7,1990
ago,66.6,1992
aia,67.5,1999
aia,76.7,2001
atg,74.6,2001
arg,59.5,1982
arg,58.5,1983
arg,56.6,1984
arg,67.6,1990
arg,66.2,1991
arg,66.7,1992
arg,69.3,1993
arg,70.5,1994
arg,71.9,1995
arg,73.9,1996
arg,73.2,1997
arg,74.0,1998
arg,75.3,1999
arg,76.2,2000
arg,76.9,2001
arg,78.5,2002
arg,76.3,2003
arg,75.5,2004
arg,75.1,2005
arg,75.2,2006
arm,68.4,2001
arm,37.8,2002
arm,37.5,2003
arm,37.1,2004
arm,37.8,2005
arm,38.2,2006
abw,81.2,1994
abw,82.9,1997
aus,62.4,1980
aus,62.7,1981
aus,63.7,1982
aus,64.8,1983
aus,65.5,1984
aus,66.7,1985
aus,67.4,1986
aus,68.3,1987
aus,68.0,1988
aus,68.4,1989
aus,69.5,1990
aus,71.3,1991
aus,71.3,1992
aus,71.1,1993
aus,71.3,1994
aus,72.2,1995
aus,72.5,1996
aus,72.7,1997
aus,73.3,1998
aus,73.7,1999
aus,73.3,2000
aus,74.2,2001
aus,74.5,2002
aus,75.0,2003
aus,74.8,2004
aus,75.0,2005
aus,75.0,2006
aus,75.1,2007
aut,51.2,1983
aut,52.2,1984
aut,52.6,1985
aut,53.2,1986
aut,53.4,1987
aut,54.0,1988
aut,54.7,1989
aut,54.9,1990
aut,55.2,1991
aut,56.8,1992
aut,57.5,1993
aut,60.2,1994
aut,60.5,1995
aut,61.7,1996
aut,63.1,1997
aut,62.9,1998
aut,63.1,1999
aut,63.4,2000
aut,64.3,2001
aut,64.5,2002
aut,64.7,2003
aut,67.0,2004
aut,66.7,2005
aut,66.1,2006
aut,66.8,2007
aze,33.5,1983
aze,33.5,1984
aze,33.7,1985
aze,33.7,1986
aze,33.2,1987
aze,34.0,1988
aze,35.4,1989
aze,31.1,1990
aze,32.2,1991
aze,31.1,1992
aze,34.0,1993
aze,35.4,1994
aze,35.8,1995
aze,37.7,1996
aze,42.3,1997
aze,46.6,1998
aze,46.5,1999
aze,48.1,2000
aze,49.2,2001
aze,48.3,2002
aze,48.7,2003
aze,48.5,2004
aze,48.6,2005
aze,47.9,2006
aze,48.8,2007
bhs,79.4,1986
bhs,79.6,1989
bhs,78.6,1991
bhs,79.3,1992
bhs,81.6,1993
bhs,81.3,1994
bhs,81.2,1995
bhs,79.8,1996
bhs,81.2,1997
bhs,80.9,1998
bhs,78.9,1999
bhs,78.4,2001
bhs,79.2,2002
bhs,80.9,2003
bhs,79.4,2004
bhs,78.4,2005
bhs,79.5,2006
bhs,79.6,2007
bhr,61.1,1981
bhr,61.5,1982
bhr,68.6,1991
bhr,67.8,2001
bgd,24.2,1984
bgd,26.0,1985
bgd,26.5,1986
bgd,14.8,1989
bgd,16.2,1991
bgd,25.0,1996
bgd,23.5,2000
bgd,34.6,2003
bgd,37.4,2005
brb,69.1,1981
brb,67.7,1982
brb,68.5,1983
brb,68.1,1984
brb,68.3,1985
brb,69.5,1986
brb,69.7,1987
brb,69.5,1988
brb,60.9,1989
brb,62.0,1990
brb,65.6,1991
brb,64.1,1992
