geo,crude_death_rate_deaths_per_1000_population,time
afg,36.7,1953
afg,34.55,1958
afg,32.52,1963
afg,30.17,1968
afg,27.84,1973
afg,25.35,1978
afg,24.05,1983
afg,23.22,1988
afg,22.36,1993
afg,22.51,1998
afg,21.66,2003
afg,19.68,2008
afg,18.19,2013
afg,16.75,2018
afg,15.28,2023
afg,13.81,2028
afg,12.45,2033
afg,11.3,2038
afg,10.37,2043
afg,9.649,2048
alb,14.35,1953
alb,10.94,1958
alb,9.65,1963
alb,8.3,1968
alb,8.12,1973
alb,6.53,1978
alb,6.09,1983
alb,5.63,1988
alb,6.252,1993
alb,6.2,1998
alb,5.735,2003
alb,6.186,2008
alb,6.655,2013
alb,7.093,2018
alb,7.488,2023
alb,7.978,2028
alb,8.621,2033
alb,9.36,2038
alb,10.09,2043
alb,10.73,2048
dza,23.9,1953
dza,21.2,1958
dza,19.4,1963
dza,17.4,1968
dza,15.4,1973
dza,13.4,1978
dza,9.93,1983
dza,7.303,1988
dza,5.409,1993
dza,6.126,1998
dza,5.032,2003
dza,4.939,2008
dza,4.91,2013
dza,4.953,2018
dza,5.111,2023
dza,5.484,2028
dza,6.091,2033
dza,6.839,2038
dza,7.661,2043
dza,8.533,2048
ago,35.87,1953
ago,33.5,1958
ago,31.11,1963
ago,28.69,1968
ago,26.36,1973
ago,24.51,1978
ago,23.81,1983
ago,23.22,1988
ago,21.09,1993
ago,22.2,1998
ago,19.64,2003
ago,17.13,2008
ago,15.22,2013
ago,13.86,2018
ago,12.61,2023
ago,11.45,2028
ago,10.49,2033
ago,9.738,2038
ago,9.155,2043
ago,8.708,2048
arg,9.205,1953
arg,8.778,1958
arg,8.983,1963
arg,9.205,1968
arg,9.12,1973
arg,8.984,1978
arg,8.54,1983
arg,8.489,1988
arg,7.949,1993
arg,8.23,1998
arg,7.867,2003
arg,7.779,2008
arg,7.715,2013
arg,7.695,2018
arg,7.748,2023
arg,7.903,2028
arg,8.161,2033
arg,8.504,2038
arg,8.875,2043
arg,9.29,2048
arm,11.1,1953
arm,9.5,1958
arm,6.18,1963
arm,5.32,1968
arm,5.15,1973
arm,5.5,1978
arm,5.59,1983
arm,6.76,1988
arm,8.581,1993
arm,8.544,1998
arm,8.362,2003
arm,8.694,2008
arm,9.002,2013
arm,9.191,2018
arm,9.336,2023
arm,9.53,2028
arm,9.953,2033
arm,10.65,2038
arm,11.38,2043
arm,11.97,2048
abw,8.861,1953
abw,6.775,1958
abw,5.81,1963
abw,5.384,1968
abw,5.436,1973
abw,5.87,1978
abw,6.169,1983
abw,6.773,1988
abw,6.933,1993
abw,6.942,1998
abw,7.199,2003
abw,7.347,2008
abw,7.92,2013
abw,8.736,2018
abw,9.659,2023
abw,10.71,2028
abw,11.76,2033
abw,12.88,2038
abw,13.85,2043
abw,14.41,2048
aus,9.38,1953
aus,8.84,1958
aus,8.69,1963
aus,8.85,1968
aus,8.53,1973
aus,7.7,1978
aus,7.408,1983
aus,7.427,1988
aus,7.127,1993
aus,7.222,1998
aus,6.812,2003
aus,6.851,2008
aus,7.061,2013
aus,7.258,2018
aus,7.523,2023
aus,7.932,2028
aus,8.451,2033
aus,8.967,2038
aus,9.384,2043
aus,9.672,2048
aut,12.42,1953
aut,12.62,1958
aut,12.63,1963
aut,12.99,1968
aut,12.83,1973
aut,12.56,1978
aut,12.24,1983
aut,11.39,1988
aut,10.11,1993
aut,10.7,1998
aut,9.488,2003
aut,9.253,2008
aut,9.513,2013
aut,9.787,2018
aut,10.08,2023
aut,10.5,2028
aut,11.07,2033
aut,11.68,2038
aut,12.3,2043
aut,12.88,2048
aze,12.0,1953
aze,10.9,1958
aze,6.98,1963
aze,6.74,1968
aze,6.54,1973
aze,6.79,1978
aze,6.77,1983
aze,6.55,1988
aze,7.203,1993
aze,7.737,1998
aze,6.691,2003
aze,6.783,2008
aze,6.93,2013
aze,7.104,2018
aze,7.356,2023
aze,7.813,2028
aze,8.528,2033
aze,9.427,2038
aze,10.35,2043
aze,11.14,2048
bhs,10.74,1953
bhs,9.048,1958
bhs,7.718,1963
bhs,7.117,1968
bhs,6.114,1973
bhs,5.572,1978
bhs,5.977,1983
bhs,5.637,1988
bhs,6.539,1993
bhs,6.032,1998
bhs,6.231,2003
bhs,5.993,2008
bhs,5.911,2013
bhs,5.992,2018
bhs,6.167,2023
bhs,6.732,2028
bhs,7.556,2033
bhs,8.208,2038
bhs,9.059,2043
bhs,9.896,2048
bhr,16.4,1953
bhr,15.7,1958
bhr,13.8,1963
bhr,10.1,1968
bhr,7.5,1973
bhr,6.28,1978
bhr,4.5,1983
bhr,4.0,1988
bhr,3.069,1993
bhr,3.31,1998
bhr,2.9,2003
bhr,2.628,2008
bhr,2.612,2013
bhr,2.893,2018
bhr,3.356,2023
bhr,4.003,2028
bhr,4.826,2033
bhr,5.812,2038
bhr,6.906,2043
bhr,8.028,2048
bgd,26.56,1953
bgd,25.04,1958
bgd,23.32,1963
bgd,21.28,1968
bgd,20.24,1973
bgd,18.8,1978
bgd,15.89,1983
bgd,13.29,1988
bgd,9.071,1993
bgd,11.06,1998
bgd,7.639,2003
bgd,6.633,2008
bgd,6.349,2013
bgd,6.206,2018
bgd,6.245,2023
bgd,6.472,2028
bgd,6.879,2033
bgd,7.423,2038
bgd,8.107,2043
bgd,8.902,2048
brb,13.2,1953
brb,10.3,1958
brb,9.2,1963
brb,8.5,1968
brb,8.74,1973
brb,8.65,1978
brb,9.0,1983
brb,8.386,1988
brb,8.148,1993
brb,8.105,1998
brb,7.999,2003
brb,7.666,2008
brb,7.637,2013
brb,8.004,2018
brb,8.703,2023
brb,9.789,2028
brb,11.15,2033
brb,12.6,2038
brb,13.92,2043
brb,14.89,2048
blr,11.36,1953
blr,10.23,1958
blr,5.98,1963
blr,7.06,1968
blr,7.86,1973
blr,9.08,1978
blr,9.97,1983
blr,10.09,1988
blr,13.7,1993
blr,11.92,1998
blr,14.46,2003
blr,14.68,2008
blr,14.57,2013
blr,14.36,2018
blr,14.24,2023
blr,14.39,2028
blr,14.95,2033
blr,15.82,2038
blr,16.7,2043
blr,17.34,2048
bel,12.05,1953
bel,11.74,1958
bel,12.53,1963
bel,12.62,1968
bel,12.12,1973
bel,11.77,1978
bel,11.6,1983
bel,10.61,1988
bel,10.28,1993
bel,10.64,1998
bel,10.33,2003
bel,9.732,2008
bel,9.665,2013
bel,9.818,2018
bel,10.12,2023
bel,10.4,2028
bel,10.77,2033
bel,11.22,2038
bel,11.67,2043
bel,11.99,2048
blz,12.61,1953
blz,11.0,1958
blz,9.64,1963
blz,8.33,1968
blz,7.31,1973
blz,6.53,1978
blz,5.697,1983
blz,5.127,1988
blz,4.272,1993
blz,4.8,1998
blz,3.995,2003
blz,3.656,2008
blz,3.504,2013
blz,3.402,2018
blz,3.518,2023
blz,3.8,2028
blz,4.273,2033
blz,4.971,2038
blz,5.727,2043
blz,6.483,2048
ben,29.9,1953
ben,27.05,1958
ben,24.92,1963
ben,22.92,1968
ben,20.61,1973
ben,18.28,1978
ben,16.78,1983
ben,15.48,1988
ben,11.7,1993
ben,13.51,1998
ben,10.51,2003
ben,9.29,2008
ben,8.205,2013
ben,7.307,2018
ben,6.674,2023
ben,6.203,2028
ben,5.905,2033
ben,5.742,2038
ben,5.689,2043
ben,5.722,2048
btn,26.85,1953
btn,26.49,1958
btn,25.55,1963
btn,23.96,1968
btn,21.89,1973
btn,19.54,1978
btn,17.08,1983
btn,15.16,1988
btn,9.995,1993
btn,12.62,1998
btn,7.971,2003
btn,7.197,2008
btn,6.854,2013
btn,6.607,2018
btn,6.472,2023
btn,6.512,2028
btn,6.751,2033
btn,7.171,2038
btn,7.734,2043
btn,8.415,2048
bol,24.41,1953
bol,23.06,1958
bol,21.59,1963
bol,20.25,1968
bol,19.01,1973
bol,16.02,1978
bol,13.33,1983
bol,11.35,1988
bol,8.961,1993
bol,9.965,1998
bol,8.194,2003
bol,7.596,2008
bol,7.14,2013
bol,6.805,2018
bol,6.609,2023
bol,6.539,2028
bol,6.572,2033
bol,6.724,2038
bol,6.984,2043
bol,7.343,2048
bih,13.85,1953
bih,10.6,1958
bih,8.87,1963
bih,7.49,1968
bih,6.9,1973
bih,6.48,1978
bih,6.77,1983
bih,7.05,1988
bih,7.811,1993
bih,10.37,1998
bih,8.434,2003
bih,9.786,2008
bih,10.46,2013
bih,11.17,2018
bih,11.79,2023
bih,12.41,2028
bih,13.31,2033
bih,14.5,2038
bih,15.62,2043
bih,16.45,2048
bwa,18.83,1953
bwa,17.37,1958
bwa,15.62,1963
bwa,14.03,1968
bwa,12.0,1973
bwa,9.905,1978
bwa,8.492,1983
bwa,7.096,1988
bwa,10.72,1993
bwa,7.023,1998
bwa,15.1,2003
bwa,11.73,2008
bwa,12.1,2013
bwa,11.99,2018
bwa,11.93,2023
bwa,11.8,2028
bwa,12.13,2033
bwa,11.91,2038
bwa,11.38,2043
bwa,10.88,2048
bra,15.4,1953
bra,13.96,1958
bra,12.55,1963
bra,11.06,1968
bra,9.938,1973
bra,9.079,1978
bra,8.257,1983
bra,7.382,1988
bra,6.465,1993
bra,6.797,1998
bra,6.366,2003
bra,6.363,2008
bra,6.534,2013
bra,6.757,2018
bra,7.16,2023
bra,7.695,2028
bra,8.334,2033
bra,9.079,2038
bra,9.914,2043
bra,10.79,2048
brn,11.61,1953
brn,10.43,1958
brn,9.01,1963
brn,7.54,1968
brn,5.93,1973
brn,5.36,1978
brn,4.07,1983
brn,3.62,1988
brn,2.849,1993
brn,3.19,1998
brn,2.769,2003
brn,2.834,2008
brn,3.049,2013
brn,3.416,2018
brn,3.905,2023
brn,4.497,2028
brn,5.149,2033
brn,5.839,2038
brn,6.484,2043
brn,7.08,2048
bgr,10.18,1953
bgr,8.88,1958
bgr,8.16,1963
bgr,8.8,1968
bgr,9.7,1973
bgr,10.55,1978
bgr,11.27,1983
bgr,12.0,1988
bgr,14.37,1993
bgr,12.8,1998
bgr,14.41,2003
bgr,14.6,2008
bgr,14.63,2013
bgr,14.63,2018
bgr,14.75,2023
bgr,15.13,2028
bgr,15.7,2033
bgr,16.12,2038
bgr,16.5,2043
bgr,16.9,2048
bfa,28.99,1953
bfa,27.34,1958
bfa,25.43,1963
bfa,23.74,1968
bfa,22.21,1973
bfa,20.73,1978
bfa,19.37,1983
bfa,18.07,1988
bfa,15.45,1993
bfa,16.88,1998
bfa,14.0,2003
bfa,13.13,2008
bfa,11.8,2013
bfa,10.51,2018
bfa,9.527,2023
bfa,8.711,2028
bfa,8.021,2033
bfa,7.467,2038
bfa,7.045,2043
bfa,6.759,2048
bdi,25.09,1953
bdi,23.6,1958
bdi,22.03,1963
bdi,20.63,1968
bdi,20.21,1973
bdi,18.8,1978
bdi,18.06,1983
bdi,17.66,1988
bdi,17.41,1993
bdi,19.42,1998
bdi,15.47,2003
bdi,14.01,2008
bdi,12.94,2013
bdi,11.93,2018
bdi,11.0,2023
bdi,10.2,2028
bdi,9.597,2033
bdi,9.206,2038
bdi,8.964,2043
bdi,8.871,2048
khm,23.82,1953
khm,22.09,1958
khm,20.38,1963
khm,19.4,1968
khm,22.54,1973
khm,40.0,1978
