geo,males_aged_15_24_unemployment_rate_percent,time
aus,15.3,1986
aus,14.7,1987
aus,13.1,1988
aus,10.4,1989
aus,13.0,1990
aus,18.2,1991
aus,19.9,1992
aus,18.9,1993
aus,16.9,1994
aus,15.1,1995
aus,15.6,1996
aus,16.7,1997
aus,15.2,1998
aus,13.8,1999
aus,12.7,2000
aus,14.5,2001
aus,13.7,2002
aus,12.7,2003
aus,11.9,2004
aus,11.0,2005
can,13.5,1981
can,20.3,1982
can,21.5,1983
can,18.8,1984
can,17.4,1985
can,15.9,1986
can,14.2,1987
can,12.2,1988
can,12.0,1989
can,13.4,1990
can,18.3,1991
can,19.5,1992
can,19.5,1993
can,17.8,1994
can,16.3,1995
can,16.8,1996
can,17.1,1997
can,16.5,1998
can,15.2,1999
can,13.8,2000
can,14.4,2001
can,15.3,2002
can,15.2,2003
can,14.8,2004
can,14.1,2005
cze,6.9,1993
cze,7.9,1994
cze,7.2,1995
cze,6.4,1996
cze,7.4,1997
cze,10.7,1998
cze,15.8,1999
cze,16.6,2000
cze,15.9,2001
cze,15.0,2002
cze,16.7,2003
cze,21.1,2004
cze,22.8,2005
est,22.0,2000
est,18.4,2001
est,14.0,2002
est,15.2,2003
est,20.0,2004
est,16.1,2005
fin,8.8,1981
fin,9.6,1982
fin,10.3,1983
fin,9.4,1984
fin,9.4,1985
fin,10.3,1986
fin,9.6,1987
fin,8.3,1988
fin,7.7,1989
fin,9.4,1990
fin,16.4,1991
fin,25.9,1992
fin,31.3,1993
fin,31.5,1994
fin,25.6,1995
fin,24.3,1996
fin,22.0,1997
fin,20.0,1998
fin,18.6,1999
fin,18.8,2000
fin,17.6,2001
fin,18.6,2002
fin,19.4,2003
fin,19.7,2004
fin,18.4,2005
fra,12.3,1981
fra,13.8,1982
fra,15.0,1983
fra,18.8,1984
fra,19.2,1985
fra,18.3,1986
fra,16.6,1987
fra,15.2,1988
fra,13.5,1989
fra,12.8,1990
fra,14.6,1991
fra,16.6,1992
fra,20.6,1993
fra,21.1,1994
fra,18.8,1995
fra,20.6,1996
fra,21.3,1997
fra,19.9,1998
fra,19.5,1999
fra,16.2,2000
fra,15.7,2001
fra,18.1,2002
fra,20.2,2003
fra,21.3,2004
fra,21.1,2005
deu,4.9,1991
deu,5.7,1992
deu,7.4,1993
deu,8.2,1994
deu,8.3,1995
deu,9.6,1996
deu,10.7,1997
deu,9.7,1998
deu,8.7,1999
deu,8.9,2000
deu,9.2,2001
deu,10.7,2002
deu,13.0,2003
deu,14.8,2004
deu,16.1,2005
hkg,6.3,1985
hkg,5.9,1986
hkg,3.7,1987
hkg,3.6,1988
hkg,3.1,1989
hkg,3.4,1990
hkg,4.6,1991
hkg,4.7,1992
hkg,5.0,1993
hkg,5.2,1994
