geo,planted_forest_area_ha,time
ago,140000,1990
ago,134000,2000
ago,131000,2005
com,2000,1990
com,2000,2000
com,1000,2005
ken,238000,1990
ken,212000,2000
ken,202000,2005
lso,4000,1990
lso,6000,2000
lso,7000,2005
mdg,293000,1990
mdg,293000,2000
mdg,293000,2005
mwi,132000,1990
mwi,180000,2000
mwi,204000,2005
mus,16000,1990
mus,15000,2000
mus,15000,2005
moz,38000,1990
moz,38000,2000
moz,38000,2005
reu,5000,1990
reu,5000,2000
reu,5000,2005
syc,5000,1990
syc,5000,2000
syc,5000,2005
zaf,1204000,1990
zaf,1352000,2000
zaf,1426000,2005
swz,135000,1990
swz,121000,2000
swz,114000,2005
uga,33000,1990
uga,35000,2000
uga,36000,2005
tza,150000,1990
tza,150000,2000
tza,150000,2005
zmb,60000,1990
zmb,75000,2000
zmb,75000,2005
zwe,154000,1990
zwe,154000,2000
zwe,154000,2005
dza,620000,1990
dza,652000,2000
dza,754000,2005
bfa,33000,1990
bfa,63000,2000
bfa,76000,2005
tcd,11000,1990
tcd,14000,2000
tcd,15000,2005
egy,44000,1990
egy,59000,2000
egy,67000,2005
eri,10000,1990
eri,22000,2000
eri,28000,2005
eth,491000,1990
eth,491000,2000
eth,491000,2005
lby,217000,1990
lby,217000,2000
lby,217000,2005
mli,60000,2000
mrt,10000,2000
mar,478000,1990
mar,523000,2000
mar,563000,2005
ner,72000,2000
ner,110000,2005
som,3000,1990
som,3000,2000
som,3000,2005
sdn,6111000,1990
sdn,5639000,2000
sdn,5404000,2005
tun,226000,1990
tun,423000,2000
tun,498000,2005
ben,98000,1990
ben,109000,2000
ben,114000,2005
bdi,86000,2000
bdi,86000,2005
cpv,58000,1990
cpv,82000,2000
cpv,84000,2005
caf,2000,1990
caf,4000,2000
caf,5000,2005
cog,51000,1990
cog,51000,2000
cog,51000,2005
civ,154000,1990
civ,261000,2000
civ,337000,2005
gab,36000,1990
gab,36000,2000
gab,36000,2005
gha,50000,1990
gha,60000,2000
gha,160000,2005
gin,17000,1990
gin,22000,2000
gin,33000,2005
gnb,1000,2005
lbr,8000,1990
lbr,8000,2000
lbr,8000,2005
nga,251000,1990
nga,316000,2000
nga,349000,2005
rwa,248000,1990
rwa,282000,2000
