geo,female_agriculture_workers_percent_of_female_labour_force,time
dza,12.5,2001
dza,11.0,2003
dza,22.3,2004
asm,0.0,1990
aia,1.0,1999
aia,0.7,2001
atg,1.1,2001
arg,0.2,1990
arg,0.1,1991
arg,0.3,1992
arg,0.3,1993
arg,0.2,1994
arg,0.4,1995
arg,0.2,1996
arg,0.2,1997
arg,0.2,1998
arg,0.2,1999
arg,0.2,2000
arg,0.3,2001
arg,0.5,2002
arg,1.0,2003
arg,0.9,2004
arg,0.6,2005
arg,0.3,2006
arm,3.9,2001
arm,42.6,2002
arm,43.4,2003
arm,44.6,2004
arm,46.4,2005
arm,46.1,2006
abw,0.1,1994
abw,0.3,1997
aus,4.1,1980
aus,4.5,1981
aus,4.3,1982
aus,4.3,1983
aus,4.0,1984
aus,4.4,1985
aus,4.3,1986
aus,3.8,1987
aus,4.2,1988
aus,3.7,1989
aus,3.8,1990
aus,3.7,1991
aus,3.6,1992
aus,3.8,1993
aus,3.6,1994
aus,3.6,1995
aus,3.5,1996
aus,3.6,1997
aus,3.5,1998
aus,3.5,1999
aus,3.5,2000
aus,3.5,2001
aus,3.1,2002
aus,2.6,2003
aus,2.7,2004
aus,2.5,2005
aus,2.4,2006
aus,2.4,2007
aut,12.5,1983
aut,10.8,1984
aut,10.5,1985
aut,10.2,1986
aut,10.1,1987
aut,9.3,1988
aut,9.2,1989
aut,9.4,1990
aut,8.5,1991
aut,8.0,1992
aut,7.8,1993
aut,8.0,1994
aut,8.5,1995
aut,8.4,1996
aut,7.5,1997
aut,7.3,1998
aut,6.8,1999
aut,6.1,2000
aut,6.1,2001
aut,6.0,2002
aut,5.8,2003
aut,5.2,2004
aut,5.6,2005
aut,5.7,2006
aut,5.9,2007
aze,47.6,1999
aze,46.1,2000
aze,42.8,2001
aze,39.4,2002
aze,41.8,2003
aze,38.0,2004
aze,37.4,2005
aze,36.7,2006
aze,42.0,2007
bhs,1.7,1986
bhs,2.2,1989
bhs,1.5,1991
bhs,1.5,1992
bhs,1.4,1993
bhs,1.6,1994
bhs,1.1,1995
bhs,1.2,1996
bhs,2.2,1997
bhs,1.3,1998
bhs,0.9,1999
bhs,1.4,2001
bhs,1.7,2002
bhs,0.6,2003
bhs,0.4,2004
bhs,0.3,2005
bhs,0.5,2006
bhs,0.2,2007
bhr,0.0,1981
bhr,0.0,1982
bhr,0.0,1991
bhr,0.2,2001
bgd,8.9,1984
bgd,9.3,1985
bgd,11.4,1986
bgd,71.5,1989
bgd,84.9,1991
bgd,77.5,1996
bgd,76.9,2000
bgd,58.6,2003
bgd,68.1,2005
brb,8.9,1981
brb,8.5,1982
brb,7.7,1983
brb,7.8,1984
brb,7.2,1985
brb,7.5,1986
brb,6.7,1987
brb,6.6,1988
brb,6.6,1989
brb,5.5,1990
brb,4.4,1991
brb,4.2,1992
brb,4.5,1993
brb,4.3,1994
brb,3.6,1995
brb,4.3,1996
brb,4.2,1997
brb,3.6,1998
brb,3.3,1999
brb,3.3,2000
brb,3.6,2001
brb,3.1,2002
brb,3.5,2003
brb,2.5,2004
bel,2.0,1980
bel,1.9,1981
bel,1.9,1982
bel,1.9,1983
bel,1.9,1984
bel,1.9,1985
bel,1.9,1986
bel,1.8,1987
bel,1.7,1993
bel,1.6,1994
bel,1.5,1995
bel,1.5,1996
bel,1.4,1997
bel,1.4,1998
bel,1.5,1999
bel,1.1,2000
bel,1.1,2001
bel,1.2,2002
bel,1.2,2003
bel,1.3,2004
bel,1.5,2005
bel,1.3,2006
blz,4.7,1993
blz,4.5,1994
blz,6.1,1995
blz,5.0,1996
blz,6.1,1997
blz,5.4,1998
blz,6.4,1999
blz,3.3,2005
bmu,0.2,2000
btn,63.0,2005
bol,28.2,1980
bol,28.1,1981
bol,27.0,1982
bol,28.4,1983
bol,28.2,1984
bol,28.2,1985
bol,28.7,1986
bol,28.1,1987
bol,28.0,1988
bol,1.2,1989
bol,0.2,1990
bol,1.0,1991
bol,1.3,1992
bol,0.7,1993
bol,0.7,1994
bol,1.1,1995
bol,4.0,1996
bol,4.0,1997
bol,2.4,1999
bol,3.4,2000
bol,39.8,2001
bol,36.2,2002
bwa,60.5,1985
bwa,10.7,1996
bwa,12.9,1998
bwa,17.0,2000
bwa,5.9,2001
bwa,12.9,2003
bwa,24.3,2005
bra,19.8,1981
bra,19.3,1982
bra,19.3,1983
bra,19.1,1984
bra,18.5,1985
bra,14.8,1986
bra,15.4,1987
bra,14.7,1988
bra,14.0,1989
bra,10.6,2000
bra,16.5,2002
bra,16.1,2003
bra,16.0,2004
bra,16.0,2005
bra,15.0,2006
vgb,0.3,1991
brn,0.3,2001
bgr,7.6,2003
bgr,7.4,2004
bgr,6.8,2005
bgr,6.1,2006
bgr,5.7,2007
khm,83.1,1998
khm,74.9,2000
khm,69.7,2001
cmr,68.4,2001
can,3.2,1980
can,3.2,1981
can,3.1,1982
can,3.3,1983
can,3.2,1984
can,3.1,1985
can,3.0,1986
can,2.6,1987
can,2.6,1988
can,2.5,1989
can,2.5,1990
can,2.6,1991
can,2.5,1992
can,2.6,1993
can,2.6,1994
can,2.4,1995
can,2.4,1996
can,2.3,1997
can,2.3,1998
can,2.1,1999
can,1.9,2000
can,1.5,2001
can,1.6,2002
can,1.5,2003
can,1.5,2004
can,1.6,2005
can,1.5,2006
can,1.5,2007
cym,0.0,1991
cym,0.6,2005
cym,1.0,2006
cym,0.3,2007
tcd,85.9,1993
