geo,net_barter_terms_of_trade_2000_100,time
afg,100.0,2000
afg,98.79,2001
afg,102.6,2002
afg,110.9,2003
afg,114.8,2004
afg,121.3,2005
afg,125.8,2006
afg,130.2,2007
afg,117.2,2008
afg,107.6,2009
dza,168.4,1980
dza,194.4,1981
dza,165.7,1982
dza,168.3,1983
dza,139.7,1984
dza,136.1,1985
dza,67.05,1986
dza,63.11,1987
dza,57.41,1988
dza,59.09,1989
dza,73.95,1990
dza,81.19,1991
dza,70.59,1992
dza,58.56,1993
dza,57.41,1994
dza,57.89,1995
dza,67.54,1996
dza,70.75,1997
dza,50.93,1998
dza,59.43,1999
dza,100.0,2000
dza,97.22,2001
dza,85.62,2002
dza,106.9,2003
dza,122.2,2004
dza,164.1,2005
dza,191.4,2006
dza,182.7,2007
dza,237.1,2008
dza,161.0,2009
asm,100.0,2000
asm,109.7,2001
asm,107.1,2002
asm,127.1,2003
asm,131.9,2004
asm,120.6,2005
asm,180.2,2006
asm,188.0,2007
asm,177.2,2008
asm,164.2,2009
ago,118.9,1985
ago,85.29,1986
ago,84.93,1987
ago,106.7,1988
ago,121.3,1989
ago,94.25,1990
ago,63.58,1991
ago,66.67,1992
ago,61.7,1993
ago,68.57,1994
ago,80.77,1995
ago,86.54,1996
ago,68.32,1997
ago,44.33,1998
ago,60.0,1999
ago,100.0,2000
ago,91.41,2001
ago,92.47,2002
ago,101.9,2003
ago,125.7,2004
ago,172.5,2005
ago,198.4,2006
ago,203.8,2007
ago,251.9,2008
ago,170.8,2009
atg,100.0,2000
atg,99.57,2001
atg,99.64,2002
atg,94.19,2003
atg,90.45,2004
atg,89.42,2005
atg,91.61,2006
atg,92.56,2007
atg,97.05,2008
atg,101.8,2009
arg,106.2,1980
arg,86.81,1981
arg,79.07,1982
arg,83.91,1983
arg,83.72,1984
arg,94.12,1985
arg,91.3,1986
arg,82.18,1987
arg,75.0,1988
arg,69.09,1989
arg,63.56,1990
arg,92.08,1991
arg,93.27,1992
arg,96.08,1993
arg,97.25,1994
arg,91.6,1995
arg,100.0,1996
arg,100.0,1997
arg,95.19,1998
arg,91.0,1999
arg,100.0,2000
arg,99.32,2001
arg,98.73,2002
arg,107.2,2003
arg,109.2,2004
arg,106.9,2005
arg,113.3,2006
arg,117.5,2007
arg,133.2,2008
arg,126.0,2009
abw,100.0,2000
abw,93.2,2001
abw,89.25,2002
abw,97.27,2003
abw,105.5,2004
abw,119.7,2005
abw,123.6,2006
abw,123.8,2007
abw,136.1,2008
abw,104.0,2009
aus,120.6,1980
aus,120.4,1981
aus,117.8,1982
aus,116.7,1983
aus,114.2,1984
aus,108.2,1985
aus,100.2,1986
aus,98.3,1987
aus,112.5,1988
aus,119.9,1989
aus,116.4,1990
aus,105.2,1991
aus,102.7,1992
aus,96.27,1993
aus,95.89,1994
aus,99.41,1995
aus,100.7,1996
aus,102.6,1997
aus,99.3,1998
aus,94.29,1999
aus,100.0,2000
aus,104.1,2001
aus,105.8,2002
aus,105.9,2003
aus,116.2,2004
aus,131.1,2005
aus,145.5,2006
aus,152.4,2007
aus,174.6,2008
aus,163.0,2009
bhs,100.0,2000
bhs,92.87,2001
bhs,91.01,2002
bhs,94.47,2003
bhs,94.82,2004
bhs,92.2,2005
bhs,94.8,2006
bhs,95.28,2007
bhs,103.4,2008
bhs,101.9,2009
bhr,100.0,2000
bhr,96.43,2001
bhr,93.15,2002
bhr,95.72,2003
bhr,104.9,2004
bhr,114.2,2005
bhr,125.2,2006
bhr,124.7,2007
bhr,134.4,2008
bhr,114.2,2009
bgd,136.7,1980
bgd,132.8,1981
bgd,137.7,1982
bgd,129.6,1983
bgd,135.8,1984
bgd,162.3,1985
bgd,132.7,1986
bgd,128.8,1987
bgd,128.6,1988
bgd,124.6,1989
bgd,117.4,1990
bgd,126.9,1991
bgd,123.5,1992
bgd,124.2,1993
bgd,114.3,1994
bgd,111.8,1995
bgd,111.0,1996
bgd,114.3,1997
bgd,113.8,1998
bgd,108.7,1999
bgd,100.0,2000
bgd,103.4,2001
bgd,100.8,2002
bgd,91.6,2003
bgd,85.67,2004
bgd,80.25,2005
bgd,75.37,2006
bgd,67.67,2007
bgd,59.48,2008
bgd,64.54,2009
brb,100.0,2000
brb,100.0,2001
brb,98.86,2002
brb,100.9,2003
brb,101.8,2004
brb,109.3,2005
brb,113.7,2006
brb,113.3,2007
brb,116.4,2008
brb,122.4,2009
bel,106.3,1993
bel,105.6,1994
bel,104.3,1995
bel,103.2,1996
bel,102.3,1997
bel,104.2,1998
bel,102.4,1999
bel,100.0,2000
bel,99.8,2001
bel,101.3,2002
bel,100.5,2003
bel,100.6,2004
bel,99.43,2005
bel,98.83,2006
bel,100.8,2007
bel,99.68,2008
bel,103.1,2009
blz,100.0,2000
blz,98.76,2001
blz,82.44,2002
blz,78.45,2003
blz,76.06,2004
blz,74.37,2005
blz,79.39,2006
blz,73.69,2007
blz,75.88,2008
blz,79.51,2009
ben,86.36,1980
ben,73.85,1981
ben,93.42,1982
ben,94.29,1983
ben,98.48,1984
ben,93.94,1985
ben,82.56,1986
ben,78.85,1987
ben,86.24,1988
ben,82.18,1989
ben,107.0,1990
ben,94.23,1991
ben,85.19,1992
ben,82.35,1993
ben,80.53,1994
ben,106.6,1995
ben,94.17,1996
ben,99.1,1997
ben,99.13,1998
ben,100.0,1999
ben,100.0,2000
ben,88.14,2001
ben,88.41,2002
ben,101.0,2003
ben,97.03,2004
ben,89.48,2005
ben,93.81,2006
ben,96.57,2007
ben,86.23,2008
ben,83.08,2009
btn,100.0,2000
btn,108.9,2001
btn,107.8,2002
btn,108.0,2003
btn,126.0,2004
btn,135.5,2005
btn,144.8,2006
btn,138.4,2007
btn,165.7,2008
btn,152.0,2009
bol,187.5,1980
bol,169.0,1981
bol,185.0,1982
bol,159.1,1983
bol,182.9,1984
bol,184.4,1985
bol,136.8,1986
bol,133.8,1987
bol,121.7,1988
bol,113.2,1989
bol,102.0,1990
bol,101.1,1991
bol,82.29,1992
bol,79.0,1993
bol,91.26,1994
bol,89.38,1995
bol,100.0,1996
bol,103.8,1997
bol,98.04,1998
bol,97.96,1999
bol,100.0,2000
bol,95.77,2001
bol,96.2,2002
bol,98.53,2003
bol,104.0,2004
bol,111.8,2005
bol,139.8,2006
bol,142.1,2007
bol,143.9,2008
bol,136.9,2009
bwa,83.51,1980
bwa,74.26,1981
bwa,67.74,1982
bwa,62.89,1983
bwa,68.6,1984
bwa,82.81,1985
bwa,82.67,1986
bwa,89.13,1987
bwa,101.1,1988
bwa,102.2,1989
bwa,98.13,1990
bwa,91.82,1991
bwa,84.17,1992
bwa,85.47,1993
bwa,89.57,1994
bwa,89.34,1995
bwa,93.75,1996
bwa,98.18,1997
bwa,100.0,1998
bwa,100.0,1999
bwa,100.0,2000
bwa,100.4,2001
bwa,98.34,2002
bwa,95.89,2003
bwa,95.45,2004
bwa,90.43,2005
bwa,95.47,2006
bwa,101.3,2007
bwa,89.98,2008
bwa,79.12,2009
bra,73.89,1980
bra,61.93,1981
bra,59.65,1982
bra,57.67,1983
bra,62.18,1984
bra,62.07,1985
bra,73.39,1986
bra,65.25,1987
bra,84.3,1988
bra,74.26,1989
bra,66.44,1990
bra,78.91,1991
bra,81.97,1992
bra,87.27,1993
bra,101.0,1994
bra,110.4,1995
bra,108.3,1996
bra,114.4,1997
bra,114.3,1998
bra,103.2,1999
bra,100.0,2000
bra,99.64,2001
bra,98.38,2002
bra,96.98,2003
bra,97.86,2004
bra,99.18,2005
bra,104.4,2006
bra,106.6,2007
bra,110.4,2008
bra,107.8,2009
brn,100.0,2000
brn,98.32,2001
brn,88.2,2002
brn,110.0,2003
brn,123.2,2004
brn,160.2,2005
brn,193.8,2006
brn,189.2,2007
brn,245.5,2008
brn,168.6,2009
bfa,64.96,1980
bfa,63.37,1981
bfa,63.73,1982
bfa,73.0,1983
bfa,85.26,1984
bfa,85.11,1985
