geo,imports_unit_value_index_2000100,time
ben,88.54,1981
ben,75.73,1982
ben,51.8,1983
ben,46.99,1984
ben,54.02,1985
ben,63.05,1986
ben,56.98,1987
ben,53.26,1988
ben,33.82,1989
ben,43.25,1990
ben,39.35,1991
ben,94.3,1992
ben,93.19,1993
ben,70.32,1994
ben,121.6,1995
ben,106.7,1996
ben,111.2,1997
ben,120.0,1998
ben,122.2,1999
ben,100.0,2000
ben,101.7,2001
ben,118.9,2002
ben,146.4,2003
ben,146.2,2004
ben,166.1,2005
ben,200.4,2006
ben,261.3,2007
ben,292.8,2008
bol,36.37,1980
bol,50.12,1981
bol,30.28,1982
bol,31.52,1983
bol,26.7,1984
bol,37.76,1985
bol,36.84,1986
bol,41.88,1987
bol,32.27,1988
bol,33.39,1989
bol,37.56,1990
bol,52.99,1991
bol,59.59,1992
bol,65.91,1993
bol,66.08,1994
bol,77.82,1995
bol,89.36,1996
bol,101.2,1997
bol,108.4,1998
bol,95.92,1999
bol,100.0,2000
bol,93.33,2001
bol,96.74,2002
bol,88.32,2003
bol,100.8,2004
bol,128.0,2005
bol,153.8,2006
bol,188.9,2007
bol,272.5,2008
bwa,28.06,1980
bwa,33.55,1981
bwa,29.24,1982
bwa,30.39,1983
bwa,28.89,1984
bwa,27.21,1985
bwa,34.74,1986
bwa,44.81,1987
bwa,58.86,1988
bwa,78.19,1989
bwa,78.89,1990
bwa,78.61,1991
bwa,76.48,1992
bwa,71.52,1993
bwa,66.45,1994
bwa,77.41,1995
bwa,69.79,1996
bwa,91.47,1997
bwa,96.71,1998
bwa,89.7,1999
bwa,100.0,2000
bwa,73.3,2001
bwa,74.74,2002
bwa,99.16,2003
bwa,130.9,2004
bwa,127.4,2005
bwa,124.2,2006
bwa,164.0,2007
bwa,204.9,2008
bra,42.57,1980
bra,41.07,1981
bra,35.94,1982
bra,28.66,1983
bra,25.94,1984
bra,24.44,1985
bra,26.53,1986
bra,28.28,1987
bra,27.38,1988
bra,33.9,1989
bra,38.42,1990
bra,39.14,1991
bra,39.34,1992
bra,47.31,1993
bra,61.4,1994
bra,91.66,1995
bra,96.15,1996
bra,107.2,1997
bra,103.5,1998
bra,87.9,1999
bra,100.0,2000
bra,99.33,2001
bra,84.18,2002
bra,86.14,2003
bra,112.5,2004
bra,131.4,2005
bra,162.3,2006
bra,214.3,2007
bra,308.8,2008
brn,46.52,1980
brn,48.31,1981
brn,59.43,1982
brn,58.86,1983
brn,50.89,1984
brn,50.0,1985
brn,53.33,1986
brn,52.11,1987
brn,60.49,1988
brn,69.84,1989
brn,81.38,1990
brn,98.21,1991
brn,120.5,1992
brn,148.1,1993
brn,150.7,1994
brn,188.9,1995
brn,225.3,1996
brn,199.0,1997
brn,140.2,1998
brn,121.2,1999
brn,100.0,2000
brn,104.7,2001
brn,140.6,2002
brn,119.9,2003
brn,128.5,2004
brn,134.7,2005
brn,150.1,2006
brn,189.8,2007
brn,227.6,2008
bfa,58.69,1980
bfa,55.25,1981
bfa,56.8,1982
bfa,47.59,1983
bfa,41.38,1984
bfa,54.34,1985
bfa,66.26,1986
bfa,71.04,1987
bfa,74.28,1988
bfa,64.03,1989
bfa,87.66,1990
bfa,87.17,1991
bfa,76.27,1992
bfa,83.24,1993
bfa,57.1,1994
bfa,74.43,1995
bfa,105.9,1996
bfa,96.15,1997
bfa,119.7,1998
bfa,111.0,1999
bfa,100.0,2000
bfa,107.4,2001
bfa,120.9,2002
bfa,151.4,2003
bfa,208.2,2004
bfa,206.2,2005
bfa,215.8,2006
bfa,265.1,2007
bfa,310.8,2008
bdi,113.6,1980
bdi,109.0,1981
bdi,143.9,1982
bdi,122.8,1983
bdi,126.4,1984
bdi,125.8,1985
bdi,136.3,1986
bdi,143.1,1987
bdi,138.1,1988
bdi,126.2,1989
bdi,156.0,1990
