investments_percent_of_gdp,geo,time
15.1,pri,1977
16.61,pri,1978
16.4,pri,1979
17.14,pri,1980
14.34,pri,1981
9.037,pri,1982
10.11,pri,1983
13.75,pri,1984
12.32,pri,1985
10.28,pri,1986
13.71,pri,1987
15.59,pri,1988
17.28,pri,1989
16.95,pri,1990
15.6,pri,1991
17.57,pri,2001
16.19,pri,2002
15.53,pri,2003
15.53,pri,2004
14.79,pri,2005
14.17,pri,2006
13.56,pri,2007
12.28,pri,2008
10.55,pri,2009
9.49,pri,2010
24.52,qat,1994
35.09,qat,1995
35.77,qat,1996
35.43,qat,1997
31.97,qat,1998
18.88,qat,1999
20.15,qat,2000
29.12,qat,2001
32.65,qat,2002
34.87,qat,2003
33.45,qat,2004
35.0,qat,2005
33.33,qat,2006
37.57,qat,2007
40.25,qat,2008
38.93,qat,2009
36.3,rou,1981
33.72,rou,1982
30.25,rou,1990
28.05,rou,1991
31.41,rou,1992
28.93,rou,1993
24.81,rou,1994
24.27,rou,1995
25.85,rou,1996
20.63,rou,1997
17.75,rou,1998
16.08,rou,1999
19.5,rou,2000
22.55,rou,2001
21.68,rou,2002
21.85,rou,2003
22.32,rou,2004
22.62,rou,2005
23.73,rou,2006
29.02,rou,2007
31.4,rou,2008
30.54,rou,2009
31.35,rou,2010
33.84,rus,1989
30.13,rus,1990
36.27,rus,1991
34.61,rus,1992
27.01,rus,1993
25.54,rus,1994
25.44,rus,1995
23.67,rus,1996
21.98,rus,1997
14.96,rus,1998
14.83,rus,1999
18.69,rus,2000
21.95,rus,2001
20.05,rus,2002
20.86,rus,2003
20.9,rus,2004
20.08,rus,2005
21.17,rus,2006
24.16,rus,2007
25.5,rus,2008
18.93,rus,2009
22.84,rus,2010
6.05,rwa,1960
6.557,rwa,1961
8.0,rwa,1962
7.812,rwa,1963
8.308,rwa,1964
9.812,rwa,1965
9.664,rwa,1966
7.308,rwa,1967
8.188,rwa,1968
6.624,rwa,1969
7.049,rwa,1970
9.132,rwa,1971
9.559,rwa,1972
9.426,rwa,1973
10.46,rwa,1974
13.74,rwa,1975
13.82,rwa,1976
15.06,rwa,1977
16.61,rwa,1978
12.03,rwa,1979
16.14,rwa,1980
13.3,rwa,1981
17.78,rwa,1982
13.53,rwa,1983
15.81,rwa,1984
17.31,rwa,1985
15.87,rwa,1986
15.66,rwa,1987
14.49,rwa,1988
13.43,rwa,1989
14.65,rwa,1990
14.02,rwa,1991
15.63,rwa,1992
16.75,rwa,1993
9.983,rwa,1994
13.41,rwa,1995
14.37,rwa,1996
13.81,rwa,1997
14.81,rwa,1998
17.23,rwa,1999
18.3,rwa,2000
19.03,rwa,2001
17.7,rwa,2002
17.94,rwa,2003
15.03,rwa,2004
15.78,rwa,2005
16.0,rwa,2006
18.04,rwa,2007
22.7,rwa,2008
21.56,rwa,2009
38.17,kna,1977
27.18,kna,1978
34.59,kna,1979
38.15,kna,1980
30.16,kna,1981
33.96,kna,1982
37.19,kna,1983
30.17,kna,1984
30.32,kna,1985
27.28,kna,1986
33.56,kna,1987
55.94,kna,1988
58.12,kna,1989
55.4,kna,1990
42.93,kna,1991
39.03,kna,1992
45.34,kna,1993
38.06,kna,1994
46.29,kna,1995
45.87,kna,1996
44.03,kna,1997
42.97,kna,1998
35.66,kna,1999
46.67,kna,2000
49.18,kna,2001
46.22,kna,2002
39.41,kna,2003
36.52,kna,2004
36.24,kna,2005
33.16,kna,2006
36.46,kna,2007
35.25,kna,2008
30.98,kna,2009
34.34,lca,1980
34.25,lca,1981
33.47,lca,1982
21.71,lca,1983
19.55,lca,1984
24.14,lca,1985
24.61,lca,1986
24.52,lca,1987
29.91,lca,1988
34.63,lca,1989
25.79,lca,1990
25.34,lca,1991
24.07,lca,1992
24.8,lca,1993
23.9,lca,1994
18.7,lca,1995
21.4,lca,1996
25.6,lca,1997
24.39,lca,1998
26.77,lca,1999
28.91,lca,2000
25.61,lca,2001
23.08,lca,2002
23.29,lca,2003
26.36,lca,2004
30.62,lca,2005
39.36,lca,2006
30.0,lca,2007
32.32,lca,2008
29.8,lca,2009
33.5,lca,2010
34.01,vct,1977
27.02,vct,1978
32.77,vct,1979
38.22,vct,1980
31.46,vct,1981
27.91,vct,1982
24.62,vct,1983
27.57,vct,1984
28.04,vct,1985
29.01,vct,1986
32.26,vct,1987
30.16,vct,1988
28.82,vct,1989
29.73,vct,1990
29.44,vct,1991
24.26,vct,1992
25.64,vct,1993
28.23,vct,1994
29.94,vct,1995
28.0,vct,1996
30.81,vct,1997
35.68,vct,1998
34.41,vct,1999
23.34,vct,2000
23.1,vct,2001
23.21,vct,2002
27.57,vct,2003
26.55,vct,2004
26.6,vct,2005
28.46,vct,2006
27.24,vct,2007
28.22,vct,2008
22.61,vct,2009
27.63,sau,1968
24.45,sau,1969
16.78,sau,1970
19.63,sau,1971
16.41,sau,1972
-17.38,sau,1973
30.28,sau,1974
16.96,sau,1975
30.59,sau,1976
30.45,sau,1977
36.15,sau,1978
26.19,sau,1979
22.8,sau,1980
21.01,sau,1981
25.69,sau,1982
34.19,sau,1983
32.64,sau,1984
21.45,sau,1985
19.46,sau,1986
17.72,sau,1987
19.69,sau,1988
19.45,sau,1989
15.07,sau,1990
19.44,sau,1991
22.52,sau,1992
24.59,sau,1993
19.85,sau,1994
19.79,sau,1995
18.1,sau,1996
18.3,sau,1997
22.42,sau,1998
21.14,sau,1999
18.71,sau,2000
18.88,sau,2001
19.67,sau,2002
19.82,sau,2003
19.19,sau,2004
18.24,sau,2005
18.73,sau,2006
21.45,sau,2007
22.17,sau,2008
27.27,sau,2009
22.0,sau,2010
3.941,sen,1960
4.448,sen,1961
3.647,sen,1962
4.898,sen,1963
5.11,sen,1964
5.104,sen,1965
6.54,sen,1966
9.843,sen,1967
9.623,sen,1968
11.63,sen,1969
13.99,sen,1970
15.15,sen,1971
15.13,sen,1972
16.55,sen,1973
20.53,sen,1974
16.63,sen,1975
14.63,sen,1976
15.25,sen,1977
15.26,sen,1978
13.37,sen,1979
16.59,sen,1980
24.89,sen,1981
19.9,sen,1982
19.94,sen,1983
19.38,sen,1984
17.19,sen,1985
11.7,sen,1986
14.66,sen,1987
10.92,sen,1988
9.345,sen,1989
9.139,sen,1990
10.73,sen,1991
10.75,sen,1992
10.02,sen,1993
11.13,sen,1994
13.62,sen,1995
11.73,sen,1996
14.79,sen,1997
15.52,sen,1998
17.89,sen,1999
20.46,sen,2000
18.39,sen,2001
17.18,sen,2002
20.88,sen,2003
20.85,sen,2004
29.68,sen,2005
28.2,sen,2006
30.9,sen,2007
30.2,sen,2008
27.9,sen,2009
29.0,sen,2010
12.13,srb,1997
9.56,srb,1998
10.52,srb,1999
8.782,srb,2000
13.88,srb,2001
11.03,srb,2002
14.5,srb,2003
28.28,srb,2004
23.74,srb,2005
24.13,srb,2006
28.97,srb,2007
29.75,srb,2008
22.99,srb,2009
22.83,srb,2010
38.92,syc,1976
40.02,syc,1977
43.28,syc,1978
32.93,syc,1979
38.32,syc,1980
32.63,syc,1981
32.35,syc,1982
21.19,syc,1983
21.67,syc,1984
22.7,syc,1985
22.8,syc,1986
19.77,syc,1987
25.54,syc,1988
27.14,syc,1989
24.57,syc,1990
22.31,syc,1991
21.21,syc,1992
28.39,syc,1993
27.06,syc,1994
30.33,syc,1995
39.08,syc,1996
31.91,syc,1997
34.59,syc,1998
43.25,syc,1999
25.18,syc,2000
40.66,syc,2001
25.6,syc,2002
10.37,syc,2003
12.74,syc,2004
24.7,syc,2005
26.15,syc,2006
29.73,syc,2007
25.56,syc,2008
23.48,syc,2009
16.21,sle,1980
19.09,sle,1981
13.38,sle,1982
14.28,sle,1983
12.71,sle,1984
10.92,sle,1985
10.64,sle,1986
10.19,sle,1987
5.894,sle,1988
8.326,sle,1989
10.03,sle,1990
9.328,sle,1991
8.3,sle,1992
7.7,sle,1993
8.5,sle,1994
5.6,sle,1995
10.02,sle,1996
4.35,sle,1997
5.496,sle,1998
3.48,sle,1999
6.875,sle,2000
6.655,sle,2001
10.1,sle,2002
13.86,sle,2003
10.48,sle,2004
16.98,sle,2005
15.23,sle,2006
13.16,sle,2007
14.72,sle,2008
15.4,sle,2009
15.76,sle,2010
9.744,sgp,1960
14.01,sgp,1961
15.49,sgp,1962
17.15,sgp,1963
21.88,sgp,1964
21.73,sgp,1965
21.73,sgp,1966
21.94,sgp,1967
24.64,sgp,1968
28.31,sgp,1969
38.21,sgp,1970
40.11,sgp,1971
40.89,sgp,1972
38.94,sgp,1973
44.54,sgp,1974
38.78,sgp,1975
39.54,sgp,1976
35.15,sgp,1977
37.74,sgp,1978
42.01,sgp,1979
44.98,sgp,1980
44.75,sgp,1981
46.24,sgp,1982
46.48,sgp,1983
46.95,sgp,1984
40.88,sgp,1985
36.27,sgp,1986
36.15,sgp,1987
32.88,sgp,1988
33.63,sgp,1989
35.05,sgp,1990
33.39,sgp,1991
34.64,sgp,1992
36.47,sgp,1993
32.31,sgp,1994
33.27,sgp,1995
34.25,sgp,1996
37.19,sgp,1997
30.03,sgp,1998
31.26,sgp,1999
33.18,sgp,2000
26.77,sgp,2001
23.77,sgp,2002
16.12,sgp,2003
21.75,sgp,2004
19.97,sgp,2005
21.03,sgp,2006
21.07,sgp,2007
30.2,sgp,2008
26.36,sgp,2009
23.83,sgp,2010
31.12,svk,1985
30.91,svk,1986
32.62,svk,1987
31.3,svk,1988
31.8,svk,1989
33.2,svk,1990
31.22,svk,1991
28.08,svk,1992
24.16,svk,1993
20.55,svk,1994
24.34,svk,1995
34.07,svk,1996
34.28,svk,1997
33.55,svk,1998
27.8,svk,1999
25.98,svk,2000
29.57,svk,2001
29.08,svk,2002
24.61,svk,2003
26.34,svk,2004
28.87,svk,2005
28.02,svk,2006
27.82,svk,2007
27.65,svk,2008
19.86,svk,2009
23.39,svk,2010
17.18,svn,1990
17.13,svn,1991
17.78,svn,1992
19.35,svn,1993
20.58,svn,1994
23.67,svn,1995
23.32,svn,1996
24.56,svn,1997
25.65,svn,1998
27.72,svn,1999
27.42,svn,2000
25.04,svn,2001
23.97,svn,2002
25.38,svn,2003
27.48,svn,2004
27.16,svn,2005
28.92,svn,2006
31.96,svn,2007
31.94,svn,2008
22.51,svn,2009
22.63,svn,2010
25.07,slb,1980
23.37,slb,1981
20.66,slb,1982
25.31,slb,1983
15.81,slb,1984
18.08,slb,1985
18.53,slb,1986
23.43,slb,1987
23.96,slb,1988
19.95,slb,1989
20.26,slb,1990
7.627,slb,1997
6.756,slb,1998
6.194,slb,1999
6.63,slb,2000
6.742,slb,2001
5.183,slb,2002
9.405,slb,2003
11.39,slb,2004
13.76,slb,2005
14.6,slb,2006
9.666,som,1960
9.635,som,1961
9.678,som,1962
9.606,som,1963
9.979,som,1964
11.19,som,1965
11.45,som,1966
12.02,som,1967
12.17,som,1968
12.35,som,1969
11.74,som,1970
11.95,som,1971
13.57,som,1972
14.35,som,1973
26.87,som,1974
22.53,som,1975
29.89,som,1976
21.42,som,1977
28.69,som,1978
22.98,som,1979
42.4,som,1980
27.56,som,1981
29.28,som,1982
22.42,som,1983
24.2,som,1984
29.8,som,1985
25.2,som,1986
33.3,som,1987
23.9,som,1988
30.3,som,1989
15.5,som,1990
20.49,zaf,1960
18.67,zaf,1961
17.89,zaf,1962
21.26,zaf,1963
23.75,zaf,1964
26.92,zaf,1965
23.98,zaf,1966
26.9,zaf,1967
24.89,zaf,1968
25.78,zaf,1969
27.62,zaf,1970
30.68,zaf,1971
25.82,zaf,1972
25.3,zaf,1973
29.79,zaf,1974
30.74,zaf,1975
28.23,zaf,1976
26.95,zaf,1977
25.14,zaf,1978
26.15,zaf,1979
29.86,zaf,1980
33.38,zaf,1981
25.05,zaf,1982
24.77,zaf,1983
25.01,zaf,1984
20.58,zaf,1985
19.08,zaf,1986
15.8,zaf,1987
19.88,zaf,1988
20.87,zaf,1989
17.73,zaf,1990
17.4,zaf,1991
14.75,zaf,1992
14.31,zaf,1993
16.87,zaf,1994
18.17,zaf,1995
17.29,zaf,1996
16.64,zaf,1997
17.0,zaf,1998
16.38,zaf,1999
15.91,zaf,2000
15.29,zaf,2001
15.87,zaf,2002
16.65,zaf,2003
18.07,zaf,2004
17.96,zaf,2005
19.69,zaf,2006
21.27,zaf,2007
22.05,zaf,2008
19.53,zaf,2009
19.26,zaf,2010
27.58,esp,1970
25.35,esp,1971
26.56,esp,1972
27.91,esp,1973
30.97,esp,1974
29.28,esp,1975
27.63,esp,1976
25.64,esp,1977
23.5,esp,1978
22.91,esp,1979
23.7,esp,1980
22.08,esp,1981
21.96,esp,1982
21.13,esp,1983
20.03,esp,1984
20.24,esp,1985
21.13,esp,1986
22.52,esp,1987
24.65,esp,1988
25.94,esp,1989
26.1,esp,1990
25.3,esp,1991
23.4,esp,1992
20.87,esp,1993
21.05,esp,1994
21.9,esp,1995
21.7,esp,1996
22.06,esp,1997
23.45,esp,1998
25.12,esp,1999
26.28,esp,2000
26.35,esp,2001
26.63,esp,2002
27.38,esp,2003
28.28,esp,2004
29.48,esp,2005
30.98,esp,2006
30.98,esp,2007
29.09,esp,2008
24.42,esp,2009
22.99,esp,2010
12.53,lka,1965
14.33,lka,1966
15.24,lka,1967
15.85,lka,1968
19.27,lka,1969
18.95,lka,1970
17.07,lka,1971
17.3,lka,1972
13.74,lka,1973
15.71,lka,1974
15.58,lka,1975
16.21,lka,1976
14.45,lka,1977
20.05,lka,1978
25.82,lka,1979
33.77,lka,1980
27.77,lka,1981
30.76,lka,1982
28.89,lka,1983
25.83,lka,1984
23.82,lka,1985
23.66,lka,1986
23.33,lka,1987
22.78,lka,1988
21.72,lka,1989
22.21,lka,1990
22.87,lka,1991
24.28,lka,1992
25.56,lka,1993
27.03,lka,1994
25.73,lka,1995
24.25,lka,1996
24.39,lka,1997
25.14,lka,1998
27.29,lka,1999
28.04,lka,2000
22.0,lka,2001
22.03,lka,2002
21.62,lka,2003
24.73,lka,2004
26.83,lka,2005
27.98,lka,2006
27.95,lka,2007
27.55,lka,2008
24.43,lka,2009
27.79,lka,2010
10.69,sdn,1960
14.58,sdn,1961
15.03,sdn,1962
13.39,sdn,1963
13.31,sdn,1964
19.75,sdn,1976
15.57,sdn,1977
13.77,sdn,1978
14.24,sdn,1979
14.66,sdn,1980
19.31,sdn,1981
18.86,sdn,1982
14.75,sdn,1983
8.54,sdn,1984
9.492,sdn,1985
14.37,sdn,1986
15.09,sdn,1987
4.329,sdn,1988
5.19,sdn,1989
11.2,sdn,1990
16.11,sdn,1991
19.05,sdn,1992
21.71,sdn,1993
17.39,sdn,1994
14.12,sdn,1995
12.47,sdn,1996
15.77,sdn,1997
17.95,sdn,1998
16.81,sdn,1999
18.34,sdn,2000
17.59,sdn,2001
19.46,sdn,2002
19.96,sdn,2003
22.5,sdn,2004
28.88,sdn,2005
29.5,sdn,2006
30.5,sdn,2007
26.01,sdn,2008
25.19,sdn,2009
23.32,sdn,2010
36.76,sur,1960
35.62,sur,1961
35.75,sur,1962
36.82,sur,1963
58.38,sur,1964
49.26,sur,1965
29.19,sur,1966
28.04,sur,1967
23.46,sur,1968
22.17,sur,1969
21.34,sur,1970
20.41,sur,1971
24.04,sur,1972
33.61,sur,1973
43.71,sur,1974
39.46,sur,1975
51.34,sur,1976
37.36,sur,1977
32.43,sur,1978
22.86,sur,1979
26.42,sur,1980
31.21,sur,1981
27.7,sur,1982
15.61,sur,1983
11.79,sur,1984
14.44,sur,1985
21.95,sur,1986
25.97,sur,1987
16.68,sur,1988
20.84,sur,1989
10.77,sur,1990
11.37,sur,1991
11.13,sur,1992
9.933,sur,1993
13.69,sur,1994
15.26,sur,1995
15.58,sur,1996
17.64,sur,1997
25.49,sur,1998
17.65,sur,1999
12.36,sur,2000
28.9,sur,2001
22.03,sur,2002
22.83,sur,2003
22.45,sur,2004
24.85,sur,2005
19.16,swz,1960
23.43,swz,1961
31.7,swz,1962
34.92,swz,1963
37.92,swz,1964
22.19,swz,1976
26.93,swz,1977
47.91,swz,1978
42.69,swz,1979
40.65,swz,1980
31.04,swz,1981
30.19,swz,1982
32.78,swz,1983
28.7,swz,1984
26.22,swz,1985
19.96,swz,1986
14.86,swz,1987
23.55,swz,1988
23.93,swz,1989
15.11,swz,1990
15.65,swz,1991
19.72,swz,1992
18.06,swz,1993
17.35,swz,1994
16.02,swz,1995
17.03,swz,1996
17.22,swz,1997
19.1,swz,1998
16.68,swz,1999
18.12,swz,2000
22.97,swz,2001
19.3,swz,2002
20.6,swz,2003
15.27,swz,2004
15.04,swz,2005
12.81,swz,2006
12.29,swz,2007
11.05,swz,2008
11.03,swz,2009
11.1,swz,2010
28.22,swe,1965
26.73,swe,1966
25.65,swe,1967
24.85,swe,1968
25.34,swe,1969
27.32,swe,1970
24.71,swe,1971
23.82,swe,1972
22.99,swe,1973
25.29,swe,1974
25.73,swe,1975
24.98,swe,1976
21.92,swe,1977
19.1,swe,1978
21.37,swe,1979
22.63,swe,1980
19.63,swe,1981
19.29,swe,1982
18.93,swe,1983
19.56,swe,1984
21.31,swe,1985
20.01,swe,1986
21.01,swe,1987
22.02,swe,1988
24.21,swe,1989
23.52,swe,1990
20.04,swe,1991
18.38,swe,1992
15.33,swe,1993
16.53,swe,1994
17.16,swe,1995
16.56,swe,1996
16.26,swe,1997
17.39,swe,1998
17.73,swe,1999
18.64,swe,2000
18.22,swe,2001
17.43,swe,2002
17.15,swe,2003
16.99,swe,2004
17.74,swe,2005
18.73,swe,2006
20.32,swe,2007
20.22,swe,2008
16.33,swe,2009
18.45,swe,2010
33.76,che,1965
32.49,che,1966
32.05,che,1967
31.0,che,1968
31.21,che,1969
35.14,che,1970
30.23,che,1980
28.0,che,1981
25.82,che,1982
25.29,che,1983
26.89,che,1984
26.87,che,1985
26.73,che,1986
27.06,che,1987
28.43,che,1988
29.86,che,1989
30.18,che,1990
27.29,che,1991
23.78,che,1992
22.37,che,1993
23.62,che,1994
23.39,che,1995
22.59,che,1996
22.22,che,1997
23.56,che,1998
22.55,che,1999
23.23,che,2000
23.06,che,2001
21.27,che,2002
20.75,che,2003
21.03,che,2004
21.6,che,2005
22.1,che,2006
21.95,che,2007
21.16,che,2008
19.29,che,2009
19.24,che,2010
13.71,syr,1960
14.42,syr,1961
16.31,syr,1962
12.42,syr,1963
11.74,syr,1964
10.33,syr,1965
12.53,syr,1966
12.26,syr,1967
13.91,syr,1968
15.97,syr,1969
14.79,syr,1970
16.0,syr,1971
21.73,syr,1972
13.38,syr,1973
26.85,syr,1974
26.88,syr,1975
33.69,syr,1976
38.14,syr,1977
29.46,syr,1978
28.08,syr,1979
29.56,syr,1980
24.91,syr,1981
25.39,syr,1982
25.32,syr,1983
25.46,syr,1984
25.52,syr,1985
23.86,syr,1986
19.52,syr,1987
15.0,syr,1988
17.12,syr,1989
16.55,syr,1990
17.97,syr,1991
23.17,syr,1992
25.97,syr,1993
29.96,syr,1994
27.2,syr,1995
23.9,syr,1996
21.1,syr,1997
22.07,syr,1998
18.77,syr,1999
17.27,syr,2000
20.34,syr,2001
20.32,syr,2002
23.24,syr,2003
17.66,syr,2004
18.41,syr,2005
18.85,syr,2006
27.8,syr,2007
31.75,syr,2008
30.21,syr,2009
18.82,syr,2010
35.73,tjk,1985
33.3,tjk,1986
32.35,tjk,1987
32.23,tjk,1988
29.29,tjk,1989
24.84,tjk,1990
22.92,tjk,1991
33.44,tjk,1992
39.16,tjk,1993
36.54,tjk,1994
28.67,tjk,1995
22.32,tjk,1996
19.68,tjk,1997
15.43,tjk,1998
17.34,tjk,1999
9.414,tjk,2000
9.716,tjk,2001
9.383,tjk,2002
9.996,tjk,2003
12.2,tjk,2004
14.28,tjk,2005
13.74,tjk,2006
22.82,tjk,2007
21.23,tjk,2008
21.66,tjk,2009
22.81,tjk,2010
26.11,tza,1990
26.34,tza,1991
27.23,tza,1992
25.13,tza,1993
24.65,tza,1994
19.79,tza,1995
16.64,tza,1996
14.9,tza,1997
20.11,tza,1998
17.54,tza,1999
16.82,tza,2000
17.45,tza,2001
17.19,tza,2002
19.17,tza,2003
22.57,tza,2004
25.06,tza,2005
27.63,tza,2006
29.64,tza,2007
29.79,tza,2008
28.97,tza,2009
28.85,tza,2010
15.41,tha,1960
14.76,tha,1961
17.95,tha,1962
20.98,tha,1963
19.65,tha,1964
19.74,tha,1965
23.07,tha,1966
23.23,tha,1967
24.64,tha,1968
25.8,tha,1969
25.58,tha,1970
24.19,tha,1971
21.69,tha,1972
27.01,tha,1973
26.65,tha,1974
26.74,tha,1975
23.98,tha,1976
26.89,tha,1977
28.16,tha,1978
27.21,tha,1979
29.14,tha,1980
29.68,tha,1981
26.52,tha,1982
29.98,tha,1983
29.47,tha,1984
28.24,tha,1985
25.87,tha,1986
27.87,tha,1987
32.59,tha,1988
35.07,tha,1989
41.35,tha,1990
42.84,tha,1991
39.96,tha,1992
40.01,tha,1993
40.25,tha,1994
42.09,tha,1995
41.82,tha,1996
33.66,tha,1997
20.45,tha,1998
20.5,tha,1999
22.84,tha,2000
24.1,tha,2001
23.8,tha,2002
24.97,tha,2003
26.79,tha,2004
31.44,tha,2005
28.3,tha,2006
26.43,tha,2007
29.12,tha,2008
21.24,tha,2009
25.94,tha,2010
20.99,tls,1999
25.59,tls,2000
10.77,tgo,1960
8.065,tgo,1961
10.19,tgo,1962
12.82,tgo,1963
20.15,tgo,1964
22.44,tgo,1965
16.38,tgo,1966
12.63,tgo,1967
11.02,tgo,1968
13.22,tgo,1969
15.1,tgo,1970
18.88,tgo,1971
20.69,tgo,1972
21.74,tgo,1973
16.38,tgo,1974
27.66,tgo,1975
24.86,tgo,1976
34.35,tgo,1977
52.69,tgo,1978
48.81,tgo,1979
28.45,tgo,1980
23.82,tgo,1981
21.33,tgo,1982
20.6,tgo,1983
15.04,tgo,1984
16.63,tgo,1985
18.83,tgo,1986
17.64,tgo,1987
16.03,tgo,1988
16.52,tgo,1989
26.57,tgo,1990
17.11,tgo,1991
15.71,tgo,1992
7.478,tgo,1993
15.04,tgo,1994
16.13,tgo,1995
18.77,tgo,1996
16.29,tgo,1997
16.44,tgo,1998
13.34,tgo,1999
17.81,tgo,2000
20.37,tgo,2001
18.53,tgo,2002
18.9,tgo,2003
18.0,tgo,2004
18.33,tgo,2005
27.59,ton,1975
19.67,ton,1976
20.2,ton,1977
29.51,ton,1978
31.17,ton,1979
30.06,ton,1980
29.56,ton,1981
31.22,ton,1982
29.35,ton,1983
23.94,ton,1984
26.38,ton,1985
24.13,ton,1986
22.17,ton,1987
23.17,ton,1988
20.45,ton,1989
18.49,ton,1990
16.74,ton,1991
17.73,ton,1992
18.09,ton,1993
22.11,ton,1994
26.3,ton,1995
28.19,ton,1996
19.63,ton,1997
21.82,ton,1998
21.31,ton,1999
21.68,ton,2000
24.83,ton,2001
30.46,ton,2002
25.48,ton,2003
23.55,ton,2004
22.08,ton,2005
18.82,ton,2006
19.91,ton,2007
26.35,ton,2008
27.26,ton,2009
29.36,ton,2010
31.13,tto,1960
25.56,tto,1961
28.09,tto,1962
23.37,tto,1963
22.85,tto,1964
25.93,tto,1965
23.06,tto,1966
17.61,tto,1967
19.8,tto,1968
17.18,tto,1969
25.86,tto,1970
33.98,tto,1971
31.32,tto,1972
25.95,tto,1973
21.83,tto,1974
27.34,tto,1975
24.55,tto,1976
26.65,tto,1977
30.22,tto,1978
29.09,tto,1979
30.6,tto,1980
27.62,tto,1981
28.25,tto,1982
25.59,tto,1983
23.99,tto,1984
18.76,tto,1985
21.6,tto,1986
19.33,tto,1987
13.07,tto,1988
16.57,tto,1989
12.6,tto,1990
16.15,tto,1991
13.56,tto,1992
14.33,tto,1993
20.2,tto,1994
20.78,tto,1995
24.27,tto,1996
30.11,tto,1997
33.38,tto,1998
21.01,tto,1999
20.01,tto,2000
26.71,tto,2001
22.63,tto,2002
25.34,tto,2003
19.93,tto,2004
28.84,tto,2005
15.65,tto,2006
12.9,tto,2007
11.36,tto,2008
17.33,tun,1961
24.06,tun,1962
24.08,tun,1963
25.26,tun,1964
27.91,tun,1965
25.29,tun,1966
25.19,tun,1967
22.93,tun,1968
22.45,tun,1969
21.15,tun,1970
21.52,tun,1971
22.72,tun,1972
21.28,tun,1973
25.8,tun,1974
28.02,tun,1975
30.66,tun,1976
30.54,tun,1977
30.76,tun,1978
29.43,tun,1979
29.36,tun,1980
32.33,tun,1981
31.73,tun,1982
33.5,tun,1983
35.9,tun,1984
30.16,tun,1985
26.6,tun,1986
23.48,tun,1987
20.71,tun,1988
23.91,tun,1989
27.07,tun,1990
25.99,tun,1991
29.19,tun,1992
29.24,tun,1993
24.64,tun,1994
24.7,tun,1995
25.01,tun,1996
24.46,tun,1997
24.92,tun,1998
24.62,tun,1999
26.08,tun,2000
26.18,tun,2001
23.81,tun,2002
23.32,tun,2003
23.28,tun,2004
21.68,tun,2005
23.45,tun,2006
23.83,tun,2007
25.93,tun,2008
24.77,tun,2009
26.36,tun,2010
9.974,tur,1960
9.936,tur,1961
10.69,tur,1962
11.75,tur,1963
10.98,tur,1964
11.32,tur,1965
12.84,tur,1966
12.65,tur,1967
13.42,tur,1968
13.35,tur,1969
14.69,tur,1970
13.76,tur,1971
16.81,tur,1972
15.48,tur,1973
17.89,tur,1974
18.71,tur,1975
20.32,tur,1976
20.67,tur,1977
15.14,tur,1978
14.5,tur,1979
18.16,tur,1980
17.87,tur,1981
16.95,tur,1982
16.29,tur,1983
16.18,tur,1984
16.51,tur,1985
18.85,tur,1986
25.67,tur,1987
25.14,tur,1988
23.47,tur,1989
24.55,tur,1990
22.71,tur,1991
23.36,tur,1992
26.62,tur,1993
21.32,tur,1994
25.47,tur,1995
24.55,tur,1996
25.11,tur,1997
22.11,tur,1998
19.12,tur,1999
20.77,tur,2000
15.08,tur,2001
17.61,tur,2002
17.6,tur,2003
19.39,tur,2004
19.99,tur,2005
22.05,tur,2006
21.48,tur,2007
21.78,tur,2008
14.94,tur,2009
19.93,tur,2010
35.43,tkm,1987
33.58,tkm,1988
35.21,tkm,1989
40.13,tkm,1990
45.92,tkm,1991
36.93,tkm,1993
49.44,tkm,1996
38.68,tkm,1997
45.49,tkm,1998
39.67,tkm,1999
34.74,tkm,2000
31.71,tkm,2001
27.56,tkm,2002
25.42,tkm,2003
23.05,tkm,2004
22.92,tkm,2005
19.5,tkm,2006
18.6,tkm,2007
31.7,tkm,2008
50.5,tkm,2009
58.6,tkm,2010
10.96,uga,1960
10.18,uga,1961
11.15,uga,1962
12.81,uga,1963
12.09,uga,1964
11.24,uga,1965
11.5,uga,1966
13.46,uga,1967
13.09,uga,1968
14.02,uga,1969
14.0,uga,1970
16.1,uga,1971
11.64,uga,1972
8.72,uga,1973
11.62,uga,1974
8.052,uga,1975
6.252,uga,1976
6.05,uga,1977
8.282,uga,1978
6.58,uga,1979
6.155,uga,1980
5.608,uga,1981
9.093,uga,1982
7.41,uga,1983
8.14,uga,1984
8.732,uga,1985
8.447,uga,1986
9.718,uga,1987
10.79,uga,1988
11.14,uga,1989
12.7,uga,1990
15.17,uga,1991
15.94,uga,1992
15.25,uga,1993
14.68,uga,1994
12.41,uga,1995
20.17,uga,1996
18.18,uga,1997
16.45,uga,1998
19.55,uga,1999
19.48,uga,2000
19.3,uga,2001
20.22,uga,2002
20.98,uga,2003
20.15,uga,2004
22.36,uga,2005
21.13,uga,2006
22.08,uga,2007
22.98,uga,2008
24.13,uga,2009
23.74,uga,2010
28.88,ukr,1989
27.46,ukr,1990
26.35,ukr,1991
34.45,ukr,1992
36.29,ukr,1993
35.33,ukr,1994
26.68,ukr,1995
22.67,ukr,1996
21.45,ukr,1997
20.82,ukr,1998
17.51,ukr,1999
19.63,ukr,2000
21.76,ukr,2001
20.15,ukr,2002
21.97,ukr,2003
21.13,ukr,2004
