surviving_kids_per_woman,geo,time
2.893,afg,1950
2.893,afg,1951
3.019,afg,1952
3.019,afg,1953
3.019,afg,1954
3.144,afg,1955
3.144,afg,1956
3.144,afg,1957
3.144,afg,1958
3.268,afg,1959
3.268,afg,1960
3.268,afg,1961
3.392,afg,1962
3.392,afg,1963
3.514,afg,1964
3.514,afg,1965
3.514,afg,1966
3.636,afg,1967
3.636,afg,1968
3.756,afg,1969
3.756,afg,1970
3.756,afg,1971
3.876,afg,1972
3.876,afg,1973
3.989,afg,1974
3.989,afg,1975
4.112,afg,1976
4.112,afg,1977
4.233,afg,1978
4.244,afg,1979
4.25,afg,1980
4.377,afg,1981
4.393,afg,1982
4.405,afg,1983
4.416,afg,1984
4.543,afg,1985
4.555,afg,1986
4.566,afg,1987
4.7,afg,1988
4.711,afg,1989
4.723,afg,1990
4.851,afg,1991
4.869,afg,1992
4.881,afg,1993
5.008,afg,1994
5.014,afg,1995
5.002,afg,1996
4.977,afg,1997
5.052,afg,1998
4.994,afg,1999
4.918,afg,2000
4.941,afg,2001
4.844,afg,2002
4.74,afg,2003
4.642,afg,2004
4.641,afg,2005
4.541,afg,2006
4.448,afg,2007
4.444,afg,2008
4.35,afg,2009
4.261,afg,2010
3.685,afg,2020
3.131,afg,2030
2.396,afg,2050
1.784,afg,2099
2.244,alb,1800
2.244,alb,1801
2.244,alb,1802
2.244,alb,1803
2.244,alb,1804
2.244,alb,1805
2.244,alb,1806
2.244,alb,1807
2.244,alb,1808
2.244,alb,1809
2.244,alb,1810
2.244,alb,1811
2.244,alb,1812
2.244,alb,1813
2.244,alb,1814
2.244,alb,1815
2.244,alb,1816
2.244,alb,1817
2.244,alb,1818
2.244,alb,1819
2.244,alb,1820
2.244,alb,1821
2.244,alb,1822
2.244,alb,1823
2.244,alb,1824
2.244,alb,1825
2.244,alb,1826
2.244,alb,1827
2.244,alb,1828
2.244,alb,1829
2.244,alb,1830
2.244,alb,1831
2.244,alb,1832
2.244,alb,1833
2.244,alb,1834
2.244,alb,1835
2.244,alb,1836
2.244,alb,1837
2.244,alb,1838
2.244,alb,1839
2.244,alb,1840
2.244,alb,1841
2.244,alb,1842
2.244,alb,1843
2.244,alb,1844
2.244,alb,1845
2.244,alb,1846
2.244,alb,1847
2.244,alb,1848
2.244,alb,1849
2.244,alb,1850
2.244,alb,1851
2.244,alb,1852
2.244,alb,1853
2.244,alb,1854
2.244,alb,1855
2.244,alb,1856
2.244,alb,1857
2.244,alb,1858
2.244,alb,1859
2.244,alb,1860
2.244,alb,1861
2.244,alb,1862
2.244,alb,1863
2.244,alb,1864
2.244,alb,1865
2.244,alb,1866
2.244,alb,1867
2.244,alb,1868
2.244,alb,1869
2.244,alb,1870
2.244,alb,1871
2.244,alb,1872
2.244,alb,1873
2.244,alb,1874
2.244,alb,1875
2.244,alb,1876
2.244,alb,1877
2.244,alb,1878
2.244,alb,1879
2.244,alb,1880
2.244,alb,1881
2.244,alb,1882
2.244,alb,1883
2.244,alb,1884
2.244,alb,1885
2.244,alb,1886
2.244,alb,1887
2.244,alb,1888
2.244,alb,1889
2.244,alb,1890
2.244,alb,1891
2.244,alb,1892
2.244,alb,1893
2.244,alb,1894
2.244,alb,1895
2.244,alb,1896
2.244,alb,1897
2.244,alb,1898
2.244,alb,1899
2.244,alb,1900
2.244,alb,1901
2.244,alb,1902
2.244,alb,1903
2.244,alb,1904
2.244,alb,1905
2.244,alb,1906
2.244,alb,1907
2.244,alb,1908
2.244,alb,1909
2.244,alb,1910
2.244,alb,1911
2.244,alb,1912
2.244,alb,1913
2.244,alb,1914
2.244,alb,1915
2.244,alb,1916
2.244,alb,1917
2.244,alb,1918
2.244,alb,1919
2.244,alb,1920
2.244,alb,1921
2.244,alb,1922
2.244,alb,1923
2.244,alb,1924
