geo,tsunami_affected_annual_number,time
bgd,2,2004
fra,13,1979
fra,0,1980
hnd,1720,2002
ind,670900,2004
idn,562,1979
idn,0,1980
idn,0,2003
idn,698600,2004
idn,0,2005
idn,36340,2006
ken,1,2004
mys,5143,2004
mdv,27320,2004
mmr,15770,2004
png,12050,1998
per,759,1996
syc,4833,2004
slb,2436,2007
som,105400,2004
lka,1055000,2004
tza,10,2004
tha,75350,2004
vut,100,1997
