geo,children_per_woman_total_fertility_with_projections,time
alb,4.6,1886
alb,4.6,1887
alb,4.6,1888
alb,4.6,1889
alb,4.6,1890
alb,4.6,1891
alb,4.6,1892
alb,4.6,1893
alb,4.6,1894
alb,4.6,1895
alb,4.6,1896
alb,4.6,1897
alb,4.6,1898
alb,4.6,1899
alb,4.6,1900
alb,4.6,1901
alb,4.6,1902
alb,4.6,1903
alb,4.6,1904
alb,4.6,1905
alb,4.6,1906
alb,4.6,1907
alb,4.6,1908
alb,4.6,1909
alb,4.6,1910
alb,4.6,1911
alb,4.6,1912
alb,4.6,1913
alb,4.6,1914
alb,4.6,1915
alb,4.6,1916
alb,4.6,1917
alb,4.6,1918
alb,4.6,1919
alb,4.6,1920
alb,4.6,1921
alb,4.6,1922
alb,4.6,1923
alb,4.6,1924
alb,4.6,1925
alb,4.423,1926
alb,4.247,1927
alb,4.07,1928
alb,3.893,1929
alb,3.717,1930
alb,3.54,1931
alb,3.363,1932
alb,3.569,1933
alb,3.774,1934
alb,3.98,1935
alb,4.185,1936
alb,4.391,1937
alb,4.596,1938
alb,3.739,1939
alb,4.194,1940
alb,3.752,1941
alb,4.409,1942
alb,4.582,1943
alb,4.756,1944
alb,4.93,1945
alb,5.104,1946
alb,5.278,1947
alb,5.451,1948
alb,5.625,1949
alb,5.799,1950
alb,5.896,1951
alb,6.071,1952
alb,6.209,1953
alb,6.309,1954
alb,6.372,1955
alb,6.398,1956
alb,6.389,1957
alb,6.348,1958
alb,6.278,1959
alb,6.186,1960
alb,6.076,1961
alb,5.956,1962
alb,5.833,1963
alb,5.711,1964
alb,5.594,1965
alb,5.483,1966
alb,5.376,1967
alb,5.268,1968
alb,5.16,1969
alb,5.05,1970
alb,4.933,1971
alb,4.809,1972
alb,4.677,1973
alb,4.538,1974
alb,4.393,1975
alb,4.244,1976
alb,4.094,1977
alb,3.947,1978
alb,3.807,1979
alb,3.678,1980
alb,3.562,1981
alb,3.46,1982
alb,3.372,1983
alb,3.297,1984
alb,3.233,1985
alb,3.177,1986
alb,3.126,1987
alb,3.075,1988
alb,3.023,1989
alb,2.97,1990
alb,2.917,1991
alb,2.867,1992
alb,2.819,1993
alb,2.772,1994
alb,2.723,1995
alb,2.67,1996
alb,2.611,1997
alb,2.543,1998
alb,2.467,1999
alb,2.383,2000
alb,2.291,2001
alb,2.195,2002
alb,2.097,2003
alb,2.004,2004
alb,1.919,2005
alb,1.849,2006
alb,1.796,2007
alb,1.761,2008
alb,1.744,2009
alb,1.741,2010
alb,1.748,2011
alb,1.76,2012
alb,1.771,2013
alb,1.779,2014
alb,1.781,2015
alb,1.779,2016
alb,1.775,2017
alb,1.77,2018
alb,1.766,2019
alb,1.763,2020
alb,1.76,2021
alb,1.757,2022
alb,1.754,2023
alb,1.752,2024
alb,1.742,2030
alb,1.74,2040
alb,1.75,2050
alb,1.789,2070
alb,1.809,2080
alb,1.841,2099
dza,6.994,1800
dza,6.994,1801
dza,6.994,1802
dza,6.994,1803
dza,6.994,1804
dza,6.994,1805
dza,6.994,1806
dza,6.994,1807
dza,6.994,1808
dza,6.994,1809
dza,6.994,1810
dza,6.994,1811
dza,6.994,1812
dza,6.994,1813
dza,6.994,1814
dza,6.994,1815
dza,6.994,1816
dza,6.994,1817
dza,6.994,1818
dza,6.994,1819
dza,6.994,1820
dza,6.994,1821
dza,6.994,1822
dza,6.994,1823
dza,6.994,1824
dza,6.994,1825
dza,6.994,1826
dza,6.994,1827
dza,6.994,1828
dza,6.994,1829
dza,6.994,1830
dza,6.994,1831
dza,6.994,1832
dza,6.994,1833
dza,6.994,1834
dza,6.994,1835
dza,6.994,1836
dza,6.994,1837
dza,6.994,1838
dza,6.994,1839
dza,6.994,1840
dza,6.994,1841
dza,6.994,1842
dza,6.994,1843
dza,6.994,1844
dza,6.994,1845
dza,6.994,1846
dza,6.994,1847
dza,6.994,1848
dza,6.994,1849
dza,6.994,1850
dza,6.994,1851
dza,6.994,1852
dza,6.994,1853
dza,6.994,1854
dza,6.994,1855
dza,6.994,1856
dza,6.994,1857
dza,6.994,1858
dza,6.994,1859
dza,6.994,1860
dza,6.994,1861
dza,6.994,1862
dza,6.994,1863
dza,6.994,1864
dza,6.994,1865
dza,6.994,1866
dza,6.994,1867
dza,6.994,1868
dza,6.994,1869
dza,6.994,1870
dza,6.994,1871
dza,6.994,1872
dza,6.994,1873
dza,6.994,1874
dza,6.994,1875
dza,6.994,1876
dza,6.994,1877
dza,6.994,1878
dza,6.994,1879
dza,6.994,1880
dza,6.994,1881
dza,6.994,1882
dza,6.994,1883
dza,6.994,1884
dza,6.994,1885
dza,6.994,1886
dza,6.994,1887
dza,6.994,1888
dza,6.994,1889
dza,6.994,1890
dza,6.994,1891
dza,6.994,1892
dza,6.994,1893
dza,6.994,1894
dza,6.994,1895
dza,6.994,1896
dza,6.994,1897
dza,6.994,1898
dza,6.994,1899
dza,6.994,1900
dza,6.994,1901
dza,6.994,1902
dza,6.994,1903
dza,6.994,1904
dza,6.994,1905
dza,6.994,1906
dza,6.994,1907
dza,6.994,1908
dza,6.994,1909
dza,6.994,1910
dza,6.994,1911
dza,6.994,1912
dza,6.994,1913
dza,6.994,1914
dza,6.994,1915
dza,6.994,1916
dza,6.994,1917
dza,6.994,1918
dza,6.994,1919
dza,6.994,1920
dza,6.994,1921
dza,6.994,1922
dza,6.994,1923
dza,6.994,1924
dza,6.994,1925
dza,7.02,1926
dza,7.046,1927
dza,7.072,1928
dza,7.099,1929
dza,7.125,1930
dza,7.151,1931
dza,7.177,1932
dza,7.203,1933
dza,7.229,1934
dza,7.255,1935
dza,7.281,1936
dza,7.307,1937
dza,7.334,1938
dza,7.36,1939
dza,7.386,1940
dza,7.412,1941
dza,7.438,1942
dza,7.464,1943
dza,7.49,1944
dza,7.516,1945
dza,7.543,1946
dza,7.569,1947
dza,7.595,1948
dza,7.621,1949
dza,7.647,1950
dza,7.647,1951
dza,7.648,1952
dza,7.648,1953
dza,7.648,1954
dza,7.648,1955
dza,7.648,1956
dza,7.648,1957
dza,7.648,1958
dza,7.648,1959
dza,7.648,1960
dza,7.649,1961
dza,7.65,1962
dza,7.652,1963
dza,7.653,1964
dza,7.655,1965
dza,7.657,1966
dza,7.658,1967
dza,7.657,1968
dza,7.652,1969
dza,7.641,1970
dza,7.622,1971
dza,7.591,1972
dza,7.548,1973
dza,7.492,1974
dza,7.422,1975
dza,7.339,1976
dza,7.244,1977
dza,7.138,1978
dza,7.021,1979
dza,6.889,1980
dza,6.741,1981
dza,6.576,1982
dza,6.392,1983
dza,6.192,1984
dza,5.976,1985
dza,5.747,1986
dza,5.508,1987
dza,5.263,1988
dza,5.014,1989
dza,4.761,1990
dza,4.503,1991
dza,4.238,1992
dza,3.971,1993
dza,3.705,1994
dza,3.449,1995
dza,3.207,1996
dza,2.987,1997
dza,2.794,1998
dza,2.634,1999
dza,2.514,2000
dza,2.439,2001
dza,2.407,2002
dza,2.412,2003
dza,2.448,2004
dza,2.507,2005
dza,2.58,2006
dza,2.656,2007
dza,2.725,2008
dza,2.781,2009
dza,2.817,2010
dza,2.829,2011
dza,2.82,2012
dza,2.795,2013
dza,2.756,2014
dza,2.706,2015
dza,2.65,2016
dza,2.591,2017
dza,2.535,2018
dza,2.483,2019
dza,2.437,2020
dza,2.398,2021
dza,2.362,2022
dza,2.328,2023
dza,2.296,2024
dza,2.142,2030
dza,1.988,2040
dza,1.92,2050
dza,1.887,2070
dza,1.888,2080
dza,1.896,2099
ago,6.93,1800
ago,6.931,1801
ago,6.931,1802
ago,6.932,1803
ago,6.933,1804
ago,6.934,1805
ago,6.934,1806
ago,6.935,1807
ago,6.936,1808
ago,6.936,1809
ago,6.937,1810
ago,6.938,1811
ago,6.939,1812
ago,6.939,1813
ago,6.94,1814
ago,6.941,1815
ago,6.942,1816
