geo,females_aged_55plus_unemployment_rate_percent,time
aus,3.2,1986
aus,2.9,1987
aus,3.0,1988
aus,2.9,1989
aus,2.8,1990
aus,3.5,1991
aus,3.3,1992
aus,4.1,1993
aus,4.5,1994
aus,3.4,1995
aus,3.8,1996
aus,3.8,1997
aus,3.9,1998
aus,3.1,1999
aus,2.8,2000
aus,2.8,2001
aus,2.6,2002
aus,2.9,2003
aus,2.7,2004
aus,2.5,2005
can,4.1,1981
can,6.2,1982
can,7.4,1983
can,6.8,1984
can,7.0,1985
can,6.9,1986
can,7.2,1987
can,5.7,1988
can,5.5,1989
can,5.2,1990
can,7.6,1991
can,8.2,1992
can,9.0,1993
can,8.1,1994
can,7.7,1995
can,7.2,1996
can,7.1,1997
can,6.3,1998
can,5.0,1999
can,5.3,2000
can,5.5,2001
can,5.5,2002
can,5.3,2003
can,5.5,2004
can,5.2,2005
cze,5.9,1993
cze,3.8,1994
cze,3.6,1995
cze,4.1,1996
cze,4.6,1997
cze,4.7,1998
cze,5.1,1999
cze,5.1,2000
cze,5.5,2001
cze,4.7,2002
cze,5.1,2003
cze,6.0,2004
cze,5.6,2005
est,6.8,2000
est,8.3,2001
est,5.5,2002
est,5.6,2003
est,5.4,2004
est,3.4,2005
fin,5.2,1981
fin,6.5,1982
fin,6.5,1983
fin,7.2,1984
fin,7.2,1985
fin,6.3,1986
fin,4.3,1987
fin,4.3,1988
fin,3.4,1989
fin,2.6,1990
fin,4.4,1991
fin,9.0,1992
fin,13.8,1993
fin,16.5,1994
fin,17.8,1995
fin,20.8,1996
fin,14.3,1997
fin,12.5,1998
fin,9.1,1999
fin,9.1,2000
fin,8.6,2001
fin,7.8,2002
fin,7.3,2003
fin,6.8,2004
fin,6.3,2005
fra,6.1,1981
fra,6.3,1982
fra,6.6,1983
fra,7.3,1984
fra,7.5,1985
fra,7.5,1986
fra,8.5,1987
fra,8.3,1988
fra,8.1,1989
fra,7.9,1990
fra,8.3,1991
fra,8.9,1992
fra,8.8,1993
fra,8.2,1994
fra,8.1,1995
fra,8.7,1996
fra,9.3,1997
fra,9.2,1998
fra,8.8,1999
fra,8.0,2000
fra,7.1,2001
fra,7.2,2002
fra,7.8,2003
fra,7.6,2004
fra,7.1,2005
deu,8.6,1991
deu,9.9,1992
deu,11.6,1993
deu,12.4,1994
deu,12.6,1995
deu,14.7,1996
deu,16.2,1997
deu,15.5,1998
deu,14.6,1999
deu,13.5,2000
deu,12.8,2001
deu,11.7,2002
deu,12.2,2003
deu,12.6,2004
deu,11.9,2005
hkg,0.9,1985
hkg,1.1,1986
hkg,0.6,1987
hkg,0.4,1988
hkg,0.3,1989
hkg,0.1,1990
hkg,0.3,1991
hkg,0.8,1992
hkg,1.0,1993
hkg,0.5,1994
hkg,1.6,1995
hkg,0.9,1996
hkg,0.6,1997
hkg,2.1,1998
hkg,2.6,1999
hkg,1.8,2000
hkg,2.3,2001
hkg,4.9,2002
hkg,5.2,2003
hkg,6.0,2004
hkg,4.9,2005
irl,5.0,1983
irl,8.4,1984
irl,7.2,1985
irl,8.9,1986
irl,8.5,1987
irl,9.3,1988
irl,8.0,1989
irl,7.0,1990
irl,7.7,1991
irl,7.4,1992
irl,7.2,1993
irl,8.2,1994
irl,8.0,1995
irl,7.7,1996
irl,5.2,1997
irl,3.8,1998
irl,3.9,1999
irl,2.3,2000
irl,2.5,2001
irl,2.1,2002
irl,2.0,2003
irl,1.5,2004
irl,2.5,2005
jpn,1.4,1981
jpn,1.3,1982
jpn,1.5,1983
jpn,1.5,1984
jpn,1.5,1985
jpn,1.7,1986
jpn,1.6,1987
jpn,1.6,1988
jpn,1.3,1989
jpn,1.2,1990
jpn,1.2,1991
jpn,1.1,1992
jpn,1.3,1993
jpn,1.5,1994
jpn,1.6,1995
jpn,2.0,1996
jpn,1.9,1997
jpn,2.2,1998
jpn,2.5,1999
jpn,2.8,2000
jpn,2.9,2001
jpn,3.0,2002
jpn,3.1,2003
jpn,2.5,2004
jpn,2.2,2005
kor,0.2,1992
kor,0.3,1993
kor,0.2,1994
kor,0.3,1995
kor,0.3,1996
kor,0.4,1997
kor,1.6,1998
kor,1.7,1999
kor,1.1,2000
kor,0.7,2001
kor,0.6,2002
kor,0.9,2003
kor,1.0,2004
kor,1.1,2005
lva,26.5,1996
lva,6.8,1997
lva,0.0,1998
lva,9.1,1999
lva,8.2,2000
lva,7.6,2001
lva,8.1,2002
lva,6.6,2003
lva,8.2,2004
lva,5.8,2005
ltu,5.2,1998
ltu,2.5,1999
ltu,6.6,2000
ltu,7.3,2001
ltu,7.3,2002
ltu,11.6,2003
ltu,10.8,2004
ltu,5.6,2005
nld,6.4,1987
nld,5.3,1988
nld,5.9,1989
