roads_paved_percent_of_total_roads,geo,time
23.66,afg,2004
27.46,afg,2005
29.3,afg,2006
39.0,alb,1995
39.0,alb,1996
39.0,alb,1997
39.0,alb,1998
39.0,alb,1999
39.0,alb,2000
39.0,alb,2001
39.0,alb,2002
67.0,dza,1990
70.0,dza,1991
66.0,dza,1992
66.7,dza,1993
68.0,dza,1994
68.9,dza,1995
68.9,dza,1996
68.9,dza,1997
68.9,dza,1998
68.9,dza,1999
68.9,dza,2000
70.2,dza,2004
73.46,dza,2008
74.03,dza,2009
10.4,ago,1999
10.4,ago,2000
10.4,ago,2001
32.96,atg,2002
28.5,arg,1990
28.5,arg,1991
28.5,arg,1992
28.6,arg,1993
28.7,arg,1994
29.1,arg,1995
29.1,arg,1996
29.5,arg,1997
29.5,arg,1998
29.4,arg,1999
29.4,arg,2000
30.0,arg,2003
99.2,arm,1990
96.6,arm,1991
96.7,arm,1992
96.7,arm,1993
97.0,arm,1994
96.7,arm,1995
96.7,arm,1996
96.8,arm,1997
96.8,arm,1998
91.27,arm,2003
90.12,arm,2004
89.97,arm,2005
88.98,arm,2006
89.04,arm,2007
90.52,arm,2008
93.56,arm,2009
35.0,aus,1990
35.7,aus,1991
36.4,aus,1992
37.1,aus,1993
37.9,aus,1994
38.6,aus,1995
38.7,aus,1996
38.7,aus,1998
41.57,aus,2004
42.55,aus,2007
42.7,aus,2008
43.45,aus,2009
100.0,aut,1990
100.0,aut,1991
100.0,aut,1992
100.0,aut,1993
100.0,aut,1994
100.0,aut,1995
100.0,aut,1996
100.0,aut,1997
100.0,aut,1998
100.0,aut,1999
100.0,aut,2000
100.0,aut,2001
100.0,aut,2002
100.0,aut,2003
100.0,aut,2005
100.0,aut,2006
100.0,aut,2007
100.0,aut,2008
100.0,aut,2009
49.39,aze,2004
50.6,aze,2006
52.0,bhs,1990
53.0,bhs,1991
54.1,bhs,1992
55.1,bhs,1993
56.3,bhs,1994
57.4,bhs,1995
57.4,bhs,1996
57.4,bhs,1997
57.4,bhs,1998
57.4,bhs,1999
57.4,bhs,2000
57.4,bhs,2001
75.4,bhr,1990
75.3,bhr,1991
78.8,bhr,1992
75.8,bhr,1996
76.5,bhr,1997
76.9,bhr,1998
77.4,bhr,1999
77.6,bhr,2000
75.3,bhr,2001
78.9,bhr,2002
79.13,bhr,2003
79.74,bhr,2004
80.31,bhr,2005
80.8,bhr,2006
81.04,bhr,2007
81.48,bhr,2008
82.12,bhr,2009
7.2,bgd,1991
6.6,bgd,1992
6.9,bgd,1993
9.3,bgd,1994
7.9,bgd,1995
8.4,bgd,1996
9.5,bgd,1997
9.53,bgd,1998
9.53,bgd,1999
9.53,bgd,2000
9.5,bgd,2003
86.8,brb,1990
88.5,brb,1991
90.3,brb,1992
92.1,brb,1993
93.9,brb,1994
95.8,brb,1995
95.9,brb,1996
98.6,brb,1998
98.6,brb,1999
98.6,brb,2000
98.6,brb,2001
98.6,brb,2002
100.0,brb,2003
100.0,brb,2004
95.8,blr,1991
96.3,blr,1992
98.0,blr,1993
98.4,blr,1994
98.6,blr,1995
98.8,blr,1996
98.2,blr,1997
95.6,blr,1998
86.4,blr,2003
87.0,blr,2004
88.64,blr,2005
81.2,bel,1991
81.2,bel,1992
81.2,bel,1993
80.6,bel,1994
80.7,bel,1995
80.7,bel,1996
80.7,bel,1997
78.2,bel,1998
78.2,bel,1999
78.2,bel,2000
78.3,bel,2001
78.2,bel,2002
78.0,bel,2003
78.0,bel,2004
78.21,bel,2005
78.21,bel,2006
78.2,bel,2007
78.2,bel,2008
78.22,bel,2009
19.0,blz,1996
16.0,blz,1997
17.0,blz,1998
17.0,blz,1999
17.0,blz,2000
17.0,blz,2001
20.0,ben,1990
20.0,ben,1991
20.0,ben,1992
20.0,ben,1993
20.0,ben,1994
20.0,ben,1995
20.0,ben,1996
20.0,ben,1997
20.0,ben,1998
9.5,ben,2004
77.1,btn,1990
79.1,btn,1991
77.1,btn,1992
74.5,btn,1993
65.2,btn,1994
63.7,btn,1995
60.7,btn,1996
60.7,btn,1997
62.0,btn,2003
4.3,bol,1990
4.4,bol,1991
4.2,bol,1992
4.0,bol,1993
4.7,bol,1994
5.5,bol,1995
5.5,bol,1996
5.7,bol,1997
6.0,bol,1998
6.4,bol,1999
6.6,bol,2000
6.7,bol,2001
6.7,bol,2002
7.0,bol,2003
7.342,bol,2004
6.913,bol,2005
6.928,bol,2006
6.812,bol,2007
7.885,bol,2008
7.885,bol,2009
54.0,bih,1990
54.2,bih,1991
53.0,bih,1992
52.6,bih,1993
52.5,bih,1994
52.3,bih,1995
52.3,bih,1996
52.3,bih,1997
52.3,bih,1998
52.3,bih,1999
52.3,bih,2005
32.0,bwa,1990
34.0,bwa,1991
19.9,bwa,1992
21.1,bwa,1993
22.2,bwa,1994
35.3,bwa,2002
35.14,bwa,2003
33.2,bwa,2004
32.6,bwa,2005
9.7,bra,1990
8.6,bra,1991
8.6,bra,1992
12.3,bra,1993
8.1,bra,1994
8.9,bra,1995
9.3,bra,1996
9.1,bra,1997
9.6,bra,1998
5.6,bra,1999
5.5,bra,2000
31.4,brn,1990
32.0,brn,1991
32.6,brn,1992
33.3,brn,1993
33.9,brn,1994
34.6,brn,1995
34.7,brn,1997
34.7,brn,1998
34.7,brn,1999
34.7,brn,2000
79.1,brn,2004
78.41,brn,2005
78.03,brn,2006
80.06,brn,2007
81.12,brn,2008
91.6,bgr,1990
91.8,bgr,1991
91.8,bgr,1992
91.9,bgr,1993
91.9,bgr,1994
92.0,bgr,1995
92.0,bgr,1996
92.0,bgr,1997
92.1,bgr,1998
98.4,bgr,2005
16.6,bfa,1990
17.1,bfa,1991
17.6,bfa,1992
18.2,bfa,1993
18.7,bfa,1994
16.0,bfa,1995
16.0,bfa,1996
16.0,bfa,1997
16.0,bfa,1998
16.0,bfa,1999
4.17,bfa,2004
7.1,bdi,1999
7.1,bdi,2000
10.44,bdi,2004
7.5,khm,1990
7.5,khm,1991
7.5,khm,1992
7.5,khm,1993
7.5,khm,1994
7.5,khm,1995
7.5,khm,1996
7.5,khm,1997
6.29,khm,2004
10.5,cmr,1990
10.9,cmr,1991
11.3,cmr,1992
11.7,cmr,1993
12.1,cmr,1994
12.5,cmr,1995
12.5,cmr,1996
12.5,cmr,1997
12.5,cmr,1998
12.5,cmr,1999
8.1,cmr,2000
8.37,cmr,2004
17.36,cmr,2006
17.04,cmr,2008
35.0,can,1990
37.0,can,1991
35.2,can,1992
35.3,can,1995
39.87,can,2004
78.0,cpv,1990
78.0,cpv,1991
78.0,cpv,1992
78.0,cpv,1993
78.0,cpv,1994
78.0,cpv,1995
78.0,cpv,1996
78.0,cpv,1997
78.0,cpv,1998
78.0,cpv,1999
69.04,cpv,2000
69.04,cpv,2001
2.1,caf,1994
2.1,caf,1995
2.1,caf,1996
2.4,caf,1997
2.7,caf,1998
0.8,tcd,1990
0.8,tcd,1991
0.8,tcd,1992
0.8,tcd,1993
0.8,tcd,1994
0.8,tcd,1995
0.8,tcd,1996
0.8,tcd,1997
0.8,tcd,1998
0.8,tcd,1999
0.8,tcd,2000
13.8,chl,1990
13.8,chl,1991
13.8,chl,1992
13.8,chl,1993
13.8,chl,1994
15.9,chl,1995
16.7,chl,1996
17.2,chl,1997
18.3,chl,1998
18.9,chl,1999
18.4,chl,2000
20.2,chl,2001
26.27,chl,2004
21.04,chl,2005
21.32,chl,2006
21.43,chl,2007
21.83,chl,2008
22.45,chl,2009
40.8,chn,2005
44.1,chn,2006
49.6,chn,2007
53.5,chn,2008
11.9,col,1990
11.9,col,1991
11.9,col,1992
11.9,col,1993
11.9,col,1994
9.2,col,1995
11.9,col,1996
12.0,col,1997
14.3,col,1998
14.4,col,1999
69.3,com,1990
70.7,com,1991
72.1,com,1992
73.5,com,1993
75.0,com,1994
76.5,com,1995
76.5,com,1998
76.5,com,1999
76.5,com,2000
76.5,com,2001
1.82,cod,2004
9.7,cog,1990
9.7,cog,1991
9.7,cog,1992
9.7,cog,1993
9.7,cog,1994
9.7,cog,1995
9.7,cog,1996
9.7,cog,1997
9.7,cog,1998
9.7,cog,1999
9.7,cog,2000
5.0,cog,2004
7.129,cog,2006
15.3,cri,1990
15.8,cri,1991
15.8,cri,1992
16.3,cri,1993
16.3,cri,1994
16.7,cri,1995
17.0,cri,1996
17.0,cri,1997
21.0,cri,1998
22.0,cri,1999
22.0,cri,2000
22.0,cri,2001
22.0,cri,2002
24.6,cri,2003
24.4,cri,2004
25.2,cri,2006
25.53,cri,2007
25.28,cri,2008
25.95,cri,2009
8.7,civ,1990
8.9,civ,1991
9.1,civ,1992
9.2,civ,1993
9.4,civ,1994
9.6,civ,1995
9.7,civ,1996
9.7,civ,1997
9.7,civ,1998
9.7,civ,1999
9.7,civ,2000
8.12,civ,2004
7.93,civ,2007
81.5,hrv,1996
81.5,hrv,1997
84.4,hrv,1998
84.6,hrv,1999
85.4,hrv,2000
84.93,hrv,2001
89.13,hrv,2007
86.88,hrv,2008
90.51,hrv,2009
50.5,cub,1990
51.5,cub,1991
52.6,cub,1992
53.6,cub,1993
54.7,cub,1994
55.8,cub,1995
55.9,cub,1996
49.0,cub,1997
49.0,cub,1998
49.0,cub,1999
49.0,cub,2000
49.0,cub,2001
59.6,cyp,1990
59.1,cyp,1991
58.4,cyp,1992
57.4,cyp,1993
57.2,cyp,1994
57.0,cyp,1995
57.2,cyp,1996
57.3,cyp,1997
59.2,cyp,1998
59.6,cyp,1999
60.6,cyp,2000
61.2,cyp,2001
62.2,cyp,2002
62.95,cyp,2003
63.0,cyp,2004
64.59,cyp,2005
65.05,cyp,2006
64.04,cyp,2007
64.61,cyp,2008
64.94,cyp,2009
100.0,cze,1990
100.0,cze,1991
100.0,cze,1992
100.0,cze,1993
100.0,cze,1994
100.0,cze,1995
100.0,cze,1996
100.0,cze,1998
100.0,cze,1999
100.0,cze,2000
100.0,cze,2001
100.0,cze,2002
100.0,cze,2003
100.0,cze,2004
100.0,dnk,1990
100.0,dnk,1991
100.0,dnk,1992
100.0,dnk,1993
100.0,dnk,1994
100.0,dnk,1995
100.0,dnk,1996
100.0,dnk,1997
100.0,dnk,1998
100.0,dnk,1999
100.0,dnk,2000
100.0,dnk,2001
100.0,dnk,2002
100.0,dnk,2003
100.0,dnk,2004
100.0,dnk,2005
100.0,dnk,2006
100.0,dnk,2007
100.0,dnk,2008
100.0,dnk,2009
45.0,dji,2000
45.0,dji,2001
45.6,dma,1990
46.5,dma,1991
47.4,dma,1992
48.4,dma,1993
49.3,dma,1994
50.3,dma,1995
50.4,dma,1996
50.4,dma,1997
50.4,dma,1998
50.4,dma,1999
50.4,dma,2000
50.4,dma,2001
44.7,dom,1990
45.5,dom,1991
46.5,dom,1992
47.4,dom,1993
48.3,dom,1994
49.3,dom,1995
49.4,dom,1996
49.4,dom,1999
49.4,dom,2000
49.4,dom,2001
13.4,ecu,1990
13.6,ecu,1991
14.0,ecu,1992
14.2,ecu,1993
12.7,ecu,1995
13.3,ecu,1996
18.9,ecu,1997
18.9,ecu,1998
18.9,ecu,1999
18.9,ecu,2000
16.87,ecu,2001
16.87,ecu,2002
14.94,ecu,2003
14.97,ecu,2004
14.82,ecu,2006
14.82,ecu,2007
72.0,egy,1990
72.0,egy,1991
73.0,egy,1992
72.0,egy,1993
75.0,egy,1994
78.0,egy,1995
78.1,egy,1996
78.1,egy,1997
78.1,egy,1998
78.1,egy,1999
78.1,egy,2000
81.0,egy,2004
86.89,egy,2008
89.36,egy,2009
14.4,slv,1990
14.2,slv,1991
14.2,slv,1992
19.9,slv,1993
20.0,slv,1994
20.0,slv,1995
19.9,slv,1996
19.8,slv,1997
19.8,slv,1998
19.8,slv,1999
19.8,slv,2000
19.8,slv,2001
19.4,eri,1990
19.8,eri,1991
20.2,eri,1992
20.6,eri,1993
21.0,eri,1994
21.4,eri,1995
21.8,eri,1996
21.8,eri,1997
21.8,eri,1998
