geo,infectious_tb_number_of_new_cases_estimated,time
afg,9586,1990
afg,10240,1991
afg,11120,1992
afg,12120,1993
afg,13060,1994
afg,13820,1995
afg,14370,1996
afg,14750,1997
afg,15020,1998
afg,15310,1999
afg,15700,2000
afg,16220,2001
afg,16820,2002
afg,17500,2003
afg,18230,2004
afg,18980,2005
afg,19750,2006
afg,20550,2007
alb,369,1990
alb,362,1991
alb,367,1992
alb,381,1993
alb,377,1994
alb,388,1995
alb,378,1996
alb,388,1997
alb,387,1998
alb,377,1999
alb,352,2000
alb,326,2001
alb,315,2002
alb,313,2003
alb,297,2004
alb,283,2005
alb,263,2006
alb,242,2007
dza,4270,1990
dza,4483,1991
dza,4704,1992
dza,4929,1993
dza,5157,1994
dza,5386,1995
dza,5613,1996
dza,5840,1997
dza,6068,1998
dza,6302,1999
dza,6544,2000
dza,6798,2001
dza,7063,2002
dza,7341,2003
dza,7631,2004
dza,7933,2005
dza,8249,2006
dza,8577,2007
asm,5,1990
asm,2,1991
asm,1,1992
asm,1,1993
asm,4,1994
asm,3,1995
asm,0,1996
asm,7,1997
asm,2,1998
asm,3,1999
asm,2,2000
asm,2,2001
asm,1,2002
asm,2,2003
asm,2,2004
asm,3,2005
asm,3,2006
asm,0,2007
and,8,1990
and,8,1991
and,8,1992
and,8,1993
and,8,1994
and,8,1995
and,8,1996
and,8,1997
and,7,1998
and,7,1999
and,7,2000
and,6,2001
and,7,2002
and,6,2003
and,6,2004
and,6,2005
and,6,2006
and,6,2007
ago,9676,1990
ago,10160,1991
ago,10680,1992
ago,11240,1993
ago,11800,1994
ago,12360,1995
ago,12900,1996
ago,13440,1997
ago,13990,1998
ago,14560,1999
ago,15190,2000
ago,15880,2001
ago,16630,2002
ago,17430,2003
ago,18280,2004
ago,19160,2005
ago,20080,2006
ago,21040,2007
aia,1,1990
aia,1,1991
aia,1,1992
aia,1,1993
aia,1,1994
aia,1,1995
aia,1,1996
aia,1,1997
aia,1,1998
aia,1,1999
aia,1,2000
aia,1,2001
aia,1,2002
aia,1,2003
aia,1,2004
aia,1,2005
aia,1,2006
aia,2,2007
atg,3,1990
atg,3,1991
atg,3,1992
atg,3,1993
atg,2,1994
atg,2,1995
atg,2,1996
atg,2,1997
atg,2,1998
atg,2,1999
atg,2,2000
atg,2,2001
atg,2,2002
atg,2,2003
atg,2,2004
atg,2,2005
atg,2,2006
atg,2,2007
arg,10650,1990
arg,10380,1991
arg,10110,1992
arg,9844,1993
arg,9583,1994
arg,9326,1995
arg,9074,1996
arg,8826,1997
arg,8582,1998
arg,8342,1999
arg,8106,2000
arg,7874,2001
arg,7645,2002
arg,7422,2003
arg,7206,2004
arg,6997,2005
arg,6796,2006
arg,6602,2007
arm,528,1990
arm,501,1991
arm,518,1992
arm,554,1993
arm,602,1994
arm,675,1995
arm,754,1996
arm,816,1997
arm,878,1998
arm,927,1999
arm,976,2000
arm,989,2001
arm,980,2002
arm,970,2003
arm,965,2004
arm,969,2005
arm,970,2006
arm,971,2007
aus,503,1990
aus,513,1991
aus,508,1992
aus,527,1993
aus,537,1994
aus,557,1995
aus,572,1996
aus,542,1997
aus,536,1998
aus,518,1999
aus,532,2000
aus,521,2001
aus,505,2002
aus,518,2003
aus,524,2004
aus,560,2005
aus,569,2006
aus,579,2007
aut,810,1990
aut,770,1991
aut,738,1992
aut,698,1993
aut,675,1994
aut,646,1995
aut,627,1996
aut,607,1997
aut,583,1998
aut,549,1999
aut,525,2000
aut,508,2001
aut,505,2002
aut,486,2003
aut,479,2004
aut,473,2005
aut,468,2006
aut,462,2007
aze,1146,1990
aze,1116,1991
aze,1194,1992
aze,1328,1993
