geo,population_aged_40_59_years_total_number,time
afg,1168000,1950
afg,1232000,1955
afg,1318000,1960
afg,1431000,1965
afg,1572000,1970
afg,1748000,1975
afg,1809000,1980
afg,1572000,1985
afg,1599000,1990
afg,2220000,1995
afg,2452000,2000
afg,2883000,2005
afg,3425000,2010
afg,4103000,2015
afg,4862000,2020
afg,5731000,2025
afg,6791000,2030
afg,8092000,2035
afg,9638000,2040
afg,11350000,2045
afg,13150000,2050
alb,174000,1950
alb,205000,1955
alb,231000,1960
alb,256000,1965
alb,302000,1970
alb,348000,1975
alb,419000,1980
alb,484000,1985
alb,539000,1990
alb,572000,1995
alb,630000,2000
alb,707000,2005
alb,763000,2010
alb,781000,2015
alb,763000,2020
alb,793000,2025
alb,863000,2030
alb,946000,2035
alb,996000,2040
alb,934000,2045
alb,843000,2050
dza,1330000,1950
dza,1406000,1955
dza,1473000,1960
dza,1502000,1965
dza,1643000,1970
dza,1973000,1975
dza,2388000,1980
dza,2634000,1985
dza,2982000,1990
dza,3570000,1995
dza,4314000,2000
dza,5481000,2005
dza,6798000,2010
dza,8097000,2015
dza,9620000,2020
dza,11230000,2025
dza,12520000,2030
dza,13320000,2035
dza,13120000,2040
dza,12590000,2045
dza,12340000,2050
ago,618000,1950
ago,665000,1955
ago,719000,1960
ago,769000,1965
ago,824000,1970
ago,892000,1975
ago,987000,1980
ago,1122000,1985
ago,1222000,1990
ago,1419000,1995
ago,1637000,2000
ago,1946000,2005
ago,2300000,2010
ago,2678000,2015
ago,3131000,2020
ago,3691000,2025
ago,4398000,2030
ago,5264000,2035
ago,6173000,2040
ago,7224000,2045
ago,8231000,2050
arg,3530000,1950
arg,4025000,1955
arg,4455000,1960
arg,4895000,1965
arg,5316000,1970
arg,5668000,1975
arg,5889000,1980
arg,6119000,1985
arg,6485000,1990
arg,7003000,1995
arg,7619000,2000
arg,8177000,2005
arg,8662000,2010
arg,9277000,2015
arg,10290000,2020
arg,11140000,2025
arg,11970000,2030
arg,12630000,2035
arg,12780000,2040
arg,12920000,2045
arg,13020000,2050
arm,225000,1950
arm,259000,1955
arm,264000,1960
arm,285000,1965
arm,386000,1970
arm,486000,1975
arm,639000,1980
arm,647000,1985
arm,637000,1990
arm,621000,1995
arm,647000,2000
arm,779000,2005
arm,809000,2010
arm,772000,2015
arm,726000,2020
arm,742000,2025
arm,852000,2030
arm,920000,2035
arm,882000,2040
arm,808000,2045
arm,725000,2050
abw,5000,1950
abw,6000,1955
abw,7000,1960
abw,8000,1965
abw,9000,1970
abw,10000,1975
