population_growth_annual_percent,geo,time
3.961,asm,1983
4.068,asm,1984
4.021,asm,1985
3.949,asm,1986
3.872,asm,1987
3.705,asm,1988
3.452,asm,1989
3.146,asm,1990
2.829,asm,1991
2.542,asm,1992
2.296,asm,1993
2.111,asm,1994
1.973,asm,1995
1.839,asm,1996
1.716,asm,1997
1.648,asm,1998
1.64,asm,1999
1.676,asm,2000
1.734,asm,2001
1.782,asm,2002
1.805,asm,2003
1.789,asm,2004
1.748,asm,2005
1.705,asm,2006
1.68,asm,2007
1.655,asm,2008
1.64,asm,2009
1.633,asm,2010
1.628,asm,2011
7.101,and,1960
6.931,and,1961
6.742,and,1962
6.537,and,1963
6.302,and,1964
6.069,and,1965
5.823,and,1966
5.604,and,1967
5.43,and,1968
5.31,and,1969
5.211,and,1970
5.167,and,1971
5.095,and,1972
4.915,and,1973
4.587,and,1974
4.218,and,1975
3.768,and,1976
3.433,and,1977
3.406,and,1978
3.765,and,1979
4.311,and,1980
4.96,and,1981
5.37,and,1982
5.284,and,1983
4.626,and,1984
3.678,and,1985
2.58,and,1986
1.734,and,1987
1.468,and,1988
1.981,and,1989
2.946,and,1990
4.126,and,1991
4.916,and,1992
4.903,and,1993
3.945,and,1994
2.485,and,1995
0.8128,and,1996
-0.4949,and,1997
-1.021,and,1998
-0.4071,and,1999
1.009,and,2000
2.681,and,2001
3.918,and,2002
4.475,and,2003
4.189,and,2004
3.39,and,2005
2.518,and,2006
1.88,and,2007
1.448,and,2008
1.323,and,2009
1.409,and,2010
1.521,and,2011
1.781,ago,1960
1.81,ago,1961
1.831,ago,1962
1.829,ago,1963
1.796,ago,1964
1.747,ago,1965
1.697,ago,1966
1.672,ago,1967
1.693,ago,1968
1.772,ago,1969
1.892,ago,1970
2.028,ago,1971
2.158,ago,1972
2.28,ago,1973
2.385,ago,1974
2.481,ago,1975
2.55,ago,1976
2.626,ago,1977
2.754,ago,1978
2.949,ago,1979
3.168,ago,1980
3.41,ago,1981
3.584,ago,1982
3.596,ago,1983
3.415,ago,1984
3.125,ago,1985
2.795,ago,1986
2.544,ago,1987
2.447,ago,1988
2.548,ago,1989
2.771,ago,1990
3.035,ago,1991
3.227,ago,1992
3.297,ago,1993
3.212,ago,1994
3.037,ago,1995
2.831,ago,1996
2.69,ago,1997
2.669,ago,1998
2.802,ago,1999
3.024,ago,2000
3.263,ago,2001
3.431,ago,2002
3.494,ago,2003
3.426,ago,2004
3.277,ago,2005
3.113,ago,2006
2.983,ago,2007
2.883,ago,2008
2.827,ago,2009
2.8,ago,2010
2.773,ago,2011
1.011,atg,1960
1.365,atg,1961
1.707,atg,1962
1.95,atg,1963
2.034,atg,1964
2.01,atg,1965
1.966,atg,1966
1.937,atg,1967
1.871,atg,1968
1.762,atg,1969
1.628,atg,1970
1.464,atg,1971
1.291,atg,1972
1.125,atg,1973
0.9721,atg,1974
0.8274,atg,1975
0.7034,atg,1976
0.5577,atg,1977
0.3295,atg,1978
-0.01134,atg,1979
-0.422,atg,1980
-0.8422,atg,1981
-1.208,atg,1982
-1.48,atg,1983
-1.622,atg,1984
-1.643,atg,1985
-1.652,atg,1986
-1.607,atg,1987
-1.333,atg,1988
-0.7641,atg,1989
0.01608,atg,1990
0.8835,atg,1991
1.656,atg,1992
2.226,atg,1993
2.508,atg,1994
2.578,atg,1995
2.6,atg,1996
2.623,atg,1997
2.55,atg,1998
2.391,atg,1999
2.175,atg,2000
1.925,atg,2001
1.681,atg,2002
1.491,atg,2003
1.364,atg,2004
1.293,atg,2005
1.227,atg,2006
1.15,atg,2007
1.095,atg,2008
1.054,atg,2009
1.029,atg,2010
1.012,atg,2011
1.637,arg,1960
1.614,arg,1961
1.592,arg,1962
1.564,arg,1963
1.529,arg,1964
1.492,arg,1965
1.449,arg,1966
1.417,arg,1967
1.42,arg,1968
1.467,arg,1969
1.539,arg,1970
1.624,arg,1971
1.692,arg,1972
1.721,arg,1973
1.698,arg,1974
1.641,arg,1975
1.575,arg,1976
1.523,arg,1977
1.49,arg,1978
1.486,arg,1979
1.501,arg,1980
1.519,arg,1981
1.527,arg,1982
1.529,arg,1983
1.522,arg,1984
1.509,arg,1985
1.494,arg,1986
1.478,arg,1987
1.458,arg,1988
1.433,arg,1989
1.405,arg,1990
1.373,arg,1991
1.34,arg,1992
1.309,arg,1993
1.282,arg,1994
1.255,arg,1995
1.232,arg,1996
1.205,arg,1997
1.168,arg,1998
1.118,arg,1999
1.061,arg,2000
1.001,arg,2001
0.9478,arg,2002
0.9091,arg,2003
0.8895,arg,2004
0.8839,arg,2005
0.882,arg,2006
0.8782,arg,2007
0.8756,arg,2008
0.8729,arg,2009
0.8696,arg,2010
0.8677,arg,2011
3.555,arm,1960
3.517,arm,1961
3.452,arm,1962
3.352,arm,1963
3.218,arm,1964
3.064,arm,1965
2.898,arm,1966
2.745,arm,1967
2.624,arm,1968
2.545,arm,1969
2.494,arm,1970
2.451,arm,1971
2.395,arm,1972
2.323,arm,1973
2.226,arm,1974
2.116,arm,1975
2.003,arm,1976
1.902,arm,1977
1.814,arm,1978
1.743,arm,1979
1.685,arm,1980
1.589,arm,1981
1.483,arm,1982
1.441,arm,1983
1.482,arm,1984
1.556,arm,1985
1.703,arm,1986
1.767,arm,1987
1.532,arm,1988
0.9154,arm,1989
0.05573,arm,1990
-0.9252,arm,1991
-1.784,arm,1992
-2.333,arm,1993
-2.397,arm,1994
-2.069,arm,1995
-1.595,arm,1996
-1.184,arm,1997
-0.8243,arm,1998
-0.5961,arm,1999
-0.4711,arm,2000
-0.335,arm,2001
-0.1548,arm,2002
-0.01676,arm,2003
0.06722,arm,2004
0.1091,arm,2005
0.1268,arm,2006
0.1412,arm,2007
0.1595,arm,2008
0.1912,arm,2009
0.2297,arm,2010
0.2637,arm,2011
3.135,abw,1960
2.238,abw,1961
1.417,abw,1962
0.8342,abw,1963
0.5856,abw,1964
0.5787,abw,1965
0.6118,abw,1966
0.5839,abw,1967
0.5771,abw,1968
0.5755,abw,1969
0.579,abw,1970
0.6295,abw,1971
0.6874,abw,1972
0.6479,abw,1973
0.4737,abw,1974
0.2146,abw,1975
-0.1072,abw,1976
-0.3687,abw,1977
-0.4283,abw,1978
-0.2132,abw,1979
0.1982,abw,1980
0.7807,abw,1981
1.275,abw,1982
1.394,abw,1983
0.9997,abw,1984
0.313,abw,1985
-0.6127,abw,1986
-1.31,abw,1987
-1.238,abw,1988
-0.07044,abw,1989
1.82,abw,1990
3.936,abw,1991
5.484,abw,1992
6.089,abw,1993
5.612,abw,1994
4.535,abw,1995
3.362,abw,1996
2.487,abw,1997
1.937,abw,1998
1.843,abw,1999
2.047,abw,2000
2.291,abw,2001
2.389,abw,2002
2.381,abw,2003
2.216,abw,2004
1.95,abw,2005
1.684,abw,2006
1.463,abw,2007
1.241,abw,2008
1.024,abw,2009
0.8183,abw,2010
0.6057,abw,2011
2.267,aus,1960
1.99,aus,1961
2.441,aus,1962
1.918,aus,1963
1.962,aus,1964
1.96,aus,1965
2.283,aus,1966
1.262,aus,1967
1.764,aus,1968
2.093,aus,1969
1.97,aus,1970
3.38,aus,1971
1.838,aus,1972
1.529,aus,1973
2.531,aus,1974
1.231,aus,1975
1.003,aus,1976
1.127,aus,1977
1.163,aus,1978
1.081,aus,1979
1.219,aus,1980
1.587,aus,1981
1.668,aus,1982
1.251,aus,1983
1.132,aus,1984
1.367,aus,1985
1.639,aus,1986
1.521,aus,1987
1.636,aus,1988
1.693,aus,1989
1.48,aus,1990
1.275,aus,1991
1.219,aus,1992
0.9856,aus,1993
1.062,aus,1994
1.215,aus,1995
1.322,aus,1996
1.13,aus,1997
1.046,aus,1998
1.147,aus,1999
1.202,aus,2000
1.348,aus,2001
1.221,aus,2002
1.234,aus,2003
1.159,aus,2004
1.32,aus,2005
1.475,aus,2006
1.52,aus,2007
2.001,aus,2008
2.086,aus,2009
1.573,aus,2010
1.428,aus,2011
0.5108,aut,1960
0.5485,aut,1961
0.6129,aut,1962
0.6424,aut,1963
0.6665,aut,1964
0.6497,aut,1965
0.7014,aut,1966
0.7474,aut,1967
0.5193,aut,1968
0.3453,aut,1969
0.3492,aut,1970
0.4462,aut,1971
0.5812,aut,1972
0.554,aut,1973
0.1702,aut,1974
-0.2653,aut,1975
-0.1767,aut,1976
0.03839,aut,1977
-0.08096,aut,1978
-0.1705,aut,1979
0.000106,aut,1980
0.255,aut,1981
0.07172,aut,1982
-0.1616,aut,1983
-0.006295,aut,1984
0.04695,aut,1985
0.06355,aut,1986
0.06328,aut,1987
0.1416,aut,1988
0.4505,aut,1989
0.762,aut,1990
0.9984,aut,1991
1.101,aut,1992
0.8246,aut,1993
0.3849,aut,1994
0.1531,aut,1995
0.135,aut,1996
0.1133,aut,1997
0.1097,aut,1998
0.1946,aut,1999
0.2405,aut,2000
0.3828,aut,2001
0.492,aut,2002
0.4871,aut,2003
0.6204,aut,2004
0.6813,aut,2005
0.4948,aut,2006
0.388,aut,2007
0.4344,aut,2008
0.3395,aut,2009
0.2924,aut,2010
0.3478,aut,2011
3.271,aze,1960
3.33,aze,1961
3.347,aze,1962
3.293,aze,1963
3.156,aze,1964
2.968,aze,1965
2.769,aze,1966
2.589,aze,1967
2.429,aze,1968
2.299,aze,1969
2.191,aze,1970
2.09,aze,1971
1.99,aze,1972
1.897,aze,1973
1.813,aze,1974
1.737,aze,1975
1.706,aze,1976
1.638,aze,1977
1.591,aze,1978
1.63,aze,1979
1.487,aze,1980
1.593,aze,1981
1.536,aze,1982
1.544,aze,1983
1.566,aze,1984
1.602,aze,1985
1.636,aze,1986
1.668,aze,1987
1.598,aze,1988
1.15,aze,1989
1.039,aze,1990
1.552,aze,1991
1.515,aze,1992
1.519,aze,1993
1.352,aze,1994
1.152,aze,1995
1.01,aze,1996
0.9615,aze,1997
0.9523,aze,1998
0.8807,aze,1999
0.8176,aze,2000
0.7749,aze,2001
0.7462,aze,2002
0.7576,aze,2003
0.875,aze,2004
1.022,aze,2005
1.099,aze,2006
1.134,aze,2007
2.1,aze,2008
2.076,aze,2009
1.19,aze,2010
1.248,aze,2011
4.789,bhs,1960
4.973,bhs,1961
5.063,bhs,1962
5.033,bhs,1963
4.881,bhs,1964
4.643,bhs,1965
4.411,bhs,1966
4.177,bhs,1967
3.869,bhs,1968
3.481,bhs,1969
3.06,bhs,1970
2.627,bhs,1971
2.26,bhs,1972
2.027,bhs,1973
1.965,bhs,1974
2.021,bhs,1975
2.104,bhs,1976
2.157,bhs,1977
2.2,bhs,1978
2.217,bhs,1979
2.213,bhs,1980
2.221,bhs,1981
2.231,bhs,1982
2.199,bhs,1983
2.117,bhs,1984
2.004,bhs,1985
1.874,bhs,1986
1.761,bhs,1987
1.701,bhs,1988
1.708,bhs,1989
1.755,bhs,1990
1.825,bhs,1991
1.867,bhs,1992
1.842,bhs,1993
1.73,bhs,1994
1.566,bhs,1995
1.385,bhs,1996
1.24,bhs,1997
1.161,bhs,1998
1.169,bhs,1999
1.238,bhs,2000
1.32,bhs,2001
1.381,bhs,2002
1.429,bhs,2003
1.452,bhs,2004
1.457,bhs,2005
1.463,bhs,2006
1.469,bhs,2007
1.449,bhs,2008
1.398,bhs,2009
1.327,bhs,2010
1.246,bhs,2011
3.501,bhr,1960
3.255,bhr,1961
3.014,bhr,1962
2.791,bhr,1963
2.598,bhr,1964
2.454,bhr,1965
2.325,bhr,1966
2.269,bhr,1967
2.384,bhr,1968
2.702,bhr,1969
3.158,bhr,1970
3.549,bhr,1971
3.897,bhr,1972
4.377,bhr,1973
4.995,bhr,1974
5.614,bhr,1975
6.244,bhr,1976
6.619,bhr,1977
6.481,bhr,1978
5.805,bhr,1979
4.859,bhr,1980
3.868,bhr,1981
3.099,bhr,1982
2.668,bhr,1983
2.67,bhr,1984
2.945,bhr,1985
3.283,bhr,1986
3.489,bhr,1987
3.533,bhr,1988
3.364,bhr,1989
3.069,bhr,1990
2.76,bhr,1991
2.535,bhr,1992
2.408,bhr,1993
2.407,bhr,1994
2.488,bhr,1995
2.795,bhr,1996
3.095,bhr,1997
3.031,bhr,1998
2.509,bhr,1999
1.807,bhr,2000
0.6742,bhr,2001
-0.0685,bhr,2002
0.7902,bhr,2003
3.73,bhr,2004
7.6,bhr,2005
11.29,bhr,2006
13.18,bhr,2007
12.82,bhr,2008
10.56,bhr,2009
7.592,bhr,2010
4.774,bhr,2011
2.878,bgd,1960
2.813,bgd,1961
2.767,bgd,1962
2.787,bgd,1963
2.889,bgd,1964
3.023,bgd,1965
3.217,bgd,1966
3.331,bgd,1967
3.191,bgd,1968
2.742,bgd,1969
2.126,bgd,1970
1.437,bgd,1971
0.8987,bgd,1972
0.6864,bgd,1973
0.9157,bgd,1974
1.448,bgd,1975
2.064,bgd,1976
2.551,bgd,1977
2.868,bgd,1978
2.949,bgd,1979
2.871,bgd,1980
2.764,bgd,1981
2.705,bgd,1982
2.669,bgd,1983
2.672,bgd,1984
2.696,bgd,1985
2.717,bgd,1986
2.709,bgd,1987
2.667,bgd,1988
2.584,bgd,1989
2.476,bgd,1990
2.359,bgd,1991
2.254,bgd,1992
2.172,bgd,1993
2.12,bgd,1994
2.088,bgd,1995
2.057,bgd,1996
2.016,bgd,1997
1.969,bgd,1998
1.914,bgd,1999
1.852,bgd,2000
1.799,bgd,2001
1.744,bgd,2002
1.661,bgd,2003
1.54,bgd,2004
1.4,bgd,2005
1.248,bgd,2006
1.12,bgd,2007
1.051,bgd,2008
1.061,bgd,2009
1.124,bgd,2010
1.204,bgd,2011
0.2529,brb,1960
0.3214,brb,1961
0.3948,brb,1962
0.4318,brb,1963
0.4099,brb,1964
0.3474,brb,1965
0.2721,brb,1966
0.2248,brb,1967
0.2243,brb,1968
0.2878,brb,1969
0.3931,brb,1970
0.5217,brb,1971
0.6251,brb,1972
0.6624,brb,1973
0.609,brb,1974
0.495,brb,1975
0.3564,brb,1976
0.2451,brb,1977
0.1864,brb,1978
0.2066,brb,1979
0.2797,brb,1980
0.3691,brb,1981
0.4367,brb,1982
0.4805,brb,1983
0.4857,brb,1984
0.4629,brb,1985
0.4365,brb,1986
0.4179,brb,1987
0.3963,brb,1988
0.3747,brb,1989
0.3524,brb,1990
0.327,brb,1991
0.3011,brb,1992
0.2864,brb,1993
0.2867,brb,1994
0.2962,brb,1995
0.3112,brb,1996
0.3215,brb,1997
0.3213,brb,1998
0.3067,brb,1999
0.2819,brb,2000
0.2542,brb,2001
0.2313,brb,2002
0.214,brb,2003
0.2069,brb,2004
0.2058,brb,2005
0.2064,brb,2006
0.2049,brb,2007
0.2067,brb,2008
0.2092,brb,2009
0.2128,brb,2010
0.2171,brb,2011
0.9774,blr,1960
0.8891,blr,1961
0.9711,blr,1962
1.016,blr,1963
1.026,blr,1964
1.001,blr,1965
0.9996,blr,1966
1.02,blr,1967
1.007,blr,1968
0.9616,blr,1969
0.8855,blr,1970
0.8325,blr,1971
0.8019,blr,1972
0.7406,blr,1973
0.6494,blr,1974
0.529,blr,1975
0.4686,blr,1976
0.551,blr,1977
0.653,blr,1978
0.6175,blr,1979
0.6137,blr,1980
0.6924,blr,1981
0.6774,blr,1982
0.683,blr,1983
0.6784,blr,1984
0.6538,blr,1985
0.6794,blr,1986
0.6748,blr,1987
0.2864,blr,1988
0.2954,blr,1989
0.1866,blr,1990
0.04906,blr,1991
0.2156,blr,1992
0.2249,blr,1993
-0.1173,blr,1994
-0.3232,blr,1995
-0.3341,blr,1996
-0.4241,blr,1997
-0.4756,blr,1998
-0.3382,blr,1999
-0.2994,blr,2000
-0.3478,blr,2001
-0.455,blr,2002
-0.5155,blr,2003
-0.5026,blr,2004
-0.4988,blr,2005
-0.4418,blr,2006
-0.3139,blr,2007
-1.036,blr,2008
-0.9943,blr,2009
-0.179,blr,2010
-0.1793,blr,2011
0.6577,bel,1960
0.3322,bel,1961
0.3981,bel,1962
0.7476,bel,1963
0.9465,bel,1964
0.9081,bel,1965
0.6755,bel,1966
0.5566,bel,1967
0.3934,bel,1968
0.2832,bel,1969
0.09861,bel,1970
0.1822,bel,1971
0.3916,bel,1972
0.3147,bel,1973
0.3146,bel,1974
0.289,bel,1975
0.1787,bel,1976
0.1235,bel,1977
0.0933,bel,1978
0.08988,bel,1979
0.1102,bel,1980
-0.002637,bel,1981
-0.02718,bel,1982
-0.007944,bel,1983
-0.001502,bel,1984
0.02979,bel,1985
0.03565,bel,1986
0.08525,bel,1987
0.3179,bel,1988
0.3632,bel,1989
0.2982,bel,1990
0.3716,bel,1991
0.4057,bel,1992
0.3906,bel,1993
0.3082,bel,1994
0.2094,bel,1995
0.1954,bel,1996
0.242,bel,1997
0.2135,bel,1998
0.2292,bel,1999
0.2425,bel,2000
0.344,bel,2001
0.4483,bel,2002
0.4186,bel,2003
0.4328,bel,2004
0.5501,bel,2005
0.6596,bel,2006
0.7343,bel,2007
0.79,bel,2008
0.8046,bel,2009
0.9155,bel,2010
1.025,bel,2011
3.093,blz,1960
3.45,blz,1961
3.574,blz,1962
3.543,blz,1963
3.306,blz,1964
2.959,blz,1965
2.663,blz,1966
2.402,blz,1967
2.142,blz,1968
1.889,blz,1969
1.661,blz,1970
1.447,blz,1971
1.219,blz,1972
1.175,blz,1973
1.394,blz,1974
1.766,blz,1975
2.106,blz,1976
2.454,blz,1977
2.682,blz,1978
2.727,blz,1979
2.664,blz,1980
2.631,blz,1981
2.605,blz,1982
2.019,blz,1983
3.133,blz,1984
2.57,blz,1985
2.496,blz,1986
2.778,blz,1987
2.592,blz,1988
1.873,blz,1989
3.117,blz,1990
2.611,blz,1991
2.545,blz,1992
2.971,blz,1993
2.885,blz,1994
2.573,blz,1995
2.509,blz,1996
3.54,blz,1997
3.629,blz,1998
1.91,blz,1999
2.719,blz,2000
2.958,blz,2001
3.024,blz,2002
3.155,blz,2003
3.2,blz,2004
3.204,blz,2005
3.232,blz,2006
3.301,blz,2007
3.346,blz,2008
3.388,blz,2009
3.393,blz,2010
3.394,blz,2011
1.197,ben,1960
1.293,ben,1961
1.383,ben,1962
1.465,ben,1963
1.539,ben,1964
1.606,ben,1965
1.67,ben,1966
1.734,ben,1967
1.806,ben,1968
1.886,ben,1969
1.972,ben,1970
2.056,ben,1971
2.136,ben,1972
2.212,ben,1973
2.284,ben,1974
2.351,ben,1975
2.415,ben,1976
2.475,ben,1977
2.531,ben,1978
2.582,ben,1979
2.628,ben,1980
2.681,ben,1981
2.73,ben,1982
2.759,ben,1983
2.762,ben,1984
2.755,ben,1985
2.724,ben,1986
2.712,ben,1987
2.77,ben,1988
2.915,ben,1989
3.105,ben,1990
3.316,ben,1991
3.471,ben,1992
3.505,ben,1993
3.394,ben,1994
3.199,ben,1995
2.978,ben,1996
2.813,ben,1997
2.744,ben,1998
2.8,ben,1999
2.932,ben,2000
3.075,ben,2001
3.172,ben,2002
3.219,ben,2003
3.2,ben,2004
3.137,ben,2005
3.069,ben,2006
3.014,ben,2007
2.956,ben,2008
2.899,ben,2009
2.844,ben,2010
2.786,ben,2011
1.351,bmu,1960
2.447,bmu,1961
2.389,bmu,1962
2.333,bmu,1963
2.485,bmu,1964
2.424,bmu,1965
1.78,bmu,1966
1.942,bmu,1967
1.905,bmu,1968
1.869,bmu,1969
1.835,bmu,1970
-0.7299,bmu,1971
-0.7353,bmu,1972
-0.7407,bmu,1973
-0.7463,bmu,1974
-0.7519,bmu,1975
0.3766,bmu,1976
0.3752,bmu,1977
0.3738,bmu,1978
0.3724,bmu,1979
0.3711,bmu,1980
0.738,bmu,1981
0.7326,bmu,1982
0.7273,bmu,1983
0.722,bmu,1984
0.7168,bmu,1985
1.594,bmu,1986
1.569,bmu,1987
1.545,bmu,1988
1.522,bmu,1989
1.499,bmu,1990
0.823,bmu,1991
0.0,bmu,1992
0.0,bmu,1993
0.4906,bmu,1994
0.6504,bmu,1995
0.1393,bmu,1996
0.1393,bmu,1997
0.1393,bmu,1998
0.1393,bmu,1999
0.1393,bmu,2000
0.6441,bmu,2001
0.48,bmu,2002
0.3185,bmu,2003
0.4762,bmu,2004
0.4739,bmu,2005
0.3145,bmu,2006
0.3135,bmu,2007
0.3125,bmu,2008
0.3115,bmu,2009
-0.2531,bmu,2010
0.7208,bmu,2011
2.627,btn,1960
2.623,btn,1961
2.638,btn,1962
2.673,btn,1963
2.728,btn,1964
2.8,btn,1965
2.864,btn,1966
2.936,btn,1967
3.053,btn,1968
3.223,btn,1969
3.414,btn,1970
3.595,btn,1971
3.728,btn,1972
3.792,btn,1973
3.78,btn,1974
3.709,btn,1975
3.636,btn,1976
3.56,btn,1977
3.432,btn,1978
3.25,btn,1979
3.041,btn,1980
2.752,btn,1981
2.487,btn,1982
2.403,btn,1983
2.552,btn,1984
2.811,btn,1985
3.207,btn,1986
3.437,btn,1987
3.152,btn,1988
2.237,btn,1989
0.9613,btn,1990
-0.4941,btn,1991
-1.704,btn,1992
-2.307,btn,1993
-1.982,btn,1994
-0.9276,btn,1995
0.3744,btn,1996
1.467,btn,1997
2.299,btn,1998
2.714,btn,1999
2.82,btn,2000
2.896,btn,2001
3.011,btn,2002
2.992,btn,2003
2.837,btn,2004
2.596,btn,2005
2.307,btn,2006
2.039,btn,2007
1.839,btn,2008
1.739,btn,2009
1.705,btn,2010
1.684,btn,2011
2.211,bol,1960
2.219,bol,1961
2.227,bol,1962
2.238,bol,1963
2.254,bol,1964
2.273,bol,1965
2.288,bol,1966
2.303,bol,1967
2.323,bol,1968
2.352,bol,1969
2.383,bol,1970
2.413,bol,1971
2.434,bol,1972
2.444,bol,1973
2.438,bol,1974
2.421,bol,1975
2.406,bol,1976
2.389,bol,1977
2.356,bol,1978
2.307,bol,1979
2.249,bol,1980
2.187,bol,1981
2.138,bol,1982
2.113,bol,1983
2.119,bol,1984
2.146,bol,1985
2.175,bol,1986
2.197,bol,1987
2.224,bol,1988
2.252,bol,1989
2.279,bol,1990
2.307,bol,1991
2.326,bol,1992
2.325,bol,1993
2.299,bol,1994
2.257,bol,1995
2.207,bol,1996
2.159,bol,1997
2.116,bol,1998
2.08,bol,1999
2.049,bol,2000
2.019,bol,2001
1.985,bol,2002
1.939,bol,2003
1.877,bol,2004
1.806,bol,2005
1.734,bol,2006
1.671,bol,2007
1.624,bol,2008
1.598,bol,2009
1.588,bol,2010
1.581,bol,2011
1.437,bih,1960
1.417,bih,1961
1.391,bih,1962
1.344,bih,1963
1.264,bih,1964
1.167,bih,1965
1.062,bih,1966
0.9751,bih,1967
0.9236,bih,1968
0.9193,bih,1969
0.9474,bih,1970
0.9909,bih,1971
1.024,bih,1972
1.031,bih,1973
1.003,bih,1974
0.9505,bih,1975
0.8887,bih,1976
0.8428,bih,1977
0.8299,bih,1978
0.8617,bih,1979
0.9225,bih,1980
0.915,bih,1981
0.876,bih,1982
0.9326,bih,1983
1.116,bih,1984
1.34,bih,1985
1.75,bih,1986
2.012,bih,1987
1.624,bih,1988
0.3989,bih,1989
-1.357,bih,1990
-3.561,bih,1991
-5.592,bih,1992
-6.679,bih,1993
-6.034,bih,1994
-3.825,bih,1995
-0.7962,bih,1996
1.797,bih,1997
3.35,bih,1998
3.422,bih,1999
2.529,bih,2000
1.469,bih,2001
0.7313,bih,2002
0.1808,bih,2003
-0.03593,bih,2004
-0.009441,bih,2005
0.01552,bih,2006
-0.06756,bih,2007
-0.129,bih,2008
-0.1719,bih,2009
-0.2002,bih,2010
-0.2109,bih,2011
2.272,bwa,1960
2.366,bwa,1961
2.469,bwa,1962
2.571,bwa,1963
2.665,bwa,1964
2.754,bwa,1965
2.847,bwa,1966
2.946,bwa,1967
3.035,bwa,1968
3.113,bwa,1969
3.183,bwa,1970
3.235,bwa,1971
3.29,bwa,1972
3.379,bwa,1973
3.51,bwa,1974
3.656,bwa,1975
3.8,bwa,1976
3.899,bwa,1977
3.923,bwa,1978
3.862,bwa,1979
3.746,bwa,1980
3.616,bwa,1981
3.503,bwa,1982
3.409,bwa,1983
3.344,bwa,1984
3.297,bwa,1985
3.243,bwa,1986
3.177,bwa,1987
3.115,bwa,1988
3.057,bwa,1989
2.998,bwa,1990
2.937,bwa,1991
2.864,bwa,1992
2.768,bwa,1993
2.646,bwa,1994
2.505,bwa,1995
2.372,bwa,1996
2.243,bwa,1997
2.089,bwa,1998
1.904,bwa,1999
1.707,bwa,2000
1.498,bwa,2001
1.317,bwa,2002
1.211,bwa,2003
1.201,bwa,2004
1.257,bwa,2005
1.336,bwa,2006
1.391,bwa,2007
1.405,bwa,2008
1.359,bwa,2009
1.272,bwa,2010
1.179,bwa,2011
2.957,bra,1960
3.001,bra,1961
3.027,bra,1962
3.011,bra,1963
2.944,bra,1964
2.845,bra,1965
2.742,bra,1966
2.654,bra,1967
2.579,bra,1968
2.521,bra,1969
2.477,bra,1970
2.434,bra,1971
2.392,bra,1972
2.366,bra,1973
2.356,bra,1974
2.357,bra,1975
2.357,bra,1976
2.352,bra,1977
2.349,bra,1978
2.346,bra,1979
2.341,bra,1980
2.336,bra,1981
2.322,bra,1982
2.283,bra,1983
2.214,bra,1984
2.126,bra,1985
2.036,bra,1986
1.953,bra,1987
1.872,bra,1988
1.796,bra,1989
1.726,bra,1990
1.655,bra,1991
1.588,bra,1992
1.543,bra,1993
1.525,bra,1994
1.525,bra,1995
1.529,bra,1996
1.526,bra,1997
1.511,bra,1998
1.48,bra,1999
1.437,bra,2000
1.396,bra,2001
1.354,bra,2002
1.299,bra,2003
1.226,bra,2004
1.143,bra,2005
1.054,bra,2006
0.9741,bra,2007
0.9153,bra,2008
0.8854,bra,2009
0.8758,bra,2010
0.8726,bra,2011
4.497,brn,1960
4.424,brn,1961
4.377,brn,1962
4.371,brn,1963
4.406,brn,1964
4.463,brn,1965
4.512,brn,1966
4.541,brn,1967
4.574,brn,1968
4.602,brn,1969
4.62,brn,1970
4.626,brn,1971
4.603,brn,1972
4.537,brn,1973
4.423,brn,1974
4.277,brn,1975
4.136,brn,1976
3.998,brn,1977
3.825,brn,1978
3.616,brn,1979
3.392,brn,1980
3.168,brn,1981
2.978,brn,1982
2.851,brn,1983
2.799,brn,1984
2.8,brn,1985
2.808,brn,1986
2.806,brn,1987
2.811,brn,1988
2.816,brn,1989
2.821,brn,1990
2.828,brn,1991
2.827,brn,1992
2.8,brn,1993
2.743,brn,1994
2.664,brn,1995
2.582,brn,1996
2.505,brn,1997
2.428,brn,1998
2.354,brn,1999
2.283,brn,2000
2.211,brn,2001
2.141,brn,2002
2.082,brn,2003
2.036,brn,2004
1.997,brn,2005
1.962,brn,2006
1.925,brn,2007
1.885,brn,2008
1.84,brn,2009
1.791,brn,2010
1.744,brn,2011
0.9529,bgr,1960
0.9582,bgr,1961
0.8753,bgr,1962
0.8104,bgr,1963
0.8161,bgr,1964
0.7319,bgr,1965
0.6547,bgr,1966
0.6297,bgr,1967
0.712,bgr,1968
0.7685,bgr,1969
0.6547,bgr,1970
0.55,bgr,1971
0.4652,bgr,1972
0.5206,bgr,1973
0.668,bgr,1974
0.4827,bgr,1975
0.4332,bgr,1976
0.5191,bgr,1977
0.1118,bgr,1978
0.135,bgr,1979
0.4025,bgr,1980
0.3333,bgr,1981
0.2958,bgr,1982
0.2495,bgr,1983
0.234,bgr,1984
-0.001473,bgr,1985
-0.02652,bgr,1986
0.1471,bgr,1987
0.1124,bgr,1988
-1.17,bgr,1989
-1.804,bgr,1990
-0.9904,bgr,1991
-1.074,bgr,1992
-0.7977,bgr,1993
-0.3396,bgr,1994
-0.4454,bgr,1995
-0.5157,bgr,1996
-0.6088,bgr,1997
-0.6673,bgr,1998
-0.5606,bgr,1999
-0.4939,bgr,2000
-1.852,bgr,2001
-1.911,bgr,2002
-0.5724,bgr,2003
-0.5434,bgr,2004
-0.5317,bgr,2005
-0.5296,bgr,2006
-0.5112,bgr,2007
-0.4759,bgr,2008
