art_coverage_percent_cd4_l_350,geo,time
1,afg,2009
3,afg,2010
6,afg,2011
0,dza,2004
12,dza,2005
15,dza,2006
21,dza,2007
21,dza,2008
25,dza,2009
5,ago,2004
4,ago,2005
9,ago,2006
15,ago,2007
17,ago,2008
27,ago,2009
32,ago,2010
36,ago,2011
66,arg,2004
63,arg,2005
69,arg,2006
71,arg,2007
70,arg,2008
81,arg,2009
77,arg,2010
79,arg,2011
0,arm,2004
5,arm,2005
7,arm,2006
11,arm,2007
14,arm,2008
12,arm,2009
16,arm,2010
22,arm,2011
0,aze,2004
0,aze,2005
1,aze,2006
9,aze,2007
16,aze,2008
11,aze,2009
19,aze,2010
28,aze,2011
1,bgd,2004
1,bgd,2005
8,bgd,2006
18,bgd,2007
23,bgd,2008
22,bgd,2009
24,bgd,2010
31,bgd,2011
1,blr,2004
4,blr,2005
16,blr,2006
19,blr,2007
24,blr,2008
28,blr,2009
36,blr,2010
40,blr,2011
11,blz,2004
10,blz,2005
24,blz,2006
29,blz,2007
31,blz,2008
45,blz,2009
51,blz,2010
62,blz,2011
8,ben,2004
19,ben,2005
30,ben,2006
36,ben,2007
44,ben,2008
53,ben,2009
58,ben,2010
61,ben,2011
10,btn,2004
8,btn,2005
21,btn,2006
15,btn,2007
19,btn,2008
19,btn,2009
27,btn,2010
24,btn,2011
2,bol,2004
5,bol,2005
7,bol,2006
8,bol,2007
13,bol,2008
13,bol,2009
15,bol,2010
15,bol,2011
29,bwa,2004
45,bwa,2005
56,bwa,2006
61,bwa,2007
72,bwa,2008
90,bwa,2009
93,bwa,2010
92,bwa,2011
61,bra,2004
65,bra,2005
62,bra,2006
61,bra,2007
62,bra,2008
64,bra,2009
67,bra,2010
71,bra,2011
12,bgr,2004
21,bgr,2005
19,bgr,2006
19,bgr,2007
20,bgr,2008
26,bgr,2009
23,bgr,2010
25,bgr,2011
4,bfa,2004
12,bfa,2005
22,bfa,2006
27,bfa,2007
35,bfa,2008
44,bfa,2009
50,bfa,2010
57,bfa,2011
4,bdi,2004
8,bdi,2005
9,bdi,2006
12,bdi,2007
16,bdi,2008
35,bdi,2009
45,bdi,2010
54,bdi,2011
12,khm,2004
29,khm,2005
49,khm,2006
65,khm,2007
80,khm,2008
91,khm,2009
92,khm,2010
92,khm,2011
6,cmr,2004
10,cmr,2005
12,cmr,2006
18,cmr,2007
23,cmr,2008
33,cmr,2009
36,cmr,2010
41,cmr,2011
44,cpv,2009
41,cpv,2010
46,cpv,2011
1,caf,2004
2,caf,2005
3,caf,2006
12,caf,2007
14,caf,2008
23,caf,2009
24,caf,2010
22,caf,2011
0,tcd,2004
8,tcd,2005
7,tcd,2006
9,tcd,2007
21,tcd,2008
39,tcd,2009
36,tcd,2010
34,tcd,2011
49,chl,2004
50,chl,2005
50,chl,2006
59,chl,2007
58,chl,2008
59,chl,2009
57,chl,2010
66,chl,2011
12,col,2004
13,col,2005
17,col,2006
21,col,2007
18,col,2008
25,col,2009
45,col,2010
46,col,2011
95,com,2004
95,com,2005
11,com,2006
13,com,2007
13,com,2008
15,com,2009
19,com,2010
19,com,2011
1,cog,2004
9,cog,2005
10,cog,2006
15,cog,2007
28,cog,2008
24,cog,2009
41,cog,2010
44,cog,2011
95,cri,2004
95,cri,2005
95,cri,2006
84,cri,2007
73,cri,2008
68,cri,2009
68,cri,2010
73,cri,2011
2,civ,2004
6,civ,2005
13,civ,2006
14,civ,2007
19,civ,2008
37,civ,2009
37,civ,2010
41,civ,2011
61,hrv,2004
65,hrv,2005
69,hrv,2006
69,hrv,2007
78,hrv,2008
95,cub,2004
95,cub,2005
83,cub,2006
95,cub,2007
95,cub,2008
92,cub,2009
92,cub,2010
92,cub,2011
4,dji,2004
6,dji,2005
10,dji,2006
11,dji,2007
13,dji,2008
19,dji,2009
20,dji,2010
27,dji,2011
4,dom,2004
10,dom,2005
19,dom,2006
31,dom,2007
40,dom,2008
60,dom,2009
70,dom,2010
80,dom,2011
6,ecu,2004
9,ecu,2005
10,ecu,2006
18,ecu,2007
21,ecu,2008
36,ecu,2009
57,ecu,2010
68,ecu,2011
4,egy,2004
13,egy,2005
10,egy,2006
9,egy,2007
10,egy,2008
10,egy,2009
15,egy,2010
21,egy,2011
17,slv,2004
23,slv,2005
35,slv,2006
40,slv,2007
47,slv,2008
92,slv,2009
68,slv,2010
72,slv,2011
0,gnq,2004
0,gnq,2005
10,gnq,2006
20,gnq,2007
15,gnq,2008
0,eri,2004
4,eri,2005
9,eri,2006
10,eri,2007
32,eri,2008
43,eri,2009
43,eri,2010
49,eri,2011
36,eth,2009
47,eth,2010
56,eth,2011
0,fji,2004
0,fji,2005
0,fji,2006
22,fji,2007
26,fji,2008
93,fji,2009
83,fji,2010
87,fji,2011
12,gab,2004
12,gab,2005
29,gab,2006
33,gab,2007
38,gab,2008
48,gab,2009
52,gab,2010
53,gab,2011
8,gmb,2004
6,gmb,2005
14,gmb,2006
12,gmb,2007
18,gmb,2008
21,gmb,2009
38,gmb,2010
54,gmb,2011
16,geo,2004
24,geo,2005
41,geo,2006
46,geo,2007
57,geo,2008
63,geo,2009
66,geo,2010
76,geo,2011
2,gha,2004
4,gha,2005
8,gha,2006
10,gha,2007
17,gha,2008
28,gha,2009
36,gha,2010
47,gha,2011
30,gtm,2004
38,gtm,2005
36,gtm,2006
41,gtm,2007
46,gtm,2008
55,gtm,2009
56,gtm,2010
56,gtm,2011
3,gin,2004
6,gin,2005
13,gin,2006
15,gin,2007
25,gin,2008
43,gin,2009
54,gin,2010
58,gin,2011
0,gnb,2004
1,gnb,2005
5,gnb,2006
11,gnb,2007
21,gnb,2008
41,gnb,2009
46,gnb,2010
56,gnb,2011
13,guy,2004
33,guy,2005
46,guy,2006
61,guy,2007
80,guy,2008
72,guy,2009
75,guy,2010
82,guy,2011
5,hti,2004
11,hti,2005
14,hti,2006
24,hti,2007
33,hti,2008
48,hti,2009
50,hti,2010
58,hti,2011
14,hnd,2004
20,hnd,2005
22,hnd,2006
27,hnd,2007
30,hnd,2008
32,hnd,2009
37,hnd,2010
41,hnd,2011
16,hun,2004
21,hun,2005
22,hun,2006
23,hun,2007
28,hun,2008
27,hun,2009
39,idn,2004
23,idn,2005
20,idn,2006
17,idn,2007
19,idn,2008
24,idn,2009
24,idn,2010
24,idn,2011
3,irn,2004
2,irn,2005
2,irn,2006
3,irn,2007
2,irn,2008
4,irn,2009
5,irn,2010
7,irn,2011
3,jam,2004
10,jam,2005
18,jam,2006
24,jam,2007
29,jam,2008
50,jam,2009
54,jam,2010
60,jam,2011
1,kaz,2004
18,kaz,2005
17,kaz,2006
18,kaz,2007
