geo,all_forms_of_tb_existing_cases_per_100000_estimated,time
aze,91,1997
aze,100,1998
aze,106,1999
aze,113,2000
aze,117,2001
aze,99,2002
aze,109,2003
aze,90,2004
aze,85,2005
aze,86,2006
aze,86,2007
bhs,54,1990
bhs,53,1991
bhs,52,1992
bhs,52,1993
bhs,53,1994
bhs,54,1995
bhs,54,1996
bhs,54,1997
bhs,55,1998
bhs,46,1999
bhs,45,2000
bhs,45,2001
bhs,51,2002
bhs,51,2003
bhs,50,2004
bhs,50,2005
bhs,50,2006
bhs,51,2007
bhr,120,1990
bhr,113,1991
bhr,108,1992
bhr,101,1993
bhr,97,1994
bhr,92,1995
bhr,89,1996
bhr,86,1997
bhr,83,1998
bhr,67,1999
bhr,57,2000
bhr,56,2001
bhr,55,2002
bhr,53,2003
bhr,48,2004
bhr,45,2005
bhr,45,2006
bhr,60,2007
bgd,639,1990
bgd,623,1991
bgd,608,1992
bgd,594,1993
bgd,579,1994
bgd,576,1995
bgd,550,1996
bgd,535,1997
bgd,516,1998
bgd,492,1999
bgd,500,2000
bgd,491,2001
bgd,478,2002
bgd,458,2003
bgd,444,2004
bgd,416,2005
bgd,392,2006
bgd,387,2007
brb,8,1990
brb,8,1991
brb,7,1992
brb,7,1993
brb,6,1994
brb,6,1995
brb,6,1996
brb,6,1997
brb,5,1998
brb,5,1999
brb,5,2000
brb,4,2001
brb,4,2002
brb,4,2003
brb,4,2004
brb,4,2005
brb,3,2006
brb,3,2007
blr,62,1990
blr,54,1991
blr,59,1992
blr,62,1993
blr,75,1994
blr,82,1995
blr,91,1996
blr,98,1997
blr,109,1998
blr,113,1999
blr,110,2000
blr,100,2001
blr,89,2002
blr,68,2003
blr,68,2004
blr,68,2005
blr,69,2006
blr,69,2007
bel,16,1990
bel,15,1991
bel,15,1992
bel,15,1993
bel,15,1994
bel,14,1995
bel,13,1996
bel,13,1997
bel,12,1998
bel,12,1999
bel,12,2000
bel,13,2001
bel,12,2002
bel,11,2003
bel,11,2004
bel,11,2005
bel,10,2006
bel,9,2007
blz,65,1990
blz,64,1991
blz,62,1992
blz,59,1993
blz,57,1994
blz,55,1995
blz,37,1996
blz,41,1997
blz,53,1998
blz,53,1999
blz,39,2000
blz,36,2001
blz,36,2002
blz,40,2003
blz,42,2004
blz,38,2005
blz,41,2006
blz,46,2007
ben,140,1990
ben,138,1991
ben,135,1992
ben,132,1993
ben,129,1994
ben,125,1995
ben,127,1996
ben,129,1997
ben,130,1998
ben,128,1999
ben,128,2000
ben,129,2001
ben,137,2002
ben,139,2003
ben,134,2004
ben,135,2005
ben,134,2006
ben,135,2007
bmu,10,1990
bmu,10,1991
bmu,9,1992
bmu,9,1993
bmu,8,1994
bmu,8,1995
bmu,8,1996
bmu,8,1997
bmu,7,1998
bmu,7,1999
bmu,7,2000
bmu,6,2001
bmu,6,2002
bmu,6,2003
bmu,6,2004
bmu,6,2005
bmu,6,2006
bmu,6,2007
btn,924,1990
btn,862,1991
btn,804,1992
btn,750,1993
btn,699,1994
btn,651,1995
btn,620,1996
btn,597,1997
btn,551,1998
btn,538,1999
btn,515,2000
btn,512,2001
btn,472,2002
btn,460,2003
btn,443,2004
btn,412,2005
btn,406,2006
btn,363,2007
bol,377,1990
bol,362,1991
bol,347,1992
bol,333,1993
bol,320,1994
bol,306,1995
bol,271,1996
bol,264,1997
bol,254,1998
bol,248,1999
bol,238,2000
bol,229,2001
bol,223,2002
bol,218,2003
bol,211,2004
bol,205,2005
bol,202,2006
bol,198,2007
bih,160,1990
bih,156,1991
bih,154,1992
bih,150,1993
bih,143,1994
bih,134,1995
bih,131,1996
bih,125,1997
bih,96,1998
bih,80,1999
bih,70,2000
bih,63,2001
bih,66,2002
bih,63,2003
bih,55,2004
bih,58,2005
bih,58,2006
bih,55,2007
bwa,344,1990
bwa,355,1991
bwa,351,1992
bwa,349,1993
bwa,347,1994
bwa,349,1995
bwa,336,1996
bwa,349,1997
bwa,371,1998
bwa,413,1999
bwa,445,2000
bwa,497,2001
bwa,535,2002
bwa,586,2003
bwa,598,2004
bwa,599,2005
bwa,621,2006
bwa,622,2007
bra,124,1990
bra,119,1991
bra,114,1992
bra,109,1993
bra,104,1994
bra,100,1995
bra,97,1996
bra,93,1997
bra,88,1998
bra,86,1999
bra,83,2000
bra,80,2001
bra,77,2002
bra,72,2003
bra,63,2004
bra,60,2005
bra,56,2006
bra,60,2007
vgb,32,1990
vgb,30,1991
vgb,28,1992
vgb,26,1993
vgb,25,1994
vgb,23,1995
vgb,22,1996
vgb,21,1997
vgb,20,1998
vgb,19,1999
vgb,19,2000
vgb,18,2001
vgb,18,2002
vgb,17,2003
vgb,16,2004
vgb,17,2005
vgb,16,2006
vgb,16,2007
brn,91,1990
brn,91,1991
brn,91,1992
brn,91,1993
brn,91,1994
brn,91,1995
brn,91,1996
brn,88,1997
brn,88,1998
brn,93,1999
brn,108,2000
brn,85,2001
brn,78,2002
brn,73,2003
brn,63,2004
brn,55,2005
brn,59,2006
brn,65,2007
bgr,43,1990
bgr,48,1991
bgr,54,1992
bgr,57,1993
bgr,58,1994
bgr,57,1995
bgr,59,1996
bgr,65,1997
bgr,68,1998
bgr,68,1999
bgr,64,2000
bgr,63,2001
bgr,52,2002
bgr,42,2003
bgr,40,2004
bgr,41,2005
bgr,40,2006
bgr,41,2007
bfa,179,1990
bfa,196,1991
bfa,208,1992
bfa,221,1993
bfa,233,1994
bfa,246,1995
bfa,251,1996
bfa,271,1997
bfa,286,1998
bfa,308,1999
bfa,338,2000
bfa,368,2001
bfa,398,2002
bfa,419,2003
bfa,426,2004
bfa,421,2005
bfa,411,2006
bfa,403,2007
bdi,288,1990
bdi,302,1991
bdi,292,1992
bdi,293,1993
bdi,305,1994
bdi,322,1995
bdi,339,1996
bdi,346,1997
bdi,424,1998
bdi,412,1999
bdi,455,2000
bdi,522,2001
bdi,581,2002
bdi,619,2003
bdi,639,2004
bdi,654,2005
bdi,657,2006
bdi,647,2007
khm,928,1990
khm,905,1991
khm,881,1992
khm,858,1993
khm,836,1994
khm,811,1995
khm,810,1996
khm,789,1997
khm,777,1998
khm,764,1999
khm,758,2000
khm,750,2001
khm,728,2002
khm,712,2003
khm,696,2004
khm,676,2005
khm,672,2006
khm,664,2007
cmr,188,1990
cmr,199,1991
cmr,200,1992
cmr,199,1993
cmr,197,1994
cmr,197,1995
cmr,196,1996
cmr,207,1997
cmr,212,1998
cmr,219,1999
cmr,228,2000
cmr,241,2001
cmr,240,2002
cmr,227,2003
cmr,228,2004
cmr,213,2005
cmr,201,2006
cmr,195,2007
can,7,1990
can,7,1991
can,7,1992
can,6,1993
can,6,1994
can,6,1995
can,5,1996
can,5,1997
can,5,1998
can,5,1999
can,5,2000
can,4,2001
can,4,2002
can,4,2003
can,4,2004
can,4,2005
can,4,2006
can,4,2007
cpv,449,1990
cpv,438,1991
cpv,428,1992
cpv,418,1993
cpv,408,1994
cpv,398,1995
cpv,394,1996
cpv,391,1997
cpv,387,1998
cpv,384,1999
cpv,380,2000
cpv,283,2001
cpv,374,2002
cpv,370,2003
cpv,367,2004
cpv,278,2005
cpv,285,2006
cpv,280,2007
cym,10,1990
cym,10,1991
cym,9,1992
cym,9,1993
cym,8,1994
cym,8,1995
cym,8,1996
cym,8,1997
cym,7,1998
cym,7,1999
cym,7,2000
cym,5,2001
cym,6,2002
cym,6,2003
cym,5,2004
cym,5,2005
cym,6,2006
cym,5,2007
caf,318,1990
caf,336,1991
caf,342,1992
caf,350,1993
caf,356,1994
caf,365,1995
caf,270,1996
caf,395,1997
caf,419,1998
caf,449,1999
caf,485,2000
caf,495,2001
caf,468,2002
caf,566,2003
caf,574,2004
caf,507,2005
caf,437,2006
caf,425,2007
tcd,251,1990
tcd,272,1991
tcd,282,1992
tcd,294,1993
tcd,304,1994
tcd,315,1995
tcd,354,1996
tcd,408,1997
tcd,433,1998
tcd,390,1999
tcd,420,2000
tcd,450,2001
tcd,502,2002
tcd,573,2003
tcd,548,2004
tcd,518,2005
tcd,505,2006
tcd,497,2007
chl,45,1990
chl,41,1991
chl,38,1992
chl,35,1993
chl,32,1994
chl,30,1995
chl,28,1996
chl,25,1997
chl,24,1998
chl,22,1999
chl,21,2000
chl,19,2001
chl,19,2002
chl,18,2003
chl,15,2004
chl,15,2005
chl,13,2006
chl,12,2007
chn,327,1990
chn,321,1991
chn,315,1992
chn,309,1993
chn,303,1994
chn,303,1995
chn,290,1996
chn,283,1997
chn,276,1998
chn,273,1999
chn,269,2000
chn,265,2001
chn,259,2002
chn,241,2003
chn,220,2004
chn,206,2005
chn,200,2006
chn,194,2007
col,88,1990
col,85,1991
col,82,1992
col,79,1993
col,76,1994
col,73,1995
col,71,1996
col,69,1997
col,67,1998
col,61,1999
col,51,2000
col,62,2001
col,60,2002
col,58,2003
col,55,2004
col,53,2005
col,44,2006
col,43,2007
com,188,1990
com,177,1991
com,167,1992
com,157,1993
com,148,1994
com,140,1995
com,130,1996
com,155,1997
com,120,1998
com,143,1999
com,112,2000
com,103,2001
com,104,2002
com,107,2003
com,99,2004
com,91,2005
com,86,2006
com,83,2007
cog,209,1990
cog,222,1991
cog,231,1992
cog,243,1993
cog,255,1994
cog,269,1995
cog,424,1996
cog,457,1997
cog,367,1998
cog,545,1999
cog,313,2000
cog,354,2001
cog,402,2002
cog,509,2003
cog,477,2004
cog,482,2005
cog,511,2006
cog,485,2007
cok,0,1990
cok,10,1991
cok,57,1992
cok,47,1993
cok,38,1994
cok,19,1995
cok,10,1996
cok,13,1997
cok,0,1998
cok,40,1999
cok,12,2000
cok,29,2001
cok,11,2002
cok,0,2003
cok,15,2004
cok,9,2005
cok,16,2006
cok,31,2007
cri,30,1990
cri,28,1991
cri,27,1992
cri,26,1993
cri,25,1994
cri,24,1995
cri,23,1996
cri,22,1997
cri,21,1998
cri,19,1999
cri,14,2000
cri,14,2001
cri,15,2002
cri,14,2003
cri,12,2004
cri,12,2005
cri,12,2006
cri,11,2007
hrv,126,1990
hrv,123,1991
hrv,121,1992
hrv,118,1993
hrv,113,1994
hrv,106,1995
hrv,103,1996
hrv,102,1997
hrv,99,1998
hrv,89,1999
hrv,76,2000
hrv,73,2001
hrv,69,2002
hrv,68,2003
hrv,67,2004
hrv,65,2005
hrv,65,2006
hrv,54,2007
cub,32,1990
cub,29,1991
cub,26,1992
cub,24,1993
cub,22,1994
cub,20,1995
cub,18,1996
cub,17,1997
cub,15,1998
cub,14,1999
cub,13,2000
cub,12,2001
cub,11,2002
cub,10,2003
cub,9,2004
cub,8,2005
cub,8,2006
cub,7,2007
cyp,14,1990
cyp,13,1991
cyp,13,1992
cyp,12,1993
cyp,11,1994
cyp,11,1995
cyp,11,1996
cyp,10,1997
cyp,7,1998
cyp,7,1999
cyp,9,2000
cyp,8,2001
cyp,7,2002
cyp,6,2003
cyp,6,2004
cyp,6,2005
cyp,6,2006
cyp,6,2007
cze,22,1990
cze,22,1991
cze,22,1992
cze,21,1993
cze,21,1994
cze,21,1995
cze,21,1996
cze,21,1997
cze,19,1998
cze,18,1999
cze,16,2000
cze,14,2001
cze,13,2002
cze,12,2003
cze,11,2004
cze,11,2005
cze,10,2006
cze,9,2007
civ,292,1990
civ,304,1991
civ,306,1992
civ,309,1993
civ,312,1994
civ,319,1995
civ,329,1996
civ,350,1997
civ,376,1998
civ,413,1999
civ,472,2000
civ,571,2001
civ,561,2002
civ,590,2003
civ,604,2004
civ,613,2005
civ,597,2006
civ,582,2007
prk,841,1990
prk,828,1991
prk,815,1992
prk,802,1993
prk,788,1994
prk,775,1995
prk,775,1996
prk,775,1997
prk,775,1998
prk,770,1999
prk,713,2000
prk,650,2001
prk,577,2002
prk,527,2003
prk,499,2004
prk,508,2005
prk,500,2006
prk,441,2007
cod,275,1990
cod,306,1991
cod,327,1992
cod,352,1993
cod,376,1994
cod,411,1995
cod,420,1996
cod,466,1997
cod,472,1998
cod,528,1999
cod,592,2000
cod,643,2001
cod,697,2002
cod,708,2003
cod,710,2004
cod,702,2005
cod,692,2006
cod,666,2007
dnk,12,1990
dnk,12,1991
dnk,11,1992
dnk,10,1993
dnk,10,1994
dnk,9,1995
dnk,9,1996
dnk,8,1997
dnk,8,1998
dnk,8,1999
dnk,7,2000
dnk,7,2001
dnk,7,2002
dnk,7,2003
dnk,7,2004
dnk,6,2005
dnk,7,2006
dnk,6,2007
dji,1485,1990
dji,1477,1991
dji,1463,1992
dji,1442,1993
dji,1414,1994
dji,1381,1995
dji,720,1996
dji,669,1997
dji,698,1998
dji,701,1999
dji,761,2000
dji,775,2001
dji,932,2002
dji,960,2003
dji,1034,2004
dji,1046,2005
dji,1093,2006
dji,1104,2007
dma,24,1990
dma,24,1991
dma,24,1992
dma,23,1993
dma,23,1994
dma,22,1995
dma,22,1996
dma,18,1997
dma,20,1998
dma,20,1999
dma,20,2000
dma,22,2001
dma,20,2002
dma,20,2003
dma,20,2004
dma,21,2005
dma,13,2006
dma,19,2007
dom,183,1990
dom,173,1991
dom,164,1992
dom,156,1993
dom,148,1994
dom,141,1995
dom,135,1996
dom,132,1997
dom,128,1998
dom,122,1999
dom,119,2000
dom,115,2001
dom,102,2002
dom,93,2003
dom,90,2004
dom,85,2005
dom,84,2006
dom,82,2007
ecu,282,1990
ecu,271,1991
ecu,259,1992
ecu,249,1993
ecu,238,1994
ecu,228,1995
ecu,221,1996
ecu,212,1997
ecu,207,1998
ecu,200,1999
ecu,194,2000
ecu,185,2001
ecu,170,2002
ecu,162,2003
ecu,155,2004
ecu,155,2005
ecu,148,2006
ecu,140,2007
egy,48,1990
egy,47,1991
egy,47,1992
egy,45,1993
egy,45,1994
egy,44,1995
egy,51,1996
egy,46,1997
egy,43,1998
egy,40,1999
egy,36,2000
egy,34,2001
egy,32,2002
egy,31,2003
egy,29,2004
egy,28,2005
egy,27,2006
egy,27,2007
slv,133,1990
slv,126,1991
slv,119,1992
slv,112,1993
slv,105,1994
slv,99,1995
slv,97,1996
slv,80,1997
slv,76,1998
slv,72,1999
slv,69,2000
slv,66,2001
slv,62,2002
slv,60,2003
slv,57,2004
slv,52,2005
slv,50,2006
slv,48,2007
gnq,169,1990
gnq,181,1991
gnq,187,1992
gnq,194,1993
gnq,200,1994
gnq,207,1995
gnq,216,1996
gnq,222,1997
gnq,236,1998
gnq,253,1999
gnq,274,2000
gnq,441,2001
gnq,470,2002
gnq,490,2003
gnq,370,2004
gnq,366,2005
gnq,358,2006
gnq,469,2007
eri,245,1990
eri,245,1991
eri,242,1992
eri,239,1993
eri,235,1994
eri,232,1995
eri,232,1996
eri,225,1997
eri,203,1998
eri,114,1999
eri,114,2000
eri,111,2001
eri,118,2002
eri,110,2003
eri,122,2004
eri,127,2005
eri,133,2006
eri,134,2007
est,50,1990
est,50,1991
est,56,1992
est,66,1993
est,77,1994
est,85,1995
est,88,1996
est,98,1997
est,102,1998
est,105,1999
est,72,2000
est,68,2001
est,62,2002
est,56,2003
est,50,2004
est,46,2005
est,44,2006
est,39,2007
eth,312,1990
eth,337,1991
eth,351,1992
eth,366,1993
eth,383,1994
eth,403,1995
eth,396,1996
eth,397,1997
eth,420,1998
eth,464,1999
eth,486,2000
eth,539,2001
eth,569,2002
eth,601,2003
eth,613,2004
eth,612,2005
eth,604,2006
eth,579,2007
fji,68,1990
fji,65,1991
fji,62,1992
fji,58,1993
fji,55,1994
fji,53,1995
fji,49,1996
fji,49,1997
fji,46,1998
fji,40,1999
fji,42,2000
fji,35,2001
fji,36,2002
fji,29,2003
fji,33,2004
fji,31,2005
fji,30,2006
fji,30,2007
fin,14,1990
fin,12,1991
fin,11,1992
fin,10,1993
fin,9,1994
fin,10,1995
fin,10,1996
fin,10,1997
fin,9,1998
fin,9,1999
fin,8,2000
fin,7,2001
fin,7,2002
fin,6,2003
fin,6,2004
fin,5,2005
fin,5,2006
fin,5,2007
fra,21,1990
fra,20,1991
fra,19,1992
fra,18,1993
fra,17,1994
fra,16,1995
fra,15,1996
fra,15,1997
fra,14,1998
fra,14,1999
fra,13,2000
fra,12,2001
fra,12,2002
fra,12,2003
fra,12,2004
fra,11,2005
fra,11,2006
fra,11,2007
pyf,67,1990
pyf,55,1991
pyf,91,1992
pyf,83,1993
pyf,93,1994
pyf,107,1995
pyf,55,1996
pyf,48,1997
pyf,56,1998
pyf,54,1999
pyf,40,2000
pyf,42,2001
pyf,32,2002
pyf,29,2003
pyf,28,2004
pyf,31,2005
pyf,31,2006
pyf,32,2007
gab,359,1990
gab,340,1991
gab,325,1992
gab,318,1993
gab,316,1994
gab,293,1995
gab,312,1996
gab,320,1997
gab,359,1998
gab,366,1999
gab,434,2000
gab,249,2001
gab,302,2002
gab,299,2003
gab,288,2004
gab,332,2005
gab,358,2006
gab,379,2007
gmb,350,1990
gmb,350,1991
gmb,349,1992
gmb,347,1993
gmb,344,1994
gmb,341,1995
gmb,324,1996
gmb,321,1997
gmb,311,1998
gmb,485,1999
gmb,491,2000
gmb,499,2001
gmb,335,2002
gmb,343,2003
gmb,341,2004
gmb,366,2005
gmb,399,2006
gmb,404,2007
geo,51,1990
geo,48,1991
geo,50,1992
geo,54,1993
geo,59,1994
geo,66,1995
geo,73,1996
geo,104,1997
geo,87,1998
geo,90,1999
geo,98,2000
geo,95,2001
geo,95,2002
geo,94,2003
geo,90,2004
geo,86,2005
geo,83,2006
geo,83,2007
deu,15,1990
deu,15,1991
deu,14,1992
deu,14,1993
deu,13,1994
deu,13,1995
deu,12,1996
deu,11,1997
deu,11,1998
deu,10,1999
deu,9,2000
deu,8,2001
deu,7,2002
deu,6,2003
deu,6,2004
deu,6,2005
deu,5,2006
deu,5,2007
gha,533,1990
gha,519,1991
gha,502,1992
gha,480,1993
gha,455,1994
gha,432,1995
gha,426,1996
gha,388,1997
gha,384,1998
gha,382,1999
gha,368,2000
gha,358,2001
gha,359,2002
gha,358,2003
gha,359,2004
gha,357,2005
gha,355,2006
gha,353,2007
grc,30,1990
grc,29,1991
grc,27,1992
grc,25,1993
grc,24,1994
grc,23,1995
grc,22,1996
grc,22,1997
grc,21,1998
grc,20,1999
grc,19,2000
grc,18,2001
grc,18,2002
grc,17,2003
grc,17,2004
grc,16,2005
grc,16,2006
grc,16,2007
grd,7,1990
grd,7,1991
grd,7,1992
grd,7,1993
grd,7,1994
grd,7,1995
grd,7,1996
grd,7,1997
grd,7,1998
grd,7,1999
grd,7,2000
grd,7,2001
grd,7,2002
grd,7,2003
grd,7,2004
grd,7,2005
grd,7,2006
grd,6,2007
gum,103,1990
gum,101,1991
gum,96,1992
gum,110,1993
gum,146,1994
gum,93,1995
gum,91,1996
gum,89,1997
gum,87,1998
gum,86,1999
gum,44,2000
gum,45,2001
gum,44,2002
gum,47,2003
gum,41,2004
gum,42,2005
gum,39,2006
gum,36,2007
gtm,113,1990
gtm,111,1991
gtm,108,1992
gtm,106,1993
gtm,103,1994
gtm,100,1995
gtm,95,1996
gtm,94,1997
gtm,93,1998
gtm,92,1999
gtm,90,2000
gtm,91,2001
gtm,89,2002
gtm,89,2003
gtm,86,2004
gtm,85,2005
gtm,84,2006
gtm,87,2007
gin,241,1990
gin,248,1991
gin,255,1992
gin,262,1993
gin,269,1994
gin,275,1995
gin,277,1996
gin,293,1997
gin,305,1998
gin,317,1999
gin,332,2000
gin,346,2001
gin,363,2002
gin,380,2003
gin,391,2004
gin,425,2005
gin,426,2006
gin,448,2007
gnb,404,1990
gnb,403,1991
gnb,402,1992
gnb,399,1993
gnb,395,1994
gnb,390,1995
gnb,390,1996
gnb,387,1997
gnb,385,1998
gnb,386,1999
gnb,273,2000
gnb,276,2001
gnb,305,2002
gnb,296,2003
gnb,287,2004
gnb,283,2005
gnb,270,2006
gnb,276,2007
guy,39,1990
guy,43,1991
guy,34,1992
guy,43,1993
guy,50,1994
guy,67,1995
guy,78,1996
guy,81,1997
guy,90,1998
guy,93,1999
guy,98,2000
guy,112,2001
guy,126,2002
guy,136,2003
guy,130,2004
guy,132,2005
guy,133,2006
guy,136,2007
hti,479,1990
hti,464,1991
hti,453,1992
hti,443,1993
hti,435,1994
hti,429,1995
hti,428,1996
hti,426,1997
hti,417,1998
hti,407,1999
hti,403,2000
hti,397,2001
hti,388,2002
hti,380,2003
hti,377,2004
hti,368,2005
hti,368,2006
hti,366,2007
hnd,141,1990
hnd,133,1991
hnd,128,1992
hnd,123,1993
hnd,119,1994
hnd,115,1995
hnd,114,1996
hnd,112,1997
hnd,106,1998
hnd,98,1999
hnd,70,2000
hnd,70,2001
hnd,72,2002
hnd,71,2003
hnd,72,2004
hnd,71,2005
hnd,70,2006
hnd,71,2007
hun,67,1990
hun,68,1991
hun,70,1992
hun,72,1993
hun,73,1994
hun,73,1995
hun,74,1996
hun,72,1997
hun,67,1998
hun,47,1999
hun,43,2000
hun,39,2001
hun,36,2002
hun,33,2003
hun,29,2004
hun,26,2005
hun,22,2006
hun,19,2007
isl,5,1990
isl,4,1991
isl,4,1992
isl,4,1993
isl,4,1994
isl,4,1995
isl,3,1996
isl,3,1997
isl,3,1998
isl,3,1999
isl,3,2000
isl,3,2001
isl,2,2002
isl,2,2003
isl,2,2004
isl,3,2005
isl,3,2006
isl,3,2007
ind,586,1990
ind,577,1991
ind,566,1992
ind,555,1993
ind,542,1994
ind,525,1995
ind,517,1996
ind,501,1997
ind,487,1998
ind,476,1999
ind,443,2000
ind,411,2001
ind,389,2002
ind,349,2003
ind,311,2004
ind,299,2005
ind,290,2006
ind,283,2007
idn,443,1990
idn,430,1991
idn,417,1992
idn,404,1993
idn,392,1994
idn,380,1995
idn,369,1996
idn,359,1997
idn,348,1998
idn,335,1999
idn,326,2000
idn,314,2001
idn,297,2002
idn,287,2003
idn,274,2004
idn,261,2005
idn,251,2006
idn,244,2007
irn,50,1990
irn,51,1991
irn,56,1992
irn,54,1993
irn,55,1994
irn,55,1995
irn,61,1996
irn,52,1997
irn,45,1998
irn,41,1999
irn,40,2000
irn,38,2001
irn,37,2002
irn,35,2003
irn,32,2004
irn,31,2005
irn,29,2006
irn,27,2007
irq,88,1990
irq,88,1991
irq,88,1992
irq,88,1993
irq,88,1994
irq,88,1995
irq,84,1996
irq,84,1997
irq,82,1998
irq,80,1999
irq,71,2000
irq,69,2001
irq,65,2002
