births_attended_by_skilled_health_staff_percent_of_total,geo,time
12.4,afg,2000
14.3,afg,2003
18.9,afg,2006
24.0,afg,2008
92.7,alb,1989
93.0,alb,1990
92.6,alb,1991
86.4,alb,1992
87.2,alb,1993
89.1,alb,1994
89.1,alb,1995
91.2,alb,1996
98.8,alb,1997
99.1,alb,1998
99.0,alb,1999
99.1,alb,2000
99.0,alb,2001
98.0,alb,2002
98.8,alb,2003
99.3,alb,2004
99.8,alb,2005
99.0,alb,2006
99.3,alb,2009
77.0,dza,1992
92.6,dza,2000
95.9,dza,2002
95.2,dza,2006
100.0,asm,2002
22.5,ago,1996
44.7,ago,2001
47.3,ago,2007
100.0,atg,1995
100.0,atg,1996
100.0,atg,1998
99.9,atg,2000
100.0,atg,2001
99.0,atg,2002
99.0,atg,2003
100.0,atg,2004
99.9,atg,2005
99.9,atg,2006
100.0,atg,2007
100.0,atg,2008
95.8,arg,1992
97.2,arg,1997
97.5,arg,1998
97.5,arg,1999
98.9,arg,2002
98.7,arg,2003
98.7,arg,2004
99.1,arg,2005
99.4,arg,2006
99.4,arg,2007
94.8,arg,2008
97.9,arg,2009
99.7,arm,1989
99.7,arm,1990
99.7,arm,1991
98.3,arm,1992
95.5,arm,1993
93.3,arm,1994
93.1,arm,1995
95.7,arm,1996
96.4,arm,1997
97.4,arm,1998
97.3,arm,1999
96.8,arm,2000
98.4,arm,2001
98.8,arm,2002
99.2,arm,2003
99.5,arm,2004
97.8,arm,2005
99.7,arm,2006
99.9,arm,2007
99.9,arm,2008
99.5,arm,2010
96.0,abw,2002
100.0,aus,1991
100.0,aus,1999
100.0,aus,2003
100.0,aut,1993
97.3,aze,1989
97.3,aze,1990
97.2,aze,1991
96.5,aze,1992
96.3,aze,1993
99.6,aze,1994
99.7,aze,1995
99.7,aze,1996
99.8,aze,1997
99.8,aze,1998
99.7,aze,1999
84.1,aze,2000
88.0,aze,2001
88.0,aze,2006
99.0,bhs,1990
99.0,bhs,1995
99.0,bhs,1997
99.0,bhs,1998
99.0,bhs,1999
99.0,bhs,2000
99.0,bhs,2002
99.0,bhs,2004
99.0,bhs,2006
99.0,bhs,2007
97.6,bhr,1995
99.0,bhr,2005
97.4,bhr,2008
9.5,bgd,1994
8.0,bgd,1997
12.1,bgd,2000
11.6,bgd,2001
13.9,bgd,2003
13.2,bgd,2004
20.1,bgd,2006
18.0,bgd,2007
24.4,bgd,2009
26.5,bgd,2010
100.0,brb,1995
91.0,brb,1999
98.0,brb,2000
100.0,brb,2003
100.0,brb,2004
100.0,brb,2005
100.0,brb,2006
100.0,brb,2007
100.0,blr,1986
99.9,blr,1989
99.9,blr,1990
99.9,blr,1991
99.9,blr,1992
99.9,blr,1993
99.9,blr,1994
99.9,blr,1995
99.9,blr,1996
99.9,blr,1997
99.9,blr,1998
99.9,blr,1999
99.9,blr,2000
99.9,blr,2001
99.9,blr,2002
99.9,blr,2003
99.9,blr,2004
100.0,blr,2005
99.9,blr,2006
99.9,blr,2007
99.9,blr,2008
99.9,blr,2009
100.0,bel,1987
99.3,bel,1999
76.9,blz,1991
79.0,blz,1995
79.0,blz,1998
83.8,blz,1999
100.0,blz,2000
97.0,blz,2002
87.8,blz,2004
89.3,blz,2005
95.8,blz,2006
94.6,blz,2007
94.9,blz,2008
59.8,ben,1996
65.5,ben,2001
75.0,ben,2005
74.0,ben,2006
14.9,btn,1994
23.66,btn,2000
56.05,btn,2003
71.4,btn,2007
64.5,btn,2010
42.6,bol,1989
47.2,bol,1994
59.3,bol,1998
68.8,bol,2000
65.1,bol,2002
66.8,bol,2003
71.1,bol,2008
96.6,bih,1989
97.0,bih,1990
97.4,bih,1991
98.9,bih,1996
99.1,bih,1997
99.5,bih,1998
99.7,bih,1999
99.6,bih,2000
99.8,bih,2001
99.8,bih,2002
99.7,bih,2003
99.9,bih,2004
100.0,bih,2005
99.6,bih,2006
77.5,bwa,1988
87.0,bwa,1996
94.2,bwa,2000
94.6,bwa,2007
69.5,bra,1991
87.6,bra,1996
96.45,bra,2001
96.6,bra,2003
97.0,bra,2006
98.0,brn,1994
99.0,brn,1999
99.6,brn,2004
99.7,brn,2005
99.9,brn,2009
99.3,bgr,1989
99.1,bgr,1990
99.5,bgr,1991
99.8,bgr,1992
99.0,bgr,1993
99.0,bgr,1994
98.9,bgr,1995
99.9,bgr,1996
99.9,bgr,1997
99.9,bgr,1998
