geo,male_agriculture_workers_percent_of_male_labour_force,time
bhs,4.2,2007
bhr,3.0,1981
bhr,2.9,1982
bhr,2.9,1991
bhr,1.9,2001
bgd,63.5,1984
bgd,62.3,1985
bgd,62.3,1986
bgd,60.4,1989
bgd,54.4,1991
bgd,54.4,1996
bgd,53.3,2000
bgd,49.8,2003
bgd,41.8,2005
brb,9.8,1981
brb,8.7,1982
brb,8.3,1983
brb,10.2,1984
brb,9.4,1985
brb,8.8,1986
brb,9.0,1987
brb,8.7,1988
brb,6.6,1989
brb,6.9,1990
brb,6.4,1991
brb,8.0,1992
brb,6.3,1993
brb,6.0,1994
brb,5.5,1995
brb,6.1,1996
brb,6.5,1997
brb,5.0,1998
brb,5.2,1999
brb,4.1,2000
brb,4.8,2001
brb,4.9,2002
brb,5.3,2003
brb,4.2,2004
bel,3.7,1980
bel,3.8,1981
bel,3.8,1982
bel,3.8,1983
bel,3.8,1984
bel,3.7,1985
bel,3.7,1986
bel,3.6,1987
bel,3.1,1993
bel,3.2,1994
bel,3.1,1995
bel,3.0,1996
bel,2.9,1997
bel,2.9,1998
bel,2.4,1999
bel,2.3,2000
bel,2.0,2001
bel,2.1,2002
bel,2.2,2003
bel,2.4,2004
bel,2.4,2005
bel,2.5,2006
blz,33.0,1993
blz,30.9,1994
blz,36.2,1995
blz,38.4,1996
blz,40.3,1997
blz,34.1,1998
blz,36.9,1999
blz,28.0,2005
bmu,2.4,2000
btn,32.6,2005
bol,52.1,1980
bol,52.1,1981
bol,52.9,1982
bol,53.9,1983
bol,53.8,1984
bol,54.1,1985
bol,54.0,1986
bol,54.1,1987
bol,54.0,1988
bol,3.0,1989
bol,1.9,1990
bol,2.3,1991
bol,2.7,1992
bol,2.8,1993
bol,2.4,1994
bol,3.0,1995
bol,6.4,1996
bol,7.0,1997
bol,5.0,1999
bol,6.1,2000
bol,42.9,2001
bol,42.3,2002
bwa,55.3,1985
bwa,19.6,1996
bwa,26.2,1998
bwa,21.9,2000
bwa,16.8,2001
bwa,28.6,2003
bwa,35.1,2005
bra,33.6,1981
bra,34.4,1982
bra,30.9,1983
bra,35.1,1984
bra,33.7,1985
bra,31.5,1986
bra,29.4,1987
bra,29.4,1988
bra,28.1,1989
bra,23.2,2000
bra,23.5,2002
bra,23.9,2003
bra,24.5,2004
bra,23.7,2005
bra,22.5,2006
vgb,3.3,1991
brn,2.1,2001
bgr,12.3,2003
bgr,11.7,2004
bgr,10.7,2005
bgr,9.8,2006
bgr,9.2,2007
khm,71.6,1998
khm,72.4,2000
khm,70.8,2001
cmr,53.1,2001
can,7.0,1980
can,7.0,1981
can,6.8,1982
can,7.1,1983
can,7.0,1984
can,6.6,1985
can,6.4,1986
can,6.1,1987
can,5.8,1988
can,5.6,1989
can,5.6,1990
can,5.8,1991
can,5.7,1992
can,5.8,1993
can,5.7,1994
can,5.5,1995
can,5.4,1996
can,5.2,1997
can,5.1,1998
can,4.8,1999
can,4.5,2000
can,3.9,2001
can,3.8,2002
can,3.9,2003
can,3.7,2004
can,3.7,2005
can,3.6,2006
can,3.4,2007
cym,2.1,1991
cym,2.6,2005
cym,3.5,2006
cym,3.2,2007
tcd,80.3,1993
chl,21.9,1980
chl,21.0,1981
chl,22.2,1982
chl,21.8,1983
chl,21.6,1984
chl,27.0,1985
chl,27.4,1986
chl,27.3,1987
chl,26.3,1988
chl,25.3,1989
chl,24.8,1991
chl,21.6,1993
chl,20.6,1995
chl,19.2,1997
chl,19.3,1999
chl,18.1,2001
chl,14.6,2002
chl,18.1,2003
chl,17.6,2004
chl,17.1,2005
chl,16.7,2006
chl,16.1,2007
col,1.9,1980
col,1.7,1985
col,1.8,1986
col,1.9,1987
col,1.8,1988
col,1.7,1989
col,1.9,1990
col,1.8,1991
col,1.9,1992
col,1.7,1994
col,1.4,1995
col,1.6,1996
col,1.4,1997
col,1.4,1998
col,1.6,1999
col,1.6,2000
col,32.5,2001
col,30.3,2002
col,30.6,2003
col,29.4,2004
col,31.8,2005
col,28.2,2006
col,26.7,2007
cri,34.4,1980
cri,35.2,1981
cri,38.2,1982
cri,36.0,1983
cri,36.8,1984
cri,35.3,1985
cri,34.4,1986
cri,36.1,1987
cri,36.1,1988
cri,34.1,1989
cri,33.6,1990
cri,33.3,1991
cri,31.9,1992
cri,29.5,1993
cri,28.3,1994
cri,28.2,1995
cri,28.3,1996
cri,27.2,1997
cri,26.9,1998
cri,26.9,1999
cri,27.3,2000
cri,21.9,2001
cri,22.1,2002
cri,21.0,2003
cri,20.4,2004
cri,20.8,2005
cri,19.4,2006
cri,17.9,2007
hrv,18.8,1996
hrv,16.7,1997
hrv,16.1,1998
hrv,16.1,1999
hrv,13.9,2000
hrv,15.8,2001
hrv,15.4,2002
hrv,16.2,2003
hrv,15.5,2004
hrv,16.0,2005
hrv,13.7,2006
hrv,12.0,2007
cub,31.6,1995
cub,31.5,1996
cub,31.6,1997
cub,26.9,1998
cub,34.2,1999
cub,34.3,2000
cub,28.5,2001
cub,28.6,2002
cub,28.7,2003
cub,27.5,2004
cub,26.5,2005
cub,26.3,2006
cub,25.0,2007
cyp,14.9,1980
cyp,14.7,1981
cyp,14.3,1982
cyp,14.3,1983
cyp,14.3,1984
cyp,13.9,1985
cyp,13.4,1986
cyp,13.2,1987
cyp,12.8,1988
cyp,12.5,1989
cyp,12.0,1990
cyp,11.5,1991
cyp,11.3,1992
cyp,11.3,1993
cyp,11.1,1994
cyp,10.9,1995
cyp,4.8,1999
cyp,5.6,2000
cyp,5.5,2001
cyp,6.0,2002
cyp,6.2,2003
cyp,5.7,2004
cyp,5.7,2005
cyp,5.3,2006
cyp,6.0,2007
cze,9.0,1993
cze,7.9,1994
cze,7.6,1995
cze,7.3,1996
cze,7.0,1997
cze,6.6,1998
cze,6.4,1999
cze,6.3,2000
cze,6.0,2001
cze,5.8,2002
cze,5.5,2003
cze,5.3,2004
cze,4.9,2005
cze,4.5,2006
cze,4.4,2007
dnk,10.5,1981
dnk,10.3,1983
dnk,9.4,1984
dnk,9.2,1985
dnk,8.2,1986
dnk,7.7,1987
dnk,7.9,1988
dnk,7.9,1989
dnk,7.8,1990
dnk,7.9,1991
dnk,7.2,1992
dnk,7.3,1993
dnk,7.0,1994
dnk,6.2,1995
dnk,5.6,1996
dnk,5.4,1997
dnk,5.4,1998
dnk,4.9,1999
dnk,4.7,2000
dnk,4.7,2001
dnk,4.6,2002
dnk,4.5,2003
dnk,4.6,2004
dnk,4.4,2005
dnk,4.4,2006
dnk,4.1,2007
dma,38.7,1989
dma,40.2,1991
dma,31.4,1997
dma,34.3,1999
dma,29.4,2001
dom,26.6,1996
dom,26.8,1997
dom,22.7,2000
dom,19.7,2003
dom,21.2,2004
dom,20.6,2005
ecu,9.6,1992
ecu,10.4,1993
ecu,9.5,1996
ecu,9.8,1997
ecu,10.5,1999
ecu,11.1,2000
ecu,10.2,2001
ecu,11.0,2002
ecu,12.3,2004
ecu,11.0,2005
ecu,11.0,2006
egy,44.9,1980
egy,42.8,1981
egy,41.6,1982
egy,40.9,1983
egy,39.3,1984
egy,34.6,1989
egy,34.9,1990
egy,29.4,1991
egy,34.5,1992
egy,32.5,1993
egy,32.2,1994
egy,32.0,1995
egy,29.1,1997
egy,28.5,1998
egy,28.0,1999
egy,27.4,2000
egy,27.8,2001
egy,27.5,2002
egy,27.7,2003
egy,28.1,2004
egy,27.1,2005
egy,28.3,2006
slv,51.0,1980
slv,45.7,1985
slv,2.2,1986
slv,11.8,1988
slv,15.4,1989
slv,14.9,1991
slv,47.8,1992
slv,40.3,1994
slv,37.0,1995
slv,40.3,1996
slv,36.5,1997
slv,37.3,1998
slv,34.1,1999
slv,33.9,2000
slv,33.8,2001
slv,31.9,2002
slv,28.5,2003
slv,30.0,2004
slv,30.9,2005
slv,29.3,2006
gnq,68.1,1983
est,27.2,1989
est,26.5,1990
est,24.0,1991
est,22.5,1992
est,20.1,1993
est,17.6,1994
est,12.5,1995
est,12.1,1996
est,11.8,1997
est,11.2,1998
est,10.3,1999
est,9.7,2000
est,9.9,2001
est,9.6,2002
est,8.4,2003
est,8.1,2004
est,7.2,2005
est,6.7,2006
est,6.4,2007
eth,10.4,2004
eth,84.3,2005
eth,11.7,2006
fro,20.0,2005
fin,14.6,1980
fin,14.4,1981
fin,15.1,1982
fin,14.5,1983
fin,13.9,1984
fin,13.4,1985
fin,13.1,1986
fin,12.5,1987
fin,11.8,1988
fin,11.5,1989
fin,11.0,1990
fin,11.0,1991
fin,11.6,1992
fin,11.7,1993
fin,11.2,1994
fin,10.4,1995
fin,9.6,1996
fin,9.1,1997
fin,8.3,1998
fin,8.3,1999
fin,8.1,2000
fin,7.5,2001
fin,7.0,2002
fin,6.8,2003
fin,6.7,2004
fin,6.6,2005
fin,6.4,2006
fin,6.2,2007
fra,9.0,1980
fra,8.8,1981
fra,8.5,1982
fra,8.3,1983
fra,8.2,1984
fra,8.0,1985
fra,7.8,1986
fra,7.4,1987
fra,7.1,1988
fra,6.7,1989
fra,6.4,1990
fra,6.2,1991
fra,6.2,1992
fra,6.0,1993
fra,5.4,2003
fra,4.8,2004
fra,4.7,2005
fra,5.0,2006
fra,4.6,2007
gab,25.6,1993
gmb,53.7,1993
geo,46.2,1998
geo,50.4,1999
geo,47.0,2000
geo,52.7,2001
geo,52.4,2002
geo,53.1,2003
geo,51.7,2004
geo,51.7,2005
geo,53.4,2006
geo,50.5,2007
deu,4.2,1991
deu,3.9,1992
deu,3.6,1993
deu,3.4,1994
deu,3.3,1995
deu,3.3,1996
deu,3.2,1997
deu,3.2,1998
deu,3.2,1999
deu,3.1,2000
deu,3.1,2001
deu,3.0,2002
deu,3.0,2003
deu,3.0,2004
deu,2.9,2005
deu,2.8,2006
deu,2.8,2007
deu_east,8.0,1991
deu_east,5.6,1992
deu_east,4.7,1993
deu_east,4.3,1994
gha,66.2,1992
gha,59.8,1999
grc,25.7,1981
grc,24.8,1982
grc,25.2,1983
grc,24.5,1984
grc,24.3,1985
grc,24.0,1986
grc,22.6,1987
grc,22.6,1988
grc,21.6,1989
grc,20.4,1990
grc,19.9,1991
grc,19.5,1992
grc,19.1,1993
grc,18.6,1994
grc,18.5,1995
grc,18.2,1996
grc,17.9,1997
grc,16.5,1998
grc,16.1,1999
grc,16.1,2000
grc,15.2,2001
grc,14.4,2002
grc,14.3,2003
grc,11.6,2004
grc,11.5,2005
grc,11.3,2006
grc,10.9,2007
grd,23.7,1988
grd,23.4,1994
grd,18.2,1996
grd,16.5,1998
gtm,60.7,1981
gtm,60.7,1982
gtm,63.5,1987
gtm,17.7,1990
gtm,19.4,1991
gtm,60.4,1994
gtm,49.7,1998
gtm,48.1,2000
gtm,50.1,2002
gtm,43.8,2006
gin,72.9,1994
guy,33.5,1997
guy,27.2,2002
hti,81.3,1980
hti,81.0,1981
hti,76.1,1982
hti,76.1,1983
hti,76.1,1988
hti,76.1,1990
hti,62.5,1999
hnd,1.5,1985
hnd,5.4,1986
hnd,5.4,1987
hnd,65.2,1990
hnd,52.7,1992
hnd,12.8,1993
hnd,51.0,1994
hnd,50.4,1995
hnd,53.5,1996
hnd,52.5,1997
hnd,48.6,1998
hnd,49.8,1999
hnd,51.3,2005
hkg,1.5,1980
hkg,1.1,1981
hkg,1.4,1982
hkg,1.3,1983
hkg,1.3,1984
hkg,1.7,1985
hkg,1.7,1986
hkg,1.6,1987
hkg,1.3,1988
hkg,1.1,1989
hkg,1.0,1990
hkg,0.9,1991
hkg,0.8,1992
hkg,0.8,1993
hkg,0.8,1994
hkg,0.7,1995
hkg,0.5,1996
hkg,0.4,1997
hkg,0.4,1998
hkg,0.4,1999
hkg,0.3,2000
hkg,0.3,2001
hkg,0.3,2003
hkg,0.3,2004
hkg,0.3,2005
hkg,0.3,2006
hkg,0.2,2007
hun,24.4,1980
hun,24.9,1981
hun,25.9,1982
hun,26.0,1983
hun,25.7,1984
hun,25.0,1985
hun,24.2,1986
hun,23.4,1987
hun,22.9,1988
hun,22.4,1989
hun,21.2,1990
hun,19.4,1991
hun,11.4,1994
hun,10.7,1995
hun,11.3,1996
hun,10.6,1997
hun,10.8,1998
hun,10.1,1999
hun,9.3,2000
hun,8.7,2001
hun,8.5,2002
hun,8.0,2003
hun,7.6,2004
hun,7.0,2005
hun,6.8,2006
hun,6.6,2007
isl,14.7,1991
isl,14.9,1992
isl,13.7,1993
isl,13.7,1994
isl,13.2,1995
isl,14.5,1996
isl,13.2,1997
isl,12.7,1998
isl,12.2,1999
isl,10.7,2000
isl,10.6,2001
isl,10.8,2002
isl,11.0,2003
isl,9.6,2004
isl,10.5,2005
isl,9.8,2006
isl,8.8,2007
idn,57.5,1980
idn,55.2,1982
idn,55.3,1985
idn,54.7,1986
idn,54.6,1987
idn,55.4,1988
idn,55.7,1989
idn,55.6,1990
idn,53.5,1991
idn,53.8,1992
idn,50.2,1993
idn,45.4,1994
idn,44.1,1995
idn,43.4,1996
idn,40.7,1997
idn,44.3,1998
idn,43.3,1999
idn,43.3,2001
idn,43.7,2002
idn,45.7,2003
idn,42.6,2004
idn,43.4,2005
idn,44.4,2006
irn,23.9,1996
irn,22.8,2005
irn,20.5,2007
irq,14.0,2004
irl,21.6,1983
irl,21.3,1984
irl,20.1,1985
irl,20.6,1986
irl,20.7,1987
irl,20.9,1988
irl,20.6,1989
irl,20.7,1990
irl,19.1,1991
irl,19.1,1992
irl,17.9,1993
irl,17.4,1994
irl,17.0,1995
irl,15.4,1996
irl,15.0,1997
irl,13.3,1998
irl,12.9,1999
irl,11.9,2000
irl,10.6,2001
irl,10.8,2002
irl,9.8,2003
irl,10.0,2004
irl,9.3,2005
irl,9.0,2006
gbm,2.2,2001
gbm,2.9,2006
isr,7.6,1980
isr,7.5,1981
isr,7.1,1982
isr,7.1,1983
isr,6.7,1984
isr,6.8,1985
isr,6.7,1986
isr,6.6,1987
isr,6.0,1988
isr,6.1,1989
isr,5.3,1990
isr,4.6,1991
isr,4.6,1992
isr,4.7,1993
isr,4.4,1994
isr,4.2,1995
isr,3.6,1996
isr,3.4,1997
isr,3.3,1998
isr,3.3,1999
isr,3.2,2000
isr,3.1,2001
isr,3.0,2002
isr,2.8,2003
isr,3.1,2004
isr,3.1,2005
isr,2.7,2006
isr,2.5,2007
ita,13.1,1980
ita,12.5,1981
ita,11.6,1982
ita,11.6,1983
ita,11.3,1984
ita,10.6,1985
ita,10.3,1986
ita,10.2,1987
ita,9.6,1988
ita,9.1,1989
ita,8.7,1990
ita,8.3,1991
ita,7.9,1992
ita,7.2,1993
ita,7.1,1994
ita,6.8,1995
ita,6.7,1996
ita,6.5,1997
ita,6.3,1998
ita,6.0,1999
ita,5.9,2000
ita,5.8,2001
ita,5.6,2002
ita,5.5,2003
ita,5.1,2004
ita,4.9,2005
ita,5.0,2006
ita,4.6,2007
jam,35.9,1992
jam,34.0,1993
jam,32.6,1994
jam,31.8,1995
jam,31.0,1996
jam,29.2,1997
jam,29.0,1998
jam,28.7,1999
jam,28.8,2000
jam,28.4,2001
jam,27.4,2002
jam,28.6,2003
jam,25.5,2004
jam,25.1,2005
jam,25.6,2006
jpn,8.7,1980
jpn,8.4,1981
jpn,8.2,1982
jpn,8.0,1983
jpn,7.6,1984
jpn,7.6,1985
jpn,7.3,1986
jpn,7.2,1987
jpn,6.9,1988
jpn,6.7,1989
jpn,6.3,1990
jpn,6.0,1991
jpn,5.8,1992
jpn,5.4,1993
jpn,5.3,1994
jpn,5.2,1995
jpn,5.0,1996
jpn,4.9,1997
jpn,4.8,1998
jpn,4.8,1999
jpn,4.7,2000
jpn,4.6,2001
jpn,4.5,2002
jpn,4.5,2003
jpn,4.4,2004
jpn,4.4,2005
jpn,4.2,2006
jpn,4.2,2007
jor,7.0,1983
jor,5.8,1986
jor,6.9,1987
jor,5.1,2000
jor,4.2,2001
jor,4.1,2002
jor,3.8,2003
kaz,33.3,1999
kaz,36.8,2001
kaz,36.2,2002
kaz,36.4,2003
kaz,34.9,2004
kir,3.7,2000
kor,31.0,1980
kor,31.2,1981
kor,29.6,1982
kor,27.8,1983
kor,25.2,1984
kor,23.1,1985
kor,21.9,1986
kor,20.2,1987
kor,19.1,1988
kor,18.0,1989
kor,16.3,1990
kor,14.9,1991
kor,12.2,1992
kor,11.7,1993
kor,10.9,1994
kor,10.2,1995
kor,9.7,1996
kor,9.4,1997
kor,10.5,1998
kor,10.2,1999
kor,9.5,2000
kor,9.0,2001
kor,8.4,2002
kor,7.9,2003
kor,7.3,2004
kor,7.2,2005
kor,7.0,2006
kor,6.7,2007
kwt,0.8,1983
kwt,1.7,1988
kgz,46.9,1996
kgz,47.9,1997
kgz,49.0,1998
kgz,51.7,1999
kgz,51.7,2000
kgz,51.4,2001
kgz,49.4,2002
kgz,43.4,2003
kgz,39.1,2004
kgz,39.3,2005
kgz,36.9,2006
lao,81.2,1995
lva,19.8,1996
lva,23.2,1997
lva,20.7,1998
lva,17.8,1999
lva,16.2,2000
lva,18.0,2001
lva,18.3,2002
lva,16.7,2003
lva,16.0,2004
lva,15.3,2005
lva,13.6,2006
lva,11.8,2007
lso,32.5,1996
lso,65.6,1997
lso,78.2,1999
ltu,23.2,1997
ltu,22.4,1998
ltu,23.1,1999
ltu,22.4,2000
ltu,21.9,2001
ltu,21.4,2002
ltu,21.2,2003
ltu,18.2,2004
ltu,16.6,2005
ltu,14.6,2006
ltu,12.9,2007
lux,4.6,1983
lux,4.3,1984
lux,4.1,1985
lux,3.8,1986
lux,3.7,1987
lux,3.7,1988
lux,3.6,1989
lux,3.4,1990
mac,0.9,1989
mac,0.2,1990
mac,0.3,1992
mac,0.3,1993
mac,0.0,1994
mac,0.3,1995
mac,0.3,1996
mac,0.2,1997
mac,0.2,1998
mac,0.1,1999
mac,0.2,2000
mac,0.1,2001
mac,0.2,2002
mac,0.4,2003
mac,0.3,2004
mac,0.2,2005
mac,0.2,2006
mac,0.1,2007
mdg,76.7,2003
mdg,81.5,2005
mys,33.9,1980
mys,32.9,1981
mys,28.1,1982
mys,28.4,1983
mys,28.2,1984
mys,28.6,1985
mys,29.7,1986
mys,30.9,1987
mys,30.7,1988
mys,28.9,1989
mys,26.4,1990
mys,26.8,1991
mys,22.7,1992
mys,22.2,1993
mys,21.6,1995
mys,20.6,1996
mys,18.9,1997
mys,20.7,1998
mys,20.9,1999
mys,20.7,2000
mys,16.8,2001
mys,16.8,2002
mys,16.1,2003
mys,16.8,2004
mys,17.1,2005
mys,17.2,2006
mys,17.5,2007
mdv,28.1,1990
mdv,27.0,1995
mdv,17.9,2000
mdv,21.8,2003
mdv,14.0,2006
mli,49.8,2004
mlt,2.5,2000
mlt,2.8,2001
mlt,2.4,2002
mlt,2.3,2003
mlt,2.3,2004
mlt,2.7,2005
mlt,2.0,2006
mlt,2.2,2007
mhl,27.1,1999
mtq,10.1,1990
mus,15.0,1992
mus,14.5,1994
mus,15.3,1995
mus,13.8,1996
mus,13.5,1997
mus,12.9,1998
mus,12.4,1999
mus,12.5,2001
mus,11.1,2002
mus,10.9,2003
mus,10.9,2004
mus,10.5,2005
mus,10.4,2006
mus,9.9,2007
mex,28.6,1990
mex,32.7,1991
mex,32.5,1993
mex,29.8,1995
mex,27.7,1996
mex,29.2,1997
mex,25.0,1998
mex,26.0,1999
mex,22.9,2000
mex,23.3,2001
mex,23.2,2002
mex,21.8,2003
mex,21.4,2004
mex,20.4,2005
mex,19.7,2006
mex,18.9,2007
mng,41.9,1993
mng,45.8,1994
mng,47.1,1995
mng,47.9,1996
mng,49.7,1997
mng,50.7,1998
mng,50.6,1999
mng,50.6,2000
mng,50.1,2001
mng,47.4,2002
mng,43.8,2003
mng,42.9,2004
mng,43.0,2005
mne,10.2,2003
mne,8.5,2005
msr,8.8,1991
mar,4.1,1990
mar,4.2,1991
mar,3.8,1992
mar,3.5,1993
mar,41.4,1994
mar,5.7,1995
mar,6.8,1996
mar,5.4,1997
mar,5.0,1998
mar,5.6,1999
mar,5.0,2001
mar,40.1,2002
mar,39.2,2003
mar,40.4,2004
mar,39.6,2005
mar,36.7,2006
nam,45.2,1991
nam,37.6,1997
nam,32.8,2000
nam,33.7,2004
npl,74.9,1991
npl,67.1,1999
npl,60.2,2001
nld,6.0,1980
nld,6.0,1982
nld,5.9,1984
nld,5.7,1986
nld,5.5,1988
nld,5.4,1989
nld,5.2,1990
nld,5.3,1991
nld,4.8,1992
nld,4.7,1993
nld,4.9,1994
nld,4.5,1995
nld,4.8,1996
nld,4.6,1997
nld,4.1,1998
nld,3.9,1999
nld,4.1,2000
nld,3.5,2001
nld,3.8,2002
nld,3.5,2003
nld,3.9,2004
nld,3.8,2005
ant,0.6,1983
ant,1.1,1984
ant,1.1,1985
ant,1.0,1986
ant,0.8,1992
ant,1.0,1993
ant,1.0,1994
ant,1.1,1995
ant,1.2,1996
ant,1.6,1997
ant,1.8,1998
ant,2.0,2000
ncl,9.2,1996
nzl,12.8,1986
nzl,12.4,1987
nzl,12.5,1988
nzl,12.4,1989
nzl,12.8,1990
nzl,13.2,1991
nzl,13.4,1992
nzl,13.0,1993
nzl,12.7,1994
nzl,12.2,1995
nzl,11.9,1996
nzl,11.2,1997
nzl,10.8,1998
nzl,11.8,1999
nzl,11.2,2000
nzl,11.7,2001
nzl,11.4,2002
nzl,10.4,2003
nzl,9.5,2004
nzl,8.9,2005
nzl,8.7,2006
nzl,9.0,2007
nic,43.1,2003
nic,42.0,2004
nic,41.3,2005
nic,41.7,2006
nga,39.0,1983
nga,51.2,1986
niu,11.4,2001
mnp,4.1,1990
mnp,2.2,1995
nor,9.9,1980
nor,9.8,1981
nor,9.6,1982
nor,9.5,1983
nor,9.5,1984
nor,9.2,1985
nor,9.0,1986
nor,8.5,1987
nor,8.1,1988
nor,8.5,1989
nor,8.3,1990
nor,7.9,1991
nor,7.4,1992
nor,7.6,1993
nor,7.3,1994
nor,6.8,1995
nor,7.1,1996
nor,6.6,1997
nor,6.5,1998
nor,6.4,1999
nor,5.8,2000
nor,5.6,2001
nor,5.4,2002
nor,5.3,2003
nor,5.1,2004
nor,4.8,2005
nor,4.9,2006
nor,4.2,2007
omn,9.6,1993
omn,7.5,1996
omn,6.6,2000
pak,47.9,1985
pak,51.2,1986
pak,45.2,1987
pak,48.4,1988
pak,48.4,1989
pak,48.4,1990
pak,44.8,1991
pak,44.8,1992
pak,44.0,1993
pak,46.2,1994
pak,43.9,1995
pak,43.9,1996
pak,40.7,1997
pak,43.7,1998
pak,43.6,1999
pak,44.4,2001
pak,38.2,2003
pak,38.1,2005
pak,36.4,2007
pan,37.2,1982
pan,37.7,1983
pan,38.7,1984
pan,39.8,1985
pan,39.2,1986
pan,34.7,1992
pan,32.2,1993
pan,28.2,1994
pan,29.1,1995
pan,28.5,1996
pan,26.9,1997
pan,25.7,1998
pan,25.3,1999
pan,24.7,2000
pan,25.5,2001
pan,24.9,2002
pan,24.9,2003
pan,23.1,2004
pan,22.2,2005
pan,22.3,2006
pan,21.3,2007
pry,1.5,1982
pry,6.2,1983
pry,5.0,1984
pry,4.4,1985
pry,4.7,1986
pry,4.5,1987
pry,4.0,1988
pry,3.0,1989
pry,42.5,1995
pry,35.8,1997
pry,36.7,1998
pry,38.3,1999
pry,37.7,2000
pry,39.0,2001
pry,41.3,2002
pry,38.7,2003
pry,33.3,2007
per,0.9,1987
per,1.7,1990
per,1.6,1995
per,7.6,1996
per,9.8,1997
per,7.0,1998
per,7.9,1999
per,8.9,2000
per,10.9,2001
per,14.0,2002
per,15.5,2003
per,14.8,2004
per,14.7,2005
per,14.5,2006
per,12.3,2007
phl,59.8,1980
phl,59.2,1981
phl,59.7,1982
phl,59.3,1983
phl,58.3,1984
phl,58.3,1985
phl,58.4,1986
phl,56.4,1987
phl,54.3,1988
phl,53.2,1989
phl,53.1,1990
phl,53.9,1991
phl,53.4,1992
phl,53.4,1993
phl,52.8,1994
phl,51.7,1995
phl,7.1,1996
phl,6.6,1997
phl,6.5,1998
phl,6.7,1999
phl,45.3,2000
phl,45.4,2001
phl,45.3,2002
phl,44.7,2003
phl,44.6,2004
phl,44.7,2005
phl,44.2,2006
phl,43.8,2007
pol,24.0,1994
pol,22.7,1995
pol,22.2,1996
pol,20.7,1997
pol,19.4,1998
pol,18.5,1999
pol,19.1,2000
pol,19.2,2001
pol,19.8,2002
pol,19.1,2003
pol,18.6,2004
pol,18.0,2005
pol,16.4,2006
pol,15.2,2007
prt,22.3,1980
prt,20.6,1981
prt,20.6,1982
prt,20.0,1983
prt,20.5,1984
prt,20.7,1985
prt,18.8,1986
prt,18.7,1987
prt,17.7,1988
prt,16.4,1989
prt,15.6,1990
prt,15.1,1991
prt,10.5,1992
prt,10.7,1993
prt,10.8,1994
prt,10.8,1995
prt,11.3,1996
prt,12.2,1997
prt,12.3,1998
prt,11.5,1999
prt,11.5,2000
prt,11.6,2001
prt,11.4,2002
prt,12.0,2003
prt,11.7,2004
prt,11.0,2005
prt,11.3,2006
prt,11.1,2007
pri,8.0,1980
pri,7.6,1981
pri,7.6,1982
pri,8.3,1983
pri,7.8,1984
pri,8.0,1985
pri,7.2,1986
pri,5.6,1987
pri,6.0,1988
pri,6.0,1989
pri,5.7,1991
pri,5.4,1992
pri,5.4,1993
pri,5.6,1994
pri,4.7,1995
pri,4.3,1996
pri,4.5,1997
pri,4.0,1998
pri,3.5,1999
pri,3.1,2000
pri,3.4,2001
pri,3.3,2002
pri,3.4,2003
pri,3.5,2004
pri,3.3,2005
