geo,male_agriculture_workers_percent_of_male_labour_force,time
dza,22.5,2001
dza,22.8,2003
dza,20.4,2004
asm,3.8,1990
aia,3.3,1999
aia,4.8,2001
atg,4.1,2001
arg,0.5,1990
arg,0.5,1991
arg,0.4,1992
arg,0.5,1993
arg,0.6,1994
arg,0.8,1995
arg,1.1,1996
arg,1.1,1997
arg,1.1,1998
arg,1.1,1999
arg,1.0,2000
arg,1.2,2001
arg,1.3,2002
arg,1.7,2003
arg,1.4,2004
arg,1.5,2005
arg,1.2,2006
arm,6.6,2001
arm,47.6,2002
arm,48.3,2003
arm,48.8,2004
arm,46.1,2005
arm,46.3,2006
abw,0.1,1994
abw,0.6,1997
aus,7.8,1980
aus,7.6,1981
aus,7.7,1982
aus,8.0,1983
aus,7.5,1984
aus,7.4,1985
aus,7.1,1986
aus,6.9,1987
aus,7.0,1988
aus,6.4,1989
aus,6.7,1990
aus,6.5,1991
aus,6.3,1992
aus,6.6,1993
aus,6.2,1994
aus,6.0,1995
aus,6.2,1996
aus,6.3,1997
aus,6.0,1998
aus,6.1,1999
aus,6.1,2000
aus,5.9,2001
aus,5.6,2002
aus,5.0,2003
aus,4.6,2004
aus,4.6,2005
aus,4.4,2006
aus,4.3,2007
aut,8.3,1983
aut,8.5,1984
aut,8.0,1985
aut,7.6,1986
aut,7.7,1987
aut,7.4,1988
aut,7.1,1989
aut,6.8,1990
aut,6.6,1991
aut,6.4,1992
aut,6.2,1993
aut,6.6,1994
aut,6.6,1995
aut,6.4,1996
aut,6.1,1997
aut,6.0,1998
aut,5.7,1999
aut,5.6,2000
aut,5.4,2001
aut,5.5,2002
aut,5.5,2003
aut,4.9,2004
aut,5.5,2005
aut,5.4,2006
aut,5.6,2007
aze,37.5,1999
aze,36.4,2000
aze,37.4,2001
aze,40.9,2002
aze,35.7,2003
aze,40.9,2004
aze,41.1,2005
aze,36.2,2006
aze,35.2,2007
bhs,7.8,1986
bhs,6.4,1989
bhs,8.6,1991
bhs,8.6,1992
bhs,9.0,1993
bhs,8.8,1994
bhs,7.3,1995
bhs,8.1,1996
bhs,6.0,1997
bhs,6.0,1998
bhs,6.7,1999
bhs,6.8,2001
bhs,5.6,2002
bhs,5.3,2003
bhs,8.2,2004
bhs,6.4,2005
bhs,4.4,2006
