geo,suicide_total_deaths,time
sur,78,2002
sur,87,2004
swz,48,2002
swz,86,2004
swe,1135,2002
swe,1239,2004
che,1284,2002
che,1333,2004
syr,97,2002
syr,97,2004
tjk,316,2002
tjk,139,2004
tza,849,2002
tza,2861,2004
tha,6891,2002
tha,6400,2004
tls,79,2002
tls,72,2004
tgo,217,2002
tgo,252,2004
ton,3,2002
ton,3,2004
tto,192,2002
tto,198,2004
tun,430,2002
tun,314,2004
tur,4693,2002
tur,2627,2004
tkm,599,2002
tkm,516,2004
tuv,1,2002
tuv,1,2004
uga,502,2002
uga,1922,2004
ukr,17520,2002
ukr,12710,2004
are,112,2002
are,70,2004
gbr,4993,2002
gbr,4708,2004
usa,30090,2002
usa,33270,2004
ury,578,2002
ury,554,2004
uzb,2316,2002
uzb,1559,2004
vut,6,2002
vut,6,2004
ven,1563,2002
ven,1386,2004
vnm,8857,2002
vnm,8365,2004
yem,946,2002
yem,1075,2004
zmb,360,2002
zmb,790,2004
zwe,629,2002
zwe,1242,2004
