geo,children_and_elderly_per_100_adults,time
afg,82.32,1950
afg,82.79,1955
afg,83.36,1960
afg,83.37,1965
afg,85.83,1970
afg,88.1,1975
afg,90.05,1980
afg,91.84,1985
afg,93.61,1990
afg,95.97,1995
afg,97.1,2000
afg,96.19,2005
afg,92.78,2010
afg,90.96,2015
afg,91.1,2020
afg,93.79,2025
afg,95.07,2030
afg,95.3,2035
afg,95.57,2040
afg,96.65,2045
afg,98.34,2050
alb,83.15,1950
alb,81.84,1955
alb,84.82,1960
alb,89.63,1965
alb,86.63,1970
alb,78.77,1975
alb,68.4,1980
alb,64.81,1985
alb,60.2,1990
alb,61.66,1995
alb,60.81,2000
alb,54.23,2005
alb,48.46,2010
alb,47.37,2015
alb,52.81,2020
alb,60.28,2025
alb,62.57,2030
alb,61.13,2035
alb,59.12,2040
alb,60.31,2045
alb,65.67,2050
dza,79.57,1950
dza,82.59,1955
dza,90.32,1960
dza,98.82,1965
dza,109.0,1970
dza,106.1,1975
dza,98.18,1980
dza,93.62,1985
dza,86.37,1990
dza,76.46,1995
dza,61.99,2000
dza,51.96,2005
dza,46.29,2010
dza,47.89,2015
dza,50.84,2020
dza,52.4,2025
dza,51.53,2030
dza,50.32,2035
dza,51.26,2040
dza,55.31,2045
dza,61.08,2050
ago,78.93,1950
ago,81.75,1955
ago,86.26,1960
ago,92.01,1965
ago,94.48,1970
ago,95.41,1975
ago,96.59,1980
ago,98.11,1985
ago,100.1,1990
ago,100.9,1995
ago,98.15,2000
ago,94.88,2005
ago,89.19,2010
ago,87.63,2015
ago,87.33,2020
ago,90.28,2025
ago,91.33,2030
ago,91.32,2035
ago,91.3,2040
ago,92.06,2045
ago,93.33,2050
arg,52.49,1950
arg,54.35,1955
arg,55.93,1960
arg,56.14,1965
arg,55.93,1970
arg,56.84,1975
arg,60.67,1980
arg,62.68,1985
arg,62.8,1990
arg,62.63,1995
arg,60.59,2000
arg,57.61,2005
arg,55.17,2010
arg,55.45,2015
arg,57.49,2020
arg,59.52,2025
arg,59.23,2030
arg,58.21,2035
arg,58.36,2040
arg,61.1,2045
arg,63.54,2050
arm,69.17,1950
arm,64.75,1955
arm,79.11,1960
arm,87.11,1965
arm,78.9,1970
arm,65.34,1975
arm,55.6,1980
arm,53.38,1985
arm,54.45,1990
arm,60.91,1995
arm,55.88,2000
arm,51.38,2005
arm,45.47,2010
arm,48.66,2015
arm,54.35,2020
arm,60.83,2025
arm,62.57,2030
arm,59.74,2035
arm,58.39,2040
arm,60.78,2045
arm,66.17,2050
abw,80.66,1950
abw,84.5,1955
abw,85.12,1960
abw,81.93,1965
abw,71.0,1970
abw,58.47,1975
abw,48.46,1980
abw,44.88,1985
abw,45.58,1990
abw,43.46,1995
abw,43.15,2000
abw,42.13,2005
abw,40.19,2010
abw,41.3,2015
abw,47.17,2020
abw,57.73,2025
abw,68.13,2030
abw,74.11,2035
abw,74.14,2040
abw,71.39,2045
abw,69.19,2050
aus,51.25,1950
aus,57.78,1955
aus,60.86,1960
aus,59.46,1965
aus,56.95,1970
aus,54.53,1975
aus,50.97,1980
aus,48.34,1985
aus,46.35,1990
aus,50.52,1995
aus,49.75,2000
aus,48.52,2005
aus,48.77,2010
aus,52.94,2015
aus,58.33,2020
aus,64.21,2025
aus,67.88,2030
aus,69.16,2035
aus,70.0,2040
aus,70.27,2045
aus,71.57,2050
aut,47.88,1950
aut,48.63,1955
aut,49.42,1960
aut,54.34,1965
aut,59.13,1970
aut,57.89,1975
aut,51.7,1980
aut,43.49,1985
aut,42.65,1990
aut,48.89,1995
aut,47.95,2000
aut,47.47,2005
aut,47.71,2010
aut,50.12,2015
aut,54.08,2020
aut,61.25,2025
aut,68.89,2030
