geo,population_aged_10_14_years_male_percent,time
afg,11.7,1950
afg,11.94,1955
afg,12.35,1960
afg,11.83,1965
afg,11.93,1970
afg,12.1,1975
afg,12.27,1980
afg,12.37,1985
afg,12.4,1990
afg,12.54,1995
afg,12.68,2000
afg,12.91,2005
afg,13.09,2010
afg,12.89,2015
afg,12.44,2020
afg,12.41,2025
afg,12.38,2030
afg,12.2,2035
afg,11.79,2040
afg,11.22,2045
afg,10.63,2050
alb,12.15,1950
alb,11.22,1955
alb,10.51,1960
alb,11.3,1965
alb,12.87,1970
alb,12.92,1975
alb,11.18,1980
alb,10.81,1985
alb,10.31,1990
alb,10.08,1995
alb,10.88,2000
alb,10.58,2005
alb,9.399,2010
alb,7.045,2015
alb,6.951,2020
alb,7.263,2025
alb,7.43,2030
alb,7.031,2035
alb,6.25,2040
alb,5.76,2045
alb,5.714,2050
dza,11.18,1950
dza,11.1,1955
dza,11.59,1960
dza,12.19,1965
dza,13.49,1970
dza,13.56,1975
dza,13.15,1980
dza,12.83,1985
dza,13.04,1990
dza,13.47,1995
dza,12.53,2000
dza,11.05,2005
dza,8.534,2010
dza,8.317,2015
dza,8.496,2020
dza,8.47,2025
dza,8.061,2030
dza,7.312,2035
dza,6.575,2040
dza,6.162,2045
dza,6.082,2050
ago,11.42,1950
ago,11.29,1955
ago,11.07,1960
ago,11.89,1965
ago,12.2,1970
ago,12.52,1975
ago,12.5,1980
ago,12.37,1985
ago,12.62,1990
ago,12.75,1995
ago,13.03,2000
ago,13.13,2005
ago,12.73,2010
ago,12.93,2015
ago,12.24,2020
ago,12.24,2025
ago,12.02,2030
ago,11.58,2035
ago,11.01,2040
ago,10.45,2045
ago,9.968,2050
arg,9.073,1950
arg,9.037,1955
arg,9.421,1960
arg,9.565,1965
arg,9.503,1970
arg,9.18,1975
arg,8.913,1980
arg,9.36,1985
arg,10.45,1990
arg,9.577,1995
arg,9.35,2000
arg,9.16,2005
arg,8.673,2010
arg,8.073,2015
arg,7.944,2020
arg,7.709,2025
arg,7.373,2030
arg,7.003,2035
arg,6.64,2040
arg,6.311,2045
arg,6.23,2050
arm,14.64,1950
arm,7.105,1955
arm,8.565,1960
arm,11.87,1965
arm,14.15,1970
arm,13.56,1975
arm,10.4,1980
arm,9.503,1985
arm,9.36,1990
arm,10.34,1995
arm,11.41,2000
arm,9.72,2005
arm,7.148,2010
arm,7.514,2015
arm,8.081,2020
arm,8.238,2025
arm,7.656,2030
arm,6.748,2035
arm,6.242,2040
arm,6.177,2045
arm,6.276,2050
abw,12.5,1950
abw,10.53,1955
abw,13.04,1960
abw,14.81,1965
abw,14.81,1970
abw,13.33,1975
abw,9.677,1980
abw,6.667,1985
abw,6.25,1990
abw,7.5,1995
abw,6.818,2000
abw,8.163,2005
abw,8.0,2010
abw,5.769,2015
abw,5.66,2020
abw,5.882,2025
abw,5.66,2030
abw,5.882,2035
abw,5.66,2040
abw,5.66,2045
abw,6.0,2050
aus,7.215,1950
aus,8.094,1955
aus,9.659,1960
aus,9.525,1965
aus,9.654,1970
aus,9.49,1975
aus,8.858,1980
aus,8.738,1985
aus,7.466,1990
aus,7.368,1995
aus,7.192,2000
aus,7.096,2005
aus,6.601,2010
aus,6.253,2015
aus,6.274,2020
aus,6.176,2025
aus,6.09,2030
