geo,all_forms_of_tb_number_of_deaths_estimated,time
afg,6274,1990
afg,6602,1991
afg,7063,1992
afg,7575,1993
afg,8034,1994
afg,8317,1995
afg,8648,1996
afg,8682,1997
afg,8546,1998
afg,8713,1999
afg,8448,2000
afg,8278,2001
afg,8090,2002
afg,8499,2003
afg,8301,2004
afg,8241,2005
afg,8091,2006
afg,8169,2007
alb,141,1990
alb,138,1991
alb,140,1992
alb,145,1993
alb,143,1994
alb,147,1995
alb,143,1996
alb,153,1997
alb,147,1998
alb,143,1999
alb,137,2000
alb,129,2001
alb,123,2002
alb,125,2003
alb,117,2004
alb,114,2005
alb,107,2006
alb,98,2007
dza,542,1990
dza,527,1991
dza,510,1992
dza,489,1993
dza,464,1994
dza,434,1995
dza,453,1996
dza,471,1997
dza,492,1998
dza,513,1999
dza,530,2000
dza,552,2001
dza,575,2002
dza,598,2003
dza,622,2004
dza,647,2005
dza,673,2006
dza,700,2007
asm,2,1990
asm,1,1991
asm,0,1992
asm,1,1993
asm,1,1994
asm,1,1995
asm,0,1996
asm,5,1997
asm,1,1998
asm,0,1999
asm,1,2000
asm,0,2001
asm,0,2002
asm,0,2003
asm,1,2004
asm,1,2005
asm,1,2006
asm,0,2007
and,2,1990
and,2,1991
and,2,1992
and,2,1993
and,2,1994
and,2,1995
and,2,1996
and,2,1997
and,2,1998
and,2,1999
and,2,2000
and,2,2001
and,2,2002
and,1,2003
and,2,2004
and,2,2005
and,1,2006
and,2,2007
ago,6296,1990
ago,6563,1991
ago,6861,1992
ago,7182,1993
ago,7512,1994
ago,7841,1995
ago,8303,1996
ago,6229,1997
ago,7438,1998
ago,7258,1999
ago,10390,2000
ago,6964,2001
ago,5059,2002
ago,4578,2003
ago,5810,2004
ago,6357,2005
ago,4823,2006
ago,5684,2007
aia,0,1990
aia,0,1991
aia,0,1992
aia,0,1993
aia,0,1994
aia,0,1995
aia,0,1996
aia,0,1997
aia,0,1998
aia,0,1999
aia,0,2000
aia,0,2001
aia,0,2002
aia,1,2003
aia,1,2004
aia,1,2005
aia,1,2006
aia,1,2007
atg,1,1990
atg,1,1991
atg,1,1992
atg,1,1993
atg,1,1994
atg,1,1995
atg,1,1996
atg,1,1997
atg,1,1998
atg,1,1999
atg,0,2000
atg,1,2001
atg,1,2002
atg,1,2003
atg,1,2004
atg,1,2005
atg,1,2006
atg,1,2007
arg,2602,1990
arg,2538,1991
arg,2476,1992
arg,2413,1993
arg,2351,1994
arg,2288,1995
arg,2225,1996
arg,2186,1997
arg,2135,1998
arg,2046,1999
arg,1953,2000
arg,2070,2001
arg,1930,2002
arg,1896,2003
arg,1795,2004
arg,1861,2005
arg,1838,2006
arg,1759,2007
arm,191,1990
arm,181,1991
arm,188,1992
arm,201,1993
arm,218,1994
arm,245,1995
arm,281,1996
arm,290,1997
arm,286,1998
arm,329,1999
arm,357,2000
arm,374,2001
arm,368,2002
arm,352,2003
arm,331,2004
arm,306,2005
arm,308,2006
arm,313,2007
aus,112,1990
aus,114,1991
aus,113,1992
aus,117,1993
aus,120,1994
aus,124,1995
aus,128,1996
aus,121,1997
aus,120,1998
aus,116,1999
aus,119,2000
aus,116,2001
aus,113,2002
aus,116,2003
aus,117,2004
aus,125,2005
aus,127,2006
aus,129,2007
aut,180,1990
aut,171,1991
aut,164,1992
aut,155,1993
aut,150,1994
aut,144,1995
aut,140,1996
aut,135,1997
aut,130,1998
aut,122,1999
aut,117,2000
aut,113,2001
aut,113,2002
aut,109,2003
aut,107,2004
aut,106,2005
aut,105,2006
aut,103,2007
aze,365,1990
aze,356,1991
aze,381,1992
aze,424,1993
aze,479,1994
aze,556,1995
aze,638,1996
aze,655,1997
aze,717,1998
aze,768,1999
aze,819,2000
aze,841,2001
aze,843,2002
aze,911,2003
aze,848,2004
aze,861,2005
aze,872,2006
aze,882,2007
bhs,28,1990
