geo,all_forms_of_tb_deaths_per_100000_estimated,time
bmu,1,2002
bmu,1,2003
bmu,1,2004
bmu,1,2005
bmu,1,2006
bmu,1,2007
btn,101,1990
btn,95,1991
btn,90,1992
btn,85,1993
btn,81,1994
btn,76,1995
btn,72,1996
btn,69,1997
btn,63,1998
btn,63,1999
btn,60,2000
btn,58,2001
btn,55,2002
btn,53,2003
btn,51,2004
btn,48,2005
btn,47,2006
btn,44,2007
bol,45,1990
bol,43,1991
bol,42,1992
bol,41,1993
bol,40,1994
bol,38,1995
bol,33,1996
bol,33,1997
bol,32,1998
bol,31,1999
bol,30,2000
bol,28,2001
bol,28,2002
bol,27,2003
bol,27,2004
bol,26,2005
bol,26,2006
bol,25,2007
bih,15,1990
bih,15,1991
bih,15,1992
bih,15,1993
bih,14,1994
bih,13,1995
bih,13,1996
bih,12,1997
bih,12,1998
bih,10,1999
bih,9,2000
bih,8,2001
bih,8,2002
bih,8,2003
bih,7,2004
bih,8,2005
bih,8,2006
bih,7,2007
bwa,46,1990
bwa,51,1991
bwa,55,1992
bwa,58,1993
bwa,61,1994
bwa,63,1995
bwa,60,1996
bwa,59,1997
bwa,65,1998
bwa,76,1999
bwa,84,2000
bwa,106,2001
bwa,123,2002
bwa,154,2003
bwa,162,2004
bwa,165,2005
bwa,189,2006
bwa,194,2007
bra,7,1990
bra,7,1991
bra,7,1992
bra,7,1993
bra,6,1994
bra,7,1995
bra,7,1996
bra,7,1997
bra,6,1998
bra,6,1999
bra,6,2000
bra,6,2001
bra,6,2002
bra,6,2003
bra,5,2004
bra,5,2005
bra,4,2006
bra,4,2007
vgb,4,1990
vgb,3,1991
vgb,3,1992
vgb,3,1993
vgb,3,1994
vgb,3,1995
vgb,3,1996
vgb,3,1997
vgb,2,1998
vgb,2,1999
vgb,2,2000
vgb,2,2001
vgb,2,2002
vgb,2,2003
vgb,2,2004
vgb,2,2005
vgb,2,2006
vgb,2,2007
brn,10,1990
brn,10,1991
brn,10,1992
brn,10,1993
brn,10,1994
brn,10,1995
brn,10,1996
brn,10,1997
brn,10,1998
brn,6,1999
brn,9,2000
brn,7,2001
brn,6,2002
brn,7,2003
brn,7,2004
brn,6,2005
brn,5,2006
brn,7,2007
bgr,4,1990
bgr,4,1991
bgr,5,1992
bgr,5,1993
bgr,5,1994
bgr,5,1995
bgr,5,1996
bgr,6,1997
bgr,6,1998
bgr,5,1999
bgr,5,2000
bgr,6,2001
bgr,6,2002
bgr,5,2003
bgr,5,2004
bgr,5,2005
bgr,5,2006
bgr,5,2007
bfa,32,1990
bfa,35,1991
bfa,37,1992
bfa,39,1993
bfa,41,1994
bfa,43,1995
bfa,45,1996
bfa,49,1997
bfa,53,1998
bfa,58,1999
bfa,63,2000
bfa,69,2001
bfa,74,2002
bfa,76,2003
bfa,76,2004
bfa,74,2005
bfa,71,2006
bfa,69,2007
bdi,43,1990
bdi,49,1991
bdi,56,1992
bdi,61,1993
bdi,65,1994
bdi,68,1995
bdi,71,1996
bdi,71,1997
bdi,86,1998
bdi,81,1999
bdi,87,2000
bdi,98,2001
bdi,106,2002
bdi,110,2003
bdi,110,2004
bdi,109,2005
bdi,107,2006
bdi,102,2007
khm,119,1990
khm,119,1991
khm,120,1992
khm,120,1993
khm,120,1994
khm,118,1995
khm,120,1996
khm,117,1997
khm,115,1998
khm,112,1999
khm,111,2000
khm,109,2001
khm,104,2002
khm,100,2003
khm,96,2004
khm,92,2005
khm,91,2006
khm,89,2007
cmr,24,1990
cmr,28,1991
cmr,31,1992
cmr,34,1993
cmr,38,1994
cmr,41,1995
cmr,44,1996
cmr,49,1997
cmr,51,1998
cmr,54,1999
cmr,56,2000
cmr,59,2001
cmr,58,2002
cmr,53,2003
cmr,53,2004
cmr,45,2005
cmr,42,2006
cmr,39,2007
can,1,1990
can,1,1991
can,1,1992
can,1,1993
can,1,1994
can,1,1995
can,1,1996
can,1,1997
can,1,1998
can,1,1999
can,1,2000
can,1,2001
can,1,2002
can,1,2003
can,1,2004
can,1,2005
can,1,2006
can,1,2007
cpv,50,1990
cpv,48,1991
cpv,47,1992
cpv,46,1993
cpv,45,1994
cpv,44,1995
cpv,44,1996
cpv,43,1997
cpv,43,1998
cpv,42,1999
cpv,42,2000
cpv,32,2001
cpv,41,2002
cpv,41,2003
cpv,40,2004
cpv,32,2005
cpv,32,2006
cpv,31,2007
cym,1,1990
cym,1,1991
cym,1,1992
cym,1,1993
cym,1,1994
cym,1,1995
cym,1,1996
cym,1,1997
cym,1,1998
cym,1,1999
cym,1,2000
cym,0,2001
cym,1,2002
cym,1,2003
cym,0,2004
cym,0,2005
cym,1,2006
cym,0,2007
caf,47,1990
caf,53,1991
caf,58,1992
caf,64,1993
caf,69,1994
caf,74,1995
caf,56,1996
caf,87,1997
caf,95,1998
caf,103,1999
caf,113,2000
caf,116,2001
caf,110,2002
caf,134,2003
caf,136,2004
caf,120,2005
caf,102,2006
caf,100,2007
tcd,31,1990
tcd,34,1991
tcd,37,1992
tcd,40,1993
tcd,43,1994
tcd,46,1995
tcd,55,1996
tcd,65,1997
tcd,72,1998
tcd,66,1999
tcd,73,2000
tcd,79,2001
tcd,89,2002
tcd,103,2003
tcd,99,2004
tcd,94,2005
tcd,91,2006
tcd,90,2007
chl,4,1990
chl,4,1991
chl,4,1992
chl,3,1993
chl,3,1994
chl,3,1995
chl,3,1996
chl,3,1997
chl,2,1998
chl,2,1999
chl,2,2000
chl,2,2001
chl,2,2002
chl,2,2003
chl,2,2004
chl,2,2005
chl,1,2006
chl,1,2007
chn,25,1990
chn,24,1991
chn,24,1992
chn,23,1993
chn,22,1994
chn,22,1995
chn,21,1996
chn,21,1997
chn,20,1998
chn,20,1999
chn,20,2000
chn,20,2001
chn,19,2002
chn,18,2003
chn,17,2004
chn,16,2005
chn,15,2006
chn,15,2007
col,9,1990
col,9,1991
col,9,1992
col,9,1993
col,9,1994
col,8,1995
col,8,1996
col,8,1997
col,8,1998
col,7,1999
col,6,2000
col,7,2001
col,7,2002
col,7,2003
col,7,2004
col,6,2005
col,5,2006
col,5,2007
com,15,1990
com,14,1991
com,13,1992
com,12,1993
com,11,1994
com,10,1995
com,10,1996
com,11,1997
com,9,1998
com,10,1999
com,9,2000
com,8,2001
com,8,2002
com,8,2003
com,7,2004
com,7,2005
com,7,2006
com,6,2007
cog,44,1990
cog,49,1991
cog,52,1992
cog,55,1993
cog,57,1994
cog,59,1995
cog,92,1996
cog,102,1997
cog,78,1998
cog,118,1999
cog,43,2000
cog,57,2001
cog,66,2002
cog,99,2003
cog,91,2004
cog,91,2005
cog,96,2006
cog,90,2007
cok,0,1990
cok,2,1991
cok,10,1992
cok,8,1993
cok,6,1994
cok,3,1995
cok,2,1996
cok,1,1997
cok,0,1998
cok,4,1999
cok,1,2000
cok,10,2001
cok,2,2002
cok,0,2003
cok,5,2004
cok,1,2005
cok,2,2006
cok,4,2007
cri,3,1990
cri,3,1991
cri,3,1992
cri,3,1993
cri,3,1994
cri,3,1995
cri,2,1996
cri,2,1997
cri,2,1998
cri,1,1999
cri,1,2000
cri,1,2001
cri,1,2002
cri,1,2003
cri,1,2004
cri,1,2005
cri,1,2006
cri,1,2007
hrv,12,1990
hrv,12,1991
hrv,12,1992
hrv,12,1993
hrv,11,1994
hrv,11,1995
hrv,10,1996
hrv,10,1997
hrv,10,1998
hrv,9,1999
hrv,7,2000
hrv,7,2001
hrv,7,2002
hrv,7,2003
hrv,7,2004
hrv,7,2005
hrv,6,2006
hrv,6,2007
cub,3,1990
cub,3,1991
cub,3,1992
cub,2,1993
cub,2,1994
cub,2,1995
cub,2,1996
cub,2,1997
cub,2,1998
cub,1,1999
cub,1,2000
cub,1,2001
cub,1,2002
cub,1,2003
cub,1,2004
cub,1,2005
cub,1,2006
cub,1,2007
cyp,1,1990
cyp,1,1991
cyp,1,1992
cyp,1,1993
cyp,1,1994
cyp,1,1995
cyp,1,1996
cyp,1,1997
cyp,1,1998
cyp,1,1999
cyp,1,2000
cyp,1,2001
cyp,1,2002
cyp,1,2003
cyp,1,2004
cyp,1,2005
cyp,0,2006
cyp,0,2007
cze,2,1990
cze,2,1991
cze,2,1992
cze,2,1993
cze,2,1994
cze,2,1995
cze,2,1996
cze,2,1997
cze,2,1998
cze,2,1999
cze,2,2000
cze,2,2001
cze,1,2002
cze,1,2003
cze,1,2004
cze,1,2005
cze,1,2006
cze,1,2007
civ,48,1990
civ,56,1991
civ,61,1992
civ,67,1993
civ,72,1994
civ,78,1995
civ,84,1996
civ,91,1997
civ,99,1998
civ,110,1999
civ,125,2000
civ,151,2001
civ,145,2002
civ,148,2003
civ,147,2004
civ,145,2005
civ,136,2006
civ,128,2007
prk,113,1990
prk,113,1991
prk,112,1992
prk,112,1993
prk,111,1994
prk,111,1995
prk,111,1996
prk,111,1997
prk,111,1998
prk,110,1999
prk,105,2000
prk,98,2001
prk,90,2002
prk,86,2003
prk,83,2004
prk,85,2005
prk,83,2006
prk,65,2007
cod,35,1990
cod,39,1991
cod,41,1992
cod,44,1993
cod,47,1994
cod,51,1995
cod,53,1996
cod,58,1997
cod,59,1998
cod,65,1999
cod,73,2000
cod,79,2001
cod,86,2002
cod,87,2003
cod,87,2004
cod,86,2005
cod,85,2006
cod,82,2007
dnk,2,1990
dnk,1,1991
dnk,1,1992
dnk,1,1993
dnk,1,1994
dnk,1,1995
dnk,1,1996
dnk,1,1997
dnk,1,1998
dnk,1,1999
dnk,1,2000
dnk,1,2001
dnk,1,2002
dnk,1,2003
dnk,1,2004
dnk,1,2005
dnk,1,2006
dnk,1,2007
dji,126,1990
dji,127,1991
dji,129,1992
dji,132,1993
dji,136,1994
dji,139,1995
dji,78,1996
dji,73,1997
dji,101,1998
dji,94,1999
dji,105,2000
dji,102,2001
dji,133,2002
dji,137,2003
dji,146,2004
dji,148,2005
dji,154,2006
dji,157,2007
dma,3,1990
dma,3,1991
dma,3,1992
dma,3,1993
dma,3,1994
dma,3,1995
dma,2,1996
dma,2,1997
dma,2,1998
dma,2,1999
dma,2,2000
dma,3,2001
dma,2,2002
dma,2,2003
dma,2,2004
dma,3,2005
dma,1,2006
dma,2,2007
dom,27,1990
dom,27,1991
dom,26,1992
dom,26,1993
dom,25,1994
dom,25,1995
dom,22,1996
dom,24,1997
dom,23,1998
dom,22,1999
dom,21,2000
dom,20,2001
dom,17,2002
dom,15,2003
dom,15,2004
dom,14,2005
dom,14,2006
dom,13,2007
ecu,41,1990
ecu,40,1991
ecu,38,1992
ecu,37,1993
ecu,36,1994
ecu,35,1995
ecu,35,1996
ecu,32,1997
ecu,33,1998
ecu,32,1999
ecu,31,2000
ecu,30,2001
ecu,27,2002
ecu,26,2003
ecu,25,2004
ecu,25,2005
ecu,24,2006
ecu,23,2007
egy,4,1990
egy,4,1991
egy,4,1992
egy,4,1993
egy,4,1994
egy,4,1995
egy,4,1996
egy,4,1997
egy,3,1998
egy,3,1999
egy,3,2000
egy,3,2001
egy,3,2002
egy,3,2003
egy,3,2004
egy,3,2005
egy,3,2006
egy,2,2007
slv,15,1990
slv,14,1991
slv,14,1992
slv,13,1993
slv,13,1994
slv,12,1995
slv,13,1996
slv,11,1997
slv,11,1998
slv,10,1999
slv,10,2000
slv,10,2001
slv,9,2002
slv,9,2003
slv,8,2004
slv,8,2005
slv,8,2006
slv,7,2007
gnq,19,1990
gnq,22,1991
gnq,23,1992
gnq,25,1993
gnq,27,1994
gnq,29,1995
gnq,36,1996
gnq,38,1997
gnq,37,1998
gnq,40,1999
gnq,44,2000
gnq,83,2001
gnq,89,2002
gnq,93,2003
gnq,69,2004
gnq,68,2005
gnq,66,2006
gnq,87,2007
eri,20,1990
eri,20,1991
eri,21,1992
eri,21,1993
eri,22,1994
eri,22,1995
eri,23,1996
eri,22,1997
eri,21,1998
eri,14,1999
eri,14,2000
eri,14,2001
eri,14,2002
eri,14,2003
eri,15,2004
eri,16,2005
eri,17,2006
eri,16,2007
est,4,1990
est,4,1991
est,5,1992
est,5,1993
est,6,1994
est,7,1995
est,8,1996
est,9,1997
est,10,1998
est,10,1999
est,10,2000
est,9,2001
est,9,2002
est,9,2003
est,8,2004
est,7,2005
est,7,2006
est,6,2007
eth,40,1990
eth,45,1991
eth,50,1992
eth,55,1993
eth,59,1994
eth,64,1995
eth,64,1996
eth,65,1997
eth,69,1998
eth,76,1999
eth,79,2000
eth,88,2001
eth,92,2002
eth,97,2003
eth,98,2004
eth,98,2005
eth,96,2006
eth,92,2007
fji,9,1990
fji,8,1991
fji,8,1992
fji,7,1993
fji,7,1994
fji,6,1995
fji,6,1996
fji,6,1997
fji,5,1998
fji,5,1999
fji,5,2000
fji,4,2001
fji,4,2002
fji,4,2003
fji,4,2004
fji,4,2005
fji,3,2006
fji,4,2007
fin,2,1990
fin,2,1991
fin,1,1992
fin,1,1993
fin,1,1994
fin,1,1995
fin,1,1996
fin,1,1997
fin,1,1998
fin,1,1999
fin,1,2000
fin,1,2001
fin,1,2002
fin,1,2003
fin,1,2004
fin,1,2005
fin,1,2006
fin,1,2007
fra,3,1990
fra,3,1991
fra,2,1992
fra,2,1993
fra,2,1994
fra,2,1995
fra,2,1996
fra,2,1997
fra,2,1998
fra,2,1999
fra,2,2000
fra,2,2001
fra,2,2002
fra,2,2003
fra,2,2004
fra,1,2005
fra,1,2006
fra,1,2007
pyf,7,1990
pyf,6,1991
pyf,9,1992
pyf,9,1993
pyf,10,1994
pyf,11,1995
pyf,6,1996
pyf,4,1997
pyf,5,1998
pyf,5,1999
pyf,5,2000
pyf,5,2001
pyf,3,2002
pyf,3,2003
pyf,2,2004
pyf,3,2005
pyf,2,2006
pyf,3,2007
gab,46,1990
gab,45,1991
gab,46,1992
gab,47,1993
gab,50,1994
gab,49,1995
gab,55,1996
gab,59,1997
gab,63,1998
gab,70,1999
gab,86,2000
gab,44,2001
gab,65,2002
gab,63,2003
gab,56,2004
gab,72,2005
gab,74,2006
gab,76,2007
gmb,38,1990
gmb,38,1991
gmb,38,1992
gmb,38,1993
gmb,39,1994
gmb,39,1995
gmb,40,1996
gmb,40,1997
gmb,40,1998
gmb,64,1999
gmb,65,2000
gmb,67,2001
gmb,46,2002
gmb,47,2003
gmb,48,2004
gmb,50,2005
gmb,54,2006
gmb,55,2007
geo,7,1990
geo,6,1991
geo,7,1992
geo,7,1993
geo,8,1994
geo,9,1995
geo,10,1996
geo,13,1997
geo,12,1998
geo,13,1999
geo,14,2000
geo,14,2001
geo,14,2002
geo,14,2003
geo,13,2004
geo,11,2005
geo,9,2006
geo,9,2007
deu,2,1990
deu,2,1991
deu,2,1992
deu,2,1993
deu,2,1994
deu,2,1995
deu,2,1996
deu,1,1997
deu,1,1998
deu,1,1999
deu,1,2000
deu,1,2001
deu,1,2002
deu,1,2003
deu,1,2004
deu,1,2005
deu,1,2006
deu,1,2007
gha,59,1990
gha,58,1991
gha,58,1992
gha,59,1993
gha,59,1994
gha,60,1995
gha,62,1996
gha,58,1997
gha,58,1998
gha,57,1999
gha,55,2000
gha,54,2001
gha,54,2002
gha,53,2003
gha,53,2004
gha,53,2005
gha,52,2006
gha,52,2007
grc,4,1990
grc,4,1991
grc,4,1992
grc,4,1993
grc,3,1994
grc,3,1995
grc,3,1996
grc,3,1997
grc,3,1998
grc,3,1999
grc,3,2000
grc,3,2001
grc,2,2002
grc,2,2003
grc,2,2004
grc,2,2005
grc,2,2006
grc,2,2007
grd,1,1990
grd,1,1991
grd,1,1992
grd,1,1993
grd,1,1994
grd,1,1995
grd,1,1996
grd,1,1997
grd,1,1998
grd,1,1999
grd,1,2000
grd,1,2001
grd,1,2002
grd,1,2003
grd,1,2004
grd,1,2005
grd,1,2006
grd,1,2007
gum,11,1990
gum,10,1991
gum,10,1992
gum,11,1993
gum,15,1994
gum,10,1995
gum,9,1996
gum,9,1997
gum,9,1998
gum,9,1999
gum,4,2000
gum,5,2001
gum,6,2002
gum,5,2003
gum,5,2004
gum,3,2005
gum,5,2006
gum,2,2007
gtm,13,1990
gtm,13,1991
gtm,13,1992
gtm,13,1993
gtm,13,1994
gtm,13,1995
gtm,13,1996
gtm,13,1997
gtm,13,1998
gtm,13,1999
gtm,13,2000
gtm,13,2001
gtm,13,2002
gtm,13,2003
gtm,12,2004
gtm,12,2005
gtm,12,2006
gtm,12,2007
gin,28,1990
gin,29,1991
gin,30,1992
gin,32,1993
gin,33,1994
gin,35,1995
gin,35,1996
gin,38,1997
gin,41,1998
gin,43,1999
gin,46,2000
gin,49,2001
gin,53,2002
gin,56,2003
gin,59,2004
gin,65,2005
gin,66,2006
gin,70,2007
gnb,40,1990
gnb,40,1991
gnb,41,1992
gnb,42,1993
gnb,43,1994
gnb,44,1995
gnb,46,1996
gnb,52,1997
gnb,56,1998
gnb,58,1999
gnb,42,2000
gnb,44,2001
gnb,48,2002
gnb,47,2003
gnb,42,2004
gnb,45,2005
gnb,43,2006
gnb,44,2007
guy,6,1990
guy,7,1991
guy,6,1992
guy,8,1993
guy,10,1994
guy,13,1995
guy,15,1996
guy,16,1997
guy,17,1998
guy,18,1999
guy,18,2000
guy,21,2001
guy,22,2002
guy,24,2003
guy,22,2004
guy,22,2005
guy,22,2006
guy,24,2007
hti,81,1990
hti,82,1991
hti,83,1992
hti,84,1993
hti,84,1994
hti,84,1995
hti,85,1996
hti,84,1997
hti,82,1998
hti,80,1999
hti,79,2000
hti,78,2001
hti,76,2002
hti,74,2003
hti,73,2004
hti,71,2005
hti,71,2006
hti,71,2007
hnd,17,1990
hnd,16,1991
hnd,16,1992
hnd,15,1993
hnd,15,1994
hnd,14,1995
hnd,16,1996
hnd,16,1997
hnd,12,1998
hnd,10,1999
hnd,6,2000
hnd,7,2001
hnd,7,2002
hnd,9,2003
hnd,10,2004
hnd,10,2005
hnd,10,2006
hnd,10,2007
hun,6,1990
hun,6,1991
hun,6,1992
hun,6,1993
hun,6,1994
hun,6,1995
hun,7,1996
hun,6,1997
hun,6,1998
hun,5,1999
hun,5,2000
hun,4,2001
hun,4,2002
hun,4,2003
hun,3,2004
hun,3,2005
hun,3,2006
hun,2,2007
isl,1,1990
isl,1,1991
isl,0,1992
isl,1,1993
isl,0,1994
isl,0,1995
isl,0,1996
isl,0,1997
isl,0,1998
isl,0,1999
isl,0,2000
isl,0,2001
isl,0,2002
isl,0,2003
isl,0,2004
isl,0,2005
isl,0,2006
isl,0,2007
ind,42,1990
ind,42,1991
ind,42,1992
ind,43,1993
ind,43,1994
ind,44,1995
ind,44,1996
ind,45,1997
ind,45,1998
ind,44,1999
ind,43,2000
ind,40,2001
ind,38,2002
ind,35,2003
ind,31,2004
ind,30,2005
ind,29,2006
ind,28,2007
idn,92,1990
idn,89,1991
idn,85,1992
idn,82,1993
idn,79,1994
idn,75,1995
idn,73,1996
idn,70,1997
idn,67,1998
idn,63,1999
idn,62,2000
idn,59,2001
idn,54,2002
idn,51,2003
idn,47,2004
idn,43,2005
idn,40,2006
idn,39,2007
irn,4,1990
irn,4,1991
irn,5,1992
irn,4,1993
irn,5,1994
irn,5,1995
irn,5,1996
irn,4,1997
irn,4,1998
irn,4,1999
irn,4,2000
irn,4,2001
irn,3,2002
irn,3,2003
irn,3,2004
irn,3,2005
irn,3,2006
irn,3,2007
irq,12,1990
irq,12,1991
irq,12,1992
irq,12,1993
irq,12,1994
irq,12,1995
irq,8,1996
irq,8,1997
irq,8,1998
irq,8,1999
irq,10,2000
irq,10,2001
irq,9,2002
irq,9,2003
irq,10,2004
irq,10,2005
irq,11,2006
irq,11,2007
irl,2,1990
irl,2,1991
irl,2,1992
irl,2,1993
irl,2,1994
irl,2,1995
irl,1,1996
irl,2,1997
irl,2,1998
irl,1,1999
irl,2,2000
irl,1,2001
irl,1,2002
irl,1,2003
irl,1,2004
irl,1,2005
irl,1,2006
irl,1,2007
isr,1,1990
isr,1,1991
isr,1,1992
isr,1,1993
isr,1,1994
isr,1,1995
isr,1,1996
isr,1,1997
isr,1,1998
isr,1,1999
isr,1,2000
isr,1,2001
isr,1,2002
isr,1,2003
isr,1,2004
isr,1,2005
isr,1,2006
isr,1,2007
ita,2,1990
ita,1,1991
ita,1,1992
ita,1,1993
ita,1,1994
ita,1,1995
ita,1,1996
ita,1,1997
ita,1,1998
ita,1,1999
ita,1,2000
ita,1,2001
ita,1,2002
ita,1,2003
ita,1,2004
ita,1,2005
ita,1,2006
ita,1,2007
jam,1,1990
jam,1,1991
jam,1,1992
jam,1,1993
jam,1,1994
jam,1,1995
jam,1,1996
jam,1,1997
jam,1,1998
jam,1,1999
jam,1,2000
jam,1,2001
jam,1,2002
jam,1,2003
jam,1,2004
jam,1,2005
jam,1,2006
jam,1,2007
jpn,6,1990
jpn,6,1991
jpn,5,1992
jpn,5,1993
jpn,5,1994
jpn,5,1995
jpn,5,1996
jpn,5,1997
jpn,5,1998
jpn,4,1999
jpn,4,2000
jpn,4,2001
jpn,4,2002
jpn,3,2003
jpn,3,2004
jpn,3,2005
jpn,3,2006
jpn,3,2007
jor,1,1990
jor,1,1991
jor,1,1992
jor,1,1993
jor,1,1994
jor,1,1995
jor,1,1996
jor,1,1997
jor,1,1998
jor,1,1999
jor,1,2000
jor,1,2001
jor,1,2002
jor,1,2003
jor,1,2004
jor,1,2005
jor,1,2006
jor,1,2007
kaz,8,1990
kaz,7,1991
kaz,7,1992
kaz,7,1993
kaz,7,1994
kaz,8,1995
