newborn_mortality_rate_per_1000,geo,time
8.8,brb,2001
9.2,brb,2002
9.5,brb,2003
9.8,brb,2004
10.0,brb,2005
9.9,brb,2006
9.8,brb,2007
9.5,brb,2008
9.3,brb,2009
9.1,brb,2010
8.9,brb,2011
8.7,brb,2012
8.4,brb,2013
8.2,brb,2014
8.0,brb,2015
9.3,blr,1990
9.2,blr,1991
9.3,blr,1992
9.5,blr,1993
9.6,blr,1994
9.7,blr,1995
9.8,blr,1996
9.5,blr,1997
9.0,blr,1998
8.3,blr,1999
7.4,blr,2000
6.6,blr,2001
5.9,blr,2002
5.3,blr,2003
4.7,blr,2004
4.2,blr,2005
3.7,blr,2006
3.2,blr,2007
2.8,blr,2008
2.5,blr,2009
2.3,blr,2010
2.2,blr,2011
2.1,blr,2012
2.0,blr,2013
1.9,blr,2014
1.9,blr,2015
20.0,bel,1960
18.9,bel,1961
17.8,bel,1962
17.1,bel,1963
16.7,bel,1964
16.6,bel,1965
16.3,bel,1966
15.9,bel,1967
15.3,bel,1968
14.6,bel,1969
14.0,bel,1970
13.4,bel,1971
13.1,bel,1972
12.7,bel,1973
12.1,bel,1974
11.3,bel,1975
10.5,bel,1976
9.6,bel,1977
8.8,bel,1978
8.1,bel,1979
7.5,bel,1980
7.1,bel,1981
6.7,bel,1982
6.4,bel,1983
6.1,bel,1984
5.7,bel,1985
5.5,bel,1986
5.3,bel,1987
5.0,bel,1988
4.8,bel,1989
4.6,bel,1990
4.4,bel,1991
4.2,bel,1992
4.1,bel,1993
3.9,bel,1994
3.8,bel,1995
3.6,bel,1996
3.5,bel,1997
3.3,bel,1998
3.1,bel,1999
3.0,bel,2000
2.9,bel,2001
2.8,bel,2002
2.8,bel,2003
2.7,bel,2004
2.6,bel,2005
2.6,bel,2006
2.5,bel,2007
2.4,bel,2008
2.4,bel,2009
2.3,bel,2010
2.3,bel,2011
2.3,bel,2012
2.2,bel,2013
2.2,bel,2014
2.2,bel,2015
36.2,blz,1968
35.4,blz,1969
34.5,blz,1970
33.7,blz,1971
33.1,blz,1972
32.4,blz,1973
31.8,blz,1974
31.1,blz,1975
30.5,blz,1976
29.8,blz,1977
29.1,blz,1978
28.4,blz,1979
27.6,blz,1980
26.8,blz,1981
25.9,blz,1982
25.1,blz,1983
24.2,blz,1984
23.3,blz,1985
22.5,blz,1986
21.6,blz,1987
20.7,blz,1988
19.8,blz,1989
18.9,blz,1990
18.2,blz,1991
17.4,blz,1992
16.6,blz,1993
15.8,blz,1994
15.1,blz,1995
14.5,blz,1996
13.9,blz,1997
13.4,blz,1998
13.0,blz,1999
12.6,blz,2000
12.2,blz,2001
11.8,blz,2002
11.5,blz,2003
11.2,blz,2004
11.0,blz,2005
10.7,blz,2006
10.4,blz,2007
10.1,blz,2008
9.9,blz,2009
9.6,blz,2010
9.4,blz,2011
9.1,blz,2012
8.9,blz,2013
8.6,blz,2014
8.3,blz,2015
66.3,ben,1958
66.0,ben,1959
65.6,ben,1960
65.2,ben,1961
64.6,ben,1962
64.0,ben,1963
63.3,ben,1964
62.4,ben,1965
61.9,ben,1966
61.4,ben,1967
60.8,ben,1968
60.3,ben,1969
59.9,ben,1970
59.4,ben,1971
58.9,ben,1972
58.4,ben,1973
57.7,ben,1974
56.8,ben,1975
56.0,ben,1976
55.1,ben,1977
54.3,ben,1978
53.5,ben,1979
52.9,ben,1980
52.2,ben,1981
51.6,ben,1982
50.9,ben,1983
50.4,ben,1984
49.9,ben,1985
49.4,ben,1986
48.8,ben,1987
48.1,ben,1988
47.3,ben,1989
46.3,ben,1990
45.4,ben,1991
44.4,ben,1992
43.6,ben,1993
42.9,ben,1994
42.3,ben,1995
41.9,ben,1996
41.4,ben,1997
40.9,ben,1998
40.3,ben,1999
39.6,ben,2000
38.6,ben,2001
37.8,ben,2002
36.9,ben,2003
36.1,ben,2004
35.5,ben,2005
35.0,ben,2006
34.5,ben,2007
34.1,ben,2008
33.8,ben,2009
33.5,ben,2010
33.3,ben,2011
32.9,ben,2012
32.6,ben,2013
32.2,ben,2014
31.8,ben,2015
44.0,btn,1990
42.9,btn,1991
42.0,btn,1992
40.8,btn,1993
39.7,btn,1994
38.5,btn,1995
37.4,btn,1996
36.2,btn,1997
35.1,btn,1998
33.9,btn,1999
32.7,btn,2000
31.8,btn,2001
30.7,btn,2002
29.8,btn,2003
28.8,btn,2004
27.7,btn,2005
26.6,btn,2006
25.5,btn,2007
24.4,btn,2008
23.3,btn,2009
22.2,btn,2010
21.3,btn,2011
20.4,btn,2012
19.7,btn,2013
19.1,btn,2014
18.3,btn,2015
73.0,bol,1966
70.7,bol,1967
68.2,bol,1968
65.8,bol,1969
63.8,bol,1970
62.1,bol,1971
60.9,bol,1972
59.7,bol,1973
58.5,bol,1974
57.3,bol,1975
55.9,bol,1976
54.6,bol,1977
53.2,bol,1978
51.8,bol,1979
50.8,bol,1980
49.9,bol,1981
49.3,bol,1982
48.6,bol,1983
47.9,bol,1984
46.9,bol,1985
45.7,bol,1986
44.6,bol,1987
43.7,bol,1988
42.8,bol,1989
42.0,bol,1990
40.9,bol,1991
39.9,bol,1992
39.0,bol,1993
38.1,bol,1994
37.0,bol,1995
35.6,bol,1996
34.0,bol,1997
32.5,bol,1998
31.0,bol,1999
29.9,bol,2000
29.0,bol,2001
28.4,bol,2002
28.0,bol,2003
27.6,bol,2004
27.1,bol,2005
26.3,bol,2006
25.3,bol,2007
24.4,bol,2008
23.4,bol,2009
22.6,bol,2010
21.9,bol,2011
21.2,bol,2012
20.7,bol,2013
20.1,bol,2014
19.6,bol,2015
15.4,bih,1985
14.1,bih,1986
13.0,bih,1987
12.2,bih,1988
11.6,bih,1989
11.3,bih,1990
11.1,bih,1991
10.9,bih,1992
10.5,bih,1993
10.0,bih,1994
9.5,bih,1995
9.0,bih,1996
8.4,bih,1997
7.8,bih,1998
7.2,bih,1999
6.6,bih,2000
6.1,bih,2001
5.7,bih,2002
5.4,bih,2003
5.2,bih,2004
5.1,bih,2005
5.1,bih,2006
5.1,bih,2007
5.1,bih,2008
5.2,bih,2009
5.1,bih,2010
5.0,bih,2011
4.7,bih,2012
4.5,bih,2013
4.2,bih,2014
4.0,bih,2015
40.1,bwa,1965
39.0,bwa,1966
37.8,bwa,1967
36.6,bwa,1968
35.3,bwa,1969
34.2,bwa,1970
33.2,bwa,1971
32.4,bwa,1972
31.6,bwa,1973
31.0,bwa,1974
30.4,bwa,1975
29.9,bwa,1976
29.4,bwa,1977
28.9,bwa,1978
28.5,bwa,1979
28.1,bwa,1980
27.8,bwa,1981
27.3,bwa,1982
26.9,bwa,1983
26.6,bwa,1984
26.3,bwa,1985
26.1,bwa,1986
26.1,bwa,1987
26.1,bwa,1988
26.0,bwa,1989
25.9,bwa,1990
25.7,bwa,1991
25.4,bwa,1992
25.2,bwa,1993
25.0,bwa,1994
24.7,bwa,1995
24.4,bwa,1996
24.2,bwa,1997
24.0,bwa,1998
23.9,bwa,1999
24.0,bwa,2000
24.3,bwa,2001
24.7,bwa,2002
25.1,bwa,2003
25.4,bwa,2004
25.5,bwa,2005
25.5,bwa,2006
25.3,bwa,2007
25.0,bwa,2008
24.6,bwa,2009
24.2,bwa,2010
23.7,bwa,2011
23.3,bwa,2012
22.9,bwa,2013
22.4,bwa,2014
21.9,bwa,2015
50.9,bra,1963
50.4,bra,1964
50.0,bra,1965
49.8,bra,1966
49.6,bra,1967
49.2,bra,1968
48.5,bra,1969
47.7,bra,1970
46.7,bra,1971
45.6,bra,1972
44.5,bra,1973
43.2,bra,1974
41.8,bra,1975
40.4,bra,1976
39.0,bra,1977
37.7,bra,1978
36.4,bra,1979
35.3,bra,1980
34.1,bra,1981
33.0,bra,1982
31.8,bra,1983
30.7,bra,1984
29.5,bra,1985
28.5,bra,1986
27.4,bra,1987
26.4,bra,1988
25.3,bra,1989
24.3,bra,1990
23.3,bra,1991
22.4,bra,1992
21.5,bra,1993
20.7,bra,1994
20.0,bra,1995
19.3,bra,1996
18.5,bra,1997
17.8,bra,1998
17.0,bra,1999
16.0,bra,2000
14.9,bra,2001
13.9,bra,2002
13.0,bra,2003
12.2,bra,2004
11.5,bra,2005
10.8,bra,2006
10.4,bra,2007
10.3,bra,2008
10.5,bra,2009
10.7,bra,2010
10.8,bra,2011
10.7,bra,2012
10.3,bra,2013
9.6,bra,2014
8.9,bra,2015
6.4,brn,1990
6.2,brn,1991
6.0,brn,1992
5.8,brn,1993
5.6,brn,1994
5.4,brn,1995
5.2,brn,1996
5.1,brn,1997
5.0,brn,1998
4.9,brn,1999
4.9,brn,2000
4.9,brn,2001
4.9,brn,2002
4.9,brn,2003
4.9,brn,2004
4.9,brn,2005
4.9,brn,2006
4.8,brn,2007
4.7,brn,2008
4.7,brn,2009
4.6,brn,2010
4.5,brn,2011
4.4,brn,2012
4.3,brn,2013
4.3,brn,2014
4.3,brn,2015
21.6,bgr,1964
21.3,bgr,1965
21.2,bgr,1966
21.1,bgr,1967
20.8,bgr,1968
20.2,bgr,1969
19.6,bgr,1970
19.2,bgr,1971
18.9,bgr,1972
18.7,bgr,1973
18.5,bgr,1974
18.2,bgr,1975
17.8,bgr,1976
17.2,bgr,1977
16.5,bgr,1978
15.8,bgr,1979
15.1,bgr,1980
14.5,bgr,1981
14.0,bgr,1982
13.5,bgr,1983
12.9,bgr,1984
12.3,bgr,1985
11.8,bgr,1986
11.4,bgr,1987
11.2,bgr,1988
11.3,bgr,1989
11.6,bgr,1990
11.9,bgr,1991
12.1,bgr,1992
12.2,bgr,1993
12.2,bgr,1994
12.2,bgr,1995
12.3,bgr,1996
12.3,bgr,1997
12.2,bgr,1998
11.8,bgr,1999
11.3,bgr,2000
10.8,bgr,2001
10.3,bgr,2002
9.8,bgr,2003
9.2,bgr,2004
8.6,bgr,2005
8.1,bgr,2006
7.7,bgr,2007
7.4,bgr,2008
7.2,bgr,2009
7.1,bgr,2010
6.8,bgr,2011
6.5,bgr,2012
6.2,bgr,2013
5.9,bgr,2014
5.6,bgr,2015
72.1,bfa,1969
72.5,bfa,1970
72.8,bfa,1971
73.2,bfa,1972
73.1,bfa,1973
72.1,bfa,1974
70.6,bfa,1975
68.6,bfa,1976
66.3,bfa,1977
64.0,bfa,1978
62.3,bfa,1979
60.9,bfa,1980
59.8,bfa,1981
58.7,bfa,1982
57.6,bfa,1983
56.2,bfa,1984
54.2,bfa,1985
52.2,bfa,1986
50.1,bfa,1987
48.3,bfa,1988
47.0,bfa,1989
46.3,bfa,1990
45.8,bfa,1991
45.4,bfa,1992
45.0,bfa,1993
44.6,bfa,1994
44.3,bfa,1995
44.0,bfa,1996
43.8,bfa,1997
43.5,bfa,1998
43.0,bfa,1999
42.4,bfa,2000
41.7,bfa,2001
40.8,bfa,2002
39.6,bfa,2003
38.3,bfa,2004
36.7,bfa,2005
35.2,bfa,2006
33.9,bfa,2007
32.7,bfa,2008
31.6,bfa,2009
30.4,bfa,2010
29.4,bfa,2011
28.6,bfa,2012
27.9,bfa,2013
27.2,bfa,2014
26.7,bfa,2015
51.1,bdi,1964
50.9,bdi,1965
51.1,bdi,1966
50.9,bdi,1967
50.8,bdi,1968
50.5,bdi,1969
50.3,bdi,1970
50.0,bdi,1971
49.7,bdi,1972
49.4,bdi,1973
49.1,bdi,1974
48.8,bdi,1975
48.4,bdi,1976
47.9,bdi,1977
47.3,bdi,1978
46.6,bdi,1979
45.9,bdi,1980
45.1,bdi,1981
44.4,bdi,1982
43.6,bdi,1983
42.8,bdi,1984
42.3,bdi,1985
41.9,bdi,1986
41.6,bdi,1987
41.6,bdi,1988
41.8,bdi,1989
42.0,bdi,1990
42.1,bdi,1991
42.1,bdi,1992
42.0,bdi,1993
41.9,bdi,1994
41.7,bdi,1995
41.3,bdi,1996
40.9,bdi,1997
40.5,bdi,1998
39.9,bdi,1999
39.4,bdi,2000
38.9,bdi,2001
38.3,bdi,2002
37.7,bdi,2003
36.9,bdi,2004
36.0,bdi,2005
35.2,bdi,2006
34.2,bdi,2007
33.3,bdi,2008
32.3,bdi,2009
31.7,bdi,2010
31.0,bdi,2011
30.4,bdi,2012
29.8,bdi,2013
29.3,bdi,2014
28.6,bdi,2015
63.7,khm,1976
61.3,khm,1977
58.6,khm,1978
55.7,khm,1979
52.6,khm,1980
49.6,khm,1981
47.0,khm,1982
45.1,khm,1983
43.8,khm,1984
43.0,khm,1985
42.5,khm,1986
42.1,khm,1987
41.6,khm,1988
41.1,khm,1989
40.7,khm,1990
40.3,khm,1991
40.0,khm,1992
40.0,khm,1993
39.9,khm,1994
39.9,khm,1995
39.8,khm,1996
39.5,khm,1997
38.8,khm,1998
37.6,khm,1999
36.1,khm,2000
34.2,khm,2001
32.0,khm,2002
30.1,khm,2003
28.3,khm,2004
26.8,khm,2005
25.5,khm,2006
24.3,khm,2007
23.1,khm,2008
21.9,khm,2009
20.7,khm,2010
19.4,khm,2011
18.2,khm,2012
16.9,khm,2013
15.7,khm,2014
14.8,khm,2015
87.1,cmr,1955
84.7,cmr,1956
82.5,cmr,1957
80.1,cmr,1958
77.9,cmr,1959
76.1,cmr,1960
74.7,cmr,1961
73.7,cmr,1962
72.9,cmr,1963
72.3,cmr,1964
71.6,cmr,1965
70.7,cmr,1966
69.3,cmr,1967
67.3,cmr,1968
65.1,cmr,1969
62.9,cmr,1970
61.0,cmr,1971
59.3,cmr,1972
58.0,cmr,1973
57.3,cmr,1974
57.0,cmr,1975
56.7,cmr,1976
56.4,cmr,1977
55.8,cmr,1978
55.0,cmr,1979
53.9,cmr,1980
52.7,cmr,1981
51.3,cmr,1982
49.6,cmr,1983
47.9,cmr,1984
45.9,cmr,1985
44.1,cmr,1986
42.6,cmr,1987
41.6,cmr,1988
41.0,cmr,1989
40.7,cmr,1990
40.5,cmr,1991
40.4,cmr,1992
40.2,cmr,1993
40.0,cmr,1994
39.7,cmr,1995
39.3,cmr,1996
38.6,cmr,1997
37.5,cmr,1998
36.1,cmr,1999
34.7,cmr,2000
33.5,cmr,2001
32.5,cmr,2002
31.7,cmr,2003
31.1,cmr,2004
30.7,cmr,2005
30.2,cmr,2006
29.6,cmr,2007
29.0,cmr,2008
28.5,cmr,2009
28.1,cmr,2010
27.5,cmr,2011
26.9,cmr,2012
26.5,cmr,2013
26.1,cmr,2014
25.7,cmr,2015
13.9,can,1969
13.2,can,1970
12.5,can,1971
11.7,can,1972
10.9,can,1973
10.0,can,1974
9.3,can,1975
8.7,can,1976
8.3,can,1977
7.9,can,1978
7.3,can,1979
6.7,can,1980
6.3,can,1981
5.9,can,1982
5.6,can,1983
5.4,can,1984
5.2,can,1985
4.9,can,1986
4.7,can,1987
4.6,can,1988
4.5,can,1989
4.4,can,1990
4.3,can,1991
4.2,can,1992
4.1,can,1993
4.1,can,1994
4.1,can,1995
4.0,can,1996
3.9,can,1997
3.8,can,1998
3.7,can,1999
3.7,can,2000
3.8,can,2001
3.8,can,2002
3.9,can,2003
4.0,can,2004
4.0,can,2005
4.0,can,2006
3.9,can,2007
3.8,can,2008
3.8,can,2009
3.7,can,2010
3.6,can,2011
3.5,can,2012
3.4,can,2013
3.3,can,2014
3.2,can,2015
26.7,cpv,1975
25.8,cpv,1976
24.9,cpv,1977
24.3,cpv,1978
23.8,cpv,1979
23.5,cpv,1980
23.4,cpv,1981
23.4,cpv,1982
23.4,cpv,1983
23.3,cpv,1984
23.3,cpv,1985
23.1,cpv,1986
22.8,cpv,1987
22.4,cpv,1988
22.2,cpv,1989
22.1,cpv,1990
