newborn_mortality_rate_per_1000,geo,time
52.8,afg,1990
51.9,afg,1991
50.9,afg,1992
49.9,afg,1993
49.1,afg,1994
48.2,afg,1995
47.5,afg,1996
47.0,afg,1997
46.1,afg,1998
45.6,afg,1999
45.2,afg,2000
44.5,afg,2001
43.9,afg,2002
43.2,afg,2003
42.5,afg,2004
41.7,afg,2005
41.0,afg,2006
40.4,afg,2007
39.8,afg,2008
39.1,afg,2009
38.7,afg,2010
38.1,afg,2011
37.4,afg,2012
36.8,afg,2013
36.1,afg,2014
35.5,afg,2015
22.8,alb,1979
21.6,alb,1980
20.4,alb,1981
19.2,alb,1982
18.0,alb,1983
17.0,alb,1984
16.1,alb,1985
15.4,alb,1986
14.8,alb,1987
14.2,alb,1988
13.7,alb,1989
13.4,alb,1990
13.2,alb,1991
13.0,alb,1992
12.9,alb,1993
12.9,alb,1994
12.7,alb,1995
12.5,alb,1996
12.3,alb,1997
11.9,alb,1998
11.7,alb,1999
11.3,alb,2000
11.0,alb,2001
10.7,alb,2002
10.3,alb,2003
9.8,alb,2004
9.4,alb,2005
8.9,alb,2006
8.5,alb,2007
8.2,alb,2008
7.9,alb,2009
7.5,alb,2010
7.2,alb,2011
7.0,alb,2012
6.8,alb,2013
6.5,alb,2014
6.2,alb,2015
71.3,dza,1969
70.0,dza,1970
68.0,dza,1971
66.0,dza,1972
63.7,dza,1973
61.3,dza,1974
58.7,dza,1975
56.3,dza,1976
53.9,dza,1977
51.7,dza,1978
49.2,dza,1979
46.5,dza,1980
43.3,dza,1981
39.7,dza,1982
36.1,dza,1983
32.5,dza,1984
29.3,dza,1985
26.7,dza,1986
24.9,dza,1987
23.6,dza,1988
22.8,dza,1989
22.4,dza,1990
22.1,dza,1991
22.0,dza,1992
21.8,dza,1993
21.7,dza,1994
21.5,dza,1995
21.3,dza,1996
21.1,dza,1997
21.0,dza,1998
21.0,dza,1999
21.0,dza,2000
20.9,dza,2001
20.7,dza,2002
20.4,dza,2003
20.0,dza,2004
19.5,dza,2005
18.8,dza,2006
18.2,dza,2007
17.5,dza,2008
17.0,dza,2009
16.5,dza,2010
16.2,dza,2011
15.9,dza,2012
15.7,dza,2013
15.6,dza,2014
15.5,dza,2015
4.3,and,1990
4.0,and,1991
3.7,and,1992
3.4,and,1993
3.2,and,1994
3.0,and,1995
2.8,and,1996
2.6,and,1997
2.4,and,1998
2.3,and,1999
2.2,and,2000
2.1,and,2001
2.1,and,2002
2.0,and,2003
2.0,and,2004
1.9,and,2005
1.9,and,2006
1.8,and,2007
1.8,and,2008
1.7,and,2009
1.7,and,2010
1.6,and,2011
1.6,and,2012
1.5,and,2013
1.5,and,2014
1.4,and,2015
59.1,ago,1990
59.2,ago,1991
59.4,ago,1992
59.4,ago,1993
59.3,ago,1994
59.4,ago,1995
59.5,ago,1996
59.4,ago,1997
58.9,ago,1998
58.7,ago,1999
58.4,ago,2000
58.2,ago,2001
57.5,ago,2002
57.2,ago,2003
56.7,ago,2004
56.1,ago,2005
55.5,ago,2006
55.0,ago,2007
54.1,ago,2008
53.4,ago,2009
52.6,ago,2010
51.9,ago,2011
51.1,ago,2012
50.4,ago,2013
49.6,ago,2014
48.7,ago,2015
14.7,atg,1990
14.1,atg,1991
13.5,atg,1992
12.9,atg,1993
12.3,atg,1994
11.7,atg,1995
11.2,atg,1996
10.7,atg,1997
10.3,atg,1998
9.9,atg,1999
9.4,atg,2000
9.0,atg,2001
8.6,atg,2002
8.2,atg,2003
7.9,atg,2004
7.5,atg,2005
7.2,atg,2006
6.9,atg,2007
6.6,atg,2008
6.3,atg,2009
6.0,atg,2010
5.8,atg,2011
5.5,atg,2012
5.3,atg,2013
5.1,atg,2014
4.9,atg,2015
25.0,arg,1970
24.8,arg,1971
24.5,arg,1972
24.1,arg,1973
23.7,arg,1974
23.3,arg,1975
22.8,arg,1976
22.3,arg,1977
21.4,arg,1978
20.0,arg,1979
18.5,arg,1980
17.2,arg,1981
16.4,arg,1982
16.0,arg,1983
16.1,arg,1984
16.1,arg,1985
16.3,arg,1986
16.4,arg,1987
16.3,arg,1988
15.9,arg,1989
15.4,arg,1990
15.0,arg,1991
14.7,arg,1992
14.4,arg,1993
14.0,arg,1994
13.3,arg,1995
12.6,arg,1996
12.0,arg,1997
11.5,arg,1998
11.3,arg,1999
11.3,arg,2000
11.1,arg,2001
10.6,arg,2002
10.0,arg,2003
9.5,arg,2004
9.2,arg,2005
8.8,arg,2006
8.5,arg,2007
8.1,arg,2008
7.8,arg,2009
7.5,arg,2010
7.2,arg,2011
7.0,arg,2012
6.8,arg,2013
6.5,arg,2014
6.3,arg,2015
28.4,arm,1977
27.7,arm,1978
27.0,arm,1979
26.4,arm,1980
25.9,arm,1981
25.5,arm,1982
25.2,arm,1983
25.0,arm,1984
24.8,arm,1985
24.6,arm,1986
24.3,arm,1987
24.4,arm,1988
23.5,arm,1989
23.0,arm,1990
22.5,arm,1991
21.9,arm,1992
21.2,arm,1993
20.5,arm,1994
19.8,arm,1995
19.1,arm,1996
18.3,arm,1997
17.5,arm,1998
16.7,arm,1999
15.9,arm,2000
15.1,arm,2001
14.4,arm,2002
13.7,arm,2003
13.0,arm,2004
12.4,arm,2005
11.8,arm,2006
11.1,arm,2007
10.6,arm,2008
10.0,arm,2009
9.5,arm,2010
9.1,arm,2011
8.6,arm,2012
8.2,arm,2013
7.7,arm,2014
7.4,arm,2015
12.9,aus,1968
12.8,aus,1969
12.6,aus,1970
12.3,aus,1971
12.0,aus,1972
11.6,aus,1973
11.1,aus,1974
10.4,aus,1975
9.6,aus,1976
8.9,aus,1977
8.2,aus,1978
7.6,aus,1979
7.1,aus,1980
6.7,aus,1981
6.4,aus,1982
6.1,aus,1983
5.9,aus,1984
5.7,aus,1985
5.5,aus,1986
5.3,aus,1987
5.1,aus,1988
4.8,aus,1989
4.6,aus,1990
4.4,aus,1991
4.2,aus,1992
4.0,aus,1993
3.9,aus,1994
3.7,aus,1995
3.7,aus,1996
3.6,aus,1997
3.6,aus,1998
3.5,aus,1999
3.5,aus,2000
3.5,aus,2001
3.4,aus,2002
3.4,aus,2003
3.3,aus,2004
3.3,aus,2005
3.2,aus,2006
3.1,aus,2007
3.0,aus,2008
2.9,aus,2009
2.8,aus,2010
2.6,aus,2011
2.5,aus,2012
2.4,aus,2013
2.3,aus,2014
2.2,aus,2015
28.2,aut,1955
27.4,aut,1956
26.5,aut,1957
25.6,aut,1958
24.7,aut,1959
23.7,aut,1960
22.7,aut,1961
21.8,aut,1962
21.2,aut,1963
20.7,aut,1964
20.2,aut,1965
19.7,aut,1966
19.2,aut,1967
18.9,aut,1968
18.9,aut,1969
19.0,aut,1970
18.9,aut,1971
18.6,aut,1972
17.8,aut,1973
16.5,aut,1974
15.0,aut,1975
13.3,aut,1976
11.8,aut,1977
10.6,aut,1978
9.7,aut,1979
9.0,aut,1980
8.4,aut,1981
8.0,aut,1982
7.5,aut,1983
7.1,aut,1984
6.6,aut,1985
6.1,aut,1986
5.6,aut,1987
5.2,aut,1988
4.9,aut,1989
4.6,aut,1990
4.4,aut,1991
4.2,aut,1992
4.0,aut,1993
3.7,aut,1994
3.5,aut,1995
3.4,aut,1996
3.2,aut,1997
3.2,aut,1998
3.1,aut,1999
3.1,aut,2000
3.1,aut,2001
3.0,aut,2002
3.0,aut,2003
2.9,aut,2004
2.8,aut,2005
2.8,aut,2006
2.7,aut,2007
2.6,aut,2008
2.6,aut,2009
2.5,aut,2010
2.4,aut,2011
2.4,aut,2012
2.3,aut,2013
2.2,aut,2014
2.1,aut,2015
36.4,aze,1983
36.1,aze,1984
35.9,aze,1985
35.7,aze,1986
35.6,aze,1987
35.6,aze,1988
35.6,aze,1989
35.9,aze,1990
36.2,aze,1991
36.6,aze,1992
37.0,aze,1993
37.3,aze,1994
37.4,aze,1995
37.1,aze,1996
36.6,aze,1997
35.8,aze,1998
34.7,aze,1999
33.4,aze,2000
32.1,aze,2001
30.6,aze,2002
29.2,aze,2003
27.8,aze,2004
26.6,aze,2005
25.4,aze,2006
24.4,aze,2007
23.4,aze,2008
22.5,aze,2009
21.7,aze,2010
21.0,aze,2011
20.4,aze,2012
19.7,aze,2013
18.9,aze,2014
18.2,aze,2015
20.2,bhs,1969
20.3,bhs,1970
20.2,bhs,1971
20.1,bhs,1972
20.0,bhs,1973
20.0,bhs,1974
20.0,bhs,1975
19.9,bhs,1976
19.7,bhs,1977
19.5,bhs,1978
19.1,bhs,1979
18.8,bhs,1980
18.5,bhs,1981
18.2,bhs,1982
17.9,bhs,1983
17.6,bhs,1984
17.2,bhs,1985
16.8,bhs,1986
16.2,bhs,1987
15.5,bhs,1988
14.8,bhs,1989
14.0,bhs,1990
13.3,bhs,1991
12.6,bhs,1992
12.0,bhs,1993
11.4,bhs,1994
10.7,bhs,1995
10.2,bhs,1996
9.6,bhs,1997
9.2,bhs,1998
8.9,bhs,1999
8.7,bhs,2000
8.6,bhs,2001
8.6,bhs,2002
8.6,bhs,2003
8.7,bhs,2004
8.7,bhs,2005
8.6,bhs,2006
8.5,bhs,2007
8.4,bhs,2008
8.2,bhs,2009
8.0,bhs,2010
7.8,bhs,2011
7.5,bhs,2012
7.3,bhs,2013
7.1,bhs,2014
6.9,bhs,2015
30.8,bhr,1971
28.6,bhr,1972
26.7,bhr,1973
24.9,bhr,1974
23.4,bhr,1975
22.1,bhr,1976
21.1,bhr,1977
20.3,bhr,1978
19.7,bhr,1979
18.9,bhr,1980
18.3,bhr,1981
17.8,bhr,1982
17.5,bhr,1983
17.2,bhr,1984
16.9,bhr,1985
16.6,bhr,1986
16.3,bhr,1987
16.0,bhr,1988
15.7,bhr,1989
15.2,bhr,1990
14.5,bhr,1991
13.5,bhr,1992
12.3,bhr,1993
10.9,bhr,1994
9.5,bhr,1995
8.2,bhr,1996
7.0,bhr,1997
6.1,bhr,1998
5.3,bhr,1999
4.7,bhr,2000
4.2,bhr,2001
3.7,bhr,2002
3.2,bhr,2003
2.8,bhr,2004
2.4,bhr,2005
2.1,bhr,2006
1.8,bhr,2007
1.6,bhr,2008
1.5,bhr,2009
1.4,bhr,2010
1.3,bhr,2011
1.2,bhr,2012
1.2,bhr,2013
1.1,bhr,2014
1.1,bhr,2015
120.7,bgd,1952
118.4,bgd,1953
116.6,bgd,1954
114.7,bgd,1955
112.4,bgd,1956
110.0,bgd,1957
107.9,bgd,1958
106.0,bgd,1959
104.0,bgd,1960
102.4,bgd,1961
101.0,bgd,1962
99.6,bgd,1963
98.3,bgd,1964
97.1,bgd,1965
96.3,bgd,1966
95.6,bgd,1967
95.1,bgd,1968
94.9,bgd,1969
94.7,bgd,1970
94.5,bgd,1971
94.2,bgd,1972
93.9,bgd,1973
93.6,bgd,1974
93.1,bgd,1975
92.5,bgd,1976
91.4,bgd,1977
90.2,bgd,1978
88.8,bgd,1979
87.0,bgd,1980
84.9,bgd,1981
82.5,bgd,1982
80.0,bgd,1983
77.5,bgd,1984
75.0,bgd,1985
72.6,bgd,1986
70.3,bgd,1987
68.1,bgd,1988
65.8,bgd,1989
63.4,bgd,1990
61.0,bgd,1991
58.7,bgd,1992
56.4,bgd,1993
54.0,bgd,1994
51.8,bgd,1995
49.6,bgd,1996
47.7,bgd,1997
45.9,bgd,1998
44.2,bgd,1999
42.6,bgd,2000
41.0,bgd,2001
39.6,bgd,2002
38.2,bgd,2003
36.8,bgd,2004
35.5,bgd,2005
34.2,bgd,2006
32.8,bgd,2007
31.5,bgd,2008
30.2,bgd,2009
28.9,bgd,2010
27.6,bgd,2011
26.3,bgd,2012
25.2,bgd,2013
24.2,bgd,2014
23.3,bgd,2015
31.3,brb,1968
29.8,brb,1969
28.3,brb,1970
27.1,brb,1971
25.9,brb,1972
24.9,brb,1973
23.9,brb,1974
22.9,brb,1975
21.8,brb,1976
20.5,brb,1977
19.3,brb,1978
18.2,brb,1979
17.3,brb,1980
16.5,brb,1981
15.8,brb,1982
15.4,brb,1983
15.0,brb,1984
14.6,brb,1985
14.2,brb,1986
13.8,brb,1987
13.1,brb,1988
12.4,brb,1989
11.6,brb,1990
11.0,brb,1991
10.4,brb,1992
9.9,brb,1993
9.5,brb,1994
9.2,brb,1995
8.9,brb,1996
8.7,brb,1997
8.6,brb,1998
8.6,brb,1999
8.7,brb,2000
