murdered_60plus_per_100000_people,geo,time
4.221,arg,1966
5.378,arg,1967
5.241,arg,1968
5.693,arg,1969
5.536,arg,1970
4.338,arg,1977
4.285,arg,1978
2.954,arg,1979
3.252,arg,1980
3.929,arg,1981
3.605,arg,1982
4.073,arg,1983
4.514,arg,1984
3.913,arg,1985
5.863,arg,1986
4.918,arg,1987
5.213,arg,1988
5.267,arg,1989
4.923,arg,1990
4.628,arg,1991
4.548,arg,1992
4.213,arg,1993
4.183,arg,1994
3.776,arg,1995
4.024,arg,1996
3.862,arg,1997
3.761,arg,1998
4.557,arg,1999
5.126,arg,2000
5.756,arg,2001
6.627,arg,2002
6.648,arg,2003
5.735,arg,2004
4.644,arg,2005
4.369,arg,2006
4.547,arg,2007
1.172,aus,1950
1.463,aus,1951
1.391,aus,1952
1.818,aus,1953
0.7886,aus,1954
1.085,aus,1955
1.12,aus,1956
1.225,aus,1957
1.086,aus,1958
0.8146,aus,1959
1.31,aus,1960
0.9156,aus,1961
1.343,aus,1962
1.654,aus,1963
0.7837,aus,1964
0.8485,aus,1965
0.8663,aus,1966
0.75,aus,1967
0.7999,aus,1968
0.7465,aus,1969
1.12,aus,1970
1.146,aus,1971
1.113,aus,1972
1.282,aus,1973
1.485,aus,1974
0.9956,aus,1975
1.975,aus,1976
1.507,aus,1977
1.26,aus,1978
1.274,aus,1979
1.305,aus,1980
2.006,aus,1981
1.361,aus,1982
0.9174,aus,1983
1.326,aus,1984
1.209,aus,1985
1.039,aus,1986
1.269,aus,1987
1.512,aus,1988
1.153,aus,1989
1.576,aus,1990
1.358,aus,1991
1.061,aus,1992
1.45,aus,1993
1.062,aus,1994
1.241,aus,1995
1.386,aus,1996
1.154,aus,1997
1.117,aus,1998
1.13,aus,1999
1.179,aus,2000
1.072,aus,2001
0.6746,aus,2002
0.7435,aus,2003
0.3695,aus,2004
0.3806,aus,2006
0.9503,aut,1955
1.567,aut,1956
0.6476,aut,1957
0.6553,aut,1958
1.545,aut,1959
0.9077,aut,1960
1.113,aut,1961
0.8693,aut,1962
0.562,aut,1963
0.8174,aut,1964
0.9586,aut,1965
0.8108,aut,1966
0.9616,aut,1967
0.7,aut,1968
1.135,aut,1969
2.074,aut,1970
1.678,aut,1971
0.9316,aut,1972
0.6571,aut,1973
1.492,aut,1974
1.891,aut,1975
1.179,aut,1976
1.422,aut,1977
0.9468,aut,1978
1.218,aut,1979
1.137,aut,1980
1.134,aut,1981
1.569,aut,1982
1.388,aut,1983
2.195,aut,1984
0.8095,aut,1985
1.163,aut,1986
1.39,aut,1987
1.019,aut,1988
0.9876,aut,1989
1.177,aut,1990
1.062,aut,1991
1.269,aut,1992
0.9639,aut,1993
0.8094,aut,1994
0.9636,aut,1995
1.315,aut,1996
0.2408,aut,1997
1.441,aut,1998
0.6228,aut,1999
1.299,aut,2000
0.5873,aut,2001
0.7108,aut,2002
0.4378,aut,2003
0.8037,aut,2004
0.705,aut,2005
0.7677,aut,2006
0.5068,aut,2007
0.7835,aut,2008
3.978,aze,1981
4.064,aze,1982
3.312,aze,1985
4.221,aze,1986
2.829,aze,1987
5.273,aze,1988
2.767,aze,1989
8.121,aze,1990
4.525,aze,1991
28.56,aze,1992
21.13,aze,1993
20.8,aze,1994
6.0,aze,1995
6.31,aze,1996
3.818,aze,1997
6.426,aze,1998
3.992,aze,1999
4.216,aze,2000
0.0,bhr,1985
7.279,bhr,1987
0.0,bhr,1988
0.0,bhr,1997
0.0,bhr,1998
0.0,bhr,1999
0.0,bhr,2000
0.0,bhr,2001
4.738,blr,1981
8.182,blr,1982
4.871,blr,1985
3.989,blr,1986
4.215,blr,1987
5.541,blr,1988
6.297,blr,1989
5.793,blr,1990
5.505,blr,1991
6.96,blr,1992
8.672,blr,1993
8.371,blr,1994
12.64,blr,1995
11.77,blr,1997
11.17,blr,1998
10.28,blr,1999
11.37,blr,2000
11.97,blr,2001
12.93,blr,2002
11.78,blr,2003
7.649,blr,2007
0.6471,bel,1954
0.737,bel,1955
1.204,bel,1956
0.8019,bel,1957
0.696,bel,1958
0.497,bel,1959
0.6745,bel,1960
0.9719,bel,1961
0.8635,bel,1962
0.6147,bel,1963
0.5203,bel,1964
0.5316,bel,1965
0.7841,bel,1966
0.4965,bel,1967
0.9907,bel,1968
1.252,bel,1969
1.858,bel,1970
0.9884,bel,1971
1.838,bel,1972
1.594,bel,1973
1.255,bel,1974
1.238,bel,1975
0.6517,bel,1976
0.9114,bel,1977
0.8753,bel,1978
1.327,bel,1979
1.548,bel,1980
1.655,bel,1981
1.513,bel,1982
2.267,bel,1983
1.271,bel,1984
2.162,bel,1985
1.883,bel,1986
1.455,bel,1987
1.281,bel,1988
0.765,bel,1989
1.288,bel,1990
1.879,bel,1991
1.175,bel,1992
1.936,bel,1993
1.637,bel,1994
1.499,bel,1995
1.455,bel,1996
0.9595,bel,1997
1.783,bel,1998
2.269,bel,1999
1.261,bel,2004
0.0,bih,1985
0.2188,bih,1986
0.2759,bih,1987
0.0,bih,1988
0.0,bih,1989
0.0,bih,1990
0.0,bih,1991
8.264,bra,1982
9.255,bra,1983
8.957,bra,1984
8.459,bra,1985
7.305,bra,1986
8.549,bra,1987
8.429,bra,1988
9.573,bra,1989
9.162,bra,1990
9.256,bra,1991
8.617,bra,1992
9.188,bra,1993
8.673,bra,1994
10.61,bra,1995
10.75,bra,1996
10.23,bra,1997
9.94,bra,1998
10.37,bra,1999
10.04,bra,2000
10.36,bra,2001
10.65,bra,2002
11.25,bra,2003
10.42,bra,2004
10.36,bra,2005
1.459,bgr,1964
2.562,bgr,1965
1.548,bgr,1966
2.568,bgr,1967
2.835,bgr,1968
2.847,bgr,1969
3.162,bgr,1970
3.052,bgr,1971
2.934,bgr,1972
2.481,bgr,1973
2.773,bgr,1974
2.686,bgr,1975
2.769,bgr,1976
2.744,bgr,1977
3.087,bgr,1978
2.865,bgr,1979
2.979,bgr,1980
5.319,bgr,1981
4.94,bgr,1982
4.34,bgr,1983
4.841,bgr,1984
5.365,bgr,1985
4.087,bgr,1986
3.231,bgr,1987
3.257,bgr,1988
1.82,bgr,1989
3.188,bgr,1990
5.827,bgr,1991
6.395,bgr,1992
5.749,bgr,1993
5.35,bgr,1994
4.107,bgr,1995
4.819,bgr,1996
4.592,bgr,1997
4.203,bgr,1998
3.21,bgr,1999
3.706,bgr,2000
3.045,bgr,2001
2.929,bgr,2002
3.481,bgr,2003
2.877,bgr,2004
2.67,bgr,2005
2.467,bgr,2006
2.403,bgr,2007
2.088,bgr,2008
0.5474,can,1950
1.348,can,1951
0.9499,can,1952
0.6029,can,1953
1.371,can,1954
1.063,can,1955
1.056,can,1956
1.312,can,1957
1.173,can,1958
0.9494,can,1959
1.867,can,1960
1.519,can,1961
1.106,can,1962
2.059,can,1963
1.363,can,1964
1.46,can,1965
1.559,can,1966
1.194,can,1967
1.602,can,1968
1.852,can,1969
2.242,can,1970
1.56,can,1971
1.735,can,1972
1.878,can,1973
2.189,can,1974
2.172,can,1975
2.39,can,1976
2.023,can,1977
1.951,can,1978
1.809,can,1979
1.773,can,1980
1.918,can,1981
1.918,can,1982
1.702,can,1983
1.708,can,1984
1.397,can,1985
1.456,can,1986
1.793,can,1987
1.189,can,1988
1.511,can,1989
1.305,can,1990
1.572,can,1991
1.095,can,1992
0.9268,can,1993
0.972,can,1994
1.13,can,1995
0.9305,can,1996
1.134,can,1997
1.114,can,1998
1.097,can,1999
1.1,can,2000
0.6607,can,2001
0.9987,can,2002
0.9076,can,2003
1.21,can,2004
2.26,chl,1955
4.025,chl,1956
4.573,chl,1957
3.635,chl,1958
5.002,chl,1959
5.396,chl,1960
5.229,chl,1961
2.231,chl,1962
2.141,chl,1963
3.431,chl,1964
3.165,chl,1965
10.34,chl,1966
1.501,chl,1967
9.312,chl,1968
5.368,chl,1969
4.157,chl,1970
4.79,chl,1971
5.531,chl,1972
6.854,chl,1973
3.644,chl,1974
4.065,chl,1975
2.175,chl,1976
2.87,chl,1977
3.635,chl,1978
4.492,chl,1979
3.263,chl,1980
3.936,chl,1981
4.246,chl,1982
4.213,chl,1983
3.735,chl,1984
3.683,chl,1985
3.916,chl,1986
3.821,chl,1987
3.415,chl,1988
2.027,chl,1989
4.545,chl,1990
4.126,chl,1991
4.471,chl,1992
2.242,chl,1993
3.639,chl,1994
3.091,chl,1995
2.559,chl,1996
2.236,chl,1997
2.316,chl,1998
2.349,chl,1999
4.055,chl,2000
3.334,chl,2001
3.635,chl,2002
3.359,chl,2003
5.024,chl,2004
4.149,chl,2005
31.18,col,1953
23.09,col,1954
33.62,col,1955
57.51,col,1956
48.57,col,1957
55.99,col,1958
43.7,col,1959
41.43,col,1960
38.18,col,1961
39.78,col,1962
35.76,col,1963
30.43,col,1964
28.21,col,1965
25.65,col,1966
24.4,col,1967
19.31,col,1968
16.53,col,1969
20.49,col,1972
19.18,col,1974
16.25,col,1975
15.66,col,1976
16.97,col,1977
23.25,col,1984
28.4,col,1985
29.98,col,1986
25.61,col,1987
30.42,col,1988
31.96,col,1989
32.33,col,1990
40.28,col,1991
45.38,col,1992
42.49,col,1993
34.36,col,1994
27.78,col,1995
30.6,col,1996
27.96,col,1997
32.51,col,1998
34.46,col,1999
36.63,col,2000
36.81,col,2001
34.97,col,2002
26.33,col,2004
20.89,col,2005
18.59,col,2006
1.737,cri,1962
9.796,cri,1963
2.747,cri,1964
4.458,cri,1965
5.733,cri,1966
11.05,cri,1967
1.207,cri,1968
3.69,cri,1969
11.71,cri,1970
5.838,cri,1971
4.128,cri,1972
2.632,cri,1973
4.744,cri,1974
6.859,cri,1975
5.642,cri,1976
9.875,cri,1977
5.615,cri,1978
8.271,cri,1979
8.371,cri,1980
7.27,cri,1981
11.12,cri,1982
3.107,cri,1983
9.014,cri,1984
6.133,cri,1985
1.218,cri,1986
5.903,cri,1987
8.755,cri,1988
5.553,cri,1989
4.119,cri,1990
7.748,cri,1991
6.446,cri,1992
9.976,cri,1993
5.615,cri,1994
3.07,cri,1995
4.685,cri,1996
6.129,cri,1997
8.791,cri,1998
4.521,cri,1999
7.898,cri,2000
5.596,cri,2001
7.326,cri,2002
6.144,cri,2003
5.098,cri,2004
6.468,cri,2005
6.369,cri,2006
3.661,hrv,1985
3.648,hrv,1986
3.523,hrv,1987
2.586,hrv,1988
2.281,hrv,1989
3.189,hrv,1990
4.141,hrv,1991
5.998,hrv,1992
4.401,hrv,1993
3.065,hrv,1994
3.259,hrv,1995
3.074,hrv,1996
3.203,hrv,1997
4.131,hrv,1998
3.953,hrv,1999
2.98,hrv,2000
2.229,hrv,2001
2.043,hrv,2002
1.425,hrv,2003
1.589,hrv,2004
1.11,hrv,2005
1.591,hrv,2006
1.64,hrv,2007
1.64,hrv,2008
3.794,cub,1964
3.014,cub,1968
1.807,cub,1969
2.662,cub,1970
2.837,cub,1971
3.104,cub,1972
2.257,cub,1973
2.204,cub,1974
3.202,cub,1975
3.508,cub,1976
2.763,cub,1977
4.256,cub,1992
3.995,cub,1993
4.102,cub,1994
5.009,cub,1995
3.96,cub,1996
3.056,cub,1997
3.95,cub,1998
2.788,cub,1999
3.043,cub,2000
2.209,cub,2001
2.51,cub,2002
2.941,cub,2003
2.598,cub,2004
3.467,cub,2005
2.886,cub,2006
2.854,cub,2007
0.0,cyp,1999
1.083,cyp,2000
0.6902,cyp,2004
1.713,cyp,2005
1.565,cyp,2006
0.8107,cyp,2007
1.343,cze,1986
0.8997,cze,1987
0.7754,cze,1988
0.9423,cze,1989
2.538,cze,1990
