geo,population_aged_60plus_years_male_percent,time
afg,4.382,1950
afg,4.23,1955
afg,4.091,1960
afg,3.924,1965
afg,3.857,1970
afg,3.787,1975
afg,3.731,1980
afg,3.701,1985
afg,3.693,1990
afg,3.648,1995
afg,3.618,2000
afg,3.576,2005
afg,3.641,2010
afg,3.616,2015
afg,3.651,2020
afg,3.751,2025
afg,3.938,2030
afg,4.208,2035
afg,4.584,2040
afg,5.073,2045
afg,5.697,2050
alb,9.688,1950
alb,8.058,1955
alb,7.046,1960
alb,6.441,1965
alb,6.204,1970
alb,6.337,1975
alb,6.676,1980
alb,6.745,1985
alb,6.758,1990
alb,8.561,1995
alb,10.42,2000
alb,11.62,2005
alb,12.72,2010
alb,14.03,2015
alb,16.16,2020
alb,18.07,2025
alb,19.29,2030
alb,19.83,2035
alb,20.33,2040
alb,22.18,2045
alb,25.34,2050
dza,6.564,1950
dza,6.109,1955
dza,5.612,1960
dza,4.976,1965
dza,5.846,1970
dza,5.658,1975
dza,5.541,1980
dza,5.057,1985
dza,4.987,1990
dza,5.372,1995
dza,5.717,2000
dza,5.867,2005
dza,6.219,2010
dza,7.334,2015
dza,8.604,2020
dza,10.43,2025
dza,12.54,2030
dza,14.8,2035
dza,17.41,2040
dza,20.42,2045
dza,22.97,2050
ago,4.478,1950
ago,4.274,1955
ago,4.151,1960
ago,4.113,1965
ago,4.088,1970
ago,4.094,1975
ago,4.062,1980
ago,3.941,1985
ago,3.846,1990
ago,3.707,1995
ago,3.637,2000
ago,3.577,2005
ago,3.609,2010
ago,3.779,2015
ago,4.015,2020
ago,4.318,2025
ago,4.677,2030
ago,5.081,2035
ago,5.642,2040
ago,6.368,2045
ago,7.291,2050
arg,6.944,1950
arg,7.993,1955
arg,8.895,1960
arg,9.672,1965
arg,10.39,1970
arg,10.83,1975
arg,10.9,1980
arg,11.2,1985
arg,11.52,1990
arg,11.58,1995
arg,11.63,2000
arg,11.93,2005
arg,12.55,2010
arg,13.37,2015
arg,14.25,2020
arg,15.12,2025
arg,16.02,2030
arg,17.28,2035
arg,19.24,2040
arg,20.79,2045
arg,22.3,2050
arm,11.68,1950
arm,9.786,1955
arm,7.786,1960
arm,7.103,1965
arm,6.992,1970
arm,6.744,1975
arm,5.964,1980
arm,6.315,1985
arm,8.43,1990
arm,10.99,1995
arm,13.42,2000
arm,12.45,2005
arm,12.14,2010
arm,13.39,2015
arm,15.76,2020
arm,17.68,2025
arm,17.66,2030
arm,17.48,2035
arm,18.11,2040
arm,20.45,2045
arm,24.06,2050
abw,0.0,1950
abw,0.0,1955
abw,0.0,1960
abw,3.704,1965
abw,3.704,1970
abw,6.667,1975
abw,9.677,1980
abw,10.0,1985
abw,9.375,1990
abw,7.5,1995
abw,11.36,2000
abw,12.24,2005
abw,12.0,2010
abw,15.38,2015
abw,20.75,2020
abw,21.57,2025
abw,26.42,2030
abw,25.49,2035
abw,28.3,2040
abw,28.3,2045
abw,24.0,2050
aus,11.58,1950
aus,11.21,1955
aus,10.76,1960
aus,10.71,1965
aus,10.73,1970
aus,11.19,1975
aus,11.94,1980
aus,13.05,1985
aus,13.87,1990
aus,14.43,1995
aus,15.28,2000
aus,16.37,2005
aus,18.38,2010
aus,20.17,2015
aus,22.03,2020
aus,23.76,2025
aus,24.97,2030
aus,26.06,2035
aus,26.53,2040
aus,27.13,2045
aus,27.68,2050
aut,14.01,1950
aut,14.71,1955
aut,15.65,1960
aut,16.61,1965
aut,16.72,1970
aut,16.42,1975
aut,14.88,1980
aut,15.05,1985
aut,15.74,1990
aut,15.83,1995
aut,17.17,2000
aut,18.97,2005
aut,20.41,2010
aut,21.96,2015
aut,24.37,2020
aut,27.61,2025
aut,30.42,2030
aut,31.73,2035
aut,32.28,2040
aut,33.07,2045
aut,33.45,2050
aze,10.56,1950
aze,9.327,1955
aze,7.89,1960
aze,6.742,1965
aze,6.287,1970
aze,5.838,1975
aze,5.07,1980
aze,5.137,1985
aze,5.866,1990
aze,6.887,1995
aze,7.834,2000
aze,7.675,2005
aze,7.434,2010
aze,8.702,2015
aze,11.15,2020
aze,13.97,2025
aze,15.38,2030
aze,16.35,2035
aze,17.15,2040
aze,19.02,2045
aze,21.91,2050
bhs,5.556,1950
bhs,4.878,1955
bhs,3.846,1960
bhs,2.899,1965
bhs,4.762,1970
bhs,4.348,1975
bhs,5.769,1980
bhs,5.172,1985
bhs,4.839,1990
bhs,5.755,1995
bhs,7.285,2000
bhs,8.125,2005
bhs,8.982,2010
bhs,10.73,2015
bhs,12.97,2020
bhs,15.38,2025
bhs,17.33,2030
bhs,19.23,2035
bhs,21.03,2040
bhs,22.69,2045
bhs,23.39,2050
bhr,3.226,1950
bhr,4.225,1955
bhr,3.614,1960
bhr,3.158,1965
bhr,4.202,1970
bhr,3.401,1975
