geo,literacy_rate_adult_male_percent_of_males_ages_15_and_above,time
lby,88.26,1994
lby,93.72,2004
lby,95.8,2011
ltu,99.21,1989
ltu,99.64,2001
ltu,99.68,2011
mac,92.81,1981
mac,95.28,2001
mac,96.47,2006
mac,97.75,2011
mkd,97.23,1994
mkd,98.21,2002
mkd,98.72,2011
mdg,76.54,2000
mdg,67.42,2009
mwi,65.28,1987
mwi,74.93,1998
mwi,72.1,2010
mys,78.15,1980
mys,88.56,1991
mys,91.97,2000
mys,95.43,2010
mdv,82.4,1977
mdv,92.11,1985
mdv,95.9,1990
mdv,96.21,1995
mdv,96.21,2000
mdv,98.37,2006
mli,13.51,1976
mli,26.73,1998
mli,32.7,2003
mli,34.86,2006
mli,43.4,2010
mli,43.09,2011
mlt,87.66,1985
mlt,86.43,1995
mlt,91.19,2005
mrt,59.54,2000
mrt,65.29,2011
mus,85.15,1990
mus,88.23,2000
mus,91.12,2011
mex,86.24,1980
mex,90.35,1990
mex,92.56,2000
mex,92.0,2002
mex,92.45,2004
mex,93.19,2005
mex,93.9,2006
mex,94.44,2007
mex,94.59,2008
mex,94.92,2009
mex,94.38,2010
mex,94.78,2011
mda,98.61,1989
mda,97.98,2000
mda,99.53,2011
mng,98.02,2000
mng,96.81,2011
mne,99.39,2011
mar,43.71,1982
mar,55.16,1994
mar,65.71,2004
mar,68.37,2008
mar,68.92,2009
mar,76.07,2011
moz,43.95,1980
moz,54.82,1997
moz,65.58,2003
moz,67.35,2009
mmr,85.79,1983
mmr,93.92,2000
mmr,95.09,2011
nam,77.81,1991
nam,86.77,2001
nam,74.33,2007
npl,31.67,1981
npl,49.22,1991
npl,62.71,2001
npl,71.11,2011
ant,95.21,1992
ant,96.56,2011
nic,76.76,2001
nic,78.1,2005
ner,9.383,2001
ner,42.93,2005
nga,67.65,1991
nga,66.77,2003
nga,61.25,2008
omn,86.86,2003
omn,90.0,2008
omn,90.24,2010
pak,35.38,1981
pak,55.3,1998
pak,64.06,2005
pak,67.65,2006
pak,68.87,2008
pak,68.63,2009
plw,93.29,1980
pan,88.1,1980
pan,89.34,1990
pan,92.55,2000
pan,94.71,2010
png,63.45,2000
png,65.38,2011
pry,81.08,1982
pry,92.0,1992
pry,95.71,2007
pry,94.13,2008
