suicide_age_0_14_per_100000_people,geo,time
0.4155,arg,1966
0.3644,arg,1967
0.4747,arg,1968
0.4141,arg,1969
0.4311,arg,1970
0.4357,arg,1977
0.3499,arg,1978
0.358,arg,1979
0.3214,arg,1980
0.3453,arg,1981
0.2362,arg,1982
0.1919,arg,1983
0.2262,arg,1984
0.3249,arg,1985
0.2018,arg,1986
0.3403,arg,1987
0.3333,arg,1988
0.3046,arg,1989
0.3706,arg,1990
0.3636,arg,1991
0.3473,arg,1992
0.4079,arg,1993
0.3813,arg,1994
0.3425,arg,1995
0.232,arg,1996
0.3029,arg,1997
0.357,arg,1998
0.4024,arg,1999
0.3797,arg,2000
0.5124,arg,2001
0.5766,arg,2002
0.5946,arg,2003
0.6485,arg,2004
0.6957,arg,2005
0.6178,arg,2006
0.7517,arg,2007
0.282,aus,1950
0.1629,aus,1951
0.0,aus,1952
0.1007,aus,1953
0.1426,aus,1954
0.04459,aus,1955
0.1687,aus,1956
0.1162,aus,1957
0.1088,aus,1958
0.1049,aus,1959
0.101,aus,1960
0.03243,aus,1961
0.09741,aus,1962
0.128,aus,1963
0.1882,aus,1964
0.1551,aus,1965
0.06099,aus,1966
0.1187,aus,1967
0.2047,aus,1968
0.1705,aus,1969
0.2213,aus,1970
0.296,aus,1971
0.1322,aus,1972
0.1046,aus,1973
0.1568,aus,1974
0.2849,aus,1975
0.1571,aus,1976
0.1854,aus,1977
0.1599,aus,1978
0.07951,aus,1979
0.1561,aus,1980
0.125,aus,1981
0.2676,aus,1982
0.192,aus,1983
0.2417,aus,1984
0.1954,aus,1985
0.4768,aus,1986
0.1811,aus,1987
0.1845,aus,1988
0.2387,aus,1989
0.1332,aus,1990
0.2649,aus,1991
0.1579,aus,1992
0.1824,aus,1993
0.1033,aus,1994
0.1016,aus,1995
0.3771,aus,1996
0.351,aus,1997
0.2001,aus,1998
0.3973,aus,1999
0.2215,aus,2000
0.1946,aus,2001
0.1925,aus,2002
0.3338,aus,2003
0.1888,aus,2004
0.1644,aus,2006
0.3018,aut,1955
0.2559,aut,1956
0.4606,aut,1957
0.4619,aut,1958
0.3973,aut,1959
0.5909,aut,1960
0.1281,aut,1961
0.3957,aut,1962
0.6778,aut,1963
0.5497,aut,1964
0.274,aut,1965
0.335,aut,1966
0.2588,aut,1967
0.1875,aut,1968
0.3012,aut,1969
0.2323,aut,1970
0.7867,aut,1971
0.7085,aut,1972
0.4251,aut,1973
0.6733,aut,1974
0.4093,aut,1975
0.4599,aut,1976
0.7189,aut,1977
0.9,aut,1978
0.5273,aut,1979
1.444,aut,1980
0.6588,aut,1981
0.5675,aut,1982
0.5361,aut,1983
0.7531,aut,1984
0.525,aut,1985
0.4107,aut,1986
0.2854,aut,1987
0.2943,aut,1988
0.4471,aut,1989
0.2256,aut,1990
0.1478,aut,1991
0.4296,aut,1992
0.6986,aut,1993
0.7606,aut,1994
0.5495,aut,1995
0.277,aut,1996
0.21,aut,1997
0.5629,aut,1998
0.2111,aut,1999
0.5589,aut,2000
0.1384,aut,2001
0.2732,aut,2002
0.2032,aut,2003
0.1348,aut,2004
0.2704,aut,2005
0.06832,aut,2006
0.1387,aut,2007
0.2839,aut,2008
0.272,aze,1981
0.1391,aze,1982
0.097,aze,1985
0.2416,aze,1986
0.3411,aze,1987
0.0485,aze,1988
0.0,aze,1989
0.04263,aze,1990
0.04695,aze,1991
0.0,aze,1992
0.09021,aze,1993
0.0,aze,1994
0.0,aze,1995
0.0,aze,1996
0.0,aze,1997
0.03966,aze,1998
0.0,aze,1999
0.03555,aze,2000
0.0,bhr,1985
0.0,bhr,1987
0.0,bhr,1988
0.0,bhr,1999
0.0,bhr,2000
0.5707,bhr,2001
0.4564,blr,1981
0.6879,blr,1982
0.4523,blr,1985
0.3162,blr,1986
0.4518,blr,1987
