20120905_extreme_poverty_percent_people_below_125_a_day,geo,time
28.59,gha,2006
52.26,gtm,1987
39.1,gtm,1989
16.23,gtm,1998
11.88,gtm,2000
25.75,gtm,2002
22.56,gtm,2003
24.43,gtm,2004
13.53,gtm,2006
92.55,gin,1991
63.81,gin,1994
56.32,gin,2003
43.34,gin,2007
41.31,gnb,1991
52.11,gnb,1993
48.9,gnb,2002
6.91,guy,1993
8.7,guy,1998
61.71,hti,2001
14.6,hnd,1986
41.06,hnd,1989
46.91,hnd,1990
33.04,hnd,1991
27.33,hnd,1992
23.5,hnd,1993
35.89,hnd,1994
27.32,hnd,1995
31.42,hnd,1996
20.61,hnd,1997
25.52,hnd,1998
25.43,hnd,1999
17.98,hnd,2001
28.16,hnd,2002
26.15,hnd,2003
25.27,hnd,2004
26.44,hnd,2005
22.85,hnd,2006
16.26,hnd,2007
21.36,hnd,2008
17.92,hnd,2009
0.05,hun,1987
0.04,hun,1989
0.15,hun,1993
0.17,hun,1998
0.18,hun,1999
0.15,hun,2000
0.14,hun,2001
0.07,hun,2002
0.13,hun,2004
0.17,hun,2007
65.89,ind,1978
55.51,ind,1983
53.59,ind,1988
49.4,ind,1994
41.64,ind,2005
32.67,ind,2010
62.84,idn,1984
68.16,idn,1987
54.27,idn,1990
54.4,idn,1993
43.38,idn,1996
47.7,idn,1999
29.31,idn,2002
21.44,idn,2005
28.63,idn,2006
24.2,idn,2007
22.64,idn,2008
20.42,idn,2009
18.06,idn,2010
4.19,irn,1986
3.85,irn,1990
1.42,irn,1994
1.26,irn,1998
1.45,irn,2005
2.82,irq,2007
3.97,jam,1988
1.27,jam,1990
6.5,jam,1993
1.76,jam,1996
1.28,jam,1999
0.31,jam,2002
0.21,jam,2004
0.0,jor,1987
2.77,jor,1992
1.51,jor,1997
1.16,jor,2003
0.38,jor,2006
0.07,jor,2008
0.12,jor,2010
0.02,kaz,1988
4.21,kaz,1993
4.98,kaz,1996
13.62,kaz,2001
5.15,kaz,2002
3.12,kaz,2003
1.69,kaz,2004
0.43,kaz,2006
0.17,kaz,2007
0.1,kaz,2008
0.11,kaz,2009
38.42,ken,1992
28.5,ken,1994
19.57,ken,1997
43.37,ken,2005
0.0,kgz,1988
18.61,kgz,1993
31.84,kgz,1998
34.03,kgz,2002
14.22,kgz,2004
22.94,kgz,2005
5.94,kgz,2006
1.9,kgz,2007
6.39,kgz,2008
6.23,kgz,2009
55.68,lao,1992
49.32,lao,1997
43.96,lao,2002
33.88,lao,2008
0.02,lva,1988
0.0,lva,1993
0.0,lva,1995
0.42,lva,1996
0.56,lva,1997
0.0,lva,1998
0.0,lva,2002
0.36,lva,2003
0.34,lva,2004
0.21,lva,2007
0.14,lva,2008
44.35,lso,1987
56.43,lso,1993
46.15,lso,1994
43.41,lso,2003
83.76,lbr,2007
0.06,ltu,1988
2.18,ltu,1993
0.0,ltu,1996
0.32,ltu,1998
0.3,ltu,2000
0.43,ltu,2001
0.42,ltu,2002
0.43,ltu,2004
0.16,ltu,2008
0.0,mkd,1998
4.28,mkd,2000
0.55,mkd,2002
0.47,mkd,2003
0.52,mkd,2004
0.28,mkd,2005
0.92,mkd,2006
0.29,mkd,2008
0.0,mkd,2009
85.89,mdg,1980
72.49,mdg,1993
72.04,mdg,1997
82.32,mdg,1999
76.34,mdg,2001
67.83,mdg,2005
81.29,mdg,2010
83.07,mwi,1998
73.86,mwi,2004
3.22,mys,1984
2.39,mys,1987
1.91,mys,1989
1.62,mys,1992
2.08,mys,1995
0.54,mys,1997
0.54,mys,2004
0.0,mys,2007
0.0,mys,2009
86.08,mli,1994
61.18,mli,2001
51.43,mli,2006
50.43,mli,2010
41.32,mrt,1987
42.79,mrt,1993
23.4,mrt,1996
21.16,mrt,2000
25.41,mrt,2004
23.43,mrt,2008
12.78,mex,1984
3.98,mex,1989
4.83,mex,1992
3.56,mex,1994
7.86,mex,1996
8.62,mex,1998
5.53,mex,2000
3.9,mex,2002
1.6,mex,2004
0.68,mex,2006
1.15,mex,2008
31.15,fsm,2000
15.27,mda,1988
16.97,mda,1992
15.11,mda,1997
27.22,mda,1998
38.99,mda,1999
26.47,mda,2001
17.49,mda,2002
6.76,mda,2003
8.14,mda,2004
12.49,mda,2005
2.01,mda,2006
0.92,mda,2007
1.05,mda,2008
0.44,mda,2009
0.39,mda,2010
0.12,mne,2005
0.09,mne,2006
0.15,mne,2007
0.12,mne,2008
10.29,mar,1985
2.45,mar,1991
6.76,mar,1999
6.25,mar,2001
2.52,mar,2007
80.59,moz,1996
74.69,moz,2003
59.58,moz,2008
49.14,nam,1993
31.91,nam,2004
78.15,npl,1985
67.97,npl,1996
53.13,npl,2003
24.82,npl,2010
18.3,nic,1993
12.51,nic,1998
14.37,nic,2001
11.91,nic,2005
72.79,ner,1992
78.17,ner,1994
50.2,ner,2005
43.62,ner,2008
53.93,nga,1986
61.9,nga,1992
68.51,nga,1996
63.07,nga,2004
67.98,nga,2010
66.46,pak,1987
64.71,pak,1991
48.14,pak,1997
29.05,pak,1999
35.87,pak,2002
22.59,pak,2005
22.58,pak,2006
21.04,pak,2008
7.98,pan,1979
22.87,pan,1989
20.89,pan,1991
15.69,pan,1995
14.59,pan,1997
14.92,pan,1998
15.36,pan,2001
11.0,pan,2002
10.54,pan,2003
9.84,pan,2004
9.5,pan,2005
10.17,pan,2006
5.89,pan,2009
6.56,pan,2010
35.79,png,1996
1.04,pry,1990
11.52,pry,1995
13.04,pry,1998
14.2,pry,1999
11.08,pry,2001
15.77,pry,2002
10.73,pry,2003
8.13,pry,2004
7.2,pry,2005
10.92,pry,2006
8.77,pry,2007
5.59,pry,2008
7.56,pry,2009
7.16,pry,2010
11.36,per,1986
12.94,per,1994
0.97,per,1997
14.33,per,1998
15.81,per,1999
12.41,per,2000
14.48,per,2001
12.41,per,2002
9.49,per,2003
7.36,per,2004
8.55,per,2005
7.19,per,2006
7.94,per,2007
6.2,per,2008
5.54,per,2009
4.91,per,2010
34.9,phl,1985
30.48,phl,1988
30.68,phl,1991
28.11,phl,1994
21.61,phl,1997
22.45,phl,2000
21.99,phl,2003
22.62,phl,2006
18.42,phl,2009
0.13,pol,1985
0.1,pol,1987
0.08,pol,1989
0.03,pol,1992
4.19,pol,1993
1.4,pol,1996
0.11,pol,1998
0.09,pol,1999
0.14,pol,2000
0.12,pol,2001
0.11,pol,2002
0.05,pol,2004
0.1,pol,2005
0.05,pol,2006
0.07,pol,2007
0.07,pol,2008
0.05,pol,2009
0.24,rou,1989
0.4,rou,1992
4.97,rou,1994
1.69,rou,1998
3.73,rou,2000
2.67,rou,2001
2.86,rou,2002
1.88,rou,2003
1.43,rou,2004
1.15,rou,2005
1.03,rou,2006
0.79,rou,2007
0.5,rou,2008
0.41,rou,2009
0.51,rus,1988
1.5,rus,1993
2.81,rus,1996
2.28,rus,1999
0.89,rus,2001
0.32,rus,2002
0.33,rus,2003
0.1,rus,2004
0.16,rus,2005
0.06,rus,2006
0.02,rus,2007
0.0,rus,2008
0.0,rus,2009
63.33,rwa,1985
74.56,rwa,2000
72.1,rwa,2006
63.17,rwa,2011
20.93,lca,1995
28.18,stp,2001
65.81,sen,1991
53.64,sen,1994
44.19,sen,2001
33.5,sen,2005
0.24,srb,2002
0.31,srb,2003
0.25,srb,2004
0.0,srb,2005
0.28,srb,2006
0.23,srb,2007
0.14,srb,2008
0.26,srb,2009
0.0,syc,2000
0.25,syc,2007
62.79,sle,1990
53.37,sle,2003
0.0,svk,1988
0.0,svk,1992
0.26,svk,1996
0.18,svk,2004
0.21,svk,2005
0.07,svk,2006
0.1,svk,2007
0.1,svk,2008
0.06,svk,2009
0.02,svn,1987
0.03,svn,1993
0.02,svn,1998
0.05,svn,2002
0.0,svn,2003
0.06,svn,2004
24.3,zaf,1993
21.43,zaf,1995
26.2,zaf,2000
17.35,zaf,2006
13.77,zaf,2009
19.96,lka,1985
15.01,lka,1991
16.32,lka,1996
13.95,lka,2002
7.04,lka,2007
19.8,sdn,2009
15.54,sur,1999
78.59,swz,1995
62.85,swz,2001
40.63,swz,2010
1.71,syr,2004
49.4,tjk,1999
35.43,tjk,2003
20.77,tjk,2004
14.66,tjk,2007
6.56,tjk,2009
72.59,tza,1992
84.57,tza,2000
67.87,tza,2007
21.92,tha,1981
17.2,tha,1988
11.55,tha,1990
8.6,tha,1992
4.11,tha,1994
2.48,tha,1996
2.07,tha,1998
3.17,tha,1999
3.04,tha,2000
1.64,tha,2002
1.01,tha,2006
0.37,tha,2008
0.37,tha,2009
52.94,tls,2001
37.44,tls,2007
38.68,tgo,2006
1.42,tto,1988
4.16,tto,1992
8.65,tun,1985
5.87,tun,1990
6.48,tun,1995
2.55,tun,2000
1.35,tun,2005
1.32,tur,1987
2.1,tur,1994
2.0,tur,2002
2.53,tur,2003
2.36,tur,2004
1.97,tur,2005
1.54,tur,2006
1.13,tur,2007
0.0,tur,2008
14.4,tkm,1988
63.53,tkm,1993
24.82,tkm,1998
68.65,uga,1989
70.01,uga,1992
64.39,uga,1996
60.49,uga,1999
57.37,uga,2002
51.53,uga,2006
38.01,uga,2009
1.77,ukr,1988
0.03,ukr,1992
1.96,ukr,1995
1.93,ukr,1996
2.03,ukr,1999
0.51,ukr,2002
0.2,ukr,2003
0.26,ukr,2004
0.1,ukr,2005
0.14,ukr,2006
0.06,ukr,2007
0.04,ukr,2008
0.06,ukr,2009
0.0,ury,1981
0.49,ury,1989
0.9,ury,1992
0.55,ury,1995
0.68,ury,1996
0.61,ury,1997
0.81,ury,1998
0.48,ury,2000
0.61,ury,2001
0.79,ury,2002
0.95,ury,2003
1.19,ury,2004
1.4,ury,2005
0.73,ury,2006
0.48,ury,2007
0.26,ury,2008
0.27,ury,2009
0.2,ury,2010
3.27,ven,1981
3.13,ven,1987
6.31,ven,1989
4.4,ven,1992
9.56,ven,1995
9.88,ven,1998
11.41,ven,1999
9.57,ven,2001
15.85,ven,2002
19.06,ven,2003
15.88,ven,2004
13.44,ven,2005
6.63,ven,2006
0.4,pse,2007
0.04,pse,2009
63.74,vnm,1993
49.65,vnm,1998
40.05,vnm,2002
28.25,vnm,2004
21.42,vnm,2006
16.85,vnm,2008
12.88,yem,1998
17.53,yem,2005
61.05,zmb,1991
65.27,zmb,1993
62.07,zmb,1996
55.67,zmb,1998
64.6,zmb,2003
64.29,zmb,2004
68.51,zmb,2006
