geo,medical_doctors_per_1000_people,time
isl,3.77,2006
isl,3.934,2008
ind,0.2105,1960
ind,0.2049,1965
ind,0.2045,1970
ind,0.2041,1975
ind,0.3712,1980
ind,0.27,1981
ind,0.3965,1984
ind,0.4066,1988
ind,0.48,1992
ind,0.4067,1993
ind,0.513,1998
ind,0.6,2004
ind,0.599,2005
idn,0.02062,1960
idn,0.03155,1965
idn,0.0373,1970
idn,0.0371,1975
idn,0.0854,1979
idn,0.0803,1981
idn,0.1063,1983
idn,0.1423,1989
idn,0.1442,1990
idn,0.1477,1991
idn,0.1502,1992
idn,0.1616,1993
idn,0.16,1994
idn,0.162,2000
idn,0.13,2003
idn,0.13,2006
idn,0.288,2007
irn,0.2442,1960
irn,0.2569,1965
irn,0.3058,1970
irn,0.3383,1981
irn,0.3465,1986
irn,0.376,1987
irn,0.3181,1988
irn,0.3183,1993
irn,0.85,1996
irn,1.049,1998
irn,0.45,2004
irn,0.89,2005
irq,0.1954,1960
irq,0.2,1965
irq,0.3089,1970
irq,0.563,1980
irq,0.568,1981
irq,0.5961,1986
irq,0.5764,1987
irq,0.6029,1990
irq,0.6028,1993
irq,0.55,1998
irq,0.543,2001
irq,0.658,2004
irq,0.66,2005
irq,0.528,2007
irq,0.69,2009
irl,2.0,1992
irl,2.0,1993
irl,2.0,1994
irl,2.1,1995
irl,2.1,1996
irl,2.1,1997
irl,2.2,1998
irl,2.3,1999
irl,2.2,2000
irl,2.4,2001
irl,2.4,2002
irl,2.6,2003
irl,2.786,2004
irl,2.94,2006
irl,3.08,2007
irl,3.187,2008
isr,2.472,1960
isr,2.5,1965
isr,2.881,1970
isr,2.974,1971
isr,3.156,1972
isr,3.304,1973
isr,2.694,1979
isr,3.094,1980
isr,3.167,1981
isr,3.214,1982
isr,3.323,1983
isr,3.353,1984
isr,3.215,1985
isr,3.2,1986
isr,3.207,1987
isr,3.21,1988
isr,3.195,1989
isr,3.207,1990
isr,3.303,1991
isr,3.657,1992
isr,3.696,1993
isr,3.731,1994
isr,3.736,1995
isr,3.766,1996
isr,3.793,1997
isr,3.775,1998
isr,3.915,1999
isr,3.766,2000
isr,3.91,2001
isr,3.82,2003
isr,3.67,2006
isr,3.633,2007
ita,3.8,1993
ita,3.7,1994
ita,3.9,1995
ita,4.1,1996
ita,4.0,1997
ita,4.1,1998
ita,4.2,1999
ita,4.2,2000
ita,4.4,2001
ita,4.4,2002
ita,4.1,2003
ita,4.203,2004
ita,3.7,2006
ita,4.242,2008
jam,0.3861,1960
jam,0.5017,1965
jam,0.3799,1970
jam,0.3607,1979
jam,0.3589,1981
jam,0.4891,1984
jam,0.57,1990
jam,0.472,1993
jam,0.57,1995
jam,1.401,1996
jam,1.401,1997
jam,0.85,2003
jpn,1.0,1960
jpn,1.0,1961
jpn,1.0,1962
jpn,1.0,1963
jpn,1.0,1964
jpn,1.0,1965
jpn,1.0,1966
jpn,1.0,1967
jpn,1.0,1968
jpn,1.1,1969
jpn,1.1,1970
jpn,1.1,1971
jpn,1.1,1972
jpn,1.1,1973
jpn,1.1,1974
jpn,1.1,1975
jpn,1.1,1976
jpn,1.2,1977
jpn,1.2,1978
jpn,1.2,1979
jpn,1.3,1980
jpn,1.3,1981
jpn,1.4,1982
jpn,1.4,1984
jpn,1.5,1985
jpn,1.5,1986
jpn,1.6,1988
jpn,1.7,1990
jpn,1.7,1992
jpn,1.8,1994
jpn,1.8,1996
jpn,1.9,1998
jpn,1.9,2000
jpn,2.0,2002
jpn,2.12,2004
jpn,2.063,2006
jor,0.346,1960
jor,0.3697,1965
jor,0.4038,1970
jor,0.3779,1975
jor,0.7863,1980
jor,1.114,1981
jor,1.128,1982
jor,1.159,1984
jor,1.348,1991
jor,1.625,1994
jor,1.66,1997
jor,2.05,2001
jor,2.03,2004
jor,2.36,2005
jor,2.561,2007
jor,2.45,2009
kaz,3.036,1980
kaz,3.154,1981
kaz,3.253,1982
kaz,3.396,1983
kaz,3.531,1984
kaz,3.629,1985
kaz,3.724,1986
kaz,3.791,1987
kaz,3.872,1988
kaz,3.962,1989
kaz,3.976,1990
kaz,3.839,1991
kaz,3.908,1992
kaz,3.766,1993
kaz,3.604,1994
kaz,3.635,1995
kaz,3.639,1996
kaz,3.301,1997
kaz,3.528,1998
kaz,3.201,1999
kaz,3.292,2000
kaz,3.302,2001
kaz,3.612,2002
kaz,3.539,2003
kaz,3.6,2004
kaz,3.7,2005
kaz,3.88,2006
kaz,3.877,2007
kaz,3.7,2008
kaz,3.8,2009
ken,0.09193,1960
ken,0.07529,1965
ken,0.125,1970
ken,0.1266,1975
ken,0.099,1981
ken,0.1202,1982
ken,0.1545,1985
ken,0.0451,1990
ken,0.1378,1993
ken,0.132,1995
ken,0.14,2002
ken,0.139,2004
kir,0.5405,1960
kir,0.6135,1970
kir,0.5164,1980
kir,0.4966,1986
kir,0.1935,1990
kir,0.1761,1991
kir,0.1858,1992
kir,0.1301,1993
kir,0.296,1998
kir,0.23,2004
kir,0.297,2006
prk,2.549,1982
prk,2.511,1983
prk,2.97,1995
prk,3.29,2003
kor,0.5,1981
kor,0.5,1982
kor,0.5,1983
kor,0.6,1984
kor,0.6,1985
kor,0.6,1986
kor,0.7,1987
kor,0.7,1988
kor,0.8,1989
kor,0.8,1990
kor,0.9,1991
kor,1.0,1992
kor,1.0,1993
kor,1.1,1994
kor,1.1,1995
kor,1.2,1996
kor,1.2,1997
kor,1.3,1998
kor,1.3,1999
kor,1.3,2000
kor,1.4,2001
kor,1.5,2002
kor,1.57,2003
kor,1.71,2004
kor,1.967,2008
kwt,0.8705,1960
kwt,1.263,1965
kwt,0.9543,1970
kwt,1.698,1980
kwt,1.412,1981
kwt,1.62,1982
kwt,1.566,1986
kwt,0.1831,1990
kwt,1.783,1995
kwt,1.89,1997
kwt,1.525,2001
kwt,1.8,2005
kwt,1.793,2009
kgz,2.602,1980
kgz,3.088,1981
kgz,2.769,1982
kgz,3.061,1983
kgz,2.928,1984
kgz,3.039,1985
kgz,3.147,1986
kgz,3.25,1987
kgz,3.323,1988
kgz,3.369,1989
kgz,3.374,1990
kgz,3.412,1991
kgz,3.349,1992
kgz,3.118,1993
kgz,3.096,1994
kgz,3.208,1995
kgz,3.293,1996
kgz,3.058,1997
kgz,3.01,1998
kgz,2.875,1999
kgz,2.823,2000
kgz,2.679,2001
kgz,2.6,2002
kgz,2.6,2003
kgz,2.5,2004
kgz,2.39,2006
kgz,2.301,2007
lao,0.02021,1960
lao,0.04112,1965
lao,0.066,1970
lao,0.0509,1976
lao,0.7288,1985
lao,0.2343,1990
lao,0.586,1996
lao,0.35,2004
lao,0.272,2005
lva,3.623,1980
lva,4.099,1985
lva,4.077,1986
lva,4.112,1987
lva,4.183,1988
lva,4.162,1989
lva,4.118,1990
lva,4.046,1991
lva,3.602,1992
lva,3.197,1993
lva,3.06,1994
lva,2.976,1995
lva,2.994,1996
lva,2.96,1997
lva,3.061,1998
lva,3.177,1999
lva,3.204,2000
lva,2.914,2001
lva,3.008,2003
lva,3.14,2006
lva,3.039,2007
lva,2.988,2009
lbn,0.7778,1960
lbn,0.9377,1965
lbn,0.726,1970
lbn,1.693,1979
lbn,1.714,1981
lbn,1.255,1983
lbn,1.862,1989
lbn,1.326,1991
lbn,1.862,1993
lbn,2.1,1997
lbn,3.253,2001
lbn,2.36,2005
lbn,3.254,2006
lbn,3.54,2009
lso,0.04171,1960
lso,0.04829,1965
lso,0.0318,1970
lso,0.0319,1975
lso,0.071,1985
lso,0.043,1990
lso,0.0504,1993
lso,0.054,1995
lso,0.05,2003
lbr,0.077,1960
lbr,0.08033,1965
lbr,0.0794,1970
lbr,0.0796,1975
lbr,0.1058,1981
lbr,0.1067,1983
lbr,0.023,1997
lbr,0.03,2004
lbr,0.014,2008
lby,0.152,1960
lby,0.2588,1965
lby,0.3681,1970
lby,1.333,1980
lby,1.633,1981
lby,1.562,1982
lby,1.44,1983
lby,1.071,1990
lby,1.441,1993
lby,1.29,1997
lby,1.25,2004
lby,1.9,2009
ltu,3.72,1985
ltu,3.816,1986
ltu,3.885,1987
ltu,3.941,1988
ltu,3.977,1989
ltu,4.027,1990
ltu,3.905,1991
ltu,3.928,1992
ltu,3.978,1993
ltu,4.091,1994
ltu,4.061,1995
ltu,4.099,1996
ltu,4.128,1997
ltu,4.12,1998
ltu,4.151,1999
ltu,4.01,2000
ltu,4.027,2001
ltu,3.973,2003
ltu,3.95,2006
ltu,4.034,2007
ltu,3.664,2008
lux,1.0,1960
lux,1.0,1961
lux,1.0,1962
lux,1.0,1963
lux,1.0,1964
lux,1.0,1965
lux,1.0,1966
lux,1.0,1967
lux,1.1,1968
lux,1.1,1969
lux,1.1,1970
lux,1.2,1971
lux,1.2,1972
lux,1.2,1973
lux,1.2,1974
lux,1.3,1975
lux,1.3,1976
lux,1.3,1977
lux,1.5,1978
lux,1.6,1979
lux,1.7,1980
lux,1.5,1981
lux,1.7,1982
lux,1.7,1983
lux,1.7,1984
lux,1.8,1985
lux,1.9,1986
lux,1.8,1987
lux,1.9,1988
lux,2.0,1989
lux,2.0,1990
lux,2.0,1991
lux,2.1,1992
lux,2.1,1993
lux,2.2,1994
lux,2.2,1995
lux,2.3,1996
lux,2.4,1997
lux,2.4,1998
lux,2.5,1999
lux,2.5,2000
lux,2.5,2001
lux,2.6,2002
lux,2.7,2003
lux,2.73,2004
lux,2.852,2005
lux,2.862,2007
mkd,0.8902,1970
mkd,0.9189,1971
mkd,0.9535,1972
mkd,1.012,1973
mkd,1.025,1974
mkd,1.121,1975
mkd,1.114,1976
mkd,1.158,1977
mkd,1.238,1978
mkd,1.311,1979
mkd,1.344,1980
mkd,1.466,1981
mkd,1.495,1982
mkd,1.679,1983
mkd,1.671,1984
mkd,1.809,1985
mkd,1.901,1986
mkd,1.952,1987
mkd,2.033,1988
mkd,2.14,1989
mkd,2.168,1990
mkd,2.342,1991
mkd,2.371,1992
mkd,2.343,1993
mkd,2.315,1994
mkd,2.297,1995
mkd,2.251,1996
mkd,2.249,1997
mkd,2.246,1998
mkd,2.211,1999
mkd,2.201,2000
mkd,2.191,2001
mkd,2.546,2006
mdg,0.1146,1960
mdg,0.09297,1965
mdg,0.0972,1970
mdg,0.0963,1975
mdg,0.0994,1981
mdg,0.1009,1985
mdg,0.1197,1990
mdg,0.272,1995
mdg,0.107,1996
mdg,0.087,2001
mdg,0.14,2002
mdg,0.29,2004
mdg,0.161,2007
mwi,0.02749,1960
mwi,0.02113,1965
mwi,0.0131,1970
mwi,0.0185,1981
mwi,0.0874,1984
mwi,0.0226,1989
mwi,0.0219,1990
mwi,0.0278,1993
mwi,0.011,2003
mwi,0.02,2004
mwi,0.019,2008
mys,0.1429,1960
mys,0.1612,1965
mys,0.232,1970
mys,0.2335,1975
mys,0.2553,1980
mys,0.2552,1981
mys,0.315,1985
mys,0.3346,1986
mys,0.3484,1987
mys,0.3666,1988
mys,0.3738,1989
mys,0.3919,1990
mys,0.3928,1991
mys,0.4114,1992
mys,0.431,1993
mys,0.4492,1994
mys,0.478,1995
mys,0.496,1996
mys,0.658,1997
mys,0.683,1999
mys,0.702,2000
mys,0.71,2002
mys,0.941,2008
mdv,0.0331,1970
mdv,0.0491,1981
mdv,0.0655,1982
mdv,0.0724,1989
mdv,0.0698,1990
mdv,0.1914,1993
mdv,0.4,1995
mdv,0.777,2000
mdv,0.92,2004
mdv,1.595,2007
mli,0.01448,1960
mli,0.01942,1965
mli,0.0227,1970
mli,0.0234,1975
mli,0.0393,1980
mli,0.0385,1981
mli,0.0394,1985
mli,0.0425,1987
mli,0.0544,1988
mli,0.0514,1990
mli,0.047,1994
mli,0.043,1995
mli,0.063,1996
mli,0.044,2000
mli,0.08,2004
mli,0.074,2007
mli,0.049,2008
mlt,0.8906,1960
mlt,1.072,1970
mlt,1.026,1971
mlt,1.276,1975
mlt,1.172,1981
mlt,1.266,1982
mlt,1.38,1984
mlt,2.032,1987
mlt,2.015,1988
mlt,1.973,1989
mlt,2.259,1990
mlt,2.446,1991
mlt,2.422,1992
mlt,2.453,1993
mlt,2.465,1997
mlt,2.607,1998
mlt,2.591,1999
mlt,2.654,2000
mlt,2.926,2001
mlt,3.183,2003
mlt,3.88,2006
mlt,3.351,2007
mlt,3.073,2009
mhl,0.422,1996
mhl,0.47,2000
mhl,0.559,2008
mrt,0.02422,1960
mrt,0.02737,1965
mrt,0.0557,1970
mrt,0.0554,1975
mrt,0.0688,1977
mrt,0.0825,1984
mrt,0.1133,1985
mrt,0.0627,1990
mrt,0.0634,1993
mrt,0.138,1995
mrt,0.11,2004
mrt,0.13,2009
mus,0.2152,1960
mus,0.255,1965
mus,0.2397,1970
mus,0.2354,1975
mus,0.5207,1980
mus,0.5515,1981
mus,0.5285,1985
mus,0.858,1989
mus,0.8108,1990
mus,0.8351,1991
mus,0.8474,1992
mus,0.8441,1993
mus,0.8455,1994
mus,0.85,1995
mus,1.06,2004
mex,1.0,1990
mex,1.1,1991
mex,1.3,1992
mex,1.4,1993
mex,1.5,1994
mex,1.6,1995
mex,1.6,1996
mex,1.4,1997
mex,1.2,1998
mex,1.7,1999
mex,1.98,2000
mex,1.5,2001
mex,1.5,2002
mex,1.5,2003
mex,2.893,2004
fsm,0.4508,1993
fsm,0.573,1999
fsm,0.598,2000
fsm,0.55,2003
fsm,0.564,2005
mda,2.816,1980
mda,2.895,1981
mda,3.007,1982
mda,3.089,1983
mda,3.193,1984
mda,3.297,1985
mda,3.37,1986
mda,3.444,1987
mda,3.52,1988
mda,3.573,1989
mda,3.55,1990
mda,3.484,1991
mda,3.51,1992
mda,3.555,1993
mda,3.564,1994
mda,3.513,1995
mda,3.562,1996
mda,3.582,1997
mda,3.631,1998
mda,3.245,1999
mda,3.18,2000
mda,2.694,2001
mda,2.636,2003
mda,2.66,2006
mda,2.668,2007
mco,2.4,1970
mco,1.958,1971
mco,2.208,1972
mco,2.25,1973
mco,2.375,1974
mco,2.36,1975
mco,2.417,1976
mco,2.4,1977
mco,2.32,1978
mco,2.36,1979
mco,2.385,1980
mco,2.231,1981
mco,2.185,1982
mco,2.857,1989
mco,3.0,1992
mco,5.81,1995
mng,0.9103,1960
mng,1.378,1965
mng,1.729,1970
mng,2.538,1990
mng,2.695,1991
mng,2.618,1992
mng,2.433,1998
mng,2.54,1999
mng,2.63,2002
mng,2.763,2008
mne,2.03,2006
mne,1.986,2007
mar,0.1063,1960
mar,0.08249,1965
mar,0.0764,1970
mar,0.0763,1975
mar,0.0539,1981
mar,0.0645,1982
mar,0.2172,1987
mar,0.2143,1988
mar,0.2144,1993
mar,0.3628,1994
mar,0.46,1997
mar,0.483,2001
mar,0.51,2004
mar,0.564,2007
mar,0.62,2009
moz,0.04302,1960
moz,0.05601,1965
moz,0.053,1970
moz,0.0255,1980
moz,0.027,1981
moz,0.0264,1982
moz,0.0206,1985
moz,0.0276,1989
moz,0.01218,1990
moz,0.024,2000
moz,0.03,2004
moz,0.027,2006
mmr,0.06481,1960
mmr,0.08494,1965
mmr,0.1144,1970
mmr,0.2027,1981
mmr,0.2699,1985
mmr,0.0814,1989
mmr,0.0784,1990
mmr,0.293,1995
mmr,0.297,1999
mmr,0.302,2000
mmr,0.36,2004
mmr,0.457,2008
nam,0.2314,1991
nam,0.2316,1992
nam,0.295,1997
nam,0.3,2004
nam,0.374,2007
npl,0.01301,1960
npl,0.02076,1965
npl,0.0186,1970
npl,0.019,1975
npl,0.0335,1980
npl,0.0314,1984
npl,0.0341,1985
npl,0.051,1987
npl,0.0508,1988
npl,0.0537,1989
npl,0.0507,1990
npl,0.0621,1991
npl,0.0757,1992
npl,0.0737,1993
npl,0.04,1995
npl,0.04,1996
npl,0.04,1997
npl,0.04,1998
npl,0.052,2001
npl,0.21,2004
nld,1.1,1960
nld,1.1,1961
nld,1.1,1962
nld,1.1,1963
nld,1.1,1964
nld,1.2,1965
nld,1.2,1966
nld,1.2,1967
nld,1.2,1968
nld,1.2,1969
nld,1.2,1970
nld,1.3,1971
nld,1.4,1972
nld,1.4,1973
nld,1.5,1974
nld,1.6,1975
nld,1.7,1976
nld,1.7,1977
nld,1.8,1978
nld,1.8,1979
nld,1.9,1980
nld,2.0,1981
nld,2.0,1982
nld,2.1,1983
nld,2.2,1984
nld,2.2,1985
nld,2.3,1986
nld,2.4,1987
nld,2.4,1988
nld,2.4,1989
nld,2.5,1990
nld,2.6,1991
nld,2.9,1998
nld,3.1,1999
nld,3.2,2000
nld,3.3,2001
nld,3.1,2002
nld,3.1,2003
nld,3.71,2005
nld,3.921,2007
ncl,0.6534,1983
ncl,1.982,1999
nzl,1.1,1961
nzl,1.1,1966
nzl,1.1,1971
nzl,1.2,1973
nzl,1.3,1976
nzl,1.4,1977
nzl,1.4,1978
nzl,1.5,1979
nzl,1.6,1980
nzl,1.6,1981
nzl,1.6,1982
nzl,1.7,1983
nzl,1.7,1984
nzl,1.7,1985
nzl,1.8,1986
nzl,1.8,1987
nzl,1.9,1988
nzl,1.9,1989
nzl,1.9,1990
nzl,1.9,1991
nzl,1.9,1992
nzl,1.9,1993
nzl,2.0,1994
nzl,2.0,1995
nzl,2.0,1996
nzl,2.2,1997
nzl,2.2,1998
nzl,2.2,1999
nzl,2.2,2000
nzl,2.2,2001
nzl,2.13,2002
nzl,2.2,2003
nzl,2.384,2007
nic,0.3398,1960
nic,0.3781,1965
nic,0.4527,1970
nic,0.4596,1975
nic,0.4156,1980
nic,0.4255,1981
nic,0.6369,1984
nic,0.4713,1988
nic,0.6571,1990
nic,0.82,1995
nic,0.856,1997
nic,0.37,2003
ner,0.011,1960
ner,0.01574,1965
ner,0.0166,1970
ner,0.0164,1975
ner,0.0251,1984
ner,0.0184,1990
ner,0.0272,1992
ner,0.0225,1994
ner,0.024,1996
ner,0.035,1997
ner,0.033,1998
ner,0.033,2002
ner,0.02,2004
ner,0.019,2008
nga,0.01715,1960
nga,0.04261,1965
nga,0.0504,1970
nga,0.0495,1975
nga,0.113,1980
nga,0.149,1982
nga,0.1924,1985
nga,0.1867,1986
nga,0.192,1989
nga,0.185,1992
nga,0.192,1993
nga,0.269,2000
nga,0.28,2003
nga,0.395,2008
mnp,0.445,1999
nor,1.2,1960
nor,1.2,1962
nor,1.1,1963
nor,1.2,1964
nor,1.3,1965
nor,1.3,1966
nor,1.3,1967
nor,1.4,1968
nor,1.4,1969
nor,1.4,1970
nor,1.5,1971
nor,1.5,1972
nor,1.6,1973
nor,1.7,1974
nor,1.7,1975
nor,1.8,1976
nor,1.9,1977
nor,1.9,1978
nor,1.9,1979
nor,2.0,1980
nor,2.0,1981
nor,2.1,1982
nor,2.1,1983
nor,2.2,1984
nor,2.2,1985
nor,2.3,1986
nor,2.5,1987
nor,2.6,1991
nor,2.6,1992
nor,2.6,1993
nor,2.7,1994
nor,2.8,1995
nor,2.8,1996
nor,2.5,1997
nor,2.7,1998
nor,2.8,1999
nor,2.9,2000
nor,3.0,2001
nor,3.1,2002
nor,3.1,2003
nor,3.77,2006
nor,3.889,2007
nor,4.076,2008
omn,0.03047,1960
omn,0.03803,1965
omn,0.1079,1970
omn,0.1074,1975
omn,0.4668,1980
omn,0.5491,1982
omn,0.5233,1985
omn,0.8335,1987
omn,0.8831,1989
omn,0.6109,1990
omn,0.8842,1993
omn,1.3,1997
omn,1.33,1998
omn,1.257,2002
omn,1.319,2004
omn,1.67,2005
omn,1.84,2007
omn,1.901,2008
pak,0.1853,1960
pak,0.232,1970
pak,0.2326,1975
pak,0.2852,1980
pak,0.3437,1981
pak,0.3423,1982
pak,0.3514,1986
pak,0.4618,1990
pak,0.4797,1991
pak,0.5031,1992
pak,0.5181,1993
pak,0.5954,1994
pak,0.57,1997
pak,0.662,2001
pak,0.739,2004
pak,0.8,2005
pak,0.777,2007
pak,0.813,2009
plw,1.111,1998
plw,1.58,2000
plw,1.3,2006
pan,0.3561,1960
pan,0.4781,1965
pan,0.6135,1970
pan,0.5966,1975
pan,0.993,1981
pan,1.021,1984
pan,1.006,1985
pan,1.793,1988
pan,1.64,1990
pan,1.779,1993
pan,1.668,1995
pan,1.17,1996
pan,1.5,2000
png,0.07914,1965
png,0.0859,1970
png,0.0561,1973
png,0.0854,1975
png,0.0622,1980
png,0.0622,1981
png,0.1622,1985
png,0.0727,1990
png,0.073,1998
png,0.05,2000
png,0.053,2008
pry,0.5337,1960
pry,0.5329,1965
pry,0.4353,1970
pry,0.4389,1975
pry,0.5632,1979
pry,0.5786,1981
pry,0.7006,1984
pry,0.675,1985
pry,0.6397,1988
pry,0.65,1990
pry,0.8127,1991
pry,0.2801,1994
pry,0.73,1995
pry,1.098,1997
pry,1.17,2000
pry,1.11,2002
per,0.5096,1960
per,0.6045,1965
per,0.5207,1970
per,0.5263,1975
per,0.6918,1979
per,0.7158,1980
per,0.7601,1981
per,0.8463,1982
per,0.9017,1983
per,0.9075,1984
per,0.9286,1985
per,0.9841,1986
per,0.9834,1987
per,0.9652,1988
per,1.035,1989
per,1.064,1990
per,1.03,1992
per,0.98,1995
per,0.932,1997
per,1.17,1999
per,0.92,2009
phl,0.146,1960
phl,0.1108,1970
phl,0.1127,1975
phl,0.1282,1980
phl,0.1499,1981
phl,0.1536,1984
phl,0.1536,1985
phl,0.1242,1989
phl,0.1187,1990
phl,0.1084,1992
phl,1.23,1996
phl,1.24,1997
phl,0.585,2000
phl,1.15,2002
phl,1.153,2004
pol,1.0,1960
pol,1.0,1961
pol,1.1,1962
pol,1.1,1963
pol,1.2,1964
pol,1.2,1965
pol,1.3,1966
pol,1.3,1967
pol,1.4,1968
pol,1.4,1969
pol,1.4,1970
pol,1.5,1971
pol,1.5,1972
pol,1.5,1973
pol,1.6,1974
pol,1.6,1975
pol,1.6,1976
pol,1.7,1977
pol,1.7,1978
pol,1.7,1979
pol,1.8,1980
pol,1.8,1981
pol,1.8,1982
pol,1.9,1983
pol,1.9,1984
pol,2.0,1985
pol,2.0,1986
pol,2.1,1987
pol,2.1,1988
pol,2.1,1989
pol,2.1,1990
pol,2.2,1991
pol,2.2,1992
pol,2.2,1993
pol,2.3,1994
pol,2.3,1995
pol,2.4,1996
pol,2.4,1997
pol,2.3,1998
pol,2.3,1999
pol,2.2,2000
pol,2.3,2001
pol,2.3,2002
pol,2.5,2003
pol,1.97,2005
pol,2.012,2006
pol,2.144,2008
prt,0.8,1960
prt,0.8,1961
prt,0.9,1962
prt,0.8,1963
prt,0.8,1964
prt,0.9,1965
prt,0.9,1966
prt,0.9,1967
prt,1.0,1968
prt,0.9,1969
prt,0.9,1970
prt,1.0,1971
prt,1.0,1972
prt,1.1,1973
prt,1.2,1974
prt,1.2,1975
prt,1.3,1976
prt,1.5,1977
prt,1.7,1978
prt,1.9,1979
prt,2.0,1980
prt,2.1,1981
prt,2.2,1982
prt,2.3,1983
prt,2.4,1984
prt,2.5,1985
prt,2.6,1986
prt,2.6,1987
prt,2.7,1988
prt,2.8,1989
prt,2.8,1990
prt,2.8,1991
prt,2.9,1992
prt,2.9,1993
prt,2.9,1994
prt,2.9,1995
prt,3.0,1996
prt,3.0,1997
prt,3.1,1998
prt,3.1,1999
prt,3.2,2000
prt,3.2,2001
prt,3.3,2002
prt,3.3,2003
prt,3.44,2005
prt,3.755,2009
pri,1.75,1995
qat,0.5135,1970
qat,0.7379,1981
qat,1.676,1986
qat,1.5,1990
qat,1.26,1996
qat,1.26,1997
qat,2.217,2001
qat,2.64,2005
qat,2.757,2006
rou,1.269,1960
rou,1.316,1965
rou,1.185,1970
rou,1.208,1971
rou,1.242,1973
rou,1.318,1975
rou,1.332,1976
rou,1.355,1977
rou,1.377,1978
rou,1.413,1979
rou,1.476,1980
rou,1.541,1981
rou,1.635,1982
rou,1.972,1983
rou,1.724,1984
rou,1.762,1985
rou,1.783,1986
rou,1.79,1987
rou,1.805,1988
rou,1.811,1989
rou,1.802,1990
rou,1.816,1991
rou,1.866,1992
rou,1.77,1993
rou,1.765,1994
rou,1.768,1995
rou,1.81,1996
rou,1.791,1997
rou,1.836,1998
rou,1.909,1999
rou,1.889,2000
rou,1.887,2001
rou,1.905,2003
rou,1.917,2006
rus,3.871,1985
rus,3.939,1986
rus,4.004,1987
rus,4.04,1988
rus,4.085,1989
rus,4.07,1990
rus,4.046,1991
rus,3.872,1992
rus,3.972,1993
rus,3.835,1994
rus,3.859,1995
rus,4.096,1996
rus,4.155,1997
rus,4.209,1998
rus,4.194,1999
rus,4.213,2000
rus,4.172,2001
rus,4.0,2002
rus,4.252,2003
rus,4.0,2004
rus,4.0,2005
rus,4.309,2006
rwa,0.007659,1960
rwa,0.01382,1965
rwa,0.0166,1970
rwa,0.0167,1975
rwa,0.0318,1980
rwa,0.0309,1981
rwa,0.0287,1983
rwa,0.0269,1985
rwa,0.0401,1989
rwa,0.0401,1993
rwa,0.019,2002
rwa,0.05,2004
rwa,0.024,2005
kna,0.2353,1960
kna,0.3118,1970
kna,0.3604,1980
kna,0.458,1984
kna,0.9,1990
kna,1.07,1995
kna,1.186,1997
kna,1.095,2000
lca,0.1388,1960
lca,0.1874,1970
lca,0.2848,1984
lca,0.35,1990
lca,0.3933,1991
lca,0.544,1993
lca,0.56,1995
lca,0.473,1997
lca,5.17,1999
lca,0.473,2002
vct,0.1,1960
vct,0.1818,1970
vct,0.2663,1984
vct,0.46,1990
vct,0.1346,1991
vct,0.46,1995
vct,0.871,1997
vct,0.7542,2000
wsm,0.4414,1960
wsm,0.3501,1970
wsm,0.3613,1980
wsm,0.4043,1981
wsm,0.2795,1986
wsm,0.2074,1989
wsm,0.3647,1992
wsm,0.344,1996
wsm,0.33,1998
wsm,0.702,1999
wsm,0.28,2003
wsm,0.27,2005
smr,2.06,1980
smr,2.218,1981
smr,2.181,1982
smr,2.247,1983
smr,2.166,1984
smr,2.287,1985
smr,2.399,1986
smr,2.519,1987
smr,2.538,1988
smr,2.423,1989
stp,0.2997,1960
stp,0.2329,1970
stp,0.4382,1980
stp,0.4187,1981
stp,0.537,1983
stp,0.5458,1989
stp,0.5304,1990
stp,0.3279,1992
stp,0.467,1996
stp,0.49,2004
sau,0.0611,1960
sau,0.1064,1965
sau,0.134,1970
sau,0.5496,1981
sau,1.346,1986
sau,1.433,1990
sau,1.335,1993
sau,1.66,1997
sau,1.397,2001
sau,1.37,2004
sau,1.622,2007
sau,0.939,2008
sen,0.04393,1960
sen,0.0513,1965
sen,0.0633,1970
sen,0.0614,1975
sen,0.0788,1981
sen,0.0766,1982
sen,0.0549,1990
sen,0.0676,1992
sen,0.0956,1994
sen,0.075,1995
sen,0.093,1996
sen,0.093,1997
sen,0.095,1998
sen,0.06,2004
sen,0.059,2008
srb,1.99,2006
srb,2.035,2007
syc,0.3118,1960
syc,0.2239,1970
syc,0.2181,1975
syc,0.4068,1983
syc,0.4451,1985
syc,1.027,1993
syc,1.324,1996
syc,1.51,2004
sle,0.0473,1960
sle,0.05928,1965
sle,0.0561,1970
sle,0.0539,1975
sle,0.0578,1980
sle,0.0527,1981
sle,0.0747,1984
sle,0.073,1996
sle,0.03,2004
sle,0.016,2008
sgp,0.4204,1960
sgp,0.5262,1965
sgp,0.6569,1970
sgp,0.6668,1975
sgp,0.8509,1980
sgp,0.8768,1981
sgp,0.9982,1985
sgp,0.723,1986
sgp,1.111,1988
sgp,1.266,1990
sgp,1.32,1991
sgp,1.348,1992
sgp,1.385,1993
sgp,1.411,1994
sgp,1.627,1998
sgp,1.348,1999
sgp,1.4,2001
sgp,1.5,2003
sgp,1.833,2009
svk,3.2,2000
svk,3.1,2001
svk,3.1,2002
svk,3.1,2003
svk,3.12,2004
svk,3.0,2007
svn,1.771,1980
svn,1.843,1982
svn,1.861,1984
svn,1.879,1985
svn,1.882,1986
svn,2.004,1987
svn,2.024,1988
svn,2.063,1989
